Submission id,Participant id,Status,Custom study tncs accepted at,Started at,Completed at,Reviewed at,Archived at,Time taken,Completion code,Total approvals,Age,Sex,Ethnicity simplified,Country of birth,Country of residence,Nationality,Language,Student status,Employment status
68d172ee4f15faf3af4b65bb,60d26e7cd9f0761e4d12b9f8,APPROVED,Not Applicable,2025-09-22T16:02:34.414000Z,2025-09-22T16:34:08.982000Z,2025-09-23T04:30:20.403000Z,2025-09-22T16:34:09.540159Z,1895.0,C1KD1A87,396,25,Female,White,Hungary,Hungary,Hungary,Hungarian,No,Unemployed (and job seeking)
68d17cc5d023588e9713128a,6108da57e362f96a3ee32a88,APPROVED,Not Applicable,2025-09-22T16:52:05.563000Z,2025-09-22T17:12:47.769000Z,2025-09-23T04:30:22.304000Z,2025-09-22T17:12:48.327157Z,1243.0,C1KD1A87,83,27,Female,White,Romania,Hungary,Hungary,Hungarian,No,Full-Time
68d18ff8bfe13459d8e02fc7,5dade76a4860f70017f70ec5,APPROVED,Not Applicable,2025-09-22T18:05:51.705000Z,2025-09-22T18:24:29.813000Z,2025-09-23T04:30:23.966000Z,2025-09-22T18:24:30.846150Z,1119.0,C1KD1A87,677,23,Male,White,Hungary,Hungary,Hungary,Hungarian,Yes,DATA_EXPIRED
68d137139fe16f73622b2536,61717173748006894b2b54ff,RETURNED,Not Applicable,,,,,,,1885,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
68d138b03c80804ac7f2915d,5c5b333a2b7de10001b78759,RETURNED,Not Applicable,2025-09-22T11:53:20.281000Z,,,,,,403,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
68d13c9e2b874d16e9aaff36,5d5fac22e32d920001c82b53,RETURNED,Not Applicable,2025-09-22T12:10:06.266000Z,,,,,,400,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
68d13d1b4c5ef3bdc1daf1d1,60245c7c3df42d131232cedb,RETURNED,Not Applicable,,,,,,,847,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
68d13e95b83dc7bbc8ab030a,615e9e6c4f37a1a03d73021b,RETURNED,Not Applicable,2025-09-22T12:18:29.720000Z,,,,,,779,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
68d14269bc3ae0f540b9e34d,607cabdfb9addc46d23a0f19,RETURNED,Not Applicable,2025-09-22T12:34:49.241000Z,,,,,,1291,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
68d144461da06f00beef861c,608c08b442036ab091bbba75,RETURNED,Not Applicable,2025-09-22T12:42:46.749000Z,,,,,,557,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
