Submission id,Participant id,Status,Custom study tncs accepted at,Started at,Completed at,Reviewed at,Archived at,Time taken,Completion code,Total approvals,Age,Sex,Ethnicity simplified,Country of birth,Country of residence,Nationality,Language,Student status,Employment status
68d420ac46fbb9d655509cd3,6151b07ac0d164fdd7e53100,APPROVED,Not Applicable,2025-09-24T16:47:44.443000Z,2025-09-24T17:17:29.766000Z,2025-09-29T10:34:54.432000Z,2025-09-24T17:17:30.315398Z,1786.0,C1KD1A87,435,24,Male,White,Hungary,Hungary,Hungary,Hungarian,Yes,Full-Time
68d43d7442dfa54f44f4a58c,5f4c042383588080d02e61a3,APPROVED,Not Applicable,2025-09-24T18:53:31.730000Z,2025-09-24T19:43:57.766000Z,2025-09-29T10:35:16.316000Z,2025-09-24T19:43:58.204554Z,3027.0,C1KD1A87,390,25,Female,White,Hungary,Hungary,Hungary,Hungarian,DATA_EXPIRED,Full-Time
68d4dadf28acf5ed2002e78e,5f338ba6ea047119dbd6e49e,APPROVED,Not Applicable,2025-09-25T06:02:14.558000Z,2025-09-25T06:26:06.654000Z,2025-09-29T10:36:36.118000Z,2025-09-25T06:26:07.207621Z,1433.0,C1KD1A87,731,30,Male,White,Hungary,Hungary,Hungary,Hungarian,No,Full-Time
68d4fd1073b928fe623091bd,5e3b29dc87243b34bde5abfa,APPROVED,Not Applicable,2025-09-25T08:28:32.028000Z,2025-09-25T08:50:04.063000Z,2025-09-29T10:36:36.384000Z,2025-09-25T08:50:04.454016Z,1293.0,C1KD1A87,591,46,Male,White,Hungary,Hungary,Hungary,Hungarian,No,Full-Time
68d506fd0942a8cc7be8f620,6154d933a58bf7bcd9e81fed,APPROVED,Not Applicable,2025-09-25T09:10:21.033000Z,2025-09-25T09:33:36.530000Z,2025-09-29T10:36:36.639000Z,2025-09-25T09:33:36.923566Z,1396.0,C1KD1A87,28,38,Female,White,Hungary,Hungary,Hungary,Hungarian,DATA_EXPIRED,DATA_EXPIRED
68d56fa02d94f86ab37cb981,5d4fe6a2ffbcf800019d5e54,APPROVED,Not Applicable,2025-09-25T16:39:49.125000Z,2025-09-25T17:42:29.717000Z,2025-09-29T10:36:36.972000Z,2025-09-25T17:42:30.130330Z,3761.0,C1KD1A87,312,59,Female,White,Hungary,Hungary,Hungary,Hungarian,DATA_EXPIRED,DATA_EXPIRED
68d5af382b2a91b233cf2cd5,60cb4cd6477b2ff7c1adaea4,APPROVED,Not Applicable,2025-09-25T21:08:15.160000Z,2025-09-25T21:46:18.721000Z,2025-09-29T10:36:37.264000Z,2025-09-25T21:46:19.122145Z,2284.0,C1KD1A87,534,37,Male,White,Hungary,Hungary,Hungary,Hungarian,No,Full-Time
68d6433e8e991f0f0bde9f92,61545727036ae019fdeea5df,APPROVED,Not Applicable,2025-09-26T07:39:42.978000Z,2025-09-26T07:58:01.662000Z,2025-09-29T10:36:37.500000Z,2025-09-26T07:58:02.099723Z,1099.0,C1KD1A87,231,32,Female,White,Hungary,Hungary,Hungary,Hungarian,No,Full-Time
68d666ab793d70371d265341,6108da57e362f96a3ee32a88,APPROVED,Not Applicable,2025-09-26T10:11:03.697000Z,2025-09-26T10:29:49.671000Z,2025-09-29T10:38:20.699000Z,2025-09-26T10:29:50.117097Z,1126.0,C1KD1A87,95,27,Female,White,Romania,Hungary,Hungary,Hungarian,No,Full-Time
68d80cd01c298d02d32b5e75,5f99dc8aa866bf0bf2d60f46,APPROVED,Not Applicable,2025-09-27T16:13:44.885000Z,2025-09-27T17:00:17.566000Z,2025-09-29T12:24:24.990000Z,2025-09-27T17:00:18.079070Z,2793.0,NOCODE,798,23,Male,White,Hungary,Hungary,Hungary,Hungarian,DATA_EXPIRED,DATA_EXPIRED
68d3d8cf9812e82c75482b1b,61717173748006894b2b54ff,RETURNED,Not Applicable,,,,,,,1885,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
68d3dc87c43a2c44b6869431,6153ff2b2d71a6a4c3789a93,TIMED-OUT,Not Applicable,2025-09-24T11:56:55.460000Z,,,,5803660.0,,309,48,Male,White,Hungary,Hungary,Hungary,Hungarian,Yes,Full-Time
68d3eba78624cf34268fbced,615e9e6c4f37a1a03d73021b,RETURNED,Not Applicable,2025-09-24T13:01:27.500000Z,,,,,,779,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
68d3f527d4640b69da0bf590,604dedd2805fe682c5bc51c0,RETURNED,Not Applicable,2025-09-24T13:52:00.007000Z,,,,,,823,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
68d3fa5ed52049bbcdcdb6ed,60390dd01c38de312b32bbae,TIMED-OUT,Not Applicable,2025-09-24T14:04:58.312000Z,,,,5795977.0,,534,50,Female,White,Hungary,Hungary,Canada,Hungarian,No,Part-Time
68d42f0f4bc2d829fea6639a,6108698eda8978a271cf5ad0,RETURNED,Not Applicable,,,,,,,231,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
68d44aefcb56a8fec75c6661,61597ca19e7685bd2a7c5ece,RETURNED,Not Applicable,,,,,,,360,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
68d4552a5d1cb85d4fd12119,5f0e1d1b9289a50c450a6d93,RETURNED,Not Applicable,2025-09-24T20:31:38.007000Z,,,,,,601,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
68d4cf0f139a46258332fbc6,5a913d2cf0536100017196d8,RETURNED,Not Applicable,2025-09-25T05:11:43.343000Z,,,,,,88,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
68d4e2fab6e02614796e1257,5f325435f0fc671a7434cabe,RETURNED,Not Applicable,2025-09-25T06:36:47.512000Z,,,,,,1171,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
68d4e954816f93ba7b7fdbc7,61545da5fbcf88285ca8ffa2,TIMED-OUT,Not Applicable,2025-09-25T07:03:48.071000Z,,,,5734848.0,,69,51,Male,White,Hungary,Hungary,Hungary,Hungarian,No,Full-Time
