Submission id,Participant id,Status,Custom study tncs accepted at,Started at,Completed at,Reviewed at,Archived at,Time taken,Completion code,Total approvals,Age,Sex,Ethnicity simplified,Country of birth,Country of residence,Nationality,Language,Student status,Employment status
68e4266f5c0c6b68c3d0ea5e,5b93d1913dca6000012c5fdc,APPROVED,Not Applicable,2025-10-06T20:28:31.749000Z,2025-10-06T21:02:14.087000Z,2025-10-13T08:29:44.981000Z,2025-10-06T21:02:59.849432Z,2023.0,CXOHLI21,548,33,Female,White,Hungary,Hungary,Hungary,Hungarian,No,Full-Time
68e552ba18ddae23abdce52d,60fc8070ac259dd44fb94150,APPROVED,Not Applicable,2025-10-07T17:49:46.638000Z,2025-10-07T18:14:35.544000Z,2025-10-13T08:29:45.263000Z,2025-10-07T18:14:35.962633Z,1489.0,CXOHLI21,424,28,Female,White,Hungary,Hungary,Hungary,Hungarian,No,Full-Time
68e8d48d67e1b417ccd9f200,5f3ce934a12769b771503625,APPROVED,Not Applicable,2025-10-10T09:40:29.309000Z,2025-10-10T10:19:33.237000Z,2025-10-13T08:29:46.522000Z,2025-10-10T10:20:43.018160Z,2344.0,CXOHLI21,158,50,Female,White,Hungary,United Kingdom,United Kingdom,Hungarian,DATA_EXPIRED,DATA_EXPIRED
68e8f8c7c43a314a86496d4d,60fd4fbf1a3f1446d576e5d4,APPROVED,Not Applicable,2025-10-10T12:15:15.484000Z,2025-10-10T12:38:46.078000Z,2025-10-13T08:29:46.799000Z,2025-10-10T12:38:48.364125Z,1411.0,CXOHLI21,124,34,Female,White,Hungary,Hungary,Hungary,Hungarian,DATA_EXPIRED,DATA_EXPIRED
68ed2784211b60d0d993dfb3,60d0e99c4a61ffe6c5703250,APPROVED,Not Applicable,2025-10-13T16:23:36.731000Z,2025-10-13T16:49:37.742000Z,2025-10-18T11:12:28.180000Z,2025-10-13T16:49:43.080145Z,1562.0,CXOHLI21,121,37,Female,White,Romania,United Kingdom,Romania,Hungarian,No,Full-Time
68e3e0298458ee55faa91f6b,688a3b0f05d4c39570f85c2e,RETURNED,Not Applicable,2025-10-06T15:29:08.861000Z,,,,,,189,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
68e504df4c08d27bf1c1b216,5f5fc58bfcb0db07c6c64d9e,RETURNED,Not Applicable,2025-10-07T12:17:44.574000Z,,,,,,1322,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
68e52ce3e420e7749228749d,6124f67729bcb1b5c69b3053,RETURNED,Not Applicable,2025-10-07T15:08:29.047000Z,,,,,,582,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
68e52f36a4c26412766e29be,5ce7d6b62e037a0015e7333c,RETURNED,Not Applicable,2025-10-07T15:18:14.772000Z,,,,,,898,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
68e77e0e589f1b5ccfc03dd0,615d5311a9fbf1f98aa62a5a,RETURNED,Not Applicable,,,,,,,952,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
68e78152554fcae4962e1833,5c5b333a2b7de10001b78759,RETURNED,Not Applicable,2025-10-09T09:33:59.191000Z,,,,,,403,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
68eb6a0d1ac272cc0929f42d,60735ea429d956b10dd842fe,RETURNED,Not Applicable,2025-10-12T08:46:07.893000Z,,,,,,329,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
