Submission id,Participant id,Status,Custom study tncs accepted at,Started at,Completed at,Reviewed at,Archived at,Time taken,Completion code,Total approvals,Age,Sex,Ethnicity simplified,Country of birth,Country of residence,Nationality,Language,Student status,Employment status
69354898fe52b900eb53b80c,6150053fddd36a6892b8f13c,APPROVED,Not Applicable,2025-12-07T09:27:56.737000Z,2025-12-07T09:48:02.461000Z,2025-12-13T17:08:00.954000Z,2025-12-07T09:48:02.820473Z,1206.0,CXOHLI21,605,49,Female,White,Hungary,Hungary,Hungary,Hungarian,No,Full-Time
693548fa1c3c50071067fe93,67698e94c727a4a942390c57,APPROVED,Not Applicable,2025-12-07T09:32:48.045000Z,2025-12-07T10:11:10.927000Z,2025-12-13T17:08:34.707000Z,2025-12-07T10:11:11.304978Z,2303.0,CXOHLI21,1480,61,Female,White,Hungary,United Kingdom,United Kingdom,Hungarian,DATA_EXPIRED,DATA_EXPIRED
69369902fb93033e70930afd,5f3013e31c8a690aacb02c31,APPROVED,Not Applicable,2025-12-08T09:26:55.931000Z,2025-12-08T10:13:10.108000Z,2025-12-13T17:08:51.289000Z,2025-12-08T10:13:10.482219Z,2775.0,CXOHLI21,2501,33,Female,White,Hungary,United Kingdom,Hungary,Hungarian,DATA_EXPIRED,DATA_EXPIRED
6936b90ecb39dfafa1918e35,69346587dfdffc1057144d32,APPROVED,Not Applicable,2025-12-08T11:40:08.346000Z,2025-12-08T12:01:36.188000Z,2025-12-13T17:09:09.725000Z,2025-12-08T12:01:36.573405Z,1288.0,CXOHLI21,1,21,Male,White,Hungary,Hungary,Hungary,Hungarian,Yes,Unemployed (and job seeking)
6936cb7c1b42374beeef8949,5909f8b6bc185d00011aa307,APPROVED,Not Applicable,2025-12-08T12:58:41.278000Z,2025-12-08T13:22:24.017000Z,2025-12-13T17:09:30.877000Z,2025-12-08T13:22:24.365415Z,1423.0,CXOHLI21,542,39,Female,White,Hungary,Hungary,Hungary,Hungarian,No,Full-Time
69371570ae153da0e23fb557,5ff48ac68fd71dba8aab240c,APPROVED,Not Applicable,2025-12-08T18:14:08.864000Z,2025-12-08T18:30:59.252000Z,2025-12-13T17:09:47.298000Z,2025-12-08T18:30:59.597934Z,1011.0,CXOHLI21,17,51,Female,DATA_EXPIRED,Hungary,United Kingdom,Hungary,Hungarian,DATA_EXPIRED,DATA_EXPIRED
6937251dcdd887b9b7d42bd8,5f4c042383588080d02e61a3,APPROVED,Not Applicable,2025-12-08T19:28:00.421000Z,2025-12-08T20:23:07.922000Z,2025-12-13T17:10:00.562000Z,2025-12-08T20:23:08.268515Z,3308.0,CXOHLI21,426,25,Female,White,Hungary,Hungary,Hungary,Hungarian,Yes,Full-Time
6937e1bbcdc7fab4f5cd70c0,691bc10f288fd6bed229f5bb,APPROVED,Not Applicable,2025-12-09T08:45:47.710000Z,2025-12-09T09:05:19.884000Z,2025-12-13T17:10:48.410000Z,2025-12-09T09:05:20.223561Z,1173.0,CXOHLI21,3,44,Female,White,Hungary,Israel,Israel,Hungarian,No,Part-Time
6937f9e83c555d5aca003080,69262c7d3bf2812cd35a933d,APPROVED,Not Applicable,2025-12-09T10:30:09.338000Z,2025-12-09T10:49:28.315000Z,2025-12-13T17:10:59.941000Z,2025-12-09T10:49:28.651566Z,1159.0,CXOHLI21,12,33,Female,White,Hungary,Netherlands,Hungary,Hungarian,No,Unemployed (and job seeking)
6938313b5d09bb7fb7a4a9e1,5e3b29dc87243b34bde5abfa,APPROVED,Not Applicable,2025-12-09T14:25:04.511000Z,2025-12-09T14:44:49.785000Z,2025-12-13T17:11:16.980000Z,2025-12-09T14:44:50.105418Z,1186.0,CXOHLI21,619,47,Male,White,Hungary,Hungary,Hungary,Hungarian,No,Unemployed (and job seeking)
69398b00c5dc749f8b6a14c1,5cb9d45ac3eb6a00123c226e,APPROVED,Not Applicable,2025-12-10T15:00:23.727000Z,2025-12-10T15:19:12.940000Z,2025-12-13T17:11:32.184000Z,2025-12-10T15:19:13.263735Z,1130.0,CXOHLI21,488,32,Male,White,Latvia,United Kingdom,Latvia,Hungarian,No,Full-Time
69398e7c88dbe3546e02861e,6932be225beb1292d32a80c0,APPROVED,Not Applicable,2025-12-10T15:15:14.273000Z,2025-12-10T15:35:36.457000Z,2025-12-13T17:11:47.621000Z,2025-12-10T15:35:36.803282Z,1223.0,CXOHLI21,1,20,Male,White,Hungary,Hungary,Hungary,Hungarian,Yes,Part-Time
6939bdb102f86650672d9272,60eeb5c2667ce4a8a80521c9,AWAITING REVIEW,Not Applicable,2025-12-10T18:36:40.865000Z,2025-12-10T18:58:41.101000Z,,2025-12-10T18:58:41.449986Z,1321.0,NOCODE,38,23,Male,White,Hungary,Hungary,Hungary,Hungarian,Yes,Part-Time
6939eb7eff2eae57759c8907,60cb4cd6477b2ff7c1adaea4,APPROVED,Not Applicable,2025-12-10T21:52:01.302000Z,2025-12-10T22:10:06.650000Z,2025-12-13T17:17:11.364000Z,2025-12-10T22:10:06.988175Z,1086.0,CXOHLI21,557,37,Male,White,Hungary,Hungary,Hungary,Hungarian,No,Full-Time
693ab58dc900277730a2e9aa,6932c07f41479348b6b5d9fb,APPROVED,Not Applicable,2025-12-11T12:16:38.367000Z,2025-12-11T13:10:20.425000Z,2025-12-13T18:12:08.184000Z,2025-12-11T13:10:20.975831Z,3223.0,CXOHLI21,1,25,Female,Mixed,Hungary,Hungary,Hungary,Hungarian,Yes,Unemployed (and job seeking)
693547d36e1df4fef0943a3f,6153ff2b2d71a6a4c3789a93,RETURNED,Not Applicable,2025-12-07T09:24:37.856000Z,,,,,,323,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
693547e195a930d7100d13dc,5c48be0496d59b000183e68d,RETURNED,Not Applicable,2025-12-07T09:24:53.840000Z,,,,,,1764,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
69354810894fe6be9a0b2beb,61634b983fa2b375f536ab34,RETURNED,Not Applicable,,,,,,,2413,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
69354c3628bf9d2a5fe9f6c5,6932b19c5260dda743fca4af,RETURNED,Not Applicable,2025-12-07T09:54:00.009000Z,,,,,,17,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
69360d30000017a8c682fb33,6774308cb19b119861c71c66,RETURNED,Not Applicable,2025-12-07T23:26:40.484000Z,,,,,,201,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
6936809f68a068884c914e0b,6151b07ac0d164fdd7e53100,RETURNED,Not Applicable,2025-12-08T07:39:20.896000Z,,,,,,495,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
693691758ab5cec36a0c0458,5f338ba6ea047119dbd6e49e,RETURNED,Not Applicable,2025-12-08T08:51:06.008000Z,,,,,,834,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
6937132ce56e8f6ad1654e84,6936a0129b90e918dcfd17c0,RETURNED,Not Applicable,2025-12-08T18:04:58.249000Z,,,,,,0,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
69373257a5dea4382d1fec09,61717173748006894b2b54ff,RETURNED,Not Applicable,,,,,,,1899,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
6937d677b2d89b9708e84af6,60245c7c3df42d131232cedb,RETURNED,Not Applicable,2025-12-09T07:57:43.993000Z,,,,,,854,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
693846ac0160ce6483756b40,604dedd2805fe682c5bc51c0,RETURNED,Not Applicable,2025-12-09T15:59:20.482000Z,,,,,,834,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
693985bc6ee5ce4a43d7f7ec,5ee75f3d1a88450293a38aeb,TIMED-OUT,Not Applicable,2025-12-10T14:37:52.837000Z,,,,343842.0,,674,40,Male,White,Hungary,United Kingdom,Hungary,Hungarian,No,Full-Time
