Submission id,Participant id,Status,Custom study tncs accepted at,Started at,Completed at,Reviewed at,Archived at,Time taken,Completion code,Total approvals,Age,Sex,Ethnicity simplified,Country of birth,Country of residence,Nationality,Language,Student status,Employment status
693944dc5cef0971cb0416df,69346587dfdffc1057144d32,APPROVED,Not Applicable,2025-12-10T10:02:47.691000Z,2025-12-10T10:32:39.947000Z,2025-12-13T18:21:05.864000Z,2025-12-10T10:32:40.273221Z,1793.0,CXOHLI21,2,21,Male,White,Hungary,Hungary,Hungary,Hungarian,Yes,Unemployed (and job seeking)
6939450f4098cd730abb816c,6150053fddd36a6892b8f13c,APPROVED,Not Applicable,2025-12-10T10:01:56.086000Z,2025-12-10T10:15:31.261000Z,2025-12-13T18:20:51.488000Z,2025-12-10T10:15:31.619381Z,816.0,CXOHLI21,605,49,Female,White,Hungary,Hungary,Hungary,Hungarian,No,Full-Time
693945bfcdf3d1e39f7c47bb,67698e94c727a4a942390c57,APPROVED,Not Applicable,2025-12-10T10:04:51.895000Z,2025-12-10T10:35:48.442000Z,2025-12-13T18:22:04.620000Z,2025-12-10T10:36:09.616130Z,1857.0,CXOHLI21,1487,61,Female,White,Hungary,United Kingdom,United Kingdom,Hungarian,DATA_EXPIRED,DATA_EXPIRED
69394f2196b78664394073c4,5f4e8bbd350d2a08d6175762,APPROVED,Not Applicable,2025-12-10T10:44:54.204000Z,2025-12-10T10:59:17.093000Z,2025-12-13T18:27:40.735000Z,2025-12-10T10:59:26.539762Z,863.0,CXOHLI21,176,34,Female,White,Hungary,Hungary,Hungary,Hungarian,No,Full-Time
6939503bc782277bfb52e131,69262c7d3bf2812cd35a933d,APPROVED,Not Applicable,2025-12-10T10:49:37.605000Z,2025-12-10T11:05:44.325000Z,2025-12-13T18:49:48.965000Z,2025-12-10T11:05:44.685500Z,967.0,CXOHLI21,12,33,Female,White,Hungary,Netherlands,Hungary,Hungarian,No,Unemployed (and job seeking)
693954e07fef04ab2b207b0e,5f3013e31c8a690aacb02c31,APPROVED,Not Applicable,2025-12-10T11:09:28.404000Z,2025-12-10T11:43:41.240000Z,2025-12-13T18:50:04.654000Z,2025-12-10T11:43:41.686657Z,2053.0,CXOHLI21,2514,33,Female,White,Hungary,United Kingdom,Hungary,Hungarian,DATA_EXPIRED,DATA_EXPIRED
69396d9d0776dd10f09f06ff,604dedd2805fe682c5bc51c0,APPROVED,Not Applicable,2025-12-10T12:54:58.179000Z,2025-12-10T13:15:03.999000Z,2025-12-13T18:50:18.793000Z,2025-12-10T13:15:04.318507Z,1206.0,CXOHLI21,829,41,Female,White,Hungary,Hungary,Hungary,Hungarian,No,Full-Time
6939728c9b081d7373d16635,6932be225beb1292d32a80c0,APPROVED,Not Applicable,2025-12-10T13:21:24.149000Z,2025-12-10T13:42:02.338000Z,2025-12-13T18:50:28.799000Z,2025-12-10T13:42:02.670151Z,1239.0,CXOHLI21,0,20,Male,White,Hungary,Hungary,Hungary,Hungarian,Yes,Part-Time
6939bbe9e0f2c818855ff720,60eeb5c2667ce4a8a80521c9,AWAITING REVIEW,Not Applicable,2025-12-10T18:29:02.686000Z,2025-12-10T18:34:44.833000Z,,2025-12-10T18:34:45.212041Z,343.0,NOCODE,38,23,Male,White,Hungary,Hungary,Hungary,Hungarian,Yes,Part-Time
6939eff6910dc57b2b4a7980,60cb4cd6477b2ff7c1adaea4,APPROVED,Not Applicable,2025-12-10T22:11:11.117000Z,2025-12-10T22:26:21.878000Z,2025-12-13T20:12:25.079000Z,2025-12-10T22:26:22.221917Z,911.0,CXOHLI21,557,37,Male,White,Hungary,Hungary,Hungary,Hungarian,No,Full-Time
