Submission id,Participant id,Status,Custom study tncs accepted at,Started at,Completed at,Reviewed at,Archived at,Time taken,Completion code,Total approvals,Age,Sex,Ethnicity simplified,Country of birth,Country of residence,Nationality,Language,Student status,Employment status
68da6ab060a56fc4f53f0cbb,5f3013e31c8a690aacb02c31,APPROVED,Not Applicable,2025-09-29T11:22:32.030000Z,2025-09-29T11:58:13.504000Z,2025-10-02T04:35:59.393000Z,2025-09-29T11:58:13.934029Z,2142.0,C1KD1A87,2030,33,Female,White,Hungary,United Kingdom,Hungary,Hungarian,DATA_EXPIRED,DATA_EXPIRED
68da700b3abf8bd08b473189,5ee75f3d1a88450293a38aeb,APPROVED,Not Applicable,2025-09-29T11:43:04.054000Z,2025-09-29T12:26:01.832000Z,2025-10-02T04:36:08.773000Z,2025-09-29T12:26:02.292511Z,2578.0,C1KD1A87,442,40,Male,White,Hungary,United Kingdom,Hungary,Hungarian,No,Full-Time
68daed82d15d2f5ccfa1ce96,666d9692dac9d55d3f331401,APPROVED,Not Applicable,2025-09-29T20:35:41.106000Z,2025-09-29T20:57:02.163000Z,2025-10-02T04:36:25.663000Z,2025-09-29T20:57:11.487652Z,1282.0,C1KD1A87,704,34,Female,White,Hungary,United Kingdom,United Kingdom,Hungarian,No,Full-Time
68db94eb3da3577c0e177679,641379405684937e6fad9f1b,APPROVED,Not Applicable,2025-09-30T08:29:36.413000Z,2025-09-30T09:00:34.580000Z,2025-10-02T05:00:22.357000Z,2025-09-30T09:00:35.089840Z,1859.0,C1KD1A87,351,36,Female,White,Hungary,United Kingdom,Hungary,Hungarian,DATA_EXPIRED,DATA_EXPIRED
68dbb963ed94e22de931a7f2,5e1cabad3b577b000c55e660,APPROVED,Not Applicable,2025-09-30T11:08:16.430000Z,2025-09-30T12:02:53.999000Z,2025-10-02T05:06:07.829000Z,2025-09-30T12:02:54.381245Z,3278.0,NOCODE,750,23,Male,White,Hungary,Hungary,Hungary,Hungarian,DATA_EXPIRED,DATA_EXPIRED
68dc195ad7aa9566543d4d3b,5dade76a4860f70017f70ec5,APPROVED,Not Applicable,2025-09-30T17:54:36.333000Z,2025-09-30T18:07:12.487000Z,2025-10-02T04:46:50.249000Z,2025-09-30T18:07:16.320768Z,757.0,C1KD1A87,680,23,Male,White,Hungary,Hungary,Hungary,Hungarian,Yes,DATA_EXPIRED
68dd813139d45bce721d9288,642b35c70771761602e9c3ae,APPROVED,Not Applicable,2025-10-01T19:29:53.060000Z,2025-10-01T21:50:21.518000Z,2025-10-03T04:16:30.609000Z,2025-10-01T21:50:23.155171Z,8429.0,C1KD1A87,151,54,Male,White,Romania,United Kingdom,Hungary,Hungarian,No,Full-Time
68dd93342d2c62ec1dc992d6,6658c355ad6d072d4f208486,APPROVED,Not Applicable,2025-10-01T20:46:52.688000Z,2025-10-01T21:17:57.371000Z,2025-10-02T04:47:20.206000Z,2025-10-01T21:17:57.806495Z,1865.0,C1KD1A87,23,40,Female,White,Hungary,United Kingdom,Hungary,Hungarian,No,Full-Time
68da6897d8e0b48ffd154a1a,61542508e4600733844ab8af,RETURNED,Not Applicable,2025-09-29T11:08:12.090000Z,2025-09-29T11:10:13.311000Z,,2025-09-29T11:10:13.685000Z,,https://farm.pcibex.net/,989,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
68da695c56de45dea4fb44ac,67698e94c727a4a942390c57,RETURNED,Not Applicable,2025-09-29T11:11:31.140000Z,,,,,,1425,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
68da848b918fabde35d0f001,60f43127b2b2e32120869426,RETURNED,Not Applicable,2025-09-29T13:07:36.300000Z,,,,,,1116,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
