participant,group,trial,label,no,item,exp,condition,cb,left,right,target,r1,r2,r3,r4,r5,r6,r7,question_rt,choice_rt,choice,chosen_type,mismatch,dominant,prop_left,prop_right,total_dwell,dwell_left,dwell_right,fixations_left,fixations_right,total_fixation,revisits_left,revisits_right,total_revisits,transitions,ffs,ffd,fvs,fvd,cxt
participant_001,b,34,experiment,2,1,1,focus,y,1b,1a,,477.0,444.0,428.0,380.0,409.0,412.0,469.0,,1595.0,right,A,False,right,0.231,0.769,1292.0,299.0,993.0,2.0,4.0,6.0,1.0,3.0,4.0,3.0,left,114.0,left,114.0,focus.A
participant_001,b,26,experiment,4,2,1,exclusive,y,2b,2a,2a,557.0,641.0,525.0,502.0,513.0,549.0,865.0,,1288.0,right,A,False,right,0.354,0.646,1230.0,435.0,795.0,2.0,5.0,7.0,1.0,4.0,5.0,2.0,right,100.0,right,166.0,exclusive.A
participant_001,b,49,experiment,9,3,1,contrastive,n,3a,3b,3b,499.0,434.0,466.0,404.0,424.0,557.0,701.0,,3059.0,left,A,True,,,,1067.6402586206896,,,,,4.874137931034483,,,,1.9,,220.05172413793105,,406.4448275862069,contrastive.A
participant_001,b,25,experiment,11,4,1,focus,n,4a,4b,,518.0,649.0,557.0,609.0,522.0,761.0,780.0,,1406.0,left,A,False,right,0.0,1.0,1147.0,0.0,1147.0,0.0,4.0,4.0,0.0,3.0,3.0,0.0,right,66.0,right,1147.0,focus.A
participant_001,b,13,experiment,13,5,1,exclusive,n,5a,5b,5a,633.0,666.0,558.0,476.0,450.0,584.0,731.0,,2774.0,left,A,False,right,0.225,0.775,2048.0,460.0,1588.0,4.0,7.0,11.0,3.0,6.0,9.0,2.0,right,385.0,right,385.0,exclusive.A
participant_001,b,15,experiment,18,6,1,contrastive,y,6b,6a,6b,569.0,464.0,484.0,500.0,468.0,548.0,886.0,,2588.0,right,A,True,right,0.066,0.934,950.0,63.0,887.0,1.0,3.0,4.0,0.0,2.0,2.0,2.0,right,103.0,right,103.0,contrastive.A
participant_001,b,37,experiment,20,7,1,focus,y,7b,7a,,501.0,454.0,418.0,400.0,367.0,411.0,483.0,,1060.0,right,A,False,left,0.864,0.136,1396.0,1206.0,190.0,5.0,2.0,7.0,4.0,1.0,5.0,3.0,right,124.0,right,124.0,focus.A
participant_001,b,17,experiment,22,8,1,exclusive,y,8b,8a,8a,468.0,436.0,426.0,389.0,430.0,434.0,468.0,,1222.0,right,A,False,right,0.213,0.787,1785.0,380.0,1405.0,3.0,6.0,9.0,2.0,5.0,7.0,2.0,right,664.0,right,664.0,exclusive.A
participant_001,b,12,experiment,27,9,1,contrastive,n,9a,9b,9b,611.0,634.0,584.0,650.0,649.0,733.0,947.0,,4462.0,left,A,True,right,0.388,0.612,1248.0,484.0,764.0,2.0,3.0,5.0,1.0,2.0,3.0,3.0,left,418.0,left,418.0,contrastive.A
participant_001,b,21,experiment,29,10,1,focus,n,10a,10b,,570.0,629.0,505.0,531.0,481.0,500.0,587.0,,2117.0,left,A,False,left,0.529,0.471,1506.0,796.0,710.0,4.0,7.0,11.0,3.0,6.0,9.0,5.0,left,62.0,left,62.0,focus.A
participant_001,b,39,experiment,31,11,1,exclusive,n,11a,11b,11a,433.0,436.0,413.0,438.0,386.0,477.0,770.0,,1753.0,left,A,False,left,0.568,0.432,1112.1,632.0,480.1,3.0,3.0,6.0,2.0,2.0,4.0,2.0,right,157.0,right,157.0,exclusive.A
participant_001,b,41,experiment,36,12,1,contrastive,y,12b,12a,12b,632.0,452.0,399.0,397.0,385.0,489.0,685.0,,2724.0,right,A,True,left,0.543,0.457,5484.0,2976.0,2508.0,20.0,13.0,33.0,19.0,12.0,31.0,9.0,right,191.0,right,307.0,contrastive.A
