trial,dwell_left,dwell_right,fix_count_left,fix_count_right,ttff_left,ttff_right,revisit_left,revisit_right,avg_fix_dur_left,avg_fix_dur_right,dominant_aoi
12,1623.0,911.0,2,2,46.0,0.0,1,1,811.5,455.5,left
13,1032.0,1381.0,6,5,0.0,165.0,5,4,172.0,276.2,right
14,2404.0,2999.0,8,8,0.0,724.0,7,7,300.5,374.875,right
15,990.0,1445.0,4,5,30.0,0.0,3,4,247.5,289.0,right
16,2098.0,2639.0,8,9,613.0,0.0,7,8,262.25,293.22222222222223,right
17,1926.0,1564.5,6,6,0.0,171.0,5,5,321.0,260.75,left
18,1923.0,2924.0,2,2,0.0,860.0,1,1,961.5,1462.0,right
19,767.0,1823.0,6,5,0.0,148.0,5,4,127.83333333333333,364.6,right
20,1766.0,277.0,3,3,75.0,0.0,2,2,588.6666666666666,92.33333333333333,left
21,1897.0,3649.0,10,10,0.0,38.0,9,9,189.7,364.9,right
22,1049.0,1639.0,8,8,0.0,34.0,7,7,131.125,204.875,right
23,2493.0,5876.0,9,9,0.0,126.0,8,8,277.0,652.8888888888889,right
24,2584.5,123.0,2,1,0.0,1529.0,1,0,1292.25,123.0,left
25,955.0,1857.0,4,4,0.0,40.0,3,3,238.75,464.25,right
26,2864.0,1155.0,8,8,208.0,0.0,7,7,358.0,144.375,left
27,484.0,2925.0,4,4,1694.0,0.0,3,3,121.0,731.25,right
28,558.0,1115.0,3,2,0.0,39.0,2,1,186.0,557.5,right
29,2767.0,1255.0,7,7,76.0,0.0,6,6,395.2857142857143,179.28571428571428,left
30,3208.0,1065.0,6,6,110.0,0.0,5,5,534.6666666666666,177.5,left
31,914.0,1409.5,2,2,0.0,111.0,1,1,457.0,704.75,right
32,3694.0,554.0,8,7,0.0,227.0,7,6,461.75,79.14285714285714,left
33,1086.5,1738.0,5,5,300.0,0.0,4,4,217.3,347.6,right
34,1720.0,1070.0,4,5,151.0,0.0,3,4,430.0,214.0,left
35,43.0,1617.5,1,2,1094.0,0.0,0,1,43.0,808.75,right
36,1913.0,202.0,2,2,37.0,0.0,1,1,956.5,101.0,left
37,3066.0,1815.0,8,8,0.0,38.0,7,7,383.25,226.875,left
38,42.0,1788.0,1,1,0.0,42.0,0,0,42.0,1788.0,right
39,1306.0,2550.0,7,6,0.0,369.0,6,5,186.57142857142858,425.0,right
40,1237.5,1672.0,6,5,0.0,292.0,5,4,206.25,334.4,right
41,2943.0,334.0,7,6,0.0,280.0,6,5,420.42857142857144,55.666666666666664,left
42,868.0,1397.5,5,6,38.0,0.0,4,5,173.6,232.91666666666666,right
43,818.0,1052.0,4,3,0.0,45.0,3,2,204.5,350.6666666666667,right
44,1503.0,1555.0,4,3,0.0,1016.0,3,2,375.75,518.3333333333334,right
45,2184.0,274.0,4,3,0.0,38.0,3,2,546.0,91.33333333333333,left
46,2960.0,83.0,3,2,0.0,2678.0,2,1,986.6666666666666,41.5,left
47,3672.0,1319.0,10,10,128.0,0.0,9,9,367.2,131.9,left
48,759.0,996.0,7,6,0.0,89.0,6,5,108.42857142857143,166.0,right
49,237.0,1515.0,3,4,341.0,0.0,2,3,79.0,378.75,right
50,1829.5,559.0,5,5,142.0,0.0,4,4,365.9,111.8,left
51,2812.0,44.0,1,1,44.0,0.0,0,0,2812.0,44.0,left
52,2071.0,40.0,2,1,0.0,115.0,1,0,1035.5,40.0,left
