trial,times,_left_canvas,_right_canvas,Unnamed: 4
6,0,0,1,
6,25,0,1,
6,51,0,1,
6,84,1,0,
6,117,0,1,
6,151,0,0,
6,185,0,1,
6,218,0,1,
6,251,0,1,
6,285,0,1,
6,317,0,1,
6,351,0,1,
6,385,0,1,
6,419,1,0,
6,441,1,0,
6,468,1,0,
6,491,1,0,
6,523,1,0,
6,557,1,0,
6,585,1,0,
6,618,1,0,
6,653,1,0,
6,677,1,0,
6,705,0,0,
6,736,1,0,
6,769,1,0,
6,802,1,0,
6,835,1,0,
6,868,1,0,
6,902,1,0,
6,936,1,0,
6,970,1,0,
6,1003,1,0,
6,1037,1,0,
6,1070,1,0,
6,1103,1,0,
6,1137,1,0,
6,1170,1,0,
6,1204,1,0,
6,1237,0,0,
6,1271,0,1,
6,1304,1,0,
6,1337,0,1,
6,1370,0,1,
6,1404,1,0,
6,1437,1,0,
6,1470,1,0,
6,1504,1,0,
6,1527,0,0,
6,1553,0,0,
6,1587,1,0,
6,1620,0,0,
6,1654,1,0,
6,1687,1,0,
6,1720,1,0,
6,1754,1,0,
6,1777,1,0,
6,1804,1,0,
6,1829,1,0,
6,1856,1,0,
6,1888,1,0,
6,1923,1,0,
6,1955,0,1,
6,1989,1,0,
6,2022,1,0,
6,2055,1,0,
6,2088,0,0,
6,2123,0,1,
6,2155,0,0,
6,2189,0,1,
6,2222,1,0,
6,2255,1,0,
6,2289,1,0,
6,2322,1,0,
6,2357,1,0,
6,2390,1,0,
6,2423,1,0,
7,0,1,0,
7,32,1,0,
7,65,1,0,
7,98,0,0,
7,131,0,0,
7,166,0,0,
7,188,1,0,
7,215,0,1,
7,249,0,0,
7,271,1,0,
7,298,1,0,
7,333,1,0,
7,369,1,0,
7,403,1,0,
7,432,1,0,
7,468,0,1,
7,500,1,0,
7,523,1,0,
7,551,1,0,
7,574,1,0,
7,600,1,0,
7,636,1,0,
7,669,1,0,
7,702,1,0,
7,736,1,0,
7,758,1,0,
7,786,1,0,
7,819,1,0,
7,852,1,0,
7,886,1,0,
7,919,1,0,
7,945,1,0,
7,975,0,1,
7,1003,0,1,
7,1037,0,1,
7,1070,0,1,
7,1103,0,1,
7,1137,0,1,
7,1170,1,0,
7,1204,0,1,
7,1237,0,1,
7,1270,0,1,
7,1294,0,1,
7,1320,1,0,
7,1353,0,1,
7,1386,0,1,
7,1422,0,1,
7,1453,0,1,
7,1487,0,1,
7,1521,0,1,
7,1554,0,1,
7,1588,1,0,
7,1621,0,1,
7,1654,0,1,
7,1688,1,0,
7,1720,0,1,
7,1756,0,1,
7,1789,0,1,
7,1824,0,1,
7,1856,0,1,
7,1889,0,1,
7,1913,0,1,
7,1944,0,1,
7,1973,0,1,
7,2005,0,1,
7,2038,0,1,
7,2071,0,1,
7,2104,0,1,
7,2138,0,1,
7,2171,0,1,
7,2204,0,1,
7,2229,0,1,
7,2253,0,1,
7,2278,0,0,
7,2305,0,0,
7,2338,0,0,
7,2372,0,1,
7,2406,0,1,
7,2439,0,1,
7,2472,0,1,
7,2505,0,1,
7,2538,0,0,
7,2561,0,1,
7,2592,0,1,
7,2622,0,1,
8,0,0,1,
8,24,0,1,
8,49,0,1,
8,82,0,0,
8,115,1,0,
8,150,0,1,
8,182,1,0,
8,216,0,0,
8,249,1,0,
8,284,1,0,
8,319,0,0,
8,351,0,1,
8,385,1,0,
8,407,0,1,
8,436,0,1,
8,468,1,0,
8,502,0,1,
8,536,0,1,
8,569,0,1,
8,602,0,1,
8,635,1,0,
8,669,0,0,
8,703,1,0,
8,726,0,0,
8,757,0,0,
8,789,0,0,
8,823,1,0,
8,857,1,0,
8,886,1,0,
8,920,1,0,
8,953,0,0,
8,987,1,0,
8,1020,1,0,
8,1054,1,0,
8,1087,1,0,
8,1121,1,0,
8,1154,1,0,
8,1185,1,0,
8,1212,1,0,
8,1237,1,0,
8,1270,1,0,
8,1303,1,0,
8,1337,1,0,
8,1370,1,0,
8,1403,1,0,
8,1436,1,0,
8,1469,1,0,
8,1501,1,0,
8,1526,1,0,
8,1555,1,0,
8,1585,1,0,
8,1618,1,0,
7,0,0,1,
7,33,0,1,
7,66,0,1,
7,100,0,1,
7,134,0,0,
7,166,0,1,
7,189,1,0,
7,216,1,0,
7,248,1,0,
7,283,0,0,
7,316,0,1,
7,350,0,1,
7,384,0,0,
7,417,0,1,
7,452,1,0,
7,484,1,0,
7,517,1,0,
7,550,1,0,
7,588,1,0,
7,618,1,0,
7,651,1,0,
7,683,0,1,
7,707,0,1,
7,735,0,0,
7,766,0,1,
7,800,0,1,
7,834,0,1,
7,865,0,1,
7,889,0,1,
7,917,0,1,
7,950,0,0,
7,993,0,0,
7,1018,0,1,
7,1051,0,1,
7,1085,0,1,
7,1118,0,1,
7,1151,0,0,
7,1185,0,1,
7,1218,0,1,
7,1252,0,1,
7,1285,0,1,
7,1318,0,1,
7,1352,0,1,
7,1385,0,1,
7,1419,0,1,
7,1452,0,1,
7,1485,0,1,
7,1519,0,1,
7,1552,0,1,
7,1586,0,1,
7,1620,0,1,
7,1653,0,1,
7,1686,0,1,
7,1719,0,1,
7,1752,0,1,
7,1786,0,1,
7,1819,0,1,
7,1852,0,1,
7,1885,0,1,
7,1919,0,0,
7,1953,0,1,
7,1986,0,0,
7,2019,0,1,
7,2052,0,1,
7,2085,0,1,
7,2117,0,1,
7,2152,0,1,
7,2185,0,1,
8,0,0,1,
8,34,0,0,
8,52,0,1,
8,84,1,0,
8,118,0,1,
8,151,0,1,
8,173,1,0,
8,201,1,0,
8,234,1,0,
8,256,1,0,
8,283,1,0,
8,317,1,0,
