trial,times,_left_canvas,_right_canvas,Unnamed: 4
6,0,0,1,
6,107,0,0,
6,176,0,0,
6,226,0,1,
6,272,0,0,
6,344,0,0,
6,397,0,1,
6,444,0,0,
6,490,1,0,
6,538,1,0,
6,582,1,0,
6,633,1,0,
6,684,1,0,
6,733,1,0,
6,780,1,0,
6,835,1,0,
6,884,1,0,
6,926,1,0,
6,969,1,0,
6,1017,1,0,
6,1128,1,0,
6,1192,0,0,
6,1245,1,0,
6,1301,1,0,
6,1351,1,0,
6,1406,1,0,
6,1457,0,0,
6,1511,1,0,
6,1564,1,0,
6,1607,1,0,
6,1652,0,0,
6,1707,0,1,
6,1755,1,0,
6,1810,0,0,
6,1855,0,0,
6,1916,1,0,
6,1978,0,0,
6,2086,1,0,
6,2174,1,0,
6,2231,1,0,
7,0,0,0,
7,138,0,0,
7,187,0,1,
7,234,0,1,
7,283,0,1,
7,329,0,1,
7,383,0,1,
7,427,0,0,
7,486,0,1,
7,550,0,1,
7,600,0,1,
7,656,0,1,
7,718,0,1,
7,770,0,1,
7,825,0,1,
7,891,0,1,
7,956,0,1,
7,1014,0,1,
7,1071,0,1,
8,0,0,1,
8,96,0,1,
8,145,0,1,
8,193,0,1,
8,244,0,1,
8,293,0,1,
8,342,0,1,
8,387,0,1,
8,438,0,1,
8,490,1,0,
8,557,1,0,
8,616,1,0,
8,670,1,0,
8,723,1,0,
8,809,1,0,
8,863,1,0,
8,916,1,0,
8,974,1,0,
8,1035,1,0,
8,1083,1,0,
8,1137,1,0,
8,1187,1,0,
7,0,0,1,
7,44,0,1,
7,92,0,0,
7,143,0,1,
7,195,0,0,
7,242,0,1,
7,306,0,1,
7,417,0,1,
7,476,0,1,
7,521,0,1,
7,569,0,1,
7,620,0,1,
7,684,0,0,
7,745,1,0,
7,795,1,0,
7,849,1,0,
7,905,1,0,
7,954,1,0,
7,1011,0,0,
7,1072,1,0,
7,1121,0,1,
7,1199,0,1,
7,1251,0,1,
7,1308,0,1,
7,1364,0,1,
7,1414,0,1,
7,1467,0,1,
7,1516,0,1,
7,1572,0,1,
7,1619,0,1,
7,1671,0,1,
7,1719,0,1,
7,1772,0,1,
7,1824,0,1,
7,1886,0,1,
7,1946,0,0,
7,2000,1,0,
7,2056,1,0,
7,2118,1,0,
7,2175,1,0,
7,2223,1,0,
8,0,0,1,
8,50,0,1,
8,108,1,0,
8,161,0,1,
8,207,0,0,
8,265,0,1,
8,313,0,0,
8,368,0,0,
8,421,1,0,
8,468,1,0,
8,519,1,0,
8,565,1,0,
8,615,1,0,
8,657,1,0,
8,709,1,0,
8,763,0,1,
8,816,0,1,
8,866,0,1,
8,922,0,1,
8,967,0,1,
8,1016,0,1,
8,1070,0,1,
8,1136,0,1,
8,1193,0,1,
8,1247,0,1,
8,1306,0,0,
8,1363,1,0,
8,1408,1,0,
8,1459,1,0,
8,1505,1,0,
8,1555,1,0,
8,1601,1,0,
8,1647,1,0,
8,1697,1,0,
8,1744,1,0,
8,1797,1,0,
8,1845,1,0,
8,1899,0,1,
8,1946,0,1,
8,2008,0,1,
8,2061,0,1,
8,2110,0,1,
8,2183,0,1,
8,2235,0,1,
8,2279,0,1,
8,2339,0,1,
8,2382,0,1,
8,2434,0,1,
8,2484,0,1,
8,2533,0,1,
8,2585,0,1,
8,2639,0,1,
8,2696,0,0,
8,2739,0,1,
8,2794,0,1,
8,2842,0,1,
8,2898,0,1,
8,2949,0,1,
8,3000,0,1,
10,0,0,1,
10,49,0,1,
10,105,0,1,
10,159,0,1,
10,206,0,1,
10,257,0,1,
10,304,0,1,
10,353,0,1,
10,394,0,1,
10,441,0,1,
10,488,0,1,
10,533,0,1,
10,586,0,1,
10,629,0,0,
10,679,0,0,
10,731,0,0,
10,776,0,1,
10,822,0,1,
10,866,0,1,
10,913,0,0,
10,967,0,0,
10,1010,1,0,
10,1062,1,0,
10,1111,1,0,
10,1178,1,0,
10,1236,1,0,
10,1285,1,0,
10,1344,1,0,
10,1401,1,0,
10,1463,1,0,
10,1508,1,0,
10,1554,1,0,
10,1603,1,0,
10,1654,0,1,
