trial,_left_canvas,_right_canvas,times,Unnamed: 4
6,1,0,0,
6,0,0,56,
6,0,1,130,
6,0,1,201,
6,0,1,269,
6,0,1,334,
6,0,1,393,
6,0,1,446,
6,1,0,515,
6,1,0,589,
6,0,0,652,
6,1,0,708,
6,1,0,773,
6,1,0,869,
6,1,0,991,
6,1,0,1068,
6,1,0,1155,
6,1,0,1229,
6,1,0,1283,
6,1,0,1350,
6,1,0,1418,
6,1,0,1474,
6,1,0,1543,
6,0,0,1622,
6,0,0,1683,
6,1,0,1747,
6,0,1,1811,
6,1,0,1866,
6,0,1,1941,
6,0,0,2013,
6,0,0,2062,
6,1,0,2134,
6,0,1,2200,
6,0,1,2269,
6,0,1,2338,
6,1,0,2415,
6,0,0,2495,
6,0,1,2575,
6,1,0,2659,
6,1,0,2719,
7,0,0,0,
7,0,1,80,
7,0,0,162,
7,0,1,244,
7,1,0,324,
7,1,0,418,
7,1,0,482,
7,1,0,549,
7,1,0,624,
7,0,1,689,
7,0,1,777,
7,0,1,852,
7,0,1,922,
7,0,1,991,
7,0,1,1052,
7,0,1,1122,
7,0,1,1196,
7,0,1,1286,
7,0,1,1354,
7,0,1,1416,
7,0,1,1504,
7,0,1,1566,
7,0,1,1632,
7,0,1,1701,
7,0,1,1784,
7,0,1,1863,
7,0,1,1912,
8,1,0,0,
8,0,0,135,
8,1,0,289,
8,1,0,386,
8,0,0,482,
8,1,0,628,
8,0,0,762,
8,1,0,933,
8,1,0,1032,
8,1,0,1137,
8,1,0,1296,
8,1,0,1432,
8,1,0,1530,
8,1,0,1630,
8,0,0,1741,
7,1,0,0,
7,0,1,145,
7,0,0,287,
7,0,1,433,
7,0,1,572,
7,0,0,750,
7,0,1,871,
7,0,1,947,
7,0,1,1103,
7,0,1,1249,
7,0,1,1408,
7,0,1,1508,
7,0,1,1586,
7,0,1,1674,
8,1,0,0,
8,0,1,75,
8,0,0,142,
8,0,1,241,
8,0,0,381,
8,0,0,516,
8,0,0,667,
8,1,0,733,
8,1,0,812,
8,1,0,898,
8,1,0,1005,
8,1,0,1109,
8,1,0,1211,
8,1,0,1310,
8,1,0,1380,
8,1,0,1456,
8,1,0,1543,
8,1,0,1640,
8,1,0,1746,
8,1,0,1851,
8,1,0,1965,
8,1,0,2071,
8,1,0,2172,
8,0,0,2284,
10,1,0,0,
10,0,0,162,
10,0,0,320,
10,0,1,461,
10,1,0,624,
10,0,0,734,
10,1,0,796,
10,0,0,958,
10,0,0,1098,
10,0,0,1230,
10,0,0,1357,
10,1,0,1417,
10,1,0,1469,
10,1,0,1582,
11,0,1,0,
11,0,0,75,
11,0,1,148,
11,1,0,227,
11,0,0,305,
11,1,0,430,
11,0,0,577,
11,1,0,702,
11,0,0,846,
11,0,1,1013,
11,0,1,1087,
11,0,1,1166,
11,0,1,1269,
11,0,1,1364,
11,0,1,1453,
11,0,1,1588,
11,0,1,1756,
11,0,1,1831,
11,0,1,1913,
12,1,0,0,
12,1,0,47,
12,0,0,100,
12,1,0,150,
12,0,1,197,
12,0,1,247,
12,0,0,293,
12,1,0,336,
12,1,0,388,
12,1,0,438,
12,1,0,532,
12,1,0,583,
12,0,0,631,
12,0,0,680,
12,0,0,727,
12,0,0,771,
12,0,0,822,
12,0,1,874,
12,0,1,926,
12,0,0,978,
12,0,1,1031,
12,0,1,1084,
12,0,1,1131,
12,0,1,1180,
12,0,1,1229,
12,0,1,1277,
12,0,1,1323,
12,0,1,1369,
12,0,1,1416,
12,0,1,1466,
12,0,1,1513,
12,0,1,1562,
12,0,1,1607,
12,0,1,1653,
12,0,1,1697,
12,0,1,1738,
12,0,1,1782,
12,0,1,1829,
13,0,1,0,
13,1,0,49,
13,1,0,93,
13,1,0,138,
13,0,1,181,
13,0,1,230,
13,1,0,274,
13,0,1,321,
13,1,0,371,
13,0,1,422,
13,0,1,465,
13,0,1,511,
13,0,1,556,
13,0,1,603,
13,0,1,650,
13,0,1,694,
13,0,0,741,
13,0,0,788,
13,0,1,839,
13,0,1,889,
13,0,1,940,
13,0,1,990,
13,0,1,1035,
13,0,1,1083,
13,0,1,1131,
13,0,1,1174,
13,0,0,1230,
13,0,0,1286,
13,0,0,1347,
13,0,0,1410,
13,0,0,1477,
13,1,0,1542,
13,1,0,1615,
13,0,1,1668,
13,0,0,1714,
13,1,0,1765,
13,1,0,1810,
13,0,1,1862,
13,1,0,1908,
13,1,0,1965,
13,1,0,2021,
13,1,0,2071,
13,1,0,2120,
13,1,0,2169,
13,1,0,2212,
13,1,0,2260,
13,1,0,2309,
13,1,0,2351,
13,1,0,2397,
13,1,0,2448,
13,1,0,2497,
13,1,0,2550,
13,1,0,2607,
13,1,0,2659,
13,1,0,2707,
13,1,0,2760,
13,1,0,2814,
14,1,0,0,
14,0,1,48,
14,0,0,93,
14,1,0,139,
14,1,0,181,
14,1,0,218,
14,0,0,264,
14,1,0,305,
14,1,0,348,
14,1,0,393,
14,0,1,433,
14,0,1,476,
14,0,1,516,
14,0,1,559,
14,0,1,600,
14,0,0,642,
14,0,1,681,
14,0,0,722,
14,0,0,764,
14,0,0,805,
14,0,0,849,
14,0,1,896,
14,0,1,941,
14,0,1,986,
14,0,1,1027,
14,0,1,1073,
14,0,1,1118,
14,0,1,1160,
14,0,1,1217,
14,0,1,1285,
14,0,1,1331,
14,0,1,1377,
14,0,1,1420,
14,0,1,1466,
14,0,1,1511,
14,0,1,1553,
14,0,1,1594,
14,0,1,1638,
15,0,1,0,
15,0,0,47,
15,0,1,89,
15,1,0,127,
15,0,1,171,
15,0,1,212,
15,1,0,254,
15,0,1,294,
15,0,0,336,
15,1,0,378,
15,1,0,421,
15,0,0,466,
15,1,0,511,
15,0,1,554,
15,0,0,599,
15,1,0,640,
15,0,0,682,
15,1,0,725,
15,0,0,770,
15,0,1,819,
15,0,1,863,
15,0,1,908,
15,0,1,951,
15,0,1,994,
15,0,1,1042,
15,0,1,1087,
15,0,1,1126,
15,0,1,1168,
15,0,1,1214,
15,0,1,1258,
15,0,1,1297,
15,0,1,1336,
15,0,1,1378,
15,0,1,1420,
16,0,1,0,
16,0,0,42,
16,1,0,88,
16,0,0,129,
16,0,0,180,
16,0,0,241,
16,1,0,307,
16,0,1,362,
16,0,1,404,
16,0,1,444,
16,0,1,486,
16,0,1,533,
16,0,1,573,
16,0,0,615,
16,0,0,659,
16,0,0,703,
16,0,0,748,
16,0,1,795,
16,0,1,837,
16,0,1,884,
16,0,1,930,
16,0,1,978,
16,0,1,1026,
16,0,1,1076,
16,0,1,1121,
16,0,1,1166,
16,0,0,1210,
16,1,0,1248,
16,1,0,1291,
16,1,0,1334,
16,1,0,1378,
16,1,0,1421,
16,1,0,1465,
16,1,0,1506,
16,0,1,1553,
17,1,0,0,
17,1,0,42,
17,1,0,89,
17,0,0,146,
17,1,0,210,
17,0,0,260,
17,1,0,304,
17,1,0,347,
17,1,0,389,
17,0,0,453,
17,1,0,531,
17,1,0,589,
17,1,0,638,
17,1,0,684,
17,1,0,732,
17,1,0,776,
17,1,0,818,
17,1,0,865,
17,1,0,912,
17,1,0,953,
17,1,0,999,
17,1,0,1054,
17,1,0,1097,
17,1,0,1153,
17,1,0,1200,
17,0,0,1250,
17,1,0,1293,
17,1,0,1333,
17,1,0,1376,
17,1,0,1416,
17,1,0,1456,
18,1,0,0,
18,0,1,38,
18,0,0,82,
18,1,0,123,
18,1,0,169,
18,1,0,211,
18,0,1,252,
18,0,0,291,
18,1,0,336,
18,0,1,393,
18,1,0,447,
18,1,0,511,
18,1,0,589,
18,0,0,656,
18,0,0,700,
18,0,0,739,
18,0,0,782,
18,0,1,822,
18,0,1,864,
18,0,1,904,
18,0,1,945,
18,0,1,987,
18,0,1,1034,
18,0,1,1076,
18,0,1,1118,
18,0,1,1158,
18,0,0,1201,
18,0,1,1242,
18,1,0,1282,
18,0,0,1326,
18,1,0,1369,
18,0,0,1411,
18,1,0,1452,
18,1,0,1496,
18,0,0,1539,
18,0,0,1584,
18,1,0,1624,
18,0,0,1666,
18,0,0,1708,
18,1,0,1750,
18,1,0,1789,
18,1,0,1842,
18,1,0,1886,
18,1,0,1926,
