trial,times,_right_canvas,_left_canvas,Unnamed: 4
6,0,0,1,
6,56,1,0,
6,119,0,0,
6,171,0,1,
6,231,0,0,
6,288,1,0,
6,339,0,1,
6,397,0,1,
6,450,0,1,
6,502,1,0,
6,559,0,1,
6,625,0,1,
6,682,0,1,
6,735,0,1,
6,798,0,1,
6,865,0,1,
6,925,0,1,
6,981,0,1,
6,1034,0,1,
6,1088,0,1,
6,1140,0,1,
6,1192,0,1,
6,1249,0,0,
6,1301,0,1,
6,1360,0,1,
6,1417,0,1,
6,1467,0,1,
6,1525,0,1,
6,1581,0,1,
6,1635,0,1,
6,1691,0,1,
6,1759,0,1,
6,1824,0,1,
6,1882,0,1,
7,0,1,0,
7,56,1,0,
7,108,1,0,
7,166,0,0,
7,228,0,1,
7,284,0,1,
7,342,1,0,
7,395,1,0,
7,451,1,0,
7,511,1,0,
7,566,1,0,
7,615,1,0,
7,672,1,0,
7,728,1,0,
7,786,1,0,
7,843,1,0,
7,900,0,0,
7,986,1,0,
7,1046,1,0,
7,1114,1,0,
7,1177,1,0,
7,1235,1,0,
7,1289,1,0,
7,1338,1,0,
7,1394,1,0,
7,1449,1,0,
7,1502,1,0,
7,1552,1,0,
8,0,0,1,
8,59,0,1,
8,129,0,1,
8,187,0,1,
8,249,0,1,
8,302,0,1,
8,358,0,1,
8,415,0,1,
8,464,0,1,
8,520,0,1,
8,576,0,1,
8,629,0,1,
8,688,0,1,
8,748,0,1,
8,798,0,1,
8,854,0,1,
8,912,0,1,
8,960,0,1,
8,1013,0,1,
8,1070,0,1,
8,1122,0,1,
8,1173,0,1,
8,1229,0,1,
8,1287,0,1,
8,1342,0,1,
8,1394,0,1,
8,1451,0,1,
8,1504,0,1,
8,1577,0,1,
7,0,0,1,
7,62,0,0,
7,122,1,0,
7,178,0,1,
7,233,1,0,
7,289,0,1,
7,344,0,0,
7,401,1,0,
7,455,1,0,
7,511,1,0,
7,567,1,0,
7,624,1,0,
7,674,1,0,
7,724,0,0,
7,779,1,0,
8,0,0,1,
8,63,0,1,
8,128,0,0,
8,185,0,1,
8,243,0,1,
8,296,0,1,
8,358,0,1,
8,417,0,1,
8,478,0,1,
8,536,0,1,
8,590,0,1,
8,645,0,1,
8,695,0,1,
8,750,0,1,
8,807,0,1,
8,862,0,1,
8,918,0,1,
8,974,0,1,
8,1025,0,1,
10,0,0,1,
10,60,0,0,
10,114,0,0,
10,170,1,0,
10,223,1,0,
10,290,1,0,
10,349,1,0,
10,406,1,0,
10,473,1,0,
10,539,1,0,
10,592,1,0,
10,649,1,0,
10,706,1,0,
10,755,0,0,
10,809,1,0,
10,868,1,0,
10,919,1,0,
10,974,1,0,
10,1027,1,0,
10,1081,0,0,
10,1138,1,0,
10,1192,1,0,
10,1247,1,0,
10,1302,1,0,
10,1357,0,0,
10,1411,1,0,
10,1464,1,0,
11,0,0,1,
11,61,0,1,
11,118,0,0,
11,169,0,0,
11,229,0,0,
11,287,0,1,
11,343,0,1,
11,394,0,1,
11,454,0,1,
11,511,0,1,
11,564,0,1,
11,621,0,1,
11,679,0,0,
11,734,1,0,
11,791,0,1,
11,847,0,0,
11,897,0,0,
11,955,0,1,
11,1005,0,1,
11,1063,0,0,
11,1123,0,1,
11,1179,0,1,
11,1232,0,1,
11,1284,0,1,
11,1343,0,1,
11,1401,0,1,
11,1464,0,1,
11,1516,0,1,
12,0,0,0,
12,60,1,0,
12,126,1,0,
12,188,0,0,
12,258,0,0,
12,333,1,0,
12,436,0,1,
12,588,0,0,
12,688,0,1,
12,788,0,0,
12,862,1,0,
12,932,0,0,
12,986,1,0,
12,1051,1,0,
13,0,1,0,
13,179,0,0,
13,247,0,0,
13,331,0,1,
13,405,0,1,
13,469,0,1,
13,575,0,1,
14,0,0,1,
14,59,0,1,
14,120,1,0,
14,170,0,1,
14,230,0,1,
14,283,0,1,
14,332,0,1,
14,386,0,1,
14,436,0,1,
14,493,0,1,
14,552,0,1,
14,605,0,1,
14,669,0,1,
14,724,0,1,
14,786,0,1,
14,841,0,0,
14,902,1,0,
14,961,1,0,
14,1024,1,0,
14,1088,1,0,
14,1151,1,0,
14,1204,0,0,
14,1259,1,0,
14,1316,1,0,
14,1374,1,0,
15,0,1,0,
15,60,0,0,
15,118,1,0,
15,169,0,1,
15,226,1,0,
15,283,0,1,
15,347,1,0,
15,402,1,0,
15,460,1,0,
15,515,1,0,
15,575,1,0,
15,633,1,0,
15,689,0,0,
15,745,0,1,
15,798,0,1,
16,0,1,0,
16,66,1,0,
16,132,0,0,
16,186,0,1,
16,236,0,1,
16,293,0,1,
16,348,0,0,
16,408,1,0,
16,459,0,1,
16,522,0,0,
16,589,0,1,
16,655,0,1,
16,738,0,1,
16,790,0,1,
16,843,0,1,
16,899,0,1,
16,955,0,0,
17,0,0,1,
17,60,0,0,
17,116,0,1,
17,174,0,1,
17,246,0,1,
17,316,0,1,
17,374,0,1,
17,425,0,1,
17,484,0,1,
17,541,0,1,
17,601,0,1,
17,656,0,1,
17,711,1,0,
17,771,1,0,
17,829,1,0,
17,884,1,0,
17,941,1,0,
17,997,1,0,
17,1052,1,0,
17,1121,1,0,
17,1172,1,0,
17,1228,1,0,
17,1283,1,0,
17,1359,1,0,
17,1414,1,0,
17,1471,1,0,
17,1520,1,0,
17,1583,0,1,
17,1640,1,0,
17,1696,1,0,
18,0,1,0,
18,71,1,0,
18,126,1,0,
18,185,0,1,
18,240,0,0,
18,293,1,0,
18,352,1,0,
18,409,0,1,
18,467,0,1,
18,521,0,1,
18,579,1,0,
18,636,1,0,
18,731,1,0,
18,787,1,0,
18,846,1,0,
18,905,0,0,
18,955,1,0,
18,1012,1,0,
18,1070,0,0,
19,0,0,1,
19,49,0,1,
19,116,0,1,
19,167,0,1,
19,226,1,0,
19,280,0,0,
19,334,1,0,
19,388,0,1,
19,442,0,0,
19,498,0,1,
19,553,0,1,
19,610,0,1,
19,667,0,1,
19,726,0,1,
20,0,1,0,
20,66,1,0,
20,124,0,1,
20,183,0,1,
20,237,0,1,
20,290,0,1,
20,347,0,1,
20,397,0,1,
20,455,0,1,
20,514,1,0,
20,570,1,0,
20,627,1,0,
20,681,1,0,
20,739,1,0,
20,791,1,0,
20,849,1,0,
21,0,1,0,
21,57,0,1,
21,113,0,0,
21,171,0,0,
21,224,0,0,
21,288,0,1,
21,349,0,1,
21,412,0,1,
21,466,0,1,
21,523,0,1,
21,582,0,1,
21,637,0,1,
21,692,0,1,
21,753,0,1,
21,815,0,1,
