trial,times,_left_canvas,_right_canvas,Unnamed: 4
6,0,0,1,
6,23,0,0,
6,52,0,0,
6,76,1,0,
6,101,1,0,
6,125,0,0,
6,151,0,0,
6,174,0,0,
6,202,0,0,
6,235,0,1,
6,269,0,1,
6,293,0,0,
6,318,0,1,
6,341,0,0,
6,368,0,1,
6,392,1,0,
6,418,1,0,
6,452,1,0,
6,477,1,0,
6,503,1,0,
6,527,1,0,
6,553,1,0,
6,587,0,0,
6,612,1,0,
6,637,1,0,
6,660,1,0,
6,688,1,0,
6,713,1,0,
6,738,1,0,
6,764,1,0,
6,807,1,0,
6,839,1,0,
6,872,1,0,
6,898,0,0,
6,922,1,0,
6,948,1,0,
6,974,1,0,
6,1006,1,0,
6,1034,1,0,
7,0,0,1,
7,27,0,1,
7,55,0,1,
7,79,0,1,
7,107,0,0,
7,131,0,1,
7,156,0,1,
7,178,0,1,
7,204,0,1,
7,227,0,0,
7,254,0,0,
7,279,1,0,
7,303,1,0,
7,327,0,1,
7,355,0,1,
7,379,0,1,
7,404,0,1,
7,427,0,1,
7,454,0,1,
7,478,0,1,
7,506,0,1,
7,529,0,1,
7,553,0,1,
7,577,0,1,
7,604,0,1,
7,628,0,1,
7,655,0,1,
7,678,0,1,
7,705,0,1,
7,729,0,1,
7,755,0,1,
7,779,0,1,
7,805,0,1,
7,839,0,1,
7,863,0,1,
7,889,0,1,
7,914,0,1,
7,939,0,1,
7,964,0,1,
7,989,0,1,
7,1013,0,1,
7,1041,0,1,
7,1074,0,1,
7,1108,0,1,
7,1141,0,1,
7,1176,0,1,
7,1201,0,1,
7,1238,0,1,
7,1264,0,1,
7,1292,0,1,
7,1317,0,1,
7,1343,0,1,
7,1367,0,0,
7,1393,0,0,
7,1417,0,0,
7,1443,0,0,
7,1468,0,0,
7,1493,0,0,
7,1516,0,0,
7,1541,0,0,
7,1564,0,0,
7,1592,0,1,
7,1616,0,1,
7,1642,0,1,
7,1666,0,1,
7,1694,0,1,
7,1719,0,1,
7,1743,0,1,
7,1777,0,1,
7,1801,0,1,
8,0,0,1,
8,34,0,1,
8,59,0,1,
8,84,0,1,
8,109,0,1,
8,134,0,1,
8,158,0,1,
8,184,0,1,
8,208,0,1,
8,234,0,1,
8,258,0,1,
8,285,0,0,
8,310,1,0,
8,336,1,0,
8,361,0,0,
8,390,1,0,
8,419,0,0,
8,444,1,0,
8,468,1,0,
8,492,1,0,
8,520,1,0,
8,544,0,0,
8,568,0,0,
8,592,1,0,
8,618,0,0,
8,643,1,0,
8,669,1,0,
8,692,1,0,
8,718,1,0,
8,743,1,0,
8,769,1,0,
8,793,1,0,
8,818,1,0,
8,852,1,0,
8,875,1,0,
8,902,1,0,
8,925,1,0,
8,951,1,0,
8,985,1,0,
8,1010,1,0,
8,1035,1,0,
7,0,0,1,
7,26,0,1,
7,58,0,1,
7,83,0,1,
7,107,0,1,
7,132,0,0,
7,157,0,1,
7,182,0,1,
7,211,0,1,
7,242,0,1,
7,266,0,1,
7,295,0,1,
7,326,0,1,
7,350,0,1,
7,375,0,1,
7,405,0,1,
7,432,0,1,
7,459,0,1,
7,484,0,1,
7,511,0,1,
7,542,0,1,
7,568,0,1,
7,595,0,1,
7,619,0,1,
7,645,0,1,
7,668,0,1,
7,694,0,1,
7,719,0,1,
7,746,0,1,
7,776,0,1,
7,801,0,1,
7,827,0,1,
7,852,0,1,
7,877,0,1,
7,910,0,1,
7,946,0,1,
7,976,0,1,
7,1009,0,1,
8,0,1,0,
8,31,1,0,
8,67,1,0,
8,96,1,0,
8,120,0,1,
8,145,1,0,
8,170,1,0,
8,196,0,0,
8,221,0,0,
8,247,1,0,
8,271,0,0,
8,295,0,0,
8,320,0,0,
8,346,0,0,
8,370,1,0,
8,396,1,0,
8,420,0,0,
8,446,1,0,
8,471,0,0,
8,499,0,0,
8,530,0,0,
8,555,0,0,
8,580,0,0,
8,604,0,0,
8,629,1,0,
8,653,1,0,
8,679,0,0,
10,0,0,0,
10,24,1,0,
10,49,0,1,
10,73,1,0,
10,98,1,0,
10,121,1,0,
10,149,1,0,
10,172,1,0,
10,200,1,0,
10,224,1,0,
10,249,0,0,
10,272,0,0,
10,299,0,0,
10,323,0,0,
10,349,0,0,
10,373,0,0,
10,399,0,0,
10,422,1,0,
10,450,1,0,
10,474,0,0,
10,499,1,0,
10,527,0,0,
10,555,0,0,
10,584,1,0,
10,617,0,0,
10,640,1,0,
10,666,0,0,
10,699,1,0,
10,722,0,0,
10,749,0,0,
11,0,0,1,
11,33,0,0,
11,56,0,0,
11,84,0,1,
11,106,0,0,
11,133,0,1,
11,157,0,1,
11,182,0,1,
11,206,0,1,
11,232,0,1,
11,256,0,1,
11,283,0,1,
11,317,0,1,
11,350,0,1,
11,375,0,1,
11,399,0,1,
11,423,0,1,
11,449,0,1,
12,0,0,0,
12,27,0,0,
12,50,0,0,
12,73,1,0,
12,101,1,0,
12,125,1,0,
12,151,1,0,
12,174,0,1,
12,201,0,1,
12,224,0,1,
12,250,0,1,
12,274,1,0,
12,301,1,0,
12,324,1,0,
12,352,1,0,
12,377,1,0,
12,402,1,0,
12,426,1,0,
12,450,1,0,
12,475,1,0,
12,501,1,0,
12,525,1,0,
12,551,1,0,
12,576,1,0,
12,601,1,0,
12,624,1,0,
12,651,1,0,
12,674,1,0,
12,702,1,0,
12,724,1,0,
12,753,1,0,
12,775,1,0,
12,801,1,0,
12,823,1,0,
12,851,1,0,
12,874,1,0,
12,902,1,0,
12,936,1,0,
12,959,0,0,
12,985,0,0,
12,1019,0,0,
12,1043,0,0,
12,1069,1,0,
12,1094,1,0,
12,1119,1,0,
12,1154,1,0,
