trial,_left_canvas,_right_canvas,times,Unnamed: 4
6,1,0,0,
6,1,0,35,
6,0,0,67,
6,1,0,101,
6,1,0,136,
6,0,1,170,
6,1,0,202,
6,0,0,237,
6,0,0,271,
6,0,0,302,
6,0,0,335,
6,1,0,368,
6,1,0,401,
6,1,0,435,
6,0,1,469,
6,0,0,502,
6,0,0,537,
6,0,0,570,
6,0,1,602,
6,0,1,635,
6,0,1,670,
6,0,0,702,
6,0,0,736,
6,0,1,770,
6,1,0,803,
6,1,0,836,
6,0,1,871,
6,1,0,903,
6,0,1,939,
6,0,1,971,
6,0,1,1004,
6,0,1,1039,
6,0,1,1071,
6,0,0,1113,
6,0,1,1146,
6,0,1,1177,
6,0,1,1207,
6,0,1,1241,
6,0,1,1274,
6,0,1,1307,
6,0,0,1342,
6,0,1,1374,
6,0,1,1407,
6,0,1,1440,
6,0,1,1475,
6,0,1,1507,
6,0,1,1541,
6,0,1,1574,
6,1,0,1607,
6,0,1,1632,
6,0,0,1674,
6,0,0,1710,
6,0,1,1742,
6,0,1,1774,
6,0,1,1808,
6,0,1,1841,
6,0,0,1875,
6,0,1,1908,
6,0,1,1941,
6,0,1,1975,
6,0,1,2008,
6,0,1,2041,
6,0,0,2075,
6,1,0,2111,
6,0,1,2144,
6,0,1,2176,
6,0,0,2209,
6,0,1,2242,
6,1,0,2275,
6,0,0,2309,
6,0,0,2342,
6,0,1,2376,
6,0,1,2409,
6,0,1,2442,
7,1,0,0,
7,1,0,36,
7,1,0,69,
7,1,0,101,
7,1,0,134,
7,1,0,168,
7,1,0,200,
7,1,0,234,
7,0,0,267,
7,1,0,300,
7,0,0,333,
7,1,0,366,
7,1,0,400,
7,0,1,435,
7,1,0,469,
7,0,1,501,
7,1,0,534,
7,1,0,567,
7,1,0,601,
7,1,0,634,
7,1,0,667,
7,1,0,701,
7,1,0,727,
7,1,0,757,
7,0,0,786,
7,0,1,818,
7,0,1,851,
7,0,1,885,
7,0,1,920,
7,0,1,955,
7,0,1,990,
7,0,1,1019,
7,0,1,1053,
7,0,1,1087,
7,0,0,1120,
7,0,1,1154,
7,0,1,1186,
7,0,1,1219,
7,0,1,1253,
7,0,1,1285,
7,0,1,1319,
7,0,1,1358,
7,0,1,1389,
7,0,1,1420,
7,0,1,1457,
7,0,1,1488,
7,0,1,1527,
7,0,1,1559,
7,0,1,1589,
7,0,1,1621,
7,0,1,1654,
7,0,1,1687,
7,0,1,1721,
7,0,1,1759,
7,0,1,1803,
7,0,1,1838,
7,0,1,1871,
7,0,1,1904,
7,0,1,1937,
7,0,1,1970,
7,0,1,2004,
7,0,1,2038,
7,0,1,2070,
7,0,1,2103,
7,0,1,2136,
7,0,1,2169,
7,0,1,2202,
7,0,1,2236,
7,0,0,2270,
7,0,0,2303,
7,1,0,2336,
7,0,0,2369,
7,0,0,2402,
7,0,0,2437,
7,1,0,2469,
7,0,0,2503,
7,0,0,2536,
7,1,0,2570,
7,0,1,2603,
7,0,0,2636,
7,0,0,2669,
7,0,1,2702,
7,0,0,2736,
7,0,1,2769,
7,0,1,2804,
8,0,1,0,
8,0,0,36,
8,0,1,68,
8,0,1,101,
8,0,0,131,
8,1,0,173,
8,1,0,210,
8,0,0,244,
8,0,1,278,
8,0,1,311,
8,0,0,344,
8,0,0,379,
8,0,1,411,
8,1,0,444,
8,0,1,477,
8,0,0,512,
8,0,1,547,
8,0,0,578,
8,0,1,612,
8,0,1,643,
8,0,0,676,
8,0,0,710,
8,0,0,745,
8,0,0,778,
8,0,0,810,
8,0,1,835,
8,0,1,864,
8,0,1,896,
8,0,1,926,
8,0,0,951,
8,0,0,981,
8,0,1,1011,
8,0,1,1043,
8,0,0,1077,
8,1,0,1110,
8,0,1,1145,
8,0,1,1179,
8,0,1,1227,
8,0,0,1261,
8,0,1,1294,
8,0,1,1328,
8,0,1,1361,
8,0,0,1394,
8,0,0,1427,
10,0,1,0,
10,0,1,33,
10,0,0,65,
10,0,0,102,
10,0,1,134,
10,0,1,165,
10,0,1,199,
10,0,0,232,
10,0,1,265,
10,0,0,299,
10,0,0,334,
10,0,0,368,
10,0,0,402,
10,1,0,432,
10,1,0,466,
10,1,0,499,
10,0,0,534,
10,0,0,566,
10,1,0,600,
10,0,0,635,
10,0,0,667,
10,1,0,700,
10,0,0,736,
10,1,0,770,
10,0,1,800,
10,1,0,837,
10,0,0,866,
10,0,0,900,
10,1,0,934,
10,1,0,967,
10,0,0,1000,
10,0,0,1034,
10,0,0,1067,
10,1,0,1100,
10,1,0,1137,
10,1,0,1176,
10,1,0,1206,
10,1,0,1239,
10,0,0,1267,
10,1,0,1300,
10,0,0,1334,
10,1,0,1361,
10,0,0,1394,
10,1,0,1424,
10,1,0,1454,
10,1,0,1484,
10,0,0,1517,
10,1,0,1550,
10,1,0,1583,
11,0,0,0,
11,0,1,36,
11,1,0,72,
11,0,1,103,
11,1,0,136,
11,0,1,170,
11,0,1,201,
11,0,1,235,
11,1,0,268,
11,0,0,301,
11,1,0,337,
11,1,0,371,
11,1,0,406,
11,1,0,436,
11,1,0,469,
11,1,0,502,
11,0,0,536,
11,0,0,567,
11,0,0,594,
11,1,0,626,
11,1,0,656,
11,0,0,688,
11,1,0,719,
11,1,0,753,
11,0,1,784,
11,0,1,817,
11,0,1,842,
11,0,1,872,
11,0,0,903,
11,0,1,934,
11,0,1,968,
11,0,1,1000,
11,0,1,1034,
11,0,1,1068,
11,0,1,1100,
11,0,1,1133,
11,0,1,1166,
11,0,1,1200,
11,0,1,1233,
11,0,1,1268,
11,0,1,1299,
11,0,1,1334,
11,0,1,1367,
11,0,1,1399,
11,0,1,1433,
11,0,1,1466,
11,0,1,1499,
12,0,0,0,
12,0,0,33,
12,1,0,64,
12,0,0,97,
12,0,0,132,
12,1,0,167,
12,1,0,198,
12,1,0,231,
12,0,0,264,
12,0,1,297,
12,0,1,331,
12,0,1,365,
12,0,1,399,
12,0,1,433,
12,0,1,465,
12,0,1,500,
12,0,1,535,
12,0,1,565,
12,0,1,601,
12,0,0,632,
12,0,1,665,
12,0,1,698,
12,0,1,731,
12,0,1,764,
12,0,1,800,
12,0,1,833,
12,0,1,865,
12,0,1,899,
13,1,0,0,
13,1,0,34,
13,1,0,66,
13,1,0,98,
13,0,1,133,
13,1,0,164,
13,1,0,198,
13,0,0,241,
13,1,0,282,
13,1,0,315,
13,1,0,349,
13,1,0,383,
13,1,0,416,
13,1,0,450,
13,1,0,487,
13,1,0,525,
13,1,0,556,
13,1,0,585,
13,0,1,616,
13,1,0,650,
13,0,0,683,
13,0,0,717,
13,0,1,750,
13,0,0,783,
14,0,1,0,
14,0,1,34,
14,0,1,70,
14,0,1,105,
14,0,1,135,
14,0,1,169,
14,0,1,200,
14,0,1,237,
14,0,1,267,
14,0,1,301,
14,0,1,335,
14,0,1,368,
14,0,1,401,
14,0,1,435,
14,0,1,470,
14,0,1,503,
14,0,1,538,
15,0,1,0,
15,1,0,34,
15,0,1,66,
15,0,1,100,
15,0,1,133,
15,0,1,166,
15,0,1,201,
15,0,0,233,
15,0,1,266,
15,0,1,299,
15,0,1,332,
15,0,1,366,
15,0,1,400,
15,0,1,436,
15,0,1,476,
15,0,1,519,
15,0,1,556,
15,0,1,601,
15,0,1,638,
16,0,1,0,
16,0,1,37,
16,0,1,72,
16,0,1,103,
16,0,1,134,
16,0,1,167,
16,0,1,200,
16,0,1,234,
16,0,1,267,
16,0,1,301,
16,0,1,334,
16,0,1,367,
16,0,1,403,
16,0,1,436,
16,0,1,468,
16,0,1,501,
16,0,1,535,
16,0,1,568,
17,1,0,0,
17,0,0,32,
17,1,0,65,
17,0,0,99,
17,0,0,132,
17,0,1,168,
17,0,1,199,
17,0,1,233,
17,0,0,266,
17,0,1,302,
17,0,0,332,
17,0,1,368,
17,0,1,400,
17,0,1,433,
17,0,1,467,
17,0,1,501,
17,0,1,534,
17,0,1,569,
17,0,1,602,
17,0,1,640,
17,0,1,671,
17,0,1,701,
17,0,1,739,
17,0,0,789,
17,0,1,821,
17,0,0,852,
17,0,1,884,
17,0,1,919,
17,0,1,951,
17,0,1,984,
17,0,1,1017,
17,0,1,1051,
17,0,1,1083,
17,0,0,1117,
17,0,1,1149,
18,0,1,0,
18,0,1,30,
18,0,0,62,
18,0,1,96,
18,0,1,129,
18,0,0,162,
18,0,1,196,
18,0,0,230,
18,0,1,256,
18,1,0,289,
18,0,0,319,
18,1,0,352,
18,0,0,382,
18,1,0,412,
18,1,0,444,
18,1,0,480,
18,1,0,513,
18,1,0,545,
18,1,0,579,
18,1,0,615,
18,1,0,648,
18,1,0,681,
18,1,0,713,
18,1,0,746,
18,1,0,770,
18,1,0,799,
18,1,0,833,
18,1,0,868,
19,0,1,0,
19,0,1,32,
19,0,1,65,
19,0,1,99,
19,0,1,133,
19,0,1,166,
19,0,1,202,
19,0,1,235,
19,0,1,268,
19,0,1,302,
19,0,0,333,
19,0,1,366,
19,0,1,401,
19,0,1,433,
19,0,1,468,
19,0,1,499,
19,0,1,533,
19,0,1,566,
19,0,1,602,
19,0,1,635,
19,0,1,668,
19,0,1,700,
19,0,1,735,
19,0,1,767,
19,0,0,801,
19,0,0,833,
19,0,1,868,
19,0,1,902,
19,0,1,934,
19,0,1,968,
19,0,1,1004,
19,0,1,1037,
20,1,0,0,
20,1,0,27,
20,1,0,67,
20,1,0,101,
20,0,0,134,
20,1,0,170,
20,1,0,204,
20,1,0,237,
20,1,0,269,
20,1,0,304,
20,1,0,335,
20,1,0,371,
20,1,0,406,
20,1,0,436,
20,1,0,469,
20,1,0,502,
20,1,0,536,
20,1,0,571,
20,1,0,603,
20,1,0,635,
20,1,0,668,
20,1,0,703,
20,1,0,737,
20,1,0,768,
20,1,0,803,
20,1,0,835,
20,1,0,868,
20,1,0,901,
20,1,0,936,
20,1,0,970,
20,1,0,1003,
20,1,0,1035,
20,1,0,1068,
20,1,0,1106,
20,1,0,1137,
20,1,0,1169,
20,1,0,1203,
20,1,0,1236,
20,1,0,1270,
20,1,0,1304,
20,1,0,1338,
20,1,0,1372,
20,1,0,1404,
20,1,0,1437,
20,1,0,1470,
21,0,1,0,
21,0,1,34,
21,0,1,66,
21,0,1,99,
21,0,1,134,
21,0,1,168,
21,0,1,199,
21,0,1,232,
21,0,1,265,
21,0,1,298,
21,0,1,332,
21,0,1,367,
21,0,1,401,
21,0,1,435,
21,0,1,466,
21,0,1,499,
21,0,0,533,
21,0,1,567,
21,0,1,599,
21,0,1,632,
21,0,0,665,
21,0,0,698,
21,0,1,732,
21,0,1,768,
21,0,1,801,
21,0,0,833,
21,0,1,858,
22,0,1,0,
22,0,1,29,
22,0,1,62,
22,0,0,94,
22,0,0,126,
22,0,1,160,
22,0,1,193,
22,0,1,226,
22,0,1,252,
22,0,1,284,
22,0,1,314,
22,0,1,345,
22,0,1,379,
22,0,1,408,
22,0,1,442,
22,0,1,476,
22,0,1,512,
22,0,1,547,
22,0,1,576,
22,0,1,609,
22,0,1,643,
22,0,1,677,
22,0,1,709,
22,0,1,743,
22,0,1,768,
22,0,1,809,
22,0,1,842,
22,0,1,876,
22,0,1,910,
22,0,1,944,
23,0,1,0,
23,0,1,34,
23,0,1,67,
23,0,1,100,
23,0,1,137,
23,0,1,168,
23,0,1,202,
23,0,1,234,
23,0,1,267,
23,0,1,302,
23,0,1,342,
23,0,1,372,
23,0,1,401,
23,0,1,434,
23,0,1,467,
23,0,1,500,
23,0,1,533,
23,0,1,568,
23,0,1,600,
23,0,1,633,
23,0,1,668,
23,0,1,703,
23,0,1,738,
23,0,1,773,
24,0,1,0,
24,0,1,36,
24,0,1,68,
24,0,1,101,
24,0,1,133,
24,0,1,167,
24,0,1,201,
24,0,1,235,
24,0,1,268,
24,0,1,299,
24,0,1,335,
24,0,0,374,
24,0,1,406,
24,0,1,438,
24,0,1,470,
24,0,1,501,
24,0,1,533,
24,0,1,567,
24,0,1,604,
24,0,1,636,
