trial,_right_canvas,times,_left_canvas,Unnamed: 4
6,1,0,0,
6,0,28,0,
6,1,58,0,
6,1,89,0,
6,1,120,0,
6,1,152,0,
6,1,184,0,
6,1,217,0,
6,1,251,0,
6,1,284,0,
6,0,317,0,
6,1,350,0,
6,0,384,0,
6,1,417,0,
6,1,450,0,
6,0,485,1,
6,0,519,0,
6,1,551,0,
6,1,584,0,
6,0,617,1,
6,1,650,0,
6,0,684,1,
6,0,717,1,
6,0,751,0,
6,0,784,1,
6,0,818,1,
6,0,858,0,
6,0,890,1,
6,0,921,1,
6,0,957,1,
6,1,989,0,
6,0,1019,1,
6,1,1052,0,
6,0,1085,1,
6,0,1110,1,
6,0,1141,1,
6,0,1186,1,
6,0,1219,1,
7,0,0,1,
7,0,30,1,
7,0,63,1,
7,0,97,0,
7,0,132,1,
7,1,164,0,
7,0,197,1,
7,0,231,1,
7,0,267,1,
7,0,301,1,
7,0,335,1,
7,0,365,0,
7,1,399,0,
7,1,434,0,
7,1,468,0,
7,1,499,0,
7,0,533,0,
7,0,566,0,
7,1,599,0,
7,0,633,0,
7,0,669,0,
7,1,704,0,
7,1,736,0,
7,0,768,0,
7,1,800,0,
7,1,826,0,
7,1,867,0,
7,1,901,0,
7,1,934,0,
7,1,968,0,
7,1,1002,0,
7,0,1039,0,
7,0,1073,0,
7,1,1104,0,
7,1,1134,0,
7,1,1171,0,
8,0,0,0,
8,0,33,0,
8,0,66,1,
8,1,99,0,
8,0,132,1,
8,0,166,1,
8,1,200,0,
8,0,233,0,
8,1,268,0,
8,0,301,1,
8,0,334,0,
8,0,369,1,
8,0,403,1,
8,0,435,0,
8,1,468,0,
8,0,502,0,
8,1,535,0,
8,0,569,0,
8,0,602,1,
8,0,636,0,
8,0,661,0,
8,0,687,0,
8,1,724,0,
8,0,754,0,
8,0,788,0,
8,1,820,0,
8,0,853,1,
8,0,888,1,
8,1,923,0,
8,1,956,0,
8,1,989,0,
8,0,1023,1,
8,1,1059,0,
8,0,1091,0,
8,1,1125,0,
8,0,1155,1,
8,1,1190,0,
8,0,1223,1,
8,1,1254,0,
8,0,1287,1,
8,0,1312,1,
8,1,1356,0,
8,1,1389,0,
8,1,1423,0,
8,1,1458,0,
8,1,1490,0,
8,1,1523,0,
8,0,1557,0,
8,0,1589,0,
8,0,1622,1,
8,1,1655,0,
8,1,1689,0,
8,0,1715,1,
8,1,1758,0,
8,0,1790,1,
8,1,1824,0,
7,0,0,0,
7,1,34,0,
7,0,69,0,
7,1,102,0,
7,1,134,0,
7,1,167,0,
7,1,200,0,
7,1,234,0,
7,0,267,0,
7,1,301,0,
7,1,334,0,
7,1,360,0,
7,1,390,0,
7,0,422,0,
7,1,456,0,
7,1,486,0,
7,1,517,0,
7,1,551,0,
7,1,584,0,
7,1,618,0,
7,1,651,0,
7,1,686,0,
7,1,720,0,
7,1,752,0,
7,1,785,0,
7,1,818,0,
7,1,851,0,
7,1,885,0,
7,0,918,0,
7,1,951,0,
8,0,0,1,
8,1,33,0,
8,0,66,0,
8,0,99,0,
8,0,134,1,
8,0,166,1,
8,1,199,0,
8,1,233,0,
8,0,266,1,
8,1,299,0,
8,1,333,0,
8,1,366,0,
8,1,400,0,
8,0,433,0,
8,1,467,0,
8,1,501,0,
8,1,534,0,
8,1,567,0,
8,1,600,0,
8,0,634,0,
8,1,668,0,
8,0,700,0,
8,0,734,0,
8,0,767,0,
8,1,800,0,
8,1,834,0,
8,1,867,0,
8,1,901,0,
8,1,934,0,
8,1,967,0,
8,1,1001,0,
8,1,1034,0,
8,0,1068,0,
8,1,1101,0,
8,1,1135,0,
8,1,1168,0,
8,1,1202,0,
8,1,1235,0,
8,1,1268,0,
10,1,0,0,
10,0,35,0,
10,1,65,0,
10,0,98,1,
10,0,131,0,
10,1,164,0,
10,0,197,0,
10,0,231,1,
10,0,264,1,
10,0,297,1,
10,1,331,0,
10,0,364,1,
10,0,398,0,
10,0,436,0,
10,0,466,1,
10,0,498,1,
10,0,530,0,
10,0,563,1,
10,0,596,1,
10,0,629,0,
10,0,662,0,
10,1,695,0,
10,1,728,0,
10,0,761,0,
10,0,794,0,
10,0,828,0,
10,0,861,0,
10,0,895,1,
10,0,928,0,
10,0,962,0,
10,1,995,0,
10,1,1028,0,
10,0,1061,0,
10,0,1095,0,
10,0,1128,1,
10,0,1161,0,
10,0,1197,0,
10,0,1231,0,
10,1,1261,0,
10,0,1295,0,
10,1,1328,0,
10,0,1361,0,
10,0,1395,0,
11,1,0,0,
11,1,37,0,
11,1,64,0,
11,0,100,0,
11,0,131,0,
11,0,165,0,
11,0,198,0,
11,1,231,0,
11,1,264,0,
11,1,298,0,
11,0,330,0,
11,1,365,0,
11,1,398,0,
11,1,433,0,
11,1,463,0,
11,1,497,0,
11,0,529,0,
11,0,562,0,
11,0,596,0,
11,0,629,0,
11,1,662,0,
11,1,696,0,
11,1,729,0,
11,1,764,0,
11,1,799,0,
11,1,834,0,
11,1,864,0,
11,1,896,0,
11,1,930,0,
11,1,963,0,
11,1,997,0,
11,0,1030,0,
11,1,1063,0,
11,0,1096,0,
11,1,1130,0,
11,1,1166,0,
11,1,1201,0,
11,1,1232,0,
11,1,1264,0,
12,0,0,0,
12,0,30,0,
12,0,74,1,
12,1,105,0,
12,0,135,0,
12,0,169,1,
12,0,201,1,
12,0,234,0,
12,0,271,1,
12,1,300,0,
12,1,335,0,
12,0,368,0,
12,0,401,0,
12,1,433,0,
12,1,467,0,
12,0,502,0,
12,0,535,0,
12,0,568,0,
12,1,600,0,
12,0,633,0,
12,0,666,0,
12,1,701,0,
12,1,733,0,
12,1,766,0,
12,1,799,0,
12,1,832,0,
12,1,866,0,
12,1,901,0,
12,1,935,0,
13,0,0,1,
13,0,33,0,
13,0,66,0,
13,0,100,1,
13,0,133,1,
13,0,167,1,
13,0,200,0,
13,0,233,0,
13,0,268,1,
13,0,302,0,
13,0,334,1,
13,0,367,0,
13,0,401,1,
13,0,427,1,
13,0,461,0,
13,0,491,1,
13,0,521,1,
13,0,552,1,
13,0,585,0,
13,1,618,0,
13,1,651,0,
13,1,685,0,
13,1,718,0,
13,1,752,0,
13,1,785,0,
13,1,818,0,
13,1,853,0,
13,1,885,0,
13,1,919,0,
13,1,952,0,
13,1,985,0,
13,1,1018,0,
13,1,1043,0,
13,0,1073,0,
13,1,1105,0,
13,1,1135,0,
13,1,1169,0,
13,1,1202,0,
13,0,1236,0,
13,0,1269,0,
13,0,1305,0,
13,1,1336,0,
13,0,1364,0,
13,1,1402,0,
13,1,1437,0,
13,0,1471,0,
13,0,1504,0,
13,0,1539,0,
13,0,1571,0,
13,0,1603,0,
13,1,1636,0,
13,1,1669,0,
13,0,1703,0,
13,1,1736,0,
13,1,1769,0,
14,0,0,1,
14,0,31,0,
14,0,63,1,
14,0,96,0,
14,0,129,1,
14,0,163,1,
14,0,197,1,
14,0,231,1,
14,0,263,0,
14,1,299,0,
14,1,333,0,
14,1,368,0,
14,0,399,0,
14,0,431,0,
14,0,463,0,
