trial,times,_left_canvas,_right_canvas,Unnamed: 4
6,0,0,0,
6,38,0,0,
6,68,0,1,
6,98,0,0,
6,129,0,1,
6,163,0,1,
6,196,0,1,
6,229,0,1,
6,263,0,1,
6,296,0,0,
6,320,0,0,
6,349,1,0,
6,380,1,0,
6,413,1,0,
6,446,1,0,
6,479,0,0,
6,512,1,0,
6,537,1,0,
6,565,1,0,
6,595,1,0,
6,629,1,0,
6,654,1,0,
6,681,1,0,
6,716,0,0,
6,748,1,0,
6,780,1,0,
6,813,1,0,
6,846,1,0,
6,879,0,0,
6,912,1,0,
6,946,1,0,
6,979,1,0,
6,1012,1,0,
6,1038,0,0,
6,1068,1,0,
6,1103,0,0,
6,1136,1,0,
6,1165,1,0,
6,1200,1,0,
6,1233,1,0,
6,1262,1,0,
6,1296,1,0,
6,1328,1,0,
6,1362,0,0,
6,1395,1,0,
6,1420,0,0,
6,1462,1,0,
6,1496,1,0,
6,1529,1,0,
6,1562,1,0,
6,1596,1,0,
6,1630,1,0,
6,1667,1,0,
6,1697,0,0,
6,1728,1,0,
6,1761,1,0,
6,1794,1,0,
6,1831,1,0,
6,1864,1,0,
6,1895,1,0,
6,1936,1,0,
6,1968,1,0,
6,1998,0,0,
6,2031,1,0,
6,2065,1,0,
6,2096,0,0,
6,2131,1,0,
6,2164,1,0,
6,2197,1,0,
6,2231,1,0,
6,2264,1,0,
6,2297,1,0,
6,2330,1,0,
6,2363,1,0,
6,2397,1,0,
6,2430,1,0,
6,2463,0,0,
6,2496,1,0,
6,2530,1,0,
6,2563,1,0,
6,2600,0,0,
6,2630,0,0,
6,2663,1,0,
6,2688,1,0,
6,2730,1,0,
7,0,1,0,
7,28,0,1,
7,58,0,1,
7,91,0,1,
7,116,0,1,
7,149,0,1,
7,179,1,0,
7,209,0,1,
7,242,0,1,
7,275,0,1,
7,308,0,1,
7,341,0,1,
7,374,0,0,
7,407,0,1,
7,441,0,0,
7,474,0,0,
7,509,0,1,
7,543,0,0,
7,576,0,0,
7,609,0,1,
7,642,0,1,
7,667,0,1,
7,697,0,1,
7,727,0,1,
7,758,0,1,
7,792,0,1,
7,826,0,1,
7,860,0,1,
7,892,0,1,
7,926,0,1,
7,959,0,1,
7,992,0,1,
7,1028,0,1,
7,1063,0,1,
7,1093,0,1,
7,1127,0,1,
7,1161,0,1,
7,1193,0,1,
7,1227,0,1,
7,1261,0,1,
7,1294,0,1,
7,1327,0,1,
7,1360,0,1,
7,1394,0,1,
7,1428,0,1,
7,1465,0,1,
7,1495,0,1,
7,1529,0,1,
7,1563,0,1,
7,1595,0,1,
7,1628,0,1,
7,1661,0,1,
7,1695,0,1,
7,1728,0,1,
7,1762,0,1,
7,1798,0,1,
7,1833,0,1,
7,1865,0,1,
7,1896,0,1,
8,0,0,0,
8,33,1,0,
8,66,0,0,
8,99,1,0,
8,133,0,0,
8,166,1,0,
8,191,1,0,
8,234,1,0,
8,266,1,0,
8,299,1,0,
8,333,1,0,
8,369,0,0,
8,400,1,0,
8,434,1,0,
8,468,1,0,
8,502,1,0,
8,535,1,0,
8,568,1,0,
8,593,1,0,
8,627,1,0,
8,657,1,0,
8,690,1,0,
8,720,1,0,
8,753,0,0,
8,786,0,0,
8,819,1,0,
8,845,1,0,
8,877,1,0,
8,905,1,0,
8,937,1,0,
8,972,1,0,
8,1006,1,0,
8,1038,1,0,
8,1071,1,0,
8,1095,1,0,
7,0,0,1,
7,36,0,1,
7,69,0,1,
7,102,0,1,
7,135,0,1,
7,168,0,1,
7,201,0,1,
7,235,0,1,
7,269,0,1,
7,302,0,1,
7,335,0,1,
7,369,0,1,
7,405,0,1,
7,438,0,1,
7,471,0,1,
7,503,0,1,
7,536,0,1,
7,570,0,1,
7,603,0,1,
7,638,0,1,
7,671,0,1,
7,704,0,0,
7,737,0,1,
7,771,0,1,
7,797,0,1,
7,826,0,1,
7,861,0,1,
7,895,0,1,
7,930,0,0,
7,961,0,1,
7,991,0,1,
7,1023,0,1,
7,1054,0,1,
7,1087,0,1,
7,1121,0,1,
7,1155,0,1,
7,1189,0,1,
7,1221,0,1,
7,1254,0,1,
7,1288,0,1,
7,1322,0,0,
7,1371,0,1,
7,1404,0,1,
7,1438,0,1,
8,0,1,0,
8,27,1,0,
8,58,0,0,
8,87,1,0,
8,118,1,0,
8,151,0,0,
8,186,0,0,
8,218,0,0,
8,252,1,0,
8,286,0,1,
8,318,0,1,
8,352,0,1,
8,386,0,1,
8,418,0,1,
8,453,0,1,
8,488,0,1,
8,519,0,1,
8,552,0,1,
8,585,0,1,
8,618,0,1,
8,652,0,1,
8,687,0,1,
8,718,0,1,
8,752,0,0,
8,777,0,1,
8,819,0,1,
8,853,0,1,
8,888,0,1,
8,919,0,1,
8,952,0,1,
8,985,0,1,
10,0,1,0,
10,33,0,1,
10,71,1,0,
10,101,1,0,
10,134,0,1,
10,167,1,0,
10,201,1,0,
10,236,1,0,
10,272,0,1,
10,303,1,0,
10,339,1,0,
10,369,0,0,
10,408,1,0,
10,437,1,0,
10,468,1,0,
10,501,0,0,
10,535,1,0,
10,569,1,0,
10,601,0,0,
10,636,0,0,
10,671,0,0,
10,703,0,0,
10,735,0,0,
10,769,0,0,
10,802,1,0,
10,835,1,0,
10,869,0,0,
10,902,1,0,
10,936,0,0,
10,969,0,0,
10,1002,1,0,
10,1037,1,0,
10,1072,0,0,
11,0,0,1,
11,33,1,0,
11,66,0,1,
11,101,1,0,
11,134,1,0,
11,168,1,0,
11,200,0,1,
11,233,0,1,
11,266,0,0,
11,300,1,0,
11,335,0,0,
11,370,1,0,
11,402,0,0,
11,434,1,0,
11,467,1,0,
11,500,0,0,
11,535,0,0,
11,567,0,0,
11,601,0,0,
11,634,0,0,
11,668,1,0,
11,701,1,0,
11,736,1,0,
11,771,1,0,
11,802,0,1,
11,835,0,1,
11,868,0,1,
11,901,0,1,
11,936,0,1,
11,969,0,1,
11,1002,0,1,
11,1036,0,1,
11,1070,0,1,
11,1103,0,1,
11,1138,0,1,
11,1171,0,1,
11,1203,0,1,
11,1236,0,1,
11,1269,0,1,
11,1302,0,1,
11,1337,0,1,
11,1369,0,1,
11,1403,0,1,
11,1436,0,1,
11,1469,0,1,
11,1502,0,1,
