trial,_right_canvas,_left_canvas,times,Unnamed: 4
6,1,0,0,
6,0,1,43,
6,1,0,89,
6,0,1,131,
6,0,1,198,
6,0,1,307,
6,1,0,363,
6,0,1,404,
6,0,1,449,
6,0,1,494,
6,0,1,538,
6,0,1,580,
6,0,1,621,
6,0,1,676,
6,0,1,744,
6,0,1,787,
6,0,1,834,
6,0,1,876,
6,0,1,943,
6,0,1,1001,
6,0,1,1049,
6,0,1,1091,
6,0,1,1133,
6,0,1,1188,
6,0,1,1231,
6,0,1,1279,
6,0,1,1335,
6,0,1,1379,
6,0,1,1440,
6,0,1,1505,
6,0,1,1551,
6,0,1,1613,
7,0,0,0,
7,0,1,42,
7,0,1,84,
7,0,1,153,
7,0,1,208,
7,0,1,251,
7,0,1,290,
7,0,1,337,
7,0,0,395,
7,0,0,456,
7,1,0,500,
7,0,1,560,
7,0,1,624,
7,0,1,667,
7,0,1,712,
7,0,1,771,
7,0,1,817,
7,1,0,878,
7,1,0,935,
7,0,0,1001,
7,1,0,1045,
7,1,0,1089,
7,1,0,1141,
7,0,0,1194,
7,1,0,1240,
7,1,0,1282,
7,1,0,1325,
7,0,0,1366,
7,0,0,1409,
7,1,0,1466,
7,0,0,1514,
7,0,0,1568,
7,0,0,1646,
8,0,1,0,
8,0,0,50,
8,0,0,107,
8,1,0,154,
8,0,1,196,
8,1,0,261,
8,0,1,300,
8,0,1,353,
8,0,1,394,
8,0,1,439,
8,0,1,484,
8,0,1,542,
8,0,1,588,
8,0,1,642,
8,0,1,697,
8,0,1,740,
8,0,1,789,
8,0,1,848,
8,0,1,893,
8,0,1,952,
8,0,1,1017,
8,0,1,1070,
8,0,1,1126,
8,0,1,1182,
8,0,1,1225,
8,0,1,1274,
8,0,1,1319,
8,0,1,1363,
8,0,1,1416,
7,1,0,0,
7,1,0,42,
7,1,0,101,
7,1,0,154,
7,1,0,198,
7,1,0,242,
7,1,0,302,
7,1,0,346,
7,0,0,416,
7,1,0,459,
7,1,0,503,
7,0,0,556,
7,0,0,611,
7,1,0,669,
7,0,0,714,
7,0,0,758,
7,0,0,819,
7,0,0,878,
7,0,0,931,
7,0,0,1010,
8,0,1,0,
8,0,1,73,
8,0,1,116,
8,0,1,160,
8,0,1,206,
8,0,1,249,
8,0,1,293,
8,0,1,358,
8,0,1,418,
8,0,1,474,
8,0,1,530,
10,1,0,0,
10,1,0,51,
10,1,0,96,
10,0,1,139,
10,0,0,182,
10,0,1,248,
