trial,_left_canvas,_right_canvas,times,Unnamed: 4
6,0,1,0,
6,0,1,36,
6,1,0,85,
6,0,1,126,
6,0,0,160,
6,0,1,196,
6,0,0,244,
6,0,0,279,
6,0,0,313,
6,1,0,341,
6,1,0,374,
6,1,0,408,
6,1,0,443,
6,1,0,486,
6,1,0,531,
6,1,0,568,
6,1,0,600,
6,1,0,635,
6,1,0,677,
6,1,0,727,
6,1,0,761,
6,1,0,793,
6,1,0,827,
6,1,0,856,
6,1,0,895,
6,1,0,927,
6,1,0,962,
6,1,0,994,
6,1,0,1030,
6,1,0,1067,
6,1,0,1098,
6,1,0,1145,
6,1,0,1178,
6,1,0,1212,
6,1,0,1245,
6,1,0,1272,
7,0,1,0,
7,0,1,47,
7,0,1,91,
7,0,1,120,
7,0,0,156,
7,1,0,200,
7,0,1,232,
7,0,1,273,
7,0,1,321,
7,0,1,349,
7,0,1,390,
7,0,1,434,
7,0,1,469,
7,0,1,501,
7,0,1,527,
7,0,1,551,
7,0,1,575,
7,0,1,620,
7,0,1,648,
7,0,1,675,
7,0,1,707,
7,0,1,755,
7,0,1,792,
7,0,1,836,
7,0,1,870,
7,0,1,904,
7,0,1,938,
7,0,1,970,
7,0,1,995,
7,0,1,1029,
7,0,1,1061,
7,0,1,1104,
7,0,1,1137,
7,0,0,1174,
7,0,1,1216,
7,0,1,1254,
7,0,1,1288,
7,0,1,1320,
7,0,1,1361,
7,0,1,1396,
7,0,1,1436,
7,0,1,1469,
7,0,1,1502,
7,0,1,1536,
7,0,0,1564,
7,0,1,1603,
8,1,0,0,
8,1,0,30,
8,1,0,61,
8,1,0,102,
8,1,0,135,
8,1,0,169,
8,1,0,207,
8,1,0,239,
8,1,0,278,
8,1,0,316,
8,1,0,348,
8,1,0,384,
8,1,0,417,
8,1,0,447,
8,1,0,479,
8,1,0,513,
8,1,0,545,
8,1,0,579,
8,1,0,612,
8,1,0,645,
8,1,0,679,
8,1,0,713,
8,1,0,751,
8,1,0,784,
8,1,0,814,
8,1,0,848,
8,1,0,879,
8,1,0,911,
8,1,0,945,
8,1,0,978,
8,1,0,1025,
8,1,0,1061,
8,1,0,1101,
8,1,0,1130,
8,1,0,1165,
8,1,0,1198,
8,1,0,1229,
8,1,0,1278,
8,1,0,1316,
8,1,0,1346,
8,1,0,1395,
8,1,0,1430,
8,1,0,1463,
8,1,0,1497,
8,1,0,1536,
8,1,0,1569,
10,0,1,0,
10,0,0,43,
10,0,1,78,
10,0,1,115,
10,0,1,173,
10,0,1,206,
10,0,1,240,
10,0,1,273,
10,0,1,307,
10,0,1,341,
10,0,1,386,
10,0,1,423,
10,0,1,456,
10,0,1,490,
10,0,1,527,
10,0,1,556,
10,0,1,593,
10,0,1,626,
10,0,1,664,
10,0,1,695,
10,0,1,740,
10,0,1,779,
10,0,1,815,
10,0,1,862,
10,0,1,898,
10,0,1,926,
10,0,1,957,
10,0,1,997,
10,0,1,1023,
10,0,1,1057,
10,0,1,1096,
10,0,1,1129,
10,0,1,1163,
10,0,1,1192,
10,0,1,1226,
10,0,1,1279,
10,0,1,1317,
10,0,1,1346,
10,0,1,1392,
10,0,1,1436,
10,0,1,1463,
10,0,1,1502,
11,0,1,0,
11,0,1,44,
11,0,0,85,
11,0,1,120,
11,1,0,163,
11,0,1,200,
11,0,1,247,
11,1,0,279,
11,1,0,313,
11,1,0,346,
11,1,0,379,
11,1,0,412,
11,1,0,445,
11,1,0,479,
11,1,0,512,
11,1,0,552,
11,1,0,597,
11,1,0,642,
11,1,0,682,
11,1,0,730,
11,1,0,762,
11,1,0,809,
11,1,0,859,
11,1,0,899,
11,1,0,946,
11,1,0,974,
11,1,0,1045,
11,1,0,1098,
11,1,0,1131,
11,1,0,1164,
11,1,0,1204,
11,1,0,1240,
11,1,0,1287,
11,1,0,1327,
11,1,0,1371,
11,1,0,1403,
11,1,0,1446,
11,1,0,1489,
11,1,0,1523,
11,1,0,1553,
11,1,0,1585,
11,1,0,1635,
11,1,0,1681,
11,1,0,1716,
11,1,0,1756,
11,1,0,1784,
11,1,0,1815,
11,0,0,1864,
11,1,0,1890,
11,1,0,1930,
11,1,0,1976,
11,1,0,2014,
11,1,0,2038,
11,1,0,2064,
11,1,0,2097,
11,1,0,2136,
11,1,0,2172,
11,1,0,2236,
11,0,0,2285,
11,0,0,2334,
11,0,0,2383,
11,0,0,2416,
12,0,1,0,
12,0,1,38,
12,0,1,82,
12,1,0,115,
12,0,1,147,
12,0,0,192,
12,0,1,241,
12,0,1,280,
12,0,1,313,
12,0,0,341,
12,0,1,376,
12,0,1,408,
12,0,1,441,
12,0,1,476,
12,0,1,521,
12,0,1,559,
12,0,1,593,
12,0,1,641,
12,0,1,674,
12,0,0,714,
12,0,0,750,
12,1,0,791,
12,0,0,825,
12,0,1,867,
12,0,1,902,
12,0,1,931,
12,0,1,963,
12,0,1,994,
12,0,1,1026,
12,0,0,1058,
12,0,1,1110,
12,0,1,1140,
12,0,1,1173,
12,0,1,1214,
12,0,1,1245,
12,0,1,1291,
12,0,1,1336,
12,0,1,1381,
12,0,1,1412,
12,0,1,1454,
12,0,1,1486,
12,0,1,1517,
12,0,0,1551,
12,0,1,1594,
12,0,1,1629,
12,0,1,1661,
12,0,1,1694,
12,0,1,1727,
12,0,1,1760,
12,0,0,1795,
12,1,0,1836,
12,0,1,1865,
12,0,1,1900,
12,0,1,1932,
12,0,1,1995,
12,0,1,2027,
12,0,1,2063,
12,0,1,2110,
12,0,1,2142,
12,0,1,2184,
12,0,1,2213,
12,0,1,2248,
12,0,1,2296,
12,0,1,2329,
12,0,1,2359,
12,0,1,2386,
12,0,1,2425,
12,0,1,2450,
12,0,1,2484,
12,0,1,2516,
12,0,1,2551,
12,1,0,2595,
12,0,1,2630,
12,0,1,2678,
12,0,1,2713,
12,0,1,2747,
12,0,1,2798,
12,0,1,2844,
12,0,1,2878,
12,0,1,2912,
12,0,1,2947,
12,0,1,2980,
12,0,1,3012,
12,0,1,3044,
12,0,1,3087,
12,0,1,3114,
12,0,1,3145,
12,0,1,3178,
12,0,1,3212,
12,0,1,3245,
12,0,1,3283,
12,0,1,3313,
12,0,1,3345,
12,0,1,3380,
12,0,1,3411,
12,0,1,3446,
12,0,1,3479,
12,0,1,3510,
12,0,1,3553,
12,0,1,3598,
12,0,1,3638,
12,0,1,3678,
12,0,1,3728,
12,0,1,3761,
12,0,1,3804,
12,0,1,3845,
12,0,1,3880,
13,0,0,0,
13,0,1,31,
13,0,0,62,
13,1,0,96,
13,0,1,136,
13,0,0,184,
13,1,0,218,
13,0,1,249,
13,0,1,276,
13,0,0,299,
13,0,1,331,
13,0,1,366,
13,0,1,411,
13,0,1,451,
13,0,0,494,
13,0,1,527,
13,0,0,560,
13,0,1,601,
13,0,1,647,
13,0,1,684,
13,0,1,731,
13,0,1,794,
13,0,1,829,
13,0,1,863,
13,0,1,898,
13,0,1,951,
13,0,0,986,
13,0,1,1017,
13,0,1,1061,
13,0,1,1094,
13,0,1,1128,
13,0,1,1170,
13,0,1,1212,
13,0,1,1247,
13,0,1,1280,
13,0,1,1324,
13,0,1,1368,
13,0,1,1395,
13,0,1,1429,
13,0,1,1480,
13,0,1,1511,
14,0,1,0,
14,0,1,43,
14,0,1,84,
14,0,1,128,
14,0,1,177,
14,0,1,209,
14,0,1,242,
14,0,1,285,
14,0,1,326,
14,0,1,361,
14,0,1,396,
14,0,1,427,
14,0,1,491,
14,0,1,537,
14,0,1,578,
14,0,1,627,
14,0,1,671,
14,0,1,718,
14,0,1,758,
15,1,0,0,
15,0,0,34,
15,0,0,69,
15,1,0,102,
15,0,1,140,
15,0,1,188,
15,1,0,234,
15,1,0,268,
15,0,0,313,
15,1,0,340,
15,1,0,367,
15,1,0,408,
15,1,0,439,
15,0,0,467,
15,1,0,503,
15,1,0,537,
15,1,0,585,
15,1,0,619,
15,0,1,658,
15,0,1,707,
15,0,1,750,
15,0,1,785,
15,0,1,820,
15,0,1,855,
15,0,1,888,
15,0,1,921,
15,0,1,951,
15,0,1,985,
15,0,1,1019,
15,0,1,1052,
15,0,1,1085,
15,0,1,1119,
15,0,1,1154,
15,0,1,1190,
15,0,1,1236,
15,0,1,1275,
15,0,1,1305,
15,0,1,1334,
15,0,1,1368,
15,0,1,1415,
15,0,1,1453,
15,0,1,1493,
15,0,1,1535,
15,0,1,1572,
15,0,1,1611,
15,0,1,1653,
15,0,1,1692,
15,0,0,1730,
15,0,1,1759,
15,0,1,1796,
15,0,0,1836,
15,1,0,1874,
15,1,0,1907,
15,1,0,1943,
15,0,0,1971,
15,1,0,2006,
15,1,0,2039,
15,1,0,2073,
15,1,0,2114,
15,1,0,2175,
15,1,0,2226,
15,1,0,2257,
15,1,0,2303,
15,1,0,2369,
15,1,0,2408,
15,1,0,2436,
15,1,0,2470,
15,1,0,2503,
15,1,0,2539,
15,1,0,2580,
15,1,0,2610,
15,1,0,2643,
15,1,0,2689,
15,1,0,2722,
15,1,0,2763,
15,1,0,2797,
15,1,0,2846,
15,1,0,2926,
15,1,0,2973,
15,1,0,3009,
15,1,0,3045,
15,1,0,3092,
15,1,0,3124,
15,1,0,3155,
15,1,0,3191,
15,1,0,3222,
15,1,0,3257,
15,1,0,3292,
15,1,0,3324,
15,1,0,3349,
15,1,0,3385,
15,1,0,3436,
15,1,0,3507,
15,1,0,3548,
15,1,0,3589,
15,1,0,3633,
15,1,0,3663,
16,0,1,0,
16,0,1,43,
16,1,0,91,
16,0,0,119,
16,0,1,153,
16,0,1,187,
16,1,0,229,
16,0,1,273,
16,0,1,313,
16,0,1,353,
16,0,1,391,
16,0,1,420,
16,0,1,452,
16,0,1,486,
16,0,1,518,
16,0,1,553,
16,0,1,592,
16,0,1,635,
16,0,1,670,
16,0,1,703,
16,0,1,744,
16,0,1,787,
16,0,1,821,
16,0,1,854,
16,0,1,888,
16,0,0,931,
16,0,1,962,
16,0,1,995,
16,0,1,1026,
16,0,1,1063,
16,0,1,1096,
16,0,1,1123,
16,0,1,1156,
16,0,1,1189,
16,0,1,1220,
16,0,1,1254,
16,0,1,1288,
16,0,1,1321,
16,0,1,1353,
16,0,1,1391,
16,0,1,1420,
16,0,1,1455,
16,0,1,1497,
17,0,1,0,
17,0,1,43,
17,0,1,72,
17,0,1,113,
17,0,0,150,
17,0,1,187,
17,0,1,220,
17,0,1,259,
17,0,1,296,
17,0,1,323,
17,0,1,353,
17,0,1,385,
17,0,1,420,
17,0,1,457,
17,0,1,505,
17,0,1,544,
17,0,1,571,
17,0,1,603,
17,0,1,637,
17,0,1,677,
17,0,1,720,
17,0,1,753,
17,0,1,787,
17,0,1,819,
17,0,1,860,
17,0,1,892,
17,0,1,927,
17,0,1,956,
17,0,1,994,
18,0,1,0,
18,0,0,31,
18,0,0,69,
18,0,0,113,
18,0,0,144,
18,0,1,179,
18,0,0,212,
18,1,0,245,
18,1,0,276,
18,1,0,328,
18,1,0,370,
18,1,0,409,
18,1,0,451,
18,1,0,481,
18,1,0,518,
18,1,0,546,
18,1,0,593,
18,1,0,629,
18,1,0,667,
18,1,0,717,
18,1,0,757,
18,1,0,784,
18,1,0,826,
18,1,0,860,
18,1,0,894,
18,1,0,931,
18,1,0,967,
18,1,0,1011,
18,1,0,1050,
18,1,0,1078,
18,1,0,1112,
18,1,0,1147,
18,1,0,1182,
18,1,0,1219,
18,1,0,1253,
18,1,0,1295,
18,1,0,1334,
18,1,0,1379,
18,1,0,1418,
18,1,0,1448,
18,1,0,1482,
