trial,_left_canvas,times,_right_canvas,Unnamed: 4
6,1,0,0,
6,1,23,0,
6,1,50,0,
6,0,84,0,
6,1,117,0,
6,1,152,0,
6,1,183,0,
6,1,217,0,
6,1,252,0,
6,1,284,0,
6,1,318,0,
6,1,352,0,
6,1,385,0,
6,1,417,0,
6,1,439,0,
6,1,466,0,
6,1,489,0,
6,0,517,0,
6,0,551,0,
6,1,584,0,
6,1,618,0,
6,1,651,0,
6,1,685,0,
6,1,718,0,
6,1,751,0,
6,1,788,0,
6,1,818,0,
6,1,852,0,
6,1,887,0,
6,1,919,0,
6,1,953,0,
6,1,985,0,
6,1,1019,0,
6,1,1051,0,
6,1,1085,0,
6,1,1119,0,
6,1,1152,0,
6,0,1187,0,
6,1,1220,0,
6,1,1253,0,
6,1,1286,0,
6,1,1310,0,
6,1,1336,0,
6,1,1369,0,
7,0,0,1,
7,0,35,0,
7,0,69,0,
7,0,104,0,
7,0,135,0,
7,0,168,1,
7,0,203,1,
7,0,235,1,
7,0,268,1,
7,0,302,1,
7,0,335,1,
7,0,369,1,
7,0,401,0,
7,0,436,0,
7,0,468,0,
7,0,493,0,
7,0,520,1,
7,0,551,1,
7,0,585,1,
7,0,618,1,
7,0,653,1,
7,0,686,0,
7,0,708,1,
7,0,735,1,
7,0,758,1,
7,0,787,1,
7,0,819,1,
7,0,853,0,
7,0,886,0,
7,0,920,0,
7,0,954,0,
7,0,987,0,
7,0,1032,0,
7,0,1070,1,
7,0,1106,0,
7,0,1138,1,
7,0,1170,0,
7,0,1204,1,
7,0,1254,0,
7,0,1287,0,
7,0,1326,0,
7,0,1359,0,
7,0,1390,0,
7,0,1421,0,
8,1,0,0,
8,1,34,0,
8,1,67,0,
8,1,100,0,
8,1,134,0,
8,1,167,0,
8,0,200,0,
8,0,234,0,
8,1,269,0,
8,1,301,0,
8,1,334,0,
8,1,367,0,
8,1,400,0,
8,1,433,0,
8,1,467,0,
8,1,491,0,
8,1,517,0,
8,0,542,0,
8,1,567,0,
8,0,600,0,
8,1,634,0,
8,0,659,0,
8,1,684,0,
8,1,708,0,
8,1,734,0,
8,1,769,0,
8,1,801,0,
8,1,834,0,
8,1,857,0,
8,0,887,0,
8,1,918,0,
8,1,952,0,
8,1,977,0,
8,1,1003,0,
8,1,1035,0,
8,1,1068,0,
8,1,1102,0,
8,1,1135,0,
8,1,1158,0,
8,1,1184,0,
8,1,1217,0,
8,1,1240,0,
8,1,1267,0,
8,1,1291,0,
8,1,1317,0,
8,1,1342,0,
8,1,1368,0,
8,1,1393,0,
8,1,1418,0,
8,1,1451,0,
8,1,1485,0,
8,1,1518,0,
8,1,1543,0,
8,1,1569,0,
8,1,1593,0,
8,1,1619,0,
8,1,1651,0,
8,1,1674,0,
8,1,1701,0,
8,1,1726,0,
8,1,1752,0,
8,1,1785,0,
8,1,1817,0,
8,0,1851,0,
8,1,1885,0,
8,1,1919,0,
8,1,1943,0,
8,1,1968,0,
7,0,0,1,
7,0,33,1,
7,0,68,0,
7,0,103,1,
7,0,133,1,
7,0,168,1,
7,0,199,1,
7,1,224,0,
7,0,250,0,
7,0,283,1,
7,0,306,1,
7,0,335,1,
7,0,366,1,
7,0,399,1,
7,0,423,1,
7,0,448,1,
7,0,483,1,
7,0,515,1,
7,0,551,1,
7,0,584,1,
7,0,615,1,
7,0,648,0,
7,0,684,0,
7,0,719,1,
7,0,749,1,
7,0,782,1,
7,0,816,1,
7,0,850,1,
7,0,882,1,
7,0,916,1,
7,0,950,1,
7,0,985,1,
7,0,1016,1,
7,0,1049,1,
7,0,1076,1,
7,0,1098,1,
7,0,1120,1,
7,0,1151,1,
7,0,1180,1,
7,0,1214,1,
7,0,1247,1,
8,1,0,0,
8,1,27,0,
8,0,60,0,
8,0,96,0,
8,0,127,1,
8,1,160,0,
8,0,184,1,
8,0,212,1,
8,1,244,0,
8,0,280,1,
8,0,334,1,
8,0,363,1,
8,0,393,1,
8,0,428,1,
8,0,470,1,
8,0,497,1,
8,0,526,1,
8,0,549,1,
8,0,576,1,
8,0,610,1,
8,0,643,1,
8,0,676,1,
8,0,710,1,
8,0,743,1,
8,0,777,1,
8,0,810,1,
8,0,843,1,
8,0,878,1,
8,0,910,1,
8,0,942,1,
8,0,975,1,
8,0,1009,1,
8,0,1042,1,
8,0,1076,1,
8,0,1109,1,
8,0,1133,1,
8,0,1159,1,
8,0,1192,1,
8,0,1225,1,
8,0,1248,1,
8,0,1275,1,
8,0,1299,1,
8,0,1326,1,
10,1,0,0,
10,1,73,0,
10,1,154,0,
10,1,193,0,
10,1,228,0,
10,1,267,0,
10,1,323,0,
10,1,353,0,
10,1,391,0,
10,1,431,0,
10,1,470,0,
10,1,526,0,
10,1,568,0,
10,1,602,0,
10,1,635,0,
10,1,667,0,
10,1,703,0,
10,1,737,0,
10,1,768,0,
10,1,802,0,
10,1,836,0,
10,1,878,0,
10,1,916,0,
11,1,0,0,
11,0,34,0,
11,0,59,0,
11,0,84,1,
11,0,116,0,
11,0,164,0,
11,0,190,1,
11,0,218,1,
11,1,251,0,
11,1,285,0,
11,1,320,0,
11,1,355,0,
11,1,386,0,
11,1,419,0,
11,1,452,0,
11,0,486,0,
11,1,509,0,
11,0,537,1,
11,0,570,1,
11,0,603,1,
11,0,637,1,
11,0,670,1,
11,0,703,1,
11,0,737,1,
11,0,770,0,
11,0,805,0,
11,0,828,1,
11,0,856,1,
11,0,889,1,
11,0,923,1,
11,0,954,1,
11,0,977,1,
11,0,1005,1,
11,0,1037,1,
11,0,1061,1,
11,0,1087,1,
11,0,1123,1,
11,0,1159,1,
11,0,1188,1,
11,0,1221,1,
11,0,1244,1,
11,0,1272,1,
11,0,1306,1,
11,0,1339,1,
11,0,1362,1,
11,0,1388,0,
12,0,0,0,
12,0,45,1,
12,0,85,1,
12,0,115,1,
12,0,137,1,
12,0,166,1,
12,0,189,1,
12,0,216,0,
12,0,249,1,
12,0,271,1,
12,0,299,0,
12,0,318,0,
12,0,349,1,
12,0,383,0,
12,0,418,1,
12,0,454,0,
12,0,483,0,
12,0,517,1,
12,0,541,1,
12,0,568,1,
12,0,592,1,
12,0,621,1,
12,0,651,1,
12,0,675,1,
12,0,702,1,
12,0,734,0,
12,0,768,1,
12,0,790,0,
12,0,819,1,
12,0,850,0,
12,0,883,0,
12,0,916,1,
12,0,939,1,
12,0,966,1,
12,0,999,1,
12,0,1033,1,
12,0,1066,1,
12,0,1093,1,
12,0,1116,1,
12,0,1149,1,
12,0,1175,1,
12,0,1205,0,
12,0,1232,1,
13,1,0,0,
13,1,29,0,
13,1,62,0,
13,1,95,0,
13,1,119,0,
13,1,148,0,
13,1,181,0,
13,1,213,0,
13,1,256,0,
13,1,298,0,
13,1,318,0,
13,1,348,0,
13,1,381,0,
13,1,416,0,
13,1,452,0,
13,1,499,0,
13,1,532,0,
13,1,567,0,
13,1,599,0,
13,1,623,0,
13,1,649,0,
14,0,0,1,
14,0,28,0,
14,1,60,0,
14,0,91,1,
14,0,116,0,
14,1,142,0,
14,0,165,0,
14,0,191,1,
14,0,225,0,
14,0,259,1,
14,0,293,1,
14,0,326,1,
14,0,353,1,
14,0,381,1,
14,0,414,1,
14,0,445,1,
14,0,479,1,
14,0,510,1,
14,0,543,1,
14,0,577,1,
14,0,609,1,
14,0,643,1,
14,0,667,1,
14,0,694,1,
14,0,731,1,
14,0,761,1,
14,0,795,1,
14,0,827,1,
14,0,861,1,
14,0,895,1,
14,0,927,1,
14,0,949,1,
14,0,976,1,
15,0,0,0,
15,1,34,0,
15,0,66,1,
15,1,100,0,
15,0,132,0,
15,1,156,0,
15,0,182,0,
15,0,205,0,
15,1,231,0,
15,0,255,1,
15,0,282,1,
