trial,_left_canvas,_right_canvas,times,Unnamed: 4
6,1,0,0,
6,1,0,42,
6,0,0,81,
6,0,0,114,
6,1,0,147,
6,1,0,184,
6,1,0,220,
6,1,0,254,
6,1,0,289,
6,1,0,320,
6,0,1,351,
6,0,0,387,
6,1,0,420,
6,0,1,454,
6,1,0,487,
6,1,0,520,
6,1,0,564,
6,1,0,600,
6,1,0,635,
6,1,0,672,
6,1,0,714,
6,1,0,752,
6,1,0,786,
6,1,0,818,
6,0,0,850,
6,0,0,883,
6,1,0,917,
6,1,0,962,
6,1,0,997,
6,1,0,1035,
6,1,0,1076,
6,0,0,1117,
6,1,0,1151,
6,1,0,1213,
6,1,0,1253,
6,1,0,1297,
6,0,0,1332,
6,1,0,1368,
6,0,0,1415,
6,1,0,1456,
6,1,0,1497,
6,1,0,1543,
6,1,0,1581,
6,1,0,1623,
6,1,0,1656,
6,0,1,1696,
6,0,1,1738,
6,0,1,1793,
6,1,0,1830,
6,1,0,1864,
6,1,0,1900,
6,1,0,1942,
6,1,0,1981,
6,1,0,2017,
6,1,0,2062,
6,1,0,2099,
6,1,0,2131,
6,1,0,2164,
6,0,0,2200,
6,1,0,2236,
6,1,0,2274,
6,1,0,2315,
6,1,0,2349,
6,1,0,2383,
6,1,0,2417,
6,1,0,2451,
6,1,0,2486,
6,1,0,2523,
6,1,0,2555,
6,1,0,2587,
6,1,0,2619,
6,1,0,2654,
6,1,0,2686,
6,1,0,2722,
6,1,0,2755,
6,1,0,2790,
6,1,0,2826,
6,1,0,2868,
6,1,0,2901,
7,0,0,0,
7,1,0,39,
7,1,0,74,
7,1,0,108,
7,1,0,144,
7,1,0,182,
7,1,0,224,
7,1,0,266,
7,0,1,301,
7,0,1,333,
7,0,1,371,
7,0,1,418,
7,0,1,459,
7,0,1,500,
7,1,0,538,
7,0,0,571,
7,0,1,607,
7,0,1,650,
7,1,0,686,
7,1,0,733,
7,1,0,773,
7,0,0,817,
7,0,0,853,
7,1,0,886,
7,0,0,921,
7,0,1,951,
7,1,0,984,
7,1,0,1019,
7,1,0,1058,
7,1,0,1102,
7,1,0,1147,
7,1,0,1196,
7,1,0,1236,
7,1,0,1301,
7,1,0,1343,
7,1,0,1391,
7,1,0,1429,
7,0,0,1485,
8,0,1,0,
8,0,1,37,
8,0,0,81,
8,0,1,122,
8,0,1,166,
8,0,0,215,
8,0,0,250,
8,0,1,283,
8,0,0,324,
8,0,1,377,
8,0,0,420,
8,0,1,464,
8,1,0,507,
8,1,0,554,
8,1,0,599,
8,1,0,647,
8,1,0,685,
8,1,0,719,
8,1,0,765,
8,1,0,814,
8,0,0,852,
8,1,0,886,
8,1,0,927,
8,1,0,965,
8,1,0,1002,
8,1,0,1042,
8,1,0,1080,
8,1,0,1116,
8,1,0,1156,
8,1,0,1188,
8,1,0,1224,
8,1,0,1264,
8,1,0,1298,
8,1,0,1332,
8,1,0,1365,
8,1,0,1401,
8,1,0,1436,
8,1,0,1469,
8,1,0,1501,
8,1,0,1541,
8,1,0,1581,
8,0,0,1619,
8,0,0,1657,
8,0,1,1704,
8,0,0,1737,
8,0,1,1772,
8,1,0,1808,
8,0,0,1851,
8,0,1,1893,
8,0,1,1933,
8,1,0,1982,
8,1,0,2017,
8,1,0,2051,
8,1,0,2085,
7,0,0,0,
7,1,0,36,
7,1,0,73,
7,0,0,110,
7,1,0,152,
7,1,0,192,
7,0,0,235,
7,1,0,270,
7,1,0,302,
7,1,0,357,
7,1,0,390,
7,1,0,423,
7,1,0,455,
7,0,1,486,
7,1,0,517,
7,1,0,550,
7,1,0,583,
7,1,0,634,
7,1,0,667,
8,1,0,0,
8,0,0,36,
8,0,0,71,
8,1,0,113,
8,0,0,151,
8,0,1,184,
8,0,1,218,
8,0,1,250,
8,0,1,284,
8,0,1,319,
8,0,1,351,
8,0,1,383,
8,0,1,417,
8,0,1,458,
8,0,1,490,
8,0,1,522,
8,1,0,553,
8,1,0,584,
8,1,0,619,
8,1,0,656,
8,1,0,688,
8,1,0,719,
8,1,0,751,
8,1,0,785,
8,0,1,819,
8,0,1,853,
8,0,1,886,
8,0,1,919,
8,0,1,952,
8,0,1,986,
8,0,1,1019,
8,0,1,1055,
8,0,1,1090,
8,0,1,1128,
8,0,1,1169,
8,0,1,1202,
8,0,1,1235,
10,0,0,0,
10,1,0,36,
10,1,0,69,
10,0,0,101,
10,1,0,134,
10,1,0,171,
10,1,0,210,
10,1,0,250,
10,1,0,297,
10,1,0,345,
10,1,0,389,
10,1,0,431,
10,0,0,468,
10,0,0,502,
10,0,1,536,
10,1,0,573,
10,0,0,616,
10,1,0,649,
10,1,0,682,
10,0,0,717,
10,1,0,748,
10,0,0,782,
10,1,0,815,
10,1,0,850,
11,0,1,0,
11,0,1,37,
11,0,1,81,
11,0,0,134,
11,0,1,176,
11,0,0,215,
11,0,1,249,
11,0,0,295,
11,0,0,344,
11,0,0,381,
11,0,0,420,
11,0,0,464,
11,0,0,500,
11,0,1,533,
11,0,1,567,
11,0,1,601,
11,0,1,635,
11,0,1,673,
11,0,1,715,
11,0,1,754,
11,0,1,817,
11,0,1,855,
11,0,1,893,
11,0,1,932,
11,0,1,970,
11,0,1,1006,
11,0,1,1041,
11,0,1,1084,
11,0,0,1124,
11,0,1,1166,
11,0,1,1210,
11,0,1,1249,
11,0,1,1307,
11,0,1,1350,
11,0,1,1388,
11,0,1,1429,
12,0,0,0,
12,0,0,47,
12,0,0,99,
12,1,0,140,
12,0,0,182,
12,0,0,227,
12,0,0,275,
12,0,0,313,
12,1,0,350,
12,1,0,396,
12,0,0,446,
12,0,1,495,
12,0,1,531,
12,0,1,576,
12,0,1,614,
12,0,1,652,
12,0,1,693,
12,0,1,736,
12,1,0,773,
12,1,0,807,
12,0,0,844,
12,1,0,879,
12,0,1,915,
12,0,0,951,
12,0,0,988,
12,1,0,1022,
12,1,0,1056,
12,1,0,1098,
12,0,1,1138,
12,0,1,1174,
12,1,0,1221,
12,0,0,1262,
12,1,0,1305,
12,1,0,1341,
12,1,0,1373,
12,0,0,1420,
12,1,0,1460,
12,0,0,1501,
12,1,0,1540,
12,1,0,1579,
12,1,0,1625,
12,1,0,1665,
12,1,0,1711,
12,1,0,1749,
12,1,0,1795,
12,1,0,1832,
12,1,0,1879,
12,1,0,1914,
12,1,0,1957,
12,1,0,1996,
12,1,0,2052,
12,0,1,2093,
12,0,1,2130,
12,0,1,2167,
12,0,1,2222,
12,0,1,2258,
12,0,1,2297,
12,0,1,2341,
12,0,1,2377,
12,0,1,2411,
12,0,1,2448,
12,0,1,2486,
12,0,1,2526,
12,0,1,2572,
12,0,1,2634,
12,0,1,2677,
12,0,1,2713,
12,0,1,2746,
12,0,1,2784,
12,0,1,2831,
12,0,1,2871,
12,0,1,2914,
12,0,1,2953,
12,0,1,2993,
12,0,1,3043,
12,0,1,3080,
12,0,1,3111,
12,0,1,3148,
12,0,0,3181,
12,1,0,3214,
12,0,1,3248,
12,0,1,3285,
12,0,1,3330,
12,0,0,3373,
12,0,0,3411,
12,1,0,3447,
12,1,0,3479,
12,1,0,3512,
12,0,0,3544,
12,1,0,3578,
12,0,0,3616,
12,0,1,3650,
12,0,0,3686,
12,1,0,3728,
12,0,1,3762,
12,0,1,3803,
12,0,1,3845,
12,0,1,3878,
12,0,1,3918,
12,0,1,3954,
12,0,1,3997,
12,1,0,4036,
12,0,1,4082,
12,0,0,4130,
12,1,0,4171,
12,0,0,4213,
12,0,1,4247,
12,1,0,4283,
12,1,0,4330,
12,0,0,4377,
12,0,1,4418,
12,0,0,4452,
12,0,0,4485,
12,0,1,4530,
12,0,1,4568,
12,0,0,4612,
12,0,1,4646,
12,0,1,4701,
12,0,0,4747,
12,1,0,4799,
12,0,0,4840,
12,1,0,4879,
12,0,0,4914,
12,0,0,4954,
12,1,0,4991,
12,0,1,5041,
12,0,0,5084,
12,0,1,5126,
12,0,1,5165,
12,0,1,5202,
12,0,0,5247,
12,0,0,5282,
12,0,0,5316,
12,0,1,5351,
12,0,0,5384,
12,0,0,5419,
12,0,1,5464,
12,0,1,5497,
12,0,1,5532,
12,0,1,5566,
12,1,0,5607,
12,0,1,5644,
12,1,0,5690,
12,0,0,5737,
12,0,0,5771,
12,0,0,5816,
12,0,0,5854,
12,0,0,5898,
12,0,0,5938,
12,0,0,5977,
12,1,0,6023,
12,0,0,6068,
12,0,1,6105,
12,0,0,6150,
12,0,1,6199,
12,0,1,6251,
12,0,1,6298,
12,0,1,6336,
12,0,1,6373,
12,0,1,6408,
12,0,1,6455,
12,1,0,6490,
12,0,1,6533,
12,0,1,6569,
12,0,1,6602,
12,0,1,6640,
12,1,0,6682,
12,1,0,6716,
12,1,0,6752,
12,1,0,6785,
12,1,0,6825,
12,1,0,6865,
12,1,0,6901,
12,1,0,6937,
12,1,0,6971,
12,1,0,7004,
12,1,0,7037,
12,1,0,7083,
12,1,0,7117,
12,1,0,7153,
12,1,0,7186,
12,1,0,7219,
12,1,0,7252,
12,1,0,7286,
12,1,0,7320,
12,1,0,7355,
12,1,0,7388,
12,1,0,7422,
12,1,0,7458,
12,1,0,7487,
12,1,0,7517,
12,1,0,7549,
12,1,0,7582,
12,1,0,7616,
12,1,0,7649,
12,1,0,7683,
12,1,0,7717,
12,1,0,7751,
12,1,0,7784,
12,1,0,7819,
12,1,0,7858,
12,1,0,7890,
12,1,0,7925,
12,1,0,7959,
12,1,0,7993,
12,1,0,8036,
12,1,0,8068,
12,1,0,8101,
13,1,0,0,
13,0,0,45,
13,1,0,94,
13,1,0,137,
13,0,0,181,
13,0,0,219,
13,0,1,262,
13,0,0,297,
13,1,0,341,
13,1,0,385,
13,1,0,426,
13,1,0,464,
13,1,0,503,
13,1,0,536,
13,1,0,562,
13,1,0,592,
13,1,0,628,
13,0,1,665,
13,0,1,708,
13,0,1,743,
13,0,1,776,
13,0,1,808,
13,0,1,842,
