trial,_left_canvas,times,_right_canvas,Unnamed: 4
6,1,0,0,
6,1,71,0,
6,1,138,0,
6,1,207,0,
6,1,271,0,
6,1,335,0,
6,1,413,0,
6,1,491,0,
6,1,556,0,
6,1,633,0,
6,1,704,0,
6,1,766,0,
6,1,838,0,
6,1,906,0,
6,0,975,0,
6,1,1052,0,
6,1,1142,0,
6,1,1242,0,
6,1,1311,0,
6,1,1389,0,
6,1,1464,0,
6,1,1538,0,
7,1,0,0,
7,1,64,0,
7,0,143,1,
7,1,235,0,
7,0,352,1,
7,0,411,1,
7,0,470,1,
7,0,528,1,
7,0,588,1,
7,0,646,1,
7,0,699,1,
7,0,756,1,
7,0,812,1,
7,0,869,1,
7,0,923,1,
7,0,982,1,
7,0,1036,1,
7,0,1094,1,
7,0,1148,1,
7,0,1202,1,
7,0,1261,1,
7,0,1318,0,
7,0,1373,1,
7,0,1433,1,
7,0,1495,1,
7,0,1551,1,
7,0,1604,0,
7,0,1668,1,
8,0,0,0,
8,1,65,0,
8,1,124,0,
8,1,188,0,
8,1,240,0,
8,1,299,0,
8,1,358,0,
8,1,417,0,
8,1,472,0,
8,1,532,0,
8,1,589,0,
8,1,646,0,
8,1,705,0,
8,1,766,0,
8,1,821,0,
8,1,874,0,
8,1,932,0,
8,0,991,0,
8,1,1048,0,
8,1,1112,0,
8,1,1172,0,
8,0,1234,0,
8,1,1289,0,
8,1,1344,0,
8,1,1405,0,
8,1,1461,0,
8,1,1518,0,
10,1,0,0,
10,1,60,0,
10,1,114,0,
10,1,168,0,
10,1,238,0,
10,0,320,1,
10,0,425,1,
10,0,492,1,
10,0,549,1,
10,0,603,1,
10,0,660,1,
10,0,720,0,
10,0,777,1,
10,0,839,1,
10,0,895,1,
10,0,951,1,
10,0,1004,1,
10,0,1063,1,
10,0,1119,1,
10,0,1173,1,
10,0,1231,1,
10,0,1287,1,
11,1,0,0,
11,1,58,0,
11,1,116,0,
11,1,174,0,
11,1,232,0,
11,1,290,0,
11,1,349,0,
11,1,433,0,
11,1,522,0,
11,1,620,0,
11,1,680,0,
11,1,739,0,
11,1,794,0,
11,1,852,0,
11,1,911,0,
12,0,0,0,
12,0,56,0,
12,0,107,0,
12,1,157,0,
12,1,212,0,
12,0,265,0,
12,0,320,1,
12,0,374,1,
12,0,426,1,
12,0,481,1,
12,0,530,1,
12,0,583,1,
12,0,635,1,
12,0,689,1,
13,1,0,0,
13,0,61,0,
13,0,112,0,
13,1,167,0,
13,0,225,0,
13,1,279,0,
13,1,328,0,
13,0,382,0,
13,0,433,0,
13,1,485,0,
13,1,542,0,
13,1,596,0,
13,1,655,0,
13,1,710,0,
13,1,762,0,
13,1,816,0,
13,1,866,0,
13,1,921,0,
13,1,975,0,
13,1,1045,0,
13,0,1128,0,
13,0,1237,0,
13,0,1294,0,
13,1,1352,0,
13,1,1403,0,
13,1,1454,0,
13,1,1503,0,
13,1,1553,0,
13,1,1605,0,
13,0,1655,1,
13,1,1705,0,
13,1,1760,0,
13,1,1805,0,
13,1,1854,0,
13,0,1905,0,
13,1,1957,0,
13,1,2006,0,
13,1,2054,0,
13,0,2103,0,
14,0,0,0,
14,0,71,1,
14,1,128,0,
14,0,187,1,
14,0,239,1,
14,0,292,1,
14,0,341,1,
14,0,396,1,
14,1,464,0,
14,0,519,1,
14,0,573,1,
14,0,622,1,
14,0,667,1,
14,0,720,1,
14,0,769,1,
14,0,820,1,
14,0,875,1,
14,0,925,0,
14,0,975,1,
14,0,1026,1,
14,0,1075,1,
14,0,1123,1,
14,1,1171,0,
14,0,1221,1,
15,1,0,0,
15,1,91,0,
15,1,144,0,
15,1,198,0,
15,1,260,0,
15,1,314,0,
15,1,371,0,
15,1,428,0,
15,1,482,0,
15,1,538,0,
15,1,601,0,
15,1,655,0,
15,1,707,0,
15,1,759,0,
15,1,809,0,
15,1,862,0,
15,1,917,0,
15,1,966,0,
15,1,1018,0,
15,1,1069,0,
15,1,1120,0,
15,1,1169,0,
15,1,1229,0,
16,0,0,1,
16,0,64,1,
16,1,123,0,
16,1,177,0,
16,1,231,0,
16,1,282,0,
16,1,337,0,
16,1,392,0,
16,1,440,0,
16,1,498,0,
16,1,550,0,
16,1,604,0,
16,1,656,0,
16,1,708,0,
16,1,782,0,
16,0,849,1,
16,0,913,1,
16,0,984,1,
16,0,1046,1,
16,0,1101,1,
16,0,1154,1,
16,0,1203,1,
16,0,1255,1,
16,0,1303,1,
16,0,1354,1,
16,0,1407,1,
16,0,1466,1,
16,0,1521,1,
16,0,1576,1,
16,0,1627,1,
16,0,1683,1,
16,0,1736,1,
16,0,1800,1,
16,0,1856,1,
16,0,1907,1,
16,0,1961,1,
17,0,0,0,
17,0,72,0,
17,1,123,0,
17,0,176,0,
17,1,225,0,
17,0,276,1,
17,0,325,0,
17,0,379,1,
17,0,429,1,
17,0,482,1,
17,0,534,1,
17,0,599,1,
17,0,654,1,
17,0,713,1,
17,0,766,1,
17,0,815,1,
17,0,864,1,
17,0,916,1,
17,0,966,1,
17,0,1013,1,
17,0,1065,1,
17,0,1124,1,
17,0,1179,0,
17,0,1232,1,
17,0,1280,1,
17,0,1329,1,
17,0,1376,1,
17,0,1425,1,
17,0,1480,1,
18,1,0,0,
18,1,57,0,
18,1,123,0,
18,1,181,0,
18,1,242,0,
18,1,296,0,
18,1,347,0,
18,1,399,0,
18,1,454,0,
18,1,507,0,
18,1,556,0,
18,1,611,0,
18,1,664,0,
18,1,729,0,
18,1,802,0,
18,1,895,0,
18,1,964,0,
19,0,0,0,
19,1,52,0,
19,1,105,0,
19,0,154,0,
19,0,208,0,
19,0,262,0,
19,0,318,0,
19,0,374,1,
19,0,424,1,
19,0,484,1,
19,0,538,1,
19,0,593,1,
19,0,649,1,
19,0,726,1,
19,0,808,1,
19,0,910,1,
20,0,0,1,
20,0,50,0,
20,0,102,1,
20,0,155,1,
20,0,202,0,
20,0,250,1,
20,0,297,1,
20,0,347,1,
20,0,398,1,
20,0,462,1,
20,0,544,1,
20,0,661,1,
20,0,725,1,
20,0,788,1,
20,0,853,1,
20,0,919,1,
20,0,981,1,
20,0,1037,0,
20,0,1087,0,
20,1,1139,0,
20,0,1196,0,
20,1,1249,0,
20,0,1298,0,
20,0,1342,0,
20,0,1393,0,
20,0,1441,1,
20,0,1491,0,
21,1,0,0,
21,0,60,0,
21,0,112,0,
21,0,164,1,
21,1,214,0,
21,1,266,0,
21,1,317,0,
21,1,371,0,
21,1,423,0,
21,1,476,0,
21,1,529,0,
21,1,579,0,
21,1,633,0,
21,1,685,0,
21,1,740,0,
21,1,795,0,
21,1,851,0,
21,1,907,0,
21,1,962,0,
21,1,1014,0,
21,1,1067,0,
21,1,1121,0,
21,1,1173,0,
21,1,1222,0,
21,1,1274,0,
21,1,1326,0,
21,1,1380,0,
21,1,1432,0,
21,0,1485,0,
22,0,0,1,
22,0,55,0,
22,0,110,0,
22,0,157,1,
22,1,209,0,
22,0,266,1,
22,0,321,1,
22,0,374,1,
22,0,427,1,
22,0,482,1,
22,0,536,1,
22,0,593,1,
22,0,648,1,
22,0,702,1,
22,0,749,1,
22,0,807,1,
22,0,855,1,
22,0,905,1,
22,0,953,1,
22,0,1001,1,
22,0,1048,1,
22,0,1095,1,
22,0,1144,1,
22,0,1193,1,
22,0,1246,1,
22,0,1296,1,
23,1,0,0,
23,0,80,0,
23,1,139,0,
23,0,203,1,
23,0,272,0,
23,0,343,0,
23,0,399,0,
23,1,454,0,
23,0,512,0,
23,0,566,0,
23,1,622,0,
23,1,680,0,
23,1,738,0,
23,0,805,0,
23,1,872,0,
23,1,938,0,
23,1,1002,0,
23,1,1067,0,
23,1,1133,0,
23,1,1199,0,
23,0,1267,0,
23,1,1336,0,
23,0,1402,0,
23,0,1467,1,
23,0,1545,1,
23,1,1606,0,
23,0,1666,0,
23,1,1724,0,
23,0,1783,0,
23,0,1846,0,
23,1,1914,0,
23,0,1977,0,
23,0,2037,0,
24,0,0,0,
24,0,54,1,
24,0,109,1,
24,0,157,1,
24,0,213,1,
24,0,266,1,
24,0,314,1,
24,0,366,1,
24,0,421,1,
24,0,469,1,
24,0,534,1,
24,0,614,1,
24,0,711,1,
24,0,775,1,
24,0,830,1,
24,0,885,1,
24,0,936,1,
24,0,987,1,
24,0,1038,1,
24,0,1090,1,
24,0,1142,1,
24,0,1196,1,
24,0,1246,1,
24,0,1302,1,
24,0,1353,1,
24,0,1406,1,
24,0,1463,1,
24,0,1515,1,
24,0,1569,1,
24,0,1626,1,
24,0,1676,1,
24,0,1731,1,
24,0,1781,1,
24,0,1838,1,
24,0,1887,1,
24,0,1942,1,
24,0,1995,1,
24,1,2046,0,
24,0,2109,1,
24,0,2162,1,
24,0,2210,1,
24,0,2265,0,
24,0,2317,0,
25,0,0,0,
25,0,57,0,
25,1,108,0,
25,0,159,0,
25,1,209,0,
25,0,259,0,
25,0,312,0,
25,1,362,0,
25,0,412,0,
25,0,465,1,
25,0,514,0,
25,0,563,0,
25,0,615,0,
25,1,666,0,
25,0,715,1,
25,0,770,1,
25,0,825,1,
25,0,879,0,
25,0,931,0,
25,0,984,1,
25,0,1043,0,
25,0,1097,1,
25,0,1148,0,
25,0,1200,0,
25,1,1251,0,
25,0,1307,1,
25,0,1358,1,
25,0,1405,1,
25,0,1455,0,
25,0,1510,1,
26,0,0,0,
26,0,51,0,
26,0,101,0,
26,0,155,0,
26,1,208,0,
26,0,259,1,
26,0,307,0,
26,0,363,1,
26,0,417,1,
26,0,470,1,
26,0,526,1,
26,0,581,1,
26,0,632,1,
26,0,686,1,
26,0,737,1,
26,0,795,1,
26,0,842,1,
26,0,895,1,
26,0,948,1,
26,0,997,1,
26,0,1048,1,
26,0,1101,1,
26,0,1153,1,
26,0,1206,1,
26,0,1255,0,
26,0,1303,1,
26,1,1356,0,
26,0,1414,0,
26,0,1461,0,
26,0,1508,1,
26,0,1561,0,
26,0,1613,1,
27,0,0,0,
27,0,51,0,
27,1,107,0,
27,0,159,0,
27,1,212,0,
27,0,263,0,
27,0,320,0,
27,0,384,1,
27,0,436,1,
27,0,493,1,
27,0,546,1,
27,0,603,1,
27,0,658,1,
27,0,716,1,
27,0,770,1,
27,0,822,1,
27,0,876,1,
27,0,927,1,
27,0,977,1,
27,0,1032,1,
27,0,1081,1,
27,0,1133,1,
27,0,1188,1,
27,0,1240,1,
27,0,1291,1,
27,0,1340,1,
28,0,0,0,
28,0,57,0,
28,1,109,0,
28,1,161,0,
28,0,212,0,
28,1,261,0,
28,1,314,0,
28,1,368,0,
28,1,424,0,
28,1,478,0,
28,1,539,0,
28,1,592,0,
28,1,643,0,
28,1,695,0,
28,1,747,0,
28,1,803,0,
28,1,856,0,
28,1,910,0,
28,1,966,0,
28,1,1016,0,
28,1,1069,0,
28,1,1120,0,
28,1,1172,0,
28,1,1223,0,
28,1,1272,0,
28,1,1321,0,
28,0,1370,0,
28,1,1427,0,
29,0,0,0,
29,0,52,1,
29,0,104,0,
29,0,158,0,
29,0,210,1,
29,0,260,0,
29,0,311,1,
29,0,362,1,
29,0,411,1,
29,0,460,1,
29,0,516,1,
29,0,569,1,
29,0,619,1,
29,0,677,1,
29,0,728,1,
29,0,783,1,
29,0,856,1,
29,0,945,1,
29,0,1044,1,
29,0,1102,1,
29,0,1158,1,
29,0,1210,1,
29,0,1259,1,
29,0,1315,1,
29,0,1368,1,
29,0,1419,1,
29,0,1471,1,
29,0,1519,1,
