trial,_right_canvas,_left_canvas,times,Unnamed: 4
6,0,1,0,
6,0,1,152,
6,0,1,204,
6,0,1,264,
6,0,1,314,
6,0,1,368,
6,0,1,431,
6,0,1,510,
6,0,1,580,
6,0,1,643,
6,0,1,708,
6,0,1,773,
6,0,1,831,
6,0,1,883,
6,0,1,933,
6,0,1,990,
6,0,1,1043,
6,0,1,1095,
6,0,1,1158,
6,0,1,1213,
6,0,1,1266,
6,0,1,1321,
6,0,1,1379,
6,1,0,1433,
6,0,1,1490,
6,0,1,1539,
6,0,0,1595,
6,0,1,1650,
6,0,1,1705,
6,0,0,1758,
6,1,0,1815,
6,1,0,1868,
6,1,0,1925,
6,1,0,1978,
6,1,0,2030,
6,0,1,2083,
6,0,1,2137,
6,1,0,2187,
6,1,0,2242,
7,0,1,0,
7,1,0,137,
7,0,0,188,
7,0,1,246,
7,0,1,301,
7,0,1,364,
7,1,0,418,
7,0,0,468,
7,1,0,528,
7,1,0,586,
7,1,0,645,
7,1,0,700,
7,1,0,755,
7,1,0,815,
7,1,0,869,
7,1,0,917,
7,1,0,974,
7,1,0,1029,
7,1,0,1086,
7,1,0,1153,
7,1,0,1205,
7,1,0,1264,
7,1,0,1323,
7,1,0,1383,
7,1,0,1455,
7,0,0,1525,
7,0,1,1600,
7,0,1,1682,
7,0,1,1757,
7,0,1,1814,
7,0,1,1865,
7,0,0,1918,
7,1,0,1977,
7,0,0,2032,
7,1,0,2090,
7,0,0,2164,
7,0,1,2242,
7,1,0,2315,
8,0,1,0,
8,0,0,63,
8,0,1,115,
8,0,1,171,
8,0,1,229,
8,0,1,285,
8,0,1,337,
8,0,1,398,
8,0,1,458,
8,0,1,518,
8,0,1,571,
8,0,1,630,
8,0,1,687,
8,0,1,737,
8,0,1,791,
8,0,1,847,
8,0,1,897,
8,0,1,951,
8,0,1,1009,
8,0,1,1066,
8,0,1,1138,
8,0,1,1199,
8,0,1,1254,
8,0,1,1315,
8,0,1,1372,
8,0,1,1428,
8,0,1,1489,
8,0,1,1548,
8,0,1,1603,
7,1,0,0,
7,0,1,176,
7,0,1,240,
7,1,0,318,
7,1,0,628,
7,1,0,922,
7,1,0,1045,
8,1,0,0,
8,0,1,56,
8,0,1,112,
8,0,0,163,
8,1,0,218,
8,0,1,271,
8,0,1,317,
8,0,1,377,
8,0,0,438,
8,0,0,495,
8,1,0,551,
8,0,1,609,
8,0,1,668,
8,0,0,726,
8,0,0,784,
8,0,1,840,
8,0,1,894,
8,0,1,946,
8,0,1,999,
8,0,1,1052,
8,0,1,1106,
8,0,1,1162,
8,0,1,1214,
10,0,1,0,
10,0,1,73,
10,0,1,132,
10,0,1,184,
10,0,0,236,
10,0,1,292,
10,1,0,355,
10,1,0,413,
10,1,0,472,
10,1,0,551,
10,0,0,625,
10,1,0,703,
10,1,0,779,
10,0,0,852,
10,0,0,906,
10,1,0,964,
10,1,0,1014,
10,1,0,1069,
10,1,0,1128,
10,1,0,1185,
10,1,0,1239,
10,1,0,1291,
10,0,0,1341,
10,1,0,1394,
10,1,0,1448,
10,0,1,1497,
10,0,1,1550,
10,0,1,1601,
10,0,1,1652,
10,0,1,1705,
10,0,1,1759,
10,0,1,1810,
10,0,1,1863,
10,0,1,1917,
10,0,1,1966,
10,0,1,2022,
10,0,1,2080,
10,0,1,2138,
10,0,1,2195,
10,0,0,2251,
10,0,1,2307,
10,0,0,2361,
10,0,0,2411,
10,1,0,2464,
10,0,1,2516,
10,0,1,2569,
10,0,1,2627,
10,0,1,2686,
10,0,1,2743,
10,1,0,2794,
10,1,0,2847,
10,1,0,2903,
10,1,0,2957,
10,1,0,3007,
10,0,1,3063,
10,0,1,3119,
10,0,1,3174,
10,0,1,3229,
10,0,1,3280,
10,0,1,3337,
11,1,0,0,
11,0,0,56,
11,0,1,110,
11,0,0,163,
11,0,0,218,
11,1,0,273,
11,0,0,324,
11,1,0,376,
11,1,0,428,
