trial,_left_canvas,times,_right_canvas,Unnamed: 4
6,1,0,0,
6,1,38,0,
6,1,70,0,
6,1,103,0,
6,1,139,0,
6,1,176,0,
6,1,208,0,
6,1,241,0,
6,1,273,0,
6,1,305,0,
6,1,339,0,
6,1,374,0,
6,1,409,0,
6,1,441,0,
6,1,471,0,
6,1,502,0,
6,1,533,0,
6,1,568,0,
6,1,601,0,
6,1,635,0,
6,1,669,0,
6,1,703,0,
6,1,735,0,
6,1,768,0,
6,1,801,0,
6,1,834,0,
6,1,867,0,
6,1,901,0,
6,1,934,0,
6,1,969,0,
6,1,1002,0,
6,1,1035,0,
6,1,1069,0,
6,1,1100,0,
6,1,1133,0,
6,1,1167,0,
6,1,1200,0,
6,1,1235,0,
6,1,1266,0,
6,1,1301,0,
6,1,1335,0,
6,1,1370,0,
6,1,1401,0,
6,1,1434,0,
6,1,1473,0,
6,1,1528,0,
6,1,1566,0,
6,1,1600,0,
6,1,1633,0,
6,1,1667,0,
6,1,1700,0,
6,1,1734,0,
6,1,1767,0,
7,0,0,0,
7,0,35,1,
7,0,65,1,
7,0,100,1,
7,0,132,1,
7,0,165,1,
7,0,197,1,
7,1,227,0,
7,0,259,1,
7,1,290,0,
7,0,324,1,
7,0,358,1,
7,0,392,1,
7,0,427,1,
7,0,460,1,
7,0,492,1,
7,0,525,1,
7,0,559,1,
7,0,593,1,
7,0,627,1,
7,0,660,1,
7,0,693,1,
7,0,730,1,
7,0,761,1,
7,0,793,1,
7,0,828,1,
7,0,861,1,
7,0,894,1,
7,0,943,1,
7,0,976,1,
7,0,1010,1,
7,0,1043,1,
7,0,1077,1,
8,1,0,0,
8,1,36,0,
8,1,67,0,
8,1,98,0,
8,1,130,0,
8,1,163,0,
8,1,196,0,
8,1,230,0,
8,1,266,0,
8,1,303,0,
8,1,339,0,
8,1,372,0,
8,1,403,0,
8,1,433,0,
8,1,466,0,
8,1,502,0,
8,1,534,0,
8,1,566,0,
8,1,607,0,
8,1,655,0,
8,1,686,0,
8,1,718,0,
8,1,747,0,
8,1,785,0,
8,1,816,0,
8,1,847,0,
8,1,880,0,
8,1,914,0,
8,1,948,0,
8,1,980,0,
8,1,1014,0,
8,1,1048,0,
8,1,1081,0,
8,1,1118,0,
8,1,1151,0,
8,1,1182,0,
8,1,1214,0,
8,1,1247,0,
8,1,1280,0,
8,1,1314,0,
8,1,1347,0,
8,1,1381,0,
8,1,1416,0,
8,1,1464,0,
8,1,1497,0,
8,1,1530,0,
8,1,1563,0,
8,1,1596,0,
8,1,1629,0,
10,0,0,1,
10,0,33,1,
10,0,66,1,
10,0,99,1,
10,0,132,1,
10,0,166,1,
10,0,200,1,
10,0,233,1,
10,0,266,0,
10,0,299,1,
10,0,333,1,
10,0,376,1,
10,0,429,1,
10,0,460,1,
10,0,493,1,
10,0,526,1,
10,0,561,1,
10,0,595,1,
10,0,630,1,
10,0,664,1,
10,0,697,1,
10,0,727,1,
10,0,758,1,
10,0,793,1,
10,0,826,1,
10,0,860,1,
10,0,892,1,
10,0,924,1,
10,0,959,1,
10,0,988,1,
10,0,1018,1,
10,0,1051,1,
11,1,0,0,
11,0,35,1,
11,0,67,1,
11,1,98,0,
11,0,130,1,
11,0,162,1,
11,0,195,1,
11,0,228,1,
11,1,261,0,
11,1,296,0,
11,1,328,0,
11,1,363,0,
11,1,395,0,
11,1,428,0,
11,1,462,0,
11,1,495,0,
11,1,528,0,
11,0,561,1,
11,0,597,1,
11,0,629,1,
11,0,662,1,
11,0,695,1,
11,0,730,1,
11,0,761,1,
11,0,794,1,
11,0,827,1,
11,0,860,1,
11,0,894,1,
11,0,927,1,
11,0,960,1,
11,0,993,1,
11,0,1023,1,
11,0,1054,1,
11,0,1085,1,
11,0,1116,1,
11,0,1148,1,
12,1,0,0,
12,1,32,0,
12,0,65,0,
12,0,98,0,
12,1,132,0,
12,1,165,0,
12,1,198,0,
12,1,231,0,
12,1,268,0,
12,1,300,0,
12,1,332,0,
12,1,366,0,
12,1,399,0,
12,1,432,0,
12,1,465,0,
12,1,498,0,
12,1,531,0,
12,1,565,0,
12,1,598,0,
12,1,631,0,
12,1,661,0,
12,1,698,0,
12,1,731,0,
12,1,764,0,
12,1,798,0,
12,1,831,0,
12,1,864,0,
13,1,0,0,
13,0,35,1,
13,0,67,0,
13,0,102,0,
13,0,134,0,
13,0,167,1,
13,0,200,1,
13,0,233,0,
13,0,266,0,
13,1,299,0,
