trial,_right_canvas,times,_left_canvas,Unnamed: 4
6,0,0,1,
6,0,59,1,
6,0,116,1,
6,0,175,1,
6,1,234,0,
6,0,293,1,
6,0,349,1,
6,0,407,1,
6,0,468,1,
6,0,528,0,
6,0,586,1,
6,0,646,1,
6,0,732,1,
6,0,798,1,
6,0,852,1,
6,0,908,1,
6,0,967,1,
6,0,1025,1,
6,0,1093,1,
6,0,1153,1,
6,0,1214,1,
6,0,1271,1,
6,0,1328,1,
6,0,1385,0,
6,0,1444,1,
6,0,1501,1,
6,0,1560,1,
7,1,0,0,
7,1,64,0,
7,1,121,0,
7,1,175,0,
7,1,231,0,
7,1,291,0,
7,0,349,1,
7,0,406,1,
7,0,462,1,
7,0,518,0,
7,0,574,0,
7,0,629,0,
7,1,685,0,
7,0,739,1,
7,0,795,0,
7,1,852,0,
7,1,908,0,
7,1,968,0,
7,1,1023,0,
7,1,1086,0,
7,1,1141,0,
7,1,1199,0,
7,0,1255,1,
7,1,1311,0,
7,1,1366,0,
7,1,1424,0,
7,0,1485,1,
7,1,1548,0,
7,1,1603,0,
7,1,1657,0,
7,1,1717,0,
7,0,1776,1,
7,0,1834,1,
7,1,1889,0,
7,1,1948,0,
7,1,2010,0,
7,1,2068,0,
7,1,2125,0,
7,1,2185,0,
7,1,2243,0,
7,1,2303,0,
7,1,2358,0,
7,0,2418,0,
7,1,2476,0,
8,0,0,1,
8,0,60,1,
8,0,127,1,
8,0,188,1,
8,0,247,1,
8,0,303,1,
8,0,363,1,
8,0,422,1,
8,0,482,1,
8,0,542,1,
8,0,600,1,
8,0,656,1,
8,0,712,1,
8,0,773,1,
8,0,830,1,
8,0,889,1,
8,0,946,0,
8,0,1008,1,
8,0,1068,1,
8,0,1132,1,
7,1,0,0,
7,1,61,0,
7,1,117,0,
7,0,173,1,
7,0,229,1,
7,0,288,0,
7,0,345,0,
7,1,407,0,
7,1,461,0,
7,0,520,1,
7,1,580,0,
7,1,641,0,
7,1,699,0,
7,1,755,0,
7,1,813,0,
7,0,873,0,
7,1,933,0,
7,1,986,0,
7,1,1045,0,
7,0,1103,1,
7,1,1163,0,
7,1,1220,0,
7,1,1278,0,
8,0,0,1,
8,0,61,1,
8,0,120,1,
8,0,178,1,
8,0,237,1,
8,0,295,0,
8,0,351,0,
8,1,412,0,
8,1,468,0,
8,1,525,0,
8,1,586,0,
8,0,643,0,
8,0,702,1,
8,0,759,1,
8,0,819,1,
8,0,881,1,
8,0,936,1,
8,0,995,1,
8,0,1049,1,
8,0,1107,1,
8,1,1169,0,
8,0,1425,1,
10,0,0,1,
10,1,61,0,
10,0,120,1,
10,1,177,0,
10,1,232,0,
10,1,289,0,
10,1,345,0,
10,1,404,0,
10,0,461,1,
10,0,547,1,
10,0,614,1,
10,0,670,1,
10,0,731,1,
10,0,788,0,
10,0,846,0,
10,1,903,0,
10,0,962,0,
10,0,1020,0,
10,0,1078,1,
10,0,1133,0,
10,0,1187,0,
10,0,1239,0,
10,0,1298,0,
10,0,1355,0,
10,0,1416,0,
10,0,1471,0,
10,0,1528,1,
10,1,1585,0,
10,0,1639,0,
10,1,1694,0,
10,1,1749,0,
10,1,1805,0,
10,1,1862,0,
10,1,1920,0,
10,1,1978,0,
10,0,2051,1,
10,0,2121,1,
10,0,2184,1,
10,0,2241,1,
10,0,2300,1,
10,0,2361,1,
10,0,2418,1,
10,1,2478,0,
10,0,2535,1,
10,0,2595,1,
10,0,2653,1,
10,0,2708,1,
10,0,2762,1,
10,0,2820,1,
11,0,0,1,
11,0,62,1,
11,1,119,0,
11,0,174,0,
11,1,231,0,
11,1,290,0,
11,0,347,1,
11,1,401,0,
11,1,459,0,
11,1,515,0,
11,1,575,0,
11,0,632,1,
11,0,691,1,
11,0,746,1,
11,0,806,1,
11,0,861,1,
11,0,917,1,
11,0,971,1,
11,0,1026,1,
11,0,1084,1,
11,0,1139,1,
11,0,1201,1,
11,0,1259,1,
11,0,1315,1,
11,0,1373,1,
11,0,1429,1,
11,0,1487,1,
11,0,1543,1,
11,0,1600,1,
11,0,1659,1,
11,0,1713,1,
12,0,0,0,
12,1,63,0,
12,1,118,0,
12,1,176,0,
12,0,234,0,
12,1,291,0,
12,1,350,0,
12,1,409,0,
12,0,469,0,
12,0,526,1,
12,0,584,1,
12,0,641,1,
12,0,697,1,
12,0,754,1,
12,0,813,1,
12,0,871,1,
12,0,933,0,
12,0,989,1,
12,0,1048,1,
12,0,1104,0,
12,0,1162,1,
12,1,1225,0,
12,1,1284,0,
12,1,1340,0,
12,1,1399,0,
12,1,1457,0,
12,1,1515,0,
12,0,1573,0,
12,0,1632,1,
12,0,1699,1,
12,0,1765,1,
12,0,1821,1,
12,0,1874,0,
12,0,1933,1,
12,0,1994,1,
13,1,0,0,
13,1,62,0,
13,0,118,0,
13,1,176,0,
13,0,231,0,
13,1,292,0,
13,1,348,0,
13,1,403,0,
13,1,462,0,
13,1,518,0,
13,0,579,1,
13,1,636,0,
13,1,691,0,
13,0,748,1,
13,1,804,0,
13,1,863,0,
13,1,921,0,
13,1,982,0,
13,1,1038,0,
13,1,1096,0,
13,1,1159,0,
13,0,1216,0,
13,0,1272,1,
13,1,1332,0,
13,1,1391,0,
13,1,1450,0,
13,0,1508,1,
13,0,1565,1,
13,0,1624,1,
13,0,1683,1,
13,0,1742,0,
13,0,1799,0,
13,0,1854,0,
13,0,1913,0,
13,0,1969,0,
13,1,2024,0,
13,1,2083,0,
13,0,2139,0,
13,0,2197,0,
13,1,2254,0,
13,0,2313,0,
13,0,2376,0,
13,0,2436,0,
13,0,2493,0,
13,0,2550,0,
13,0,2604,0,
13,1,2663,0,
13,1,2721,0,
14,0,0,1,
14,1,58,0,
14,0,114,0,
14,1,170,0,
14,0,230,1,
14,0,287,1,
14,0,344,1,
14,0,403,1,
14,0,460,1,
14,0,521,1,
14,1,579,0,
14,1,636,0,
14,1,693,0,
14,1,753,0,
14,1,810,0,
14,1,891,0,
14,1,968,0,
14,1,1027,0,
14,1,1087,0,
14,1,1145,0,
14,1,1203,0,
14,1,1257,0,
14,0,1314,0,
14,0,1369,0,
14,0,1426,0,
14,0,1479,0,
14,0,1537,0,
14,0,1594,0,
14,0,1654,0,
14,0,1715,0,
14,0,1771,0,
14,0,1830,0,
14,0,1888,0,
