trial,_right_canvas,_left_canvas,times,Unnamed: 4
6,1,0,0,
6,0,1,68,
6,0,1,122,
6,0,1,177,
6,0,1,234,
6,0,0,287,
6,0,1,339,
6,0,1,398,
6,0,1,447,
6,0,1,504,
6,0,1,565,
6,0,1,621,
6,0,1,682,
6,0,1,752,
6,0,1,830,
6,0,1,896,
6,0,1,951,
6,0,1,1004,
6,0,1,1060,
6,0,1,1117,
6,0,1,1180,
7,0,1,0,
7,1,0,62,
7,1,0,117,
7,0,1,174,
7,0,1,234,
7,0,0,297,
7,0,0,355,
7,1,0,408,
7,1,0,470,
7,1,0,533,
7,1,0,612,
7,1,0,678,
7,1,0,747,
7,1,0,814,
7,1,0,903,
7,1,0,957,
7,1,0,1014,
7,1,0,1073,
7,1,0,1146,
7,1,0,1206,
7,0,0,1268,
7,0,0,1330,
7,0,0,1388,
7,1,0,1444,
8,0,1,0,
8,0,1,70,
8,0,1,128,
8,0,1,187,
8,0,0,245,
8,0,0,295,
8,0,0,351,
8,1,0,409,
8,1,0,465,
8,0,1,529,
8,0,1,586,
8,0,1,642,
8,0,1,715,
8,0,1,777,
8,0,1,834,
8,0,1,898,
8,0,1,959,
8,0,1,1019,
8,0,1,1078,
8,0,1,1133,
8,0,1,1191,
7,0,1,0,
7,0,1,55,
7,1,0,107,
7,0,1,167,
7,0,1,224,
7,0,1,285,
7,0,1,338,
7,1,0,392,
7,1,0,448,
7,1,0,501,
7,1,0,555,
7,1,0,610,
7,1,0,672,
7,1,0,726,
7,1,0,787,
7,1,0,836,
7,0,1,891,
7,0,1,946,
7,0,1,1000,
7,0,1,1061,
7,0,1,1115,
7,0,1,1161,
7,0,1,1214,
7,0,1,1268,
7,0,1,1319,
7,0,1,1369,
7,0,1,1420,
7,0,1,1479,
7,0,1,1528,
7,0,1,1592,
7,1,0,1644,
7,0,0,1702,
7,1,0,1752,
7,1,0,1797,
7,1,0,1849,
7,1,0,1906,
7,0,0,1960,
7,1,0,2018,
7,1,0,2072,
7,1,0,2132,
7,1,0,2189,
7,1,0,2264,
7,1,0,2347,
7,1,0,2404,
7,1,0,2458,
7,1,0,2518,
7,1,0,2565,
7,1,0,2624,
7,1,0,2684,
7,1,0,2737,
7,1,0,2797,
7,1,0,2856,
7,0,1,2911,
7,1,0,2973,
7,0,1,3035,
7,0,1,3084,
7,0,1,3134,
7,0,1,3190,
7,0,1,3258,
7,0,1,3311,
7,0,1,3365,
7,0,1,3413,
7,0,1,3472,
7,0,1,3523,
7,0,1,3578,
7,0,1,3634,
7,0,1,3692,
7,0,1,3747,
7,0,1,3803,
7,0,1,3856,
7,0,1,3904,
7,0,1,3953,
7,0,1,4009,
7,0,1,4065,
7,0,1,4121,
7,0,1,4173,
7,0,1,4226,
7,0,1,4274,
7,0,1,4341,
7,0,1,4396,
7,0,1,4449,
7,0,1,4502,
7,0,1,4554,
7,0,1,4602,
7,0,1,4654,
7,0,1,4704,
7,0,1,4755,
7,1,0,4804,
7,1,0,4852,
7,1,0,4906,
7,1,0,4980,
7,1,0,5038,
7,1,0,5092,
7,1,0,5144,
7,1,0,5201,
7,1,0,5254,
7,1,0,5309,
7,1,0,5368,
7,1,0,5421,
7,1,0,5474,
7,1,0,5530,
7,1,0,5591,
7,0,0,5649,
7,1,0,5715,
7,1,0,5773,
7,1,0,5836,
7,1,0,5888,
7,0,1,5941,
7,0,0,6014,
7,1,0,6159,
7,1,0,6247,
7,1,0,6319,
7,1,0,6387,
7,1,0,6449,
7,1,0,6514,
7,1,0,6570,
7,1,0,6626,
7,1,0,6728,
8,1,0,0,
8,0,0,59,
8,0,1,118,
8,0,1,174,
8,0,0,226,
8,0,1,282,
8,1,0,345,
8,1,0,404,
8,1,0,464,
8,1,0,523,
8,1,0,587,
8,1,0,650,
8,1,0,711,
8,1,0,771,
8,1,0,824,
8,1,0,940,
10,0,0,0,
10,1,0,82,
10,0,1,150,
10,0,0,233,
10,0,1,319,
10,0,1,405,
10,1,0,468,
10,1,0,535,
10,1,0,613,
10,1,0,684,
10,1,0,948,
10,1,0,1013,
10,1,0,1319,
10,1,0,1377,
10,1,0,1443,
11,0,1,0,
11,0,1,70,
11,0,1,126,
11,0,1,176,
11,0,1,240,
11,1,0,304,
11,0,1,361,
11,0,1,432,
11,0,1,496,
11,0,1,562,
11,0,1,637,
11,0,1,719,
11,0,1,806,
12,1,0,0,
12,0,1,105,
12,0,1,193,
12,1,0,296,
12,1,0,395,
