trial,_right_canvas,_left_canvas,times,Unnamed: 4
6,0,1,0,
6,1,0,39,
6,0,0,75,
6,0,0,109,
6,0,0,147,
6,1,0,193,
6,1,0,231,
6,0,1,265,
6,0,1,300,
6,0,1,339,
6,1,0,377,
6,1,0,415,
6,0,1,453,
6,0,0,489,
6,1,0,530,
6,0,1,585,
6,1,0,647,
6,1,0,682,
6,1,0,718,
6,1,0,755,
6,1,0,819,
6,0,1,855,
6,1,0,894,
6,0,0,931,
6,1,0,968,
6,1,0,1005,
6,0,0,1054,
6,0,1,1088,
6,0,1,1130,
6,1,0,1180,
6,0,1,1238,
6,0,1,1272,
6,0,1,1344,
6,0,1,1382,
6,1,0,1419,
6,1,0,1458,
6,1,0,1504,
6,1,0,1545,
6,0,1,1578,
6,0,1,1620,
6,0,0,1672,
6,0,1,1709,
6,0,1,1774,
6,1,0,1813,
6,0,1,1850,
6,1,0,1887,
6,0,0,1921,
6,0,0,1955,
6,1,0,1992,
6,0,1,2030,
6,0,1,2069,
6,0,1,2107,
6,0,1,2142,
6,0,1,2181,
6,0,1,2220,
6,0,1,2257,
6,0,1,2291,
6,0,1,2348,
6,0,1,2382,
6,0,1,2422,
6,0,1,2465,
6,0,1,2498,
7,0,0,0,
7,1,0,40,
7,0,1,87,
7,1,0,121,
7,1,0,174,
7,1,0,210,
7,0,1,250,
7,1,0,289,
7,0,1,321,
7,1,0,359,
7,1,0,401,
7,1,0,434,
7,0,0,471,
7,1,0,508,
7,1,0,542,
7,1,0,579,
7,0,1,613,
7,1,0,648,
7,0,1,686,
7,1,0,720,
7,1,0,757,
7,1,0,795,
7,1,0,829,
7,1,0,863,
7,1,0,899,
7,0,0,937,
7,1,0,974,
7,1,0,1011,
7,1,0,1049,
7,1,0,1087,
8,1,0,0,
8,0,0,35,
8,0,1,70,
8,0,1,128,
8,1,0,167,
8,0,0,204,
8,0,1,241,
8,0,1,274,
8,0,0,316,
8,0,0,350,
8,0,1,388,
8,0,0,421,
8,0,1,460,
8,1,0,500,
8,0,1,534,
8,1,0,570,
8,0,1,606,
8,0,1,641,
8,0,0,675,
8,0,0,711,
8,0,1,746,
8,0,1,782,
8,0,1,818,
8,1,0,855,
8,1,0,888,
8,1,0,925,
8,0,0,963,
8,0,0,1002,
8,0,1,1051,
8,1,0,1091,
8,0,0,1128,
7,0,1,0,
7,0,1,36,
