trial,_left_canvas,_right_canvas,times,Unnamed: 4
6,1,0,0,
6,1,0,73,
6,0,1,148,
6,1,0,213,
6,0,1,281,
6,0,0,350,
6,0,0,419,
6,1,0,502,
6,1,0,586,
6,1,0,675,
6,1,0,755,
6,1,0,835,
6,1,0,916,
6,1,0,999,
6,1,0,1083,
6,1,0,1154,
6,1,0,1229,
7,0,1,0,
7,0,1,95,
7,0,1,169,
7,0,1,241,
7,0,1,315,
7,1,0,388,
7,0,1,451,
7,0,1,518,
7,0,1,588,
7,0,1,667,
7,0,1,760,
7,0,1,842,
7,0,1,923,
7,0,1,1000,
7,0,1,1107,
7,0,1,1175,
7,0,1,1258,
7,0,1,1334,
8,1,0,0,
8,1,0,66,
8,1,0,148,
8,1,0,217,
8,1,0,288,
8,1,0,358,
8,1,0,431,
8,1,0,511,
8,1,0,599,
8,1,0,682,
8,1,0,785,
8,1,0,865,
8,1,0,945,
8,1,0,1018,
8,1,0,1102,
8,1,0,1192,
7,0,1,0,
7,1,0,73,
7,1,0,174,
7,1,0,262,
7,0,0,331,
7,0,1,397,
7,0,1,473,
7,0,0,570,
7,0,1,657,
7,0,1,737,
7,0,1,811,
7,0,1,882,
8,0,1,0,
8,0,1,162,
8,0,0,306,
8,1,0,462,
8,0,1,604,
8,0,1,709,
10,1,0,0,
10,1,0,95,
10,0,0,161,
10,1,0,230,
10,1,0,301,
10,1,0,375,
10,1,0,442,
10,1,0,513,
10,1,0,594,
10,1,0,684,
10,1,0,759,
10,1,0,829,
10,1,0,912,
10,1,0,1005,
10,1,0,1089,
10,1,0,1157,
10,1,0,1234,
11,1,0,0,
11,1,0,89,
11,1,0,186,
11,1,0,262,
11,1,0,334,
11,1,0,400,
11,1,0,468,
11,1,0,535,
11,0,1,602,
11,0,1,680,
11,0,1,816,
11,0,1,914,
11,0,1,985,
11,0,1,1060,
12,1,0,0,
12,1,0,75,
12,1,0,187,
12,0,1,282,
12,1,0,356,
12,1,0,422,
12,1,0,492,
12,0,1,564,
12,0,1,631,
12,0,1,697,
12,0,1,765,
12,0,1,841,
12,0,1,927,
12,0,1,1012,
12,0,1,1083,
12,0,1,1156,
13,0,0,0,
13,0,1,100,
13,0,1,175,
13,0,1,248,
13,0,1,311,
13,1,0,378,
13,1,0,456,
13,1,0,532,
13,1,0,641,
13,1,0,729,
13,1,0,796,
13,1,0,862,
13,1,0,927,
13,1,0,1001,
14,1,0,0,
14,0,0,85,
14,1,0,158,
14,1,0,271,
14,1,0,344,
14,1,0,416,
14,0,1,486,
14,0,1,553,
14,0,1,621,
14,0,1,696,
14,0,1,788,
14,0,1,881,
14,0,1,954,
14,0,1,1024,
14,0,1,1108,
15,0,0,0,
15,0,1,100,
15,0,1,178,
15,0,0,264,
15,0,1,345,
15,0,1,427,
15,0,1,504,
15,0,1,574,
15,0,1,648,
15,0,1,729,
15,0,1,818,
16,0,0,0,
16,0,1,101,
16,0,1,172,
16,1,0,253,
16,1,0,324,
16,0,0,390,
16,0,1,461,
16,0,1,533,
16,0,1,609,
16,0,1,685,
16,0,1,756,
16,0,1,825,
16,0,1,891,
16,0,1,957,
16,0,1,1027,
16,0,1,1100,
16,0,1,1191,
17,0,1,0,
17,0,1,96,
17,0,1,176,
17,0,1,255,
17,1,0,324,
17,1,0,392,
17,1,0,462,
17,1,0,539,
17,1,0,629,
17,1,0,711,
17,1,0,792,
17,1,0,868,
17,1,0,948,
17,1,0,1035,
17,1,0,1115,
17,1,0,1194,
17,1,0,1273,
17,1,0,1349,
18,1,0,0,
18,0,1,87,
18,0,1,175,
18,1,0,258,
18,0,1,344,
18,0,1,423,
18,1,0,502,
18,1,0,587,
18,1,0,667,
18,1,0,731,
18,1,0,796,
18,1,0,870,
18,1,0,945,
18,1,0,1010,
18,1,0,1086,
19,0,1,0,
19,0,1,103,
19,0,1,169,
19,0,1,237,
19,0,1,300,
19,0,0,372,
19,1,0,445,
19,1,0,517,
19,1,0,584,
19,1,0,654,
19,1,0,756,
19,1,0,837,
19,1,0,916,
19,1,0,984,
19,1,0,1058,
20,0,0,0,
20,0,0,66,
20,0,1,158,
20,0,1,231,
20,0,1,301,
20,1,0,378,
20,0,1,453,
20,1,0,526,
20,1,0,603,
20,0,1,678,
20,0,1,752,
20,0,1,842,
20,0,1,919,
20,0,1,982,
20,0,1,1052,
20,0,1,1124,
20,0,1,1195,
20,0,1,1261,
20,0,1,1349,
21,0,1,0,
21,0,1,74,
21,0,1,142,
21,0,1,213,
21,0,1,279,
21,0,1,355,
21,1,0,425,
21,1,0,625,
21,1,0,756,
21,1,0,835,
21,1,0,914,
21,1,0,1019,
22,0,1,0,
22,1,0,93,
22,0,1,163,
22,0,1,232,
22,0,0,302,
22,0,1,372,
22,0,1,452,
22,0,1,525,
22,0,1,590,
22,0,1,656,
22,0,1,740,
22,0,1,847,
22,0,1,930,
22,0,1,997,
22,0,1,1064,
22,0,1,1135,
22,0,1,1213,
22,0,1,1285,
22,0,1,1364,
23,0,1,0,
23,0,0,95,
23,0,1,160,
23,0,1,229,
23,0,1,297,
23,0,1,369,
23,0,1,437,
23,0,1,504,
23,0,1,573,
23,0,1,641,
23,0,1,709,
23,0,1,786,
23,0,1,863,
24,1,0,0,
24,0,0,102,
24,0,1,167,
24,1,0,235,
24,0,1,306,
24,1,0,373,
24,1,0,445,
24,1,0,511,
24,0,1,579,
24,0,1,645,
24,0,1,713,
24,0,1,796,
24,0,1,887,
24,0,1,976,
24,0,1,1063,
24,0,1,1130,
24,0,1,1201,
24,0,1,1269,
25,1,0,0,
25,0,0,104,
25,0,0,177,
25,1,0,267,
25,0,0,371,
25,0,1,449,
25,0,1,521,
25,0,1,601,
25,0,1,690,
25,0,1,778,
25,0,1,854,
25,0,1,931,
25,0,1,1008,
26,1,0,0,
26,1,0,69,
26,1,0,169,
26,1,0,246,
26,0,0,339,
26,0,1,416,
26,0,1,484,
26,0,1,553,
26,0,1,624,
26,0,1,702,
26,0,1,782,
26,0,1,856,
26,0,1,949,
26,0,1,1034,
26,0,1,1114,
27,1,0,0,
27,0,0,94,
27,0,0,163,
27,1,0,255,
27,1,0,333,
27,1,0,402,
27,1,0,471,
27,1,0,546,
27,1,0,614,
27,1,0,686,
27,1,0,776,
27,1,0,871,
27,1,0,964,
27,1,0,1053,
27,1,0,1185,
27,1,0,1282,
27,1,0,1354,
27,1,0,1422,
27,1,0,1507,
27,1,0,1597,
27,1,0,1680,
27,1,0,1753,
27,1,0,1834,
28,1,0,0,
28,1,0,97,
28,1,0,165,
28,1,0,233,
28,1,0,299,
28,1,0,367,
28,1,0,436,
28,0,1,506,
28,0,1,576,
28,0,1,655,
28,0,1,744,
28,0,1,825,
28,0,1,908,
28,0,1,993,
28,0,1,1061,
28,0,1,1123,
28,0,1,1191,
28,0,1,1329,
28,0,1,1458,
28,0,1,1548,
28,0,1,1616,
29,1,0,0,
29,1,0,106,
29,1,0,171,
29,0,1,240,
29,1,0,304,
29,0,1,372,
29,0,1,442,
29,0,1,510,
29,0,1,579,
29,0,1,650,
29,0,1,719,
29,1,0,788,
29,1,0,1092,
29,0,1,1273,
29,0,1,1431,
29,0,0,1512,
29,0,0,1581,
29,0,1,1650,
29,0,1,1718,
29,0,1,1786,
29,0,1,1849,
29,1,0,1913,
29,1,0,1981,
29,1,0,2060,
29,1,0,2136,
29,1,0,2205,
29,1,0,2276,
29,0,0,2351,
29,0,1,2443,
30,0,0,0,
30,0,0,71,
30,0,0,149,
30,1,0,219,
30,0,1,288,
30,0,1,366,
30,0,1,433,
30,0,1,500,
30,0,1,567,
30,0,1,634,
30,0,1,705,
30,0,1,840,
30,0,1,932,
31,0,0,0,
31,1,0,94,
31,1,0,163,
31,0,0,232,
31,1,0,301,
31,0,1,373,
31,1,0,453,
31,1,0,541,
31,1,0,629,
31,0,0,710,
31,1,0,797,
31,0,0,880,
31,0,0,946,
31,0,0,1016,
31,1,0,1090,
31,0,0,1162,
31,1,0,1241,
32,1,0,0,
32,0,1,93,
32,0,1,201,
32,0,0,297,
32,1,0,366,
32,0,1,434,
32,0,1,499,
32,1,0,573,
32,1,0,645,
32,1,0,719,
32,1,0,802,
32,1,0,892,
32,1,0,977,
32,1,0,1058,
32,1,0,1133,
32,1,0,1199,
32,1,0,1266,
32,1,0,1343,
32,1,0,1448,
33,1,0,0,
33,1,0,102,
33,1,0,179,
33,0,0,271,
33,1,0,367,
33,1,0,449,
33,1,0,516,
33,1,0,584,
33,1,0,664,
33,1,0,728,
33,1,0,800,
33,1,0,876,
33,1,0,952,
33,1,0,1023,
33,1,0,1103,
33,0,0,1172,
33,1,0,1247,
33,1,0,1343,
33,1,0,1466,
33,1,0,1566,
34,0,0,0,
34,0,1,93,
34,0,1,162,
34,0,1,232,
34,0,1,301,
34,1,0,372,
34,1,0,456,
34,1,0,528,
34,1,0,596,
34,1,0,673,
34,1,0,777,
34,1,0,857,
34,1,0,946,
34,1,0,1018,
34,1,0,1084,
34,1,0,1151,
34,1,0,1221,
35,0,1,0,
35,0,1,91,
35,0,0,203,
35,0,0,282,
35,1,0,349,
35,0,0,420,
35,1,0,493,
35,1,0,578,
35,0,1,667,
35,0,1,749,
35,0,1,832,
35,0,1,913,
35,0,1,990,
35,0,1,1061,
35,0,1,1131,
35,0,1,1198,
35,0,1,1280,
36,0,1,0,
36,0,0,98,
36,0,0,169,
36,0,1,236,
36,0,1,306,
36,0,1,380,
36,0,1,447,
36,0,1,515,
36,0,1,586,
36,0,1,651,
36,0,1,718,
36,0,1,790,
36,0,1,863,
36,0,1,952,
37,1,0,0,
37,0,1,86,
37,0,0,165,
37,0,1,238,
37,0,1,307,
37,0,1,375,
37,1,0,445,
37,1,0,549,
37,1,0,641,
37,1,0,725,
37,1,0,811,
37,0,0,899,
37,1,0,975,
37,1,0,1049,
37,1,0,1119,
37,1,0,1187,
37,1,0,1250,
37,1,0,1329,
37,1,0,1411,
38,0,1,0,
38,0,1,100,
38,0,1,177,
38,0,1,244,
38,0,1,312,
38,0,1,379,
38,1,0,453,
38,1,0,529,
38,1,0,598,
38,1,0,662,
38,1,0,737,
38,1,0,829,
38,1,0,935,
38,1,0,1026,
38,1,0,1110,
38,1,0,1183,
38,1,0,1260,
38,1,0,1344,
39,0,0,0,
39,1,0,89,
39,0,1,161,
39,0,1,226,
39,0,1,299,
39,0,1,379,
39,0,1,447,
39,0,1,515,
39,0,1,590,
39,0,1,674,
39,0,1,763,
39,0,1,849,
39,0,1,927,
39,0,1,1003,
39,0,1,1072,
39,0,1,1141,
39,0,1,1208,
39,0,1,1290,
40,0,0,0,
40,0,1,98,
40,0,1,164,
40,0,1,234,
40,0,1,304,
40,0,1,371,
40,0,1,440,
40,0,1,509,
40,0,1,580,
40,0,1,652,
40,0,1,739,
40,0,1,817,
40,0,1,898,
40,0,1,1008,
40,0,1,1083,
40,0,1,1158,
40,0,0,1254,
41,0,0,0,
41,0,0,101,
41,0,1,167,
41,0,0,233,
41,0,1,303,
41,0,0,368,
41,0,1,434,
41,0,1,507,
41,0,1,571,
41,0,1,642,
41,0,1,714,
41,0,1,787,
41,0,1,874,
42,0,1,0,
42,0,1,86,
42,0,1,162,
42,0,1,240,
42,0,1,335,
42,0,1,417,
42,0,1,487,
42,0,1,556,
42,0,1,623,
42,0,1,690,
42,0,1,765,
42,0,1,837,
42,0,1,908,
42,0,1,973,
42,0,1,1079,
43,1,0,0,
43,0,0,75,
43,1,0,167,
43,0,1,233,
43,0,0,308,
43,0,1,377,
43,1,0,445,
43,0,1,517,
43,0,1,582,
43,0,1,649,
43,0,1,716,
43,0,1,785,
43,0,1,859,
43,0,1,932,
43,0,1,996,
43,0,1,1066,
43,0,0,1155,
44,0,1,0,
44,0,0,85,
44,1,0,159,
44,1,0,225,
44,1,0,298,
44,1,0,363,
44,0,0,429,
44,0,1,497,
44,0,1,562,
44,0,1,628,
44,0,1,696,
44,0,1,789,
44,0,1,877,
44,0,1,960,
44,0,1,1032,
44,0,1,1116,
44,0,1,1205,
44,0,1,1288,
44,0,1,1384,
44,0,1,1483,
45,0,1,0,
45,0,1,69,
45,0,1,174,
45,1,0,254,
45,1,0,324,
45,1,0,391,
45,0,1,465,
45,0,1,533,
45,0,1,601,
45,0,1,671,
45,0,1,736,
45,0,1,808,
45,0,1,887,
45,0,1,979,
46,0,1,0,
46,0,1,91,
46,0,0,159,
46,0,0,227,
46,0,1,298,
46,0,1,368,
46,0,1,436,
46,0,1,503,
46,0,1,572,
46,0,1,640,
46,0,1,710,
46,0,1,776,
46,0,1,850,
46,0,1,940,
47,1,0,0,
47,1,0,72,
47,0,0,162,
47,0,0,234,
47,0,1,303,
47,0,1,373,
47,0,1,438,
47,0,0,506,
47,0,1,575,
47,1,0,645,
47,1,0,714,
47,1,0,790,
47,1,0,857,
47,1,0,936,
47,1,0,1027,
47,1,0,1112,
47,1,0,1192,
47,1,0,1281,
47,1,0,1357,
47,1,0,1423,
47,1,0,1490,
47,1,0,1557,
47,1,0,1625,
47,1,0,1703,
47,1,0,1787,
