trial,times,_left_canvas,_right_canvas,Unnamed: 4
6,0,0,0,
6,38,0,0,
6,69,0,0,
6,106,0,0,
6,140,1,0,
6,175,0,0,
6,206,0,1,
6,241,1,0,
6,273,0,1,
6,299,1,0,
6,332,1,0,
6,365,0,0,
6,399,0,0,
6,432,0,1,
6,466,0,1,
6,499,0,1,
6,533,0,0,
6,565,1,0,
6,598,0,0,
6,631,1,0,
6,664,1,0,
6,697,1,0,
6,731,0,0,
6,764,0,1,
6,798,1,0,
6,832,0,1,
6,865,0,1,
6,899,0,1,
6,932,0,1,
6,966,0,1,
6,999,0,1,
6,1033,0,1,
6,1067,0,1,
6,1101,0,1,
6,1141,0,1,
6,1178,0,1,
6,1215,0,1,
6,1252,0,1,
6,1289,0,1,
6,1320,0,1,
6,1354,0,1,
6,1385,0,1,
6,1417,0,1,
6,1450,0,1,
6,1483,0,1,
6,1516,0,1,
6,1550,0,1,
6,1583,0,1,
6,1617,0,1,
6,1650,0,1,
6,1684,0,1,
6,1718,0,1,
6,1753,0,1,
6,1790,0,1,
6,1827,0,1,
6,1864,0,1,
6,1899,0,1,
6,1933,0,1,
6,1970,0,1,
6,2006,0,1,
6,2041,0,1,
6,2080,0,1,
6,2116,0,1,
6,2146,0,1,
6,2180,0,1,
6,2215,0,0,
6,2248,0,1,
6,2280,0,1,
6,2312,0,1,
6,2345,0,1,
6,2380,0,1,
6,2412,0,0,
6,2444,0,1,
6,2476,0,1,
6,2506,0,1,
6,2541,0,1,
6,2572,0,0,
6,2607,0,0,
6,2639,0,1,
6,2670,0,1,
6,2705,1,0,
6,2739,0,1,
6,2772,0,0,
6,2810,0,0,
6,2868,0,1,
6,2904,0,1,
6,2937,0,1,
6,2972,1,0,
6,3010,0,0,
6,3044,1,0,
6,3082,1,0,
6,3116,1,0,
6,3148,1,0,
6,3180,1,0,
6,3212,0,1,
6,3244,0,0,
6,3275,1,0,
6,3310,1,0,
6,3342,1,0,
6,3374,0,1,
6,3406,1,0,
6,3440,0,0,
6,3476,0,0,
6,3510,0,1,
6,3541,0,1,
6,3574,0,1,
6,3607,0,1,
6,3641,0,1,
6,3674,0,0,
6,3708,0,0,
6,3741,0,1,
6,3776,0,1,
6,3808,0,1,
6,3841,0,0,
6,3876,0,1,
6,3911,0,1,
6,3941,0,1,
6,3973,0,1,
6,4008,0,0,
6,4044,1,0,
6,4075,1,0,
6,4108,0,0,
6,4141,1,0,
6,4176,0,0,
6,4210,0,0,
6,4245,1,0,
6,4276,0,0,
6,4310,0,0,
6,4343,0,0,
6,4376,0,0,
6,4410,0,0,
6,4443,0,0,
6,4476,0,0,
6,4510,0,0,
6,4544,0,0,
6,4578,0,0,
6,4611,0,1,
6,4644,0,0,
6,4677,0,0,
6,4711,1,0,
6,4745,1,0,
6,4778,1,0,
6,4814,1,0,
7,0,0,0,
7,36,0,1,
7,74,0,0,
7,107,0,0,
7,141,1,0,
7,173,1,0,
7,205,0,0,
7,241,1,0,
7,273,0,0,
7,305,1,0,
7,338,0,1,
7,383,1,0,
7,431,0,1,
7,466,0,1,
7,500,1,0,
7,538,1,0,
7,572,0,0,
7,609,0,0,
7,646,0,1,
7,683,1,0,
7,720,1,0,
7,759,0,1,
7,794,0,1,
7,833,0,1,
7,867,1,0,
7,907,1,0,
7,940,0,0,
7,973,0,1,
7,1008,0,1,
7,1043,0,0,
7,1079,0,0,
7,1117,1,0,
7,1152,1,0,
7,1185,0,1,
7,1220,0,1,
7,1255,1,0,
7,1288,0,0,
7,1323,0,0,
7,1356,0,1,
7,1390,0,1,
7,1428,1,0,
7,1463,0,0,
7,1499,0,0,
7,1532,0,1,
7,1564,0,0,
8,0,0,0,
8,34,1,0,
8,67,1,0,
8,100,0,0,
8,137,0,1,
8,168,0,1,
8,200,0,0,
8,236,1,0,
8,267,0,0,
8,303,0,0,
8,333,1,0,
8,366,0,0,
8,399,1,0,
8,433,0,0,
8,466,0,0,
8,499,0,0,
8,533,0,0,
8,567,0,1,
8,600,0,1,
8,633,1,0,
8,667,0,1,
8,701,1,0,
8,734,1,0,
8,772,0,0,
8,819,1,0,
8,855,0,0,
8,888,1,0,
8,922,1,0,
8,958,0,0,
8,993,1,0,
8,1029,0,0,
8,1064,1,0,
8,1099,1,0,
8,1136,0,0,
8,1169,1,0,
8,1202,0,0,
8,1235,1,0,
8,1269,1,0,
8,1306,0,1,
8,1339,0,0,
8,1370,0,0,
8,1405,0,1,
8,1437,0,0,
10,0,0,1,
10,33,0,0,
10,67,0,1,
10,99,0,1,
10,132,0,1,
10,164,0,1,
10,199,0,0,
10,235,0,1,
10,271,0,1,
10,306,0,1,
10,340,0,1,
10,375,0,1,
10,407,0,1,
10,443,0,1,
10,471,0,1,
10,502,0,1,
10,533,0,1,
10,567,0,1,
10,598,0,1,
10,626,0,1,
10,661,0,1,
10,694,0,1,
10,725,0,1,
10,757,0,1,
10,788,0,1,
10,819,0,1,
10,852,0,1,
10,885,0,1,
10,918,0,1,
10,951,0,1,
10,984,0,1,
10,1019,0,1,
10,1051,0,1,
10,1086,1,0,
10,1119,1,0,
10,1155,1,0,
10,1187,1,0,
11,0,0,1,
11,34,0,0,
11,67,0,0,
11,100,1,0,
11,134,0,0,
11,167,1,0,
11,202,0,1,
11,237,0,1,
11,268,0,0,
11,300,0,1,
11,333,0,1,
11,367,0,1,
11,403,0,1,
11,433,0,1,
11,466,0,1,
11,500,0,1,
11,535,0,1,
11,566,0,1,
11,600,0,1,
11,635,0,0,
11,668,0,1,
11,700,0,0,
11,734,0,0,
11,766,0,1,
11,800,0,1,
11,833,0,1,
11,869,0,0,
11,901,0,1,
11,933,0,1,
11,968,0,1,
11,1001,0,1,
11,1038,0,1,
11,1070,0,1,
11,1102,0,1,
11,1134,0,1,
11,1170,0,1,
11,1209,0,1,
11,1254,0,1,
11,1289,0,1,
11,1322,0,1,
11,1355,0,1,
11,1392,0,1,
11,1425,0,1,
11,1460,0,1,
11,1492,0,1,
11,1525,0,1,
11,1559,0,1,
11,1592,0,1,
11,1624,0,1,
11,1656,0,1,
11,1693,0,1,
11,1726,0,1,
11,1758,0,1,
12,0,0,1,
12,35,1,0,
12,69,0,1,
12,102,0,1,
12,137,1,0,
12,170,1,0,
