trial,_right_canvas,times,_left_canvas,Unnamed: 4
6,1,0,0,
6,1,33,0,
6,1,61,0,
6,1,87,0,
6,0,111,0,
6,1,139,0,
6,0,166,0,
6,1,195,0,
6,1,223,0,
6,1,250,0,
6,0,278,0,
6,1,306,0,
6,1,332,0,
6,0,362,0,
6,0,387,1,
6,0,417,1,
6,1,446,0,
6,1,475,0,
6,1,506,0,
6,0,532,0,
6,1,556,0,
6,0,585,1,
6,1,609,0,
6,0,640,0,
6,1,667,0,
6,0,695,0,
6,1,723,0,
6,1,751,0,
6,1,777,0,
6,0,805,0,
6,1,832,0,
6,1,861,0,
6,1,890,0,
6,0,918,0,
6,1,949,0,
6,1,973,0,
6,0,999,0,
7,1,0,0,
7,0,27,1,
7,0,56,0,
7,1,89,0,
7,0,115,0,
7,1,145,0,
7,1,175,0,
7,0,208,1,
7,0,235,0,
7,1,263,0,
7,1,292,0,
7,0,323,0,
7,1,351,0,
7,1,379,0,
7,1,407,0,
7,1,434,0,
7,1,462,0,
7,1,494,0,
7,1,526,0,
7,1,558,0,
7,1,589,0,
7,1,617,0,
7,1,646,0,
7,1,669,0,
7,1,701,0,
7,1,730,0,
7,1,759,0,
7,1,790,0,
7,1,817,0,
7,1,842,0,
7,1,878,0,
7,1,927,0,
7,1,958,0,
7,1,988,0,
7,1,1016,0,
7,1,1048,0,
7,1,1077,0,
7,1,1106,0,
7,1,1138,0,
7,1,1166,0,
7,1,1199,0,
7,1,1228,0,
7,1,1260,0,
7,1,1293,0,
7,1,1327,0,
7,1,1361,0,
7,1,1389,0,
7,1,1418,0,
7,1,1448,0,
7,1,1474,0,
7,0,1501,0,
7,0,1532,0,
7,1,1564,0,
7,1,1596,0,
7,1,1629,0,
7,1,1657,0,
7,1,1681,0,
7,1,1707,0,
7,1,1734,0,
7,1,1764,0,
7,1,1796,0,
8,0,0,1,
8,0,25,1,
8,0,56,1,
8,0,86,1,
8,0,113,1,
8,0,137,1,
8,0,167,1,
8,0,196,1,
8,0,222,1,
8,0,251,1,
8,0,280,1,
8,0,303,1,
8,0,334,1,
8,0,363,0,
8,0,390,1,
8,0,413,1,
8,0,440,1,
8,0,468,1,
8,0,495,1,
8,0,524,1,
8,0,546,1,
8,0,573,1,
8,0,602,1,
8,0,630,1,
8,0,658,1,
8,0,686,1,
8,0,716,1,
8,0,747,1,
8,0,775,1,
8,0,803,1,
8,0,830,1,
8,0,859,1,
8,0,887,1,
8,0,916,1,
8,0,939,1,
8,0,970,1,
8,0,998,1,
8,0,1026,1,
8,0,1050,0,
8,0,1074,1,
8,0,1103,1,
8,0,1137,1,
8,0,1165,1,
8,0,1193,1,
8,0,1222,1,
8,0,1250,0,
8,0,1278,1,
8,0,1306,1,
8,0,1338,1,
8,0,1365,1,
8,0,1393,1,
7,0,0,0,
7,0,28,0,
7,1,58,0,
7,0,86,0,
7,1,109,0,
7,1,132,0,
7,1,162,0,
7,0,190,1,
7,0,218,1,
7,0,243,1,
7,1,273,0,
7,0,300,0,
7,0,329,1,
7,0,356,1,
7,0,384,1,
7,0,412,0,
7,1,442,0,
7,0,473,1,
7,1,501,0,
7,1,531,0,
7,1,562,0,
7,1,591,0,
7,1,618,0,
7,0,641,0,
7,1,668,0,
7,1,695,0,
7,1,723,0,
7,1,750,0,
8,1,0,0,
8,0,26,0,
8,0,56,1,
8,1,91,0,
8,0,119,0,
8,1,152,0,
8,1,182,0,
8,1,213,0,
8,1,240,0,
8,1,268,0,
8,0,295,1,
8,1,325,0,
8,1,358,0,
8,1,386,0,
8,0,415,1,
8,1,443,0,
8,0,471,1,
8,0,502,1,
8,0,535,1,
8,0,569,1,
8,0,592,1,
8,0,625,1,
8,0,653,0,
8,1,680,0,
8,0,707,0,
8,0,735,1,
8,0,758,0,
8,0,786,1,
8,0,812,1,
8,0,838,1,
8,0,861,1,
8,0,890,1,
10,1,0,0,
10,1,32,0,
10,1,56,0,
10,1,89,0,
10,1,116,0,
10,1,145,0,
10,1,170,0,
10,1,199,0,
10,1,225,0,
10,1,249,0,
10,1,278,0,
10,1,305,0,
10,0,334,1,
10,0,366,0,
10,1,396,0,
10,1,422,0,
10,1,445,0,
10,0,478,1,
10,0,505,1,
10,0,533,0,
10,1,561,0,
10,1,589,0,
10,1,618,0,
10,0,644,1,
10,0,672,1,
10,0,701,1,
10,0,725,1,
10,0,749,1,
10,0,778,1,
11,1,0,0,
11,0,30,1,
11,0,53,1,
11,0,81,1,
11,0,109,1,
11,0,133,1,
11,0,155,1,
11,0,185,1,
11,0,211,1,
11,0,240,1,
11,0,267,1,
11,0,297,1,
11,0,325,1,
11,0,354,1,
11,0,379,1,
11,0,407,0,
11,0,430,1,
11,1,455,0,
11,0,485,1,
11,0,509,1,
11,1,541,0,
11,0,571,1,
11,0,598,1,
11,0,629,1,
11,0,666,1,
11,0,697,1,
11,0,725,1,
11,0,752,1,
11,0,781,1,
11,0,808,0,
11,0,836,1,
11,1,865,0,
11,0,897,0,
11,0,930,1,
11,0,957,1,
11,1,982,0,
11,0,1019,0,
11,0,1048,1,
11,0,1076,1,
11,0,1108,0,
11,0,1141,0,
11,0,1169,0,
11,1,1194,0,
11,0,1221,0,
11,1,1248,0,
11,1,1275,0,
11,1,1304,0,
11,1,1331,0,
11,0,1363,0,
11,1,1389,0,
11,0,1419,0,
11,0,1449,0,
11,0,1472,0,
11,1,1498,0,
11,0,1522,0,
11,1,1550,0,
11,0,1573,0,
11,0,1595,0,
11,0,1623,0,
11,0,1650,0,
11,0,1674,0,
11,0,1705,0,
11,0,1731,0,
11,0,1761,0,
11,0,1791,0,
11,0,1818,0,
11,0,1845,0,
11,1,1868,0,
11,1,1898,0,
11,1,1930,0,
11,1,1957,0,
11,1,1985,0,
11,1,2013,0,
11,1,2037,0,
11,1,2064,0,
11,1,2092,0,
11,1,2122,0,
11,1,2152,0,
11,1,2176,0,
11,1,2205,0,
11,1,2234,0,
11,1,2264,0,
11,1,2292,0,
11,1,2321,0,
11,1,2344,0,
11,1,2371,0,
11,1,2395,0,
11,1,2424,0,
11,1,2451,0,
11,1,2479,0,
11,1,2508,0,
11,1,2537,0,
11,1,2567,0,
11,1,2600,0,
11,0,2628,1,
11,0,2656,1,
11,0,2683,1,
11,0,2706,1,
11,0,2736,1,
11,1,2763,0,
11,0,2786,0,
11,0,2814,1,
11,1,2845,0,
11,1,2872,0,
11,1,2895,0,
11,1,2919,0,
11,0,2947,0,
11,0,2972,1,
11,0,2995,1,
11,0,3024,1,
11,0,3051,0,
11,0,3080,0,
11,1,3102,0,
11,0,3130,0,
11,0,3159,0,
11,1,3183,0,
11,1,3213,0,
11,0,3240,0,
11,0,3268,1,
11,0,3295,1,
11,0,3327,1,
11,0,3364,1,
11,1,3393,0,
11,0,3424,0,
11,0,3451,0,
12,0,0,0,
12,1,32,0,
12,0,59,0,
12,1,82,0,
12,0,105,0,
12,0,133,1,
12,0,161,0,
12,1,188,0,
12,1,214,0,
12,0,244,1,
12,0,267,1,
12,0,294,1,
12,0,321,1,
12,0,349,1,
12,0,377,1,
12,0,408,1,
12,0,437,1,
12,0,470,1,
12,0,498,1,
12,0,526,1,
12,0,554,1,
12,0,582,1,
12,0,610,1,
12,0,635,1,
12,0,664,1,
12,0,692,1,
12,0,715,1,
12,0,744,1,
12,0,768,1,
12,0,798,1,
12,0,826,1,
12,0,849,1,
12,0,876,1,
12,0,904,1,
12,0,932,1,
12,0,956,1,
12,0,988,1,
12,0,1016,1,
12,0,1040,1,
12,0,1068,1,
12,1,1100,0,
12,0,1126,1,
12,0,1149,1,
12,0,1178,1,
12,0,1205,1,
12,0,1232,1,
12,0,1255,1,
12,0,1279,1,
12,0,1310,1,
12,0,1344,1,
12,0,1371,0,
12,1,1394,0,
12,0,1422,0,
12,0,1449,0,
12,0,1473,1,
12,1,1500,0,
12,1,1522,0,
12,0,1550,1,
12,1,1579,0,
12,0,1608,0,
12,1,1635,0,
12,1,1662,0,
12,1,1686,0,
12,1,1713,0,
12,1,1744,0,
12,0,1771,1,
12,0,1802,0,
12,0,1829,1,
12,0,1858,0,
12,1,1881,0,
12,1,1908,0,
13,1,0,0,
13,0,33,1,
13,0,67,1,
13,0,99,0,
13,0,130,0,
13,0,157,0,
13,0,185,0,
13,0,212,0,
13,0,243,0,
13,0,271,0,
13,0,303,0,
13,0,333,0,
13,0,360,0,
13,0,388,0,
13,0,416,0,
13,0,445,0,
13,0,479,0,
13,0,506,0,
13,0,535,0,
13,0,567,0,
13,0,600,0,
13,0,631,0,
13,0,663,0,
13,0,690,0,
13,0,717,0,
13,0,746,1,
13,0,778,0,
13,0,805,0,
13,0,834,0,
13,0,863,0,
13,0,891,0,
13,0,919,0,
13,0,948,0,
13,1,979,0,
13,0,1008,0,
13,0,1036,0,
14,0,0,1,
14,0,36,1,
14,0,68,0,
14,0,96,1,
14,0,127,0,
14,0,157,0,
14,0,190,0,
14,0,218,0,
14,0,248,1,
14,0,281,0,
