trial,_right_canvas,_left_canvas,times,Unnamed: 4
6,0,1,0,
6,0,1,44,
6,0,1,86,
6,0,1,127,
6,0,1,165,
6,0,1,209,
6,0,1,250,
6,0,1,287,
6,0,1,329,
6,0,1,371,
6,0,0,413,
6,0,1,451,
6,0,1,491,
6,0,1,528,
6,0,1,568,
6,0,1,610,
6,0,1,648,
6,0,1,687,
6,0,1,724,
6,0,1,763,
6,0,1,800,
6,0,1,841,
6,0,1,881,
6,0,1,917,
6,0,1,956,
6,0,1,994,
6,0,1,1034,
6,0,1,1074,
6,0,1,1111,
6,0,1,1146,
6,0,1,1183,
6,0,1,1222,
6,0,1,1263,
6,0,1,1301,
6,0,1,1340,
6,0,1,1380,
6,0,0,1421,
6,0,0,1474,
6,0,1,1515,
6,0,0,1559,
6,0,1,1595,
6,0,0,1634,
6,0,0,1671,
6,0,1,1712,
6,0,0,1755,
6,0,0,1792,
6,1,0,1833,
6,1,0,1870,
6,0,0,1913,
6,0,0,1956,
6,0,1,1994,
6,0,0,2035,
6,0,1,2075,
6,0,1,2113,
6,0,1,2153,
6,1,0,2190,
6,0,1,2231,
6,0,1,2268,
6,0,0,2308,
6,0,0,2349,
6,0,0,2386,
6,0,1,2424,
6,0,0,2467,
6,0,0,2508,
6,0,0,2544,
6,0,0,2584,
7,1,0,0,
7,0,1,40,
7,0,0,82,
7,1,0,121,
7,0,0,165,
7,0,0,201,
7,1,0,243,
7,0,0,283,
7,1,0,324,
7,0,0,364,
7,1,0,404,
7,1,0,441,
7,0,0,479,
7,1,0,520,
7,0,0,557,
7,1,0,596,
7,1,0,633,
7,0,0,672,
7,1,0,711,
7,1,0,748,
7,1,0,787,
7,1,0,824,
7,1,0,867,
7,1,0,909,
7,1,0,947,
7,0,0,986,
7,1,0,1023,
7,1,0,1060,
7,1,0,1102,
7,1,0,1141,
7,1,0,1183,
7,0,0,1224,
7,1,0,1265,
7,0,0,1301,
7,0,0,1340,
7,1,0,1384,
7,0,0,1422,
7,0,0,1461,
8,1,0,0,
8,0,1,39,
8,1,0,74,
8,0,0,113,
8,1,0,154,
8,1,0,197,
8,0,1,238,
8,0,1,277,
8,0,1,316,
8,0,1,355,
8,0,1,394,
8,0,1,430,
8,0,1,474,
8,0,1,517,
8,0,0,554,
8,0,1,594,
8,0,0,633,
8,0,1,670,
8,0,0,710,
8,0,1,754,
8,0,1,791,
8,0,1,831,
8,0,1,870,
8,0,1,904,
8,0,0,944,
8,0,0,995,
8,0,0,1036,
8,0,1,1077,
8,0,0,1120,
8,0,1,1163,
8,0,1,1200,
8,0,1,1239,
8,0,0,1281,
8,0,0,1321,
8,0,0,1362,
8,0,0,1400,
8,0,1,1436,
8,0,0,1473,
8,0,0,1511,
8,0,0,1549,
8,0,0,1588,
8,0,0,1624,
8,0,1,1663,
8,0,1,1706,
8,0,1,1747,
8,0,1,1786,
10,0,0,0,
10,0,0,40,
10,1,0,84,
10,0,0,124,
10,0,1,167,
10,0,0,209,
10,0,1,246,
10,1,0,286,
10,1,0,328,
10,1,0,387,
10,1,0,431,
10,1,0,469,
10,1,0,506,
10,1,0,545,
10,1,0,584,
10,1,0,621,
10,1,0,659,
10,1,0,701,
10,1,0,740,
10,1,0,777,
10,1,0,818,
10,1,0,859,
10,1,0,897,
10,0,0,936,
10,1,0,978,
10,1,0,1019,
11,0,1,0,
11,1,0,43,
11,0,0,82,
11,0,1,125,
11,0,1,163,
11,0,1,201,
11,0,1,243,
11,0,1,282,
11,0,1,323,
11,0,1,364,
11,0,1,405,
11,0,1,467,
11,0,1,509,
11,0,1,546,
11,0,1,583,
11,0,1,626,
11,0,0,667,
11,0,0,708,
11,0,0,747,
11,0,1,792,
11,0,1,829,
11,1,0,870,
11,1,0,910,
11,1,0,949,
11,1,0,986,
11,1,0,1029,
11,1,0,1066,
11,0,0,1104,
11,1,0,1147,
11,1,0,1186,
11,1,0,1227,
11,1,0,1270,
11,1,0,1312,
11,1,0,1349,
11,1,0,1392,
11,0,1,1428,
11,0,0,1468,
11,0,1,1508,
11,0,0,1547,
11,0,0,1588,
11,0,1,1632,
11,0,0,1670,
11,0,0,1709,
11,0,1,1747,
11,0,0,1789,
11,0,0,1827,
11,0,1,1867,
11,0,0,1906,
11,0,1,1948,
11,0,1,1986,
11,0,1,2028,
11,0,0,2070,
11,0,0,2112,
11,0,0,2152,
11,1,0,2192,
11,0,0,2235,
11,1,0,2275,
11,1,0,2312,
11,1,0,2348,
11,1,0,2387,
11,1,0,2425,
11,1,0,2464,
11,1,0,2501,
11,1,0,2543,
11,1,0,2584,
11,1,0,2625,
11,1,0,2661,
11,1,0,2699,
11,1,0,2740,
11,0,0,2779,
11,1,0,2817,
11,1,0,2860,
11,1,0,2901,
11,1,0,2937,
11,1,0,2977,
11,1,0,3016,
11,1,0,3068,
11,1,0,3108,
11,1,0,3149,
11,1,0,3187,
11,0,0,3230,
11,1,0,3268,
11,1,0,3311,
11,0,0,3349,
11,1,0,3391,
11,1,0,3430,
11,1,0,3473,
11,0,0,3511,
11,0,1,3552,
12,0,0,0,
12,1,0,39,
12,0,1,80,
12,1,0,122,
12,0,0,162,
12,1,0,202,
12,1,0,243,
12,0,1,283,
12,1,0,321,
12,1,0,365,
12,1,0,405,
12,1,0,443,
12,0,0,486,
12,0,1,526,
12,0,1,563,
12,0,1,600,
12,0,1,638,
12,0,1,675,
12,0,1,712,
12,0,0,750,
12,0,1,787,
12,0,0,829,
12,0,0,871,
12,0,1,910,
12,0,1,948,
12,0,1,988,
12,0,1,1031,
12,0,1,1071,
13,0,1,0,
13,0,1,36,
13,0,1,75,
13,0,1,114,
13,0,1,155,
13,0,1,197,
13,0,1,238,
13,0,1,278,
13,0,1,315,
13,0,1,356,
13,0,1,394,
13,0,1,438,
13,0,1,478,
13,0,1,513,
13,0,1,554,
13,0,1,593,
13,0,1,634,
13,0,1,672,
13,0,1,709,
13,0,1,747,
13,0,1,785,
14,0,1,0,
14,0,1,38,
14,0,1,82,
14,0,1,119,
14,0,1,158,
14,0,1,196,
14,0,1,235,
14,0,1,276,
14,0,1,317,
14,0,1,355,
14,0,1,392,
14,0,1,433,
14,0,1,473,
14,0,1,517,
14,0,1,557,
14,0,1,599,
14,0,0,637,
14,0,1,676,
14,0,1,715,
