trial,_right_canvas,_left_canvas,times,Unnamed: 4
6,0,1,0,
6,0,1,28,
6,0,1,56,
6,0,1,87,
6,0,1,118,
6,0,1,144,
6,0,0,170,
6,0,1,196,
6,0,1,222,
6,0,1,248,
6,0,1,278,
6,0,1,310,
6,0,1,337,
6,0,1,363,
6,0,1,389,
6,0,1,418,
6,0,1,445,
6,0,1,472,
6,0,1,499,
6,0,1,525,
6,0,1,553,
6,0,1,580,
6,0,1,611,
6,0,1,642,
6,0,1,668,
6,0,1,695,
6,0,1,728,
6,0,0,755,
6,0,0,782,
6,0,1,809,
6,0,1,843,
6,0,1,870,
6,0,1,901,
6,0,1,929,
6,1,0,956,
6,1,0,982,
6,1,0,1014,
6,1,0,1043,
6,0,0,1071,
6,0,0,1099,
6,0,0,1125,
6,1,0,1153,
6,1,0,1181,
6,1,0,1209,
6,1,0,1237,
6,0,1,1268,
6,0,1,1295,
6,0,1,1323,
6,0,1,1352,
6,0,1,1383,
6,1,0,1413,
6,1,0,1442,
6,0,0,1469,
6,1,0,1500,
6,0,0,1527,
6,0,0,1554,
6,0,0,1581,
6,0,0,1612,
6,0,0,1646,
6,0,1,1675,
6,0,1,1703,
6,0,1,1730,
6,1,0,1758,
6,1,0,1785,
6,0,1,1816,
6,0,1,1849,
6,1,0,1877,
6,0,0,1904,
6,0,0,1932,
6,1,0,1961,
6,1,0,1988,
6,1,0,2017,
6,1,0,2048,
6,0,0,2081,
6,0,0,2109,
6,0,0,2136,
6,0,0,2164,
6,1,0,2196,
6,1,0,2223,
6,1,0,2249,
6,0,1,2276,
6,0,1,2302,
6,0,1,2330,
6,0,1,2362,
6,0,0,2389,
6,0,1,2415,
6,0,1,2442,
6,0,1,2471,
6,0,0,2499,
6,0,0,2525,
6,0,0,2553,
6,0,1,2579,
6,0,0,2608,
6,0,1,2634,
6,0,1,2665,
6,0,0,2694,
6,0,1,2720,
6,0,1,2748,
6,0,1,2775,
6,0,1,2803,
6,0,1,2830,
6,0,1,2862,
6,0,1,2890,
6,0,1,2916,
6,0,1,2943,
6,0,1,2970,
6,0,1,3001,
6,0,1,3028,
6,0,1,3054,
6,0,1,3081,
6,0,1,3108,
6,0,1,3137,
6,0,1,3165,
6,0,1,3192,
7,0,0,0,
7,0,0,30,
7,0,1,56,
7,0,1,84,
7,0,1,114,
7,0,1,140,
7,0,1,174,
7,0,1,211,
7,0,1,239,
7,0,1,267,
7,0,1,294,
7,0,1,321,
7,0,1,353,
7,0,0,379,
7,0,1,410,
7,0,1,439,
7,0,0,466,
7,0,1,494,
7,1,0,521,
7,1,0,549,
7,1,0,579,
7,1,0,607,
7,1,0,636,
7,0,1,664,
7,0,1,694,
7,1,0,727,
7,1,0,753,
7,0,0,779,
7,1,0,806,
7,1,0,834,
7,1,0,866,
7,1,0,892,
7,0,0,919,
7,0,0,945,
7,0,1,976,
7,0,1,1003,
7,0,1,1031,
7,1,0,1059,
7,1,0,1086,
7,1,0,1119,
7,1,0,1147,
7,0,0,1173,
8,0,1,0,
8,0,1,26,
8,0,1,54,
8,0,1,81,
8,0,1,109,
8,0,0,137,
8,0,1,167,
8,0,1,195,
8,0,1,222,
8,0,1,249,
8,0,1,278,
8,0,1,310,
8,0,0,337,
8,0,0,363,
8,0,0,391,
8,0,0,418,
8,0,0,445,
8,0,0,472,
8,0,0,501,
8,0,0,529,
8,0,0,556,
8,0,0,584,
8,0,0,615,
8,0,0,643,
8,0,0,670,
8,0,0,696,
8,0,0,723,
8,0,0,749,
8,0,0,777,
8,0,1,806,
8,0,1,832,
8,0,0,860,
8,0,0,895,
8,0,0,932,
8,0,0,963,
8,0,0,991,
8,0,0,1019,
8,0,0,1049,
8,0,0,1077,
8,0,0,1107,
8,0,0,1136,
8,0,0,1163,
8,0,0,1190,
8,0,0,1216,
8,0,0,1244,
8,0,0,1271,
8,0,0,1298,
8,0,0,1327,
8,0,0,1358,
8,0,0,1390,
8,0,1,1418,
8,0,1,1449,
8,0,0,1478,
8,0,1,1505,
8,0,1,1532,
8,0,1,1560,
8,0,1,1589,
8,0,1,1616,
8,0,1,1642,
8,0,1,1672,
8,0,1,1699,
8,0,1,1729,
8,0,1,1759,
8,0,1,1790,
7,0,1,0,
7,0,1,29,
7,1,0,56,
7,1,0,82,
7,1,0,110,
7,1,0,136,
7,1,0,167,
7,1,0,194,
7,0,1,221,
7,0,1,250,
7,0,0,278,
7,1,0,304,
7,0,1,332,
7,0,1,358,
7,0,1,385,
7,0,1,416,
7,0,1,442,
7,0,1,470,
7,0,1,497,
7,0,1,526,
7,0,1,552,
7,0,1,581,
7,0,1,608,
7,0,1,638,
7,0,1,669,
7,0,1,695,
7,0,1,728,
7,0,1,756,
7,0,0,781,
7,0,0,808,
7,0,0,840,
7,1,0,876,
7,0,0,915,
7,0,1,945,
7,1,0,972,
7,1,0,999,
7,1,0,1026,
7,0,0,1053,
7,0,0,1081,
7,0,0,1108,
7,0,0,1139,
7,0,0,1165,
7,0,0,1193,
7,0,0,1220,
7,0,0,1247,
7,0,0,1275,
7,0,0,1302,
7,0,0,1332,
7,0,0,1360,
7,0,0,1388,
7,0,0,1415,
7,0,0,1441,
7,0,0,1468,
7,0,0,1496,
7,0,0,1527,
7,0,0,1555,
7,1,0,1581,
7,0,0,1612,
7,0,0,1640,
7,1,0,1666,
8,0,1,0,
8,0,1,31,
8,0,1,57,
8,0,1,85,
8,0,1,111,
8,1,0,139,
8,1,0,165,
8,1,0,198,
8,1,0,229,
8,1,0,256,
8,0,1,288,
8,0,1,315,
8,1,0,347,
8,1,0,374,
8,1,0,406,
8,1,0,437,
8,1,0,465,
8,1,0,492,
8,0,1,521,
8,0,1,549,
8,0,1,576,
8,0,1,603,
8,0,1,629,
8,0,1,660,
8,0,1,692,
8,0,1,719,
8,0,1,754,
8,0,1,790,
8,0,1,818,
8,0,1,850,
8,0,1,880,
8,0,1,907,
8,0,1,935,
8,0,1,962,
8,0,1,991,
8,0,1,1019,
8,0,1,1047,
8,0,1,1075,
8,0,0,1101,
8,0,1,1129,
8,0,1,1156,
8,0,1,1183,
8,0,1,1210,
8,0,1,1237,
8,0,1,1268,
8,0,1,1294,
8,0,1,1322,
8,0,1,1349,
8,0,1,1376,
8,0,1,1404,
8,0,1,1435,
8,0,1,1462,
8,0,1,1491,
8,0,1,1518,
8,0,1,1545,
8,0,1,1573,
8,0,1,1599,
8,0,1,1626,
8,0,1,1653,
8,0,1,1682,
8,0,1,1709,
8,0,1,1740,
8,0,1,1770,
8,0,1,1796,
8,0,1,1829,
8,0,1,1857,
8,0,1,1884,
8,0,1,1911,
10,0,1,0,
10,0,1,31,
10,0,1,61,
10,0,1,88,
10,0,0,114,
10,0,1,147,
10,0,1,174,
10,0,1,201,
10,0,1,228,
10,0,1,254,
10,0,0,282,
10,0,0,308,
10,0,0,334,
10,0,0,361,
10,0,0,390,
10,1,0,421,
10,1,0,448,
10,1,0,475,
10,0,0,503,
10,1,0,530,
10,1,0,561,
10,1,0,592,
10,1,0,618,
10,1,0,646,
10,0,1,672,
10,0,1,698,
10,0,1,730,
10,0,1,757,
10,0,1,784,
10,0,1,814,
10,0,1,843,
10,0,1,869,
10,0,1,896,
10,0,1,923,
10,0,1,950,
10,0,1,977,
10,0,1,1003,
10,0,1,1032,
10,0,1,1060,
10,0,1,1087,
10,0,1,1119,
10,0,1,1146,
10,0,1,1175,
10,0,1,1201,
10,0,1,1232,
10,0,1,1259,
10,0,1,1290,
10,0,1,1317,
10,0,1,1344,
10,0,1,1371,
10,0,1,1398,
10,0,1,1433,
10,0,1,1469,
10,0,1,1498,
10,0,1,1527,
10,0,1,1555,
10,0,1,1583,
10,0,1,1610,
10,0,1,1643,
10,0,1,1673,
10,0,0,1701,
10,1,0,1729,
10,1,0,1756,
10,1,0,1784,
10,1,0,1813,
10,1,0,1840,
10,1,0,1867,
10,1,0,1895,
10,1,0,1924,
10,1,0,1951,
10,1,0,1978,
10,1,0,2006,
10,1,0,2034,
10,1,0,2064,
10,0,1,2091,
10,0,1,2119,
10,0,1,2147,
10,0,1,2174,
10,0,1,2203,
10,0,1,2231,
10,0,1,2258,
10,0,1,2286,
10,0,1,2314,
10,0,1,2349,
10,0,1,2377,
10,0,1,2406,
10,0,1,2439,
10,0,1,2467,
10,0,1,2496,
10,0,1,2523,
10,0,1,2548,
10,0,1,2575,
10,0,1,2602,
10,0,1,2633,
10,0,1,2660,
10,0,1,2690,
10,0,1,2717,
10,0,1,2745,
10,0,1,2777,
10,0,1,2810,
10,0,1,2841,
11,0,1,0,
11,0,1,33,
11,0,0,64,
11,0,1,94,
11,0,1,121,
11,0,1,149,
11,0,1,176,
11,1,0,203,
11,1,0,231,
11,1,0,258,
11,1,0,286,
11,1,0,314,
11,1,0,341,
11,1,0,369,
11,1,0,396,
11,1,0,425,
11,1,0,454,
11,1,0,481,
11,1,0,510,
11,1,0,537,
11,1,0,565,
11,1,0,593,
11,1,0,623,
11,1,0,651,
11,1,0,678,
11,1,0,707,
11,1,0,736,
11,1,0,764,
11,1,0,792,
11,1,0,820,
11,1,0,848,
11,1,0,879,
11,1,0,906,
11,1,0,933,
11,1,0,960,
11,1,0,988,
11,1,0,1015,
11,1,0,1045,
11,1,0,1072,
11,1,0,1099,
11,1,0,1126,
11,0,1,1157,
11,0,1,1185,
11,0,1,1221,
11,0,1,1259,
11,0,1,1287,
11,0,1,1316,
11,0,1,1343,
11,0,1,1370,
11,0,1,1398,
11,0,1,1426,
11,0,1,1455,
11,0,1,1483,
11,0,0,1510,
11,0,0,1539,
11,1,0,1566,
11,1,0,1595,
11,1,0,1622,
11,1,0,1649,
11,1,0,1677,
11,1,0,1703,
11,1,0,1730,
11,1,0,1757,
11,1,0,1785,
11,1,0,1812,
11,1,0,1842,
11,1,0,1871,
11,0,1,1898,
11,0,1,1925,
11,0,1,1958,
11,0,1,1988,
11,0,1,2017,
11,0,1,2045,
11,0,1,2071,
11,0,1,2101,
11,0,1,2127,
11,0,1,2158,
11,0,1,2187,
11,0,1,2213,
11,0,1,2241,
11,0,1,2274,
12,0,1,0,
12,0,1,29,
12,0,1,56,
12,0,0,83,
12,0,1,110,
12,0,1,137,
12,0,1,165,
12,0,0,194,
12,0,0,221,
12,0,0,247,
12,0,1,274,
12,0,1,306,
12,0,1,345,
12,0,1,372,
12,0,1,399,
12,0,1,426,
12,0,1,457,
12,0,1,485,
12,0,1,511,
12,0,1,538,
12,0,1,567,
12,1,0,595,
12,1,0,621,
12,1,0,652,
12,1,0,683,
12,1,0,711,
12,1,0,744,
12,1,0,772,
12,1,0,802,
12,1,0,830,
12,1,0,857,
12,1,0,886,
12,1,0,919,
12,1,0,950,
12,1,0,978,
12,1,0,1005,
12,1,0,1036,
12,1,0,1063,
12,1,0,1089,
12,1,0,1117,
12,1,0,1144,
12,1,0,1170,
12,1,0,1197,
12,1,0,1225,
12,1,0,1252,
12,1,0,1282,
12,1,0,1309,
12,1,0,1335,
12,1,0,1364,
12,1,0,1391,
12,1,0,1422,
12,1,0,1453,
12,1,0,1480,
12,1,0,1507,
12,1,0,1540,
12,1,0,1567,
13,1,0,0,
13,1,0,31,
13,1,0,57,
13,0,0,88,
13,0,0,115,
13,0,1,146,
13,0,1,172,
13,0,1,200,
13,0,1,228,
13,0,0,256,
13,0,0,288,
13,0,0,316,
13,0,1,342,
13,0,1,369,
13,0,1,396,
13,0,1,424,
13,0,1,450,
13,0,1,478,
13,0,1,505,
13,0,1,535,
13,0,1,563,
13,0,1,590,
13,1,0,619,
13,1,0,650,
13,1,0,682,
13,1,0,710,
13,1,0,742,
13,1,0,770,
13,1,0,797,
13,1,0,824,
13,1,0,852,
13,1,0,879,
13,1,0,910,
13,1,0,943,
13,1,0,981,
13,1,0,1010,
13,1,0,1040,
13,1,0,1067,
13,1,0,1094,
13,1,0,1121,
13,1,0,1153,
13,1,0,1186,
13,1,0,1218,
13,1,0,1245,
13,1,0,1274,
13,0,1,1302,
13,0,1,1329,
13,0,1,1358,
13,0,1,1384,
13,0,1,1411,
13,0,1,1440,
13,0,1,1467,
13,0,1,1495,
13,0,1,1522,
13,0,1,1549,
13,0,1,1576,
13,0,1,1605,
13,0,0,1632,
13,0,1,1665,
13,0,1,1693,
13,0,1,1720,
13,0,1,1748,
13,0,1,1776,
13,0,1,1804,
13,1,0,1832,
13,1,0,1860,
13,1,0,1894,
13,1,0,1922,
13,1,0,1948,
13,1,0,1980,
13,1,0,2007,
13,1,0,2034,
13,1,0,2061,
13,1,0,2087,
13,1,0,2115,
13,1,0,2141,
13,1,0,2170,
13,1,0,2197,
13,1,0,2225,
13,1,0,2252,
13,1,0,2279,
13,1,0,2307,
13,1,0,2335,
13,1,0,2362,
13,1,0,2390,
13,1,0,2417,
13,1,0,2444,
14,0,1,0,
14,0,1,30,
14,0,1,57,
14,0,1,85,
14,0,1,112,
14,0,1,143,
14,0,1,170,
14,0,1,197,
14,0,1,225,
14,0,1,252,
14,0,1,279,
14,0,1,306,
14,0,1,334,
14,0,1,361,
14,0,1,392,
14,0,1,420,
14,0,1,453,
14,1,0,480,
14,1,0,508,
14,1,0,535,
14,1,0,567,
14,1,0,594,
14,1,0,622,
14,1,0,658,
14,1,0,698,
14,1,0,727,
14,1,0,756,
14,0,1,784,
14,0,1,811,
14,0,1,839,
14,1,0,867,
14,0,1,900,
14,0,1,929,
14,0,1,957,
14,0,1,984,
14,0,1,1011,
14,0,1,1039,
14,0,1,1071,
14,0,1,1103,
14,0,1,1131,
14,0,1,1163,
14,0,1,1190,
14,1,0,1218,
14,0,0,1244,
14,0,1,1276,
14,0,1,1303,
14,0,1,1330,
14,0,0,1358,
14,0,0,1385,
14,0,0,1415,
14,0,0,1444,
14,0,0,1472,
14,0,1,1502,
14,0,1,1530,
14,0,1,1557,
14,0,1,1585,
14,0,1,1613,
14,0,0,1642,
14,0,0,1670,
14,1,0,1702,
14,0,0,1729,
14,0,0,1755,
14,0,1,1783,
14,0,0,1810,
14,0,0,1837,
14,0,0,1864,
14,0,0,1896,
14,0,0,1925,
14,0,0,1952,
14,0,0,1983,
14,0,0,2010,
14,0,0,2036,
14,0,0,2066,
14,0,0,2094,
14,0,0,2125,
14,0,0,2153,
14,0,0,2180,
14,0,0,2208,
14,0,0,2239,
14,0,0,2266,
14,0,1,2294,
14,0,1,2321,
14,0,1,2350,
14,0,1,2378,
14,0,0,2405,
14,0,0,2433,
14,0,0,2461,
14,0,0,2489,
14,1,0,2517,
14,1,0,2544,
14,1,0,2575,
14,0,0,2601,
14,1,0,2633,
14,1,0,2661,
14,1,0,2688,
14,1,0,2719,
14,1,0,2746,
14,1,0,2774,
14,1,0,2801,
14,1,0,2834,
14,1,0,2873,
14,1,0,2901,
14,1,0,2928,
14,1,0,2960,
14,1,0,2987,
14,1,0,3015,
14,1,0,3043,
14,1,0,3070,
14,1,0,3099,
14,1,0,3127,
14,1,0,3154,
14,1,0,3182,
14,1,0,3208,
14,1,0,3237,
14,1,0,3264,
15,1,0,0,
15,0,0,27,
15,0,1,55,
15,0,1,81,
15,0,0,109,
15,0,0,135,
15,0,0,161,
15,0,1,188,
