trial,times,_left_canvas,_right_canvas,Unnamed: 4
6,0,1,0,
6,29,1,0,
6,57,1,0,
6,88,1,0,
6,118,1,0,
6,145,1,0,
6,171,0,1,
6,203,0,1,
6,235,1,0,
6,263,0,1,
6,291,0,1,
6,317,0,0,
6,348,0,0,
6,380,0,0,
6,408,1,0,
6,436,1,0,
6,463,1,0,
6,493,1,0,
6,524,1,0,
6,550,1,0,
6,578,1,0,
6,605,1,0,
6,634,1,0,
6,662,1,0,
6,688,1,0,
6,722,1,0,
6,761,0,0,
6,790,0,0,
6,825,1,0,
6,854,1,0,
6,881,1,0,
6,910,1,0,
6,942,1,0,
6,973,1,0,
6,1001,1,0,
6,1029,1,0,
6,1063,1,0,
6,1092,1,0,
6,1118,1,0,
6,1151,1,0,
7,0,0,1,
7,28,0,0,
7,57,0,1,
7,86,1,0,
7,114,1,0,
7,142,1,0,
7,174,1,0,
7,205,1,0,
7,233,1,0,
7,260,1,0,
7,290,1,0,
7,318,1,0,
7,349,0,1,
7,382,0,1,
7,411,0,1,
7,440,0,1,
7,468,0,1,
7,495,0,1,
7,525,0,1,
7,554,0,1,
7,585,0,1,
7,611,0,1,
7,639,0,0,
7,667,0,0,
7,695,0,0,
7,726,0,0,
7,754,0,1,
7,786,0,1,
7,817,0,0,
7,844,0,1,
7,872,0,1,
7,907,0,1,
7,944,0,0,
7,973,0,1,
7,1001,0,1,
7,1033,0,1,
7,1066,0,1,
7,1093,0,1,
7,1120,0,1,
7,1147,0,1,
7,1174,0,1,
7,1201,0,0,
7,1230,0,1,
7,1258,0,0,
7,1285,0,1,
7,1313,0,1,
7,1343,0,1,
7,1377,0,0,
7,1409,0,1,
7,1435,0,0,
7,1465,0,1,
7,1496,0,1,
7,1522,0,1,
7,1553,0,1,
7,1584,0,1,
7,1611,1,0,
7,1638,1,0,
7,1669,0,0,
7,1702,1,0,
7,1729,1,0,
7,1755,0,1,
7,1782,0,1,
7,1808,0,1,
8,0,1,0,
8,30,1,0,
8,59,1,0,
8,91,1,0,
8,118,1,0,
8,150,1,0,
8,182,1,0,
8,208,1,0,
8,239,1,0,
8,265,1,0,
8,295,1,0,
8,324,1,0,
