trial,_left_canvas,times,_right_canvas,Unnamed: 4
6,0,0,0,
6,1,48,0,
6,0,96,0,
6,0,146,0,
6,0,191,1,
6,1,238,0,
6,1,301,0,
6,1,345,0,
6,1,387,0,
6,1,421,0,
6,1,464,0,
6,1,505,0,
6,1,542,0,
6,1,588,0,
6,1,638,0,
6,1,681,0,
6,1,720,0,
6,1,776,0,
6,1,818,0,
6,1,873,0,
6,1,930,0,
6,1,975,0,
6,1,1011,0,
6,1,1043,0,
6,1,1089,0,
6,1,1146,0,
6,1,1200,0,
6,1,1243,0,
6,1,1287,0,
6,0,1339,1,
6,1,1387,0,
6,0,1428,1,
6,0,1476,1,
6,0,1521,1,
6,0,1577,0,
6,0,1629,0,
6,0,1678,1,
6,0,1734,1,
6,0,1784,0,
6,1,1833,0,
6,0,1873,1,
6,0,1919,1,
6,1,1965,0,
7,0,0,0,
7,0,45,1,
7,1,100,0,
7,0,142,1,
7,0,202,0,
7,0,253,0,
7,0,301,1,
7,1,351,0,
7,1,405,0,
7,1,449,0,
7,1,483,0,
7,0,512,1,
7,0,544,1,
7,0,588,1,
7,0,618,1,
7,0,659,1,
7,0,699,1,
7,0,740,1,
7,0,802,1,
7,0,848,1,
7,0,889,1,
7,0,930,1,
7,0,967,1,
7,0,1006,1,
7,0,1040,1,
7,0,1080,1,
7,0,1126,1,
7,0,1167,1,
7,0,1217,1,
7,0,1267,1,
7,0,1324,1,
8,0,0,0,
8,0,37,0,
8,0,89,0,
8,0,141,0,
8,0,180,0,
8,1,235,0,
8,1,288,0,
8,1,339,0,
8,1,387,0,
8,1,432,0,
8,1,472,0,
8,1,512,0,
8,1,549,0,
8,1,585,0,
8,1,624,0,
8,1,664,0,
8,1,705,0,
8,1,736,0,
8,1,774,0,
8,1,824,0,
8,1,873,0,
8,1,923,0,
8,1,974,0,
8,1,1019,0,
8,1,1061,0,
8,1,1110,0,
8,1,1147,0,
8,1,1195,0,
8,1,1246,0,
8,0,1294,0,
8,0,1339,1,
10,0,0,0,
10,0,29,0,
10,1,72,0,
10,1,113,0,
10,1,163,0,
10,1,220,0,
10,1,272,0,
10,1,324,0,
10,0,371,1,
10,0,422,1,
10,0,463,1,
10,0,502,1,
10,0,542,1,
10,0,594,1,
10,0,629,1,
10,0,661,1,
11,0,0,0,
11,0,51,1,
11,1,103,0,
11,1,152,0,
11,0,201,0,
11,0,254,0,
11,0,296,0,
11,1,341,0,
11,1,381,0,
11,1,432,0,
11,1,481,0,
11,1,517,0,
11,1,554,0,
11,1,588,0,
11,1,622,0,
11,1,672,0,
11,1,716,0,
11,1,760,0,
11,1,801,0,
11,1,838,0,
11,1,873,0,
11,1,913,0,
11,1,949,0,
12,0,0,0,
12,0,47,1,
12,1,86,0,
12,0,130,0,
12,0,176,0,
12,0,207,1,
12,1,245,0,
12,1,289,0,
12,1,336,0,
12,1,375,0,
12,1,413,0,
12,1,448,0,
12,1,485,0,
12,1,527,0,
12,1,580,0,
12,1,626,0,
12,1,663,0,
12,1,701,0,
12,1,728,0,
12,1,767,0,
12,1,807,0,
12,1,842,0,
12,1,878,0,
13,0,0,0,
13,0,54,0,
13,0,106,1,
13,0,156,0,
13,1,204,0,
13,1,259,0,
13,0,308,1,
13,0,353,1,
13,0,387,1,
13,0,422,1,
13,0,459,1,
13,0,494,1,
13,0,525,1,
13,0,563,1,
13,0,609,1,
13,0,658,1,
13,0,705,1,
13,0,744,1,
13,0,802,1,
13,0,858,1,
14,1,0,0,
14,0,49,0,
14,0,98,1,
14,0,128,0,
14,0,181,1,
14,1,223,0,
14,0,262,1,
14,1,318,0,
14,1,375,0,
14,1,420,0,
14,1,466,0,
14,1,503,0,
14,1,546,0,
14,1,587,0,
14,1,633,0,
14,1,676,0,
14,1,718,0,
14,1,756,0,
14,1,790,0,
14,1,831,0,
14,1,871,0,
14,1,903,0,
15,1,0,0,
15,0,39,1,
15,0,86,0,
15,0,145,0,
15,0,201,0,
15,1,249,0,
15,1,277,0,
15,1,313,0,
15,1,352,0,
15,1,398,0,
15,1,442,0,
15,1,487,0,
15,1,531,0,
15,1,571,0,
15,1,605,0,
15,1,633,0,
15,1,673,0,
15,1,707,0,
15,1,752,0,
16,0,0,1,
16,0,63,0,
16,0,107,1,
16,1,155,0,
16,1,197,0,
16,0,254,0,
16,1,304,0,
16,0,354,1,
16,0,403,0,
16,0,449,0,
16,0,495,0,
16,0,530,1,
16,0,574,1,
16,0,614,1,
16,0,642,1,
16,0,677,1,
16,0,714,1,
16,0,753,1,
16,0,786,1,
16,0,823,1,
16,0,859,1,
16,0,906,1,
16,0,942,1,
16,0,979,1,
16,0,1014,1,
17,1,0,0,
17,0,34,1,
17,0,76,1,
17,1,121,0,
17,0,168,0,
17,0,199,0,
17,0,236,1,
17,0,283,1,
17,0,318,1,
17,0,356,1,
17,0,390,1,
17,0,428,1,
17,0,479,1,
17,0,519,1,
17,0,557,1,
17,0,585,1,
17,0,628,1,
17,0,681,0,
18,1,0,0,
18,1,45,0,
18,1,80,0,
18,1,134,0,
18,1,174,0,
18,1,208,0,
18,1,274,0,
18,1,320,0,
18,1,370,0,
18,1,426,0,
18,1,481,0,
18,1,528,0,
18,0,581,0,
18,0,638,1,
18,0,679,1,
18,0,715,0,
18,0,759,0,
18,0,794,0,
18,1,831,0,
18,1,866,0,
18,1,906,0,
18,1,942,0,
18,1,982,0,
18,1,1028,0,
18,1,1073,0,
18,1,1125,0,
18,1,1162,0,
18,1,1200,0,
18,1,1234,0,
18,1,1285,0,
18,1,1325,0,
18,1,1361,0,
18,1,1401,0,
18,1,1438,0,
18,0,1484,0,
18,1,1532,0,
18,1,1567,0,
19,1,0,0,
19,1,42,0,
19,1,79,0,
19,1,120,0,
19,1,161,0,
19,0,194,0,
19,1,238,0,
19,1,295,0,
19,1,333,0,
19,1,383,0,
19,1,424,0,
19,1,470,0,
19,1,512,0,
19,1,555,0,
19,1,604,0,
19,1,647,0,
19,1,694,0,
19,1,734,0,
19,0,781,0,
19,1,831,0,
19,1,872,0,
19,1,917,0,
19,1,956,0,
20,1,0,0,
20,0,41,0,
20,0,84,0,
20,1,128,0,
20,1,167,0,
20,1,215,0,
20,0,259,1,
20,0,314,1,
20,0,359,1,
20,0,409,1,
20,0,449,1,
20,0,492,1,
20,0,543,1,
20,0,591,1,
20,0,643,1,
20,0,681,1,
20,0,725,1,
20,0,781,1,
20,0,830,1,
20,0,885,1,
20,0,928,1,
20,0,966,1,
20,0,1004,0,
20,1,1038,0,
20,1,1074,0,
20,1,1107,0,
20,1,1134,0,
20,1,1162,0,
20,1,1204,0,
20,1,1239,0,
20,1,1276,0,
20,1,1321,0,
20,1,1359,0,
21,1,0,0,
21,1,57,0,
21,1,94,0,
21,1,142,0,
21,1,199,0,
21,1,247,0,
21,1,288,0,
21,1,339,0,
21,1,380,0,
21,1,430,0,
21,1,475,0,
21,1,529,0,
21,0,565,0,
21,0,617,1,
21,0,673,0,
21,0,724,0,
21,0,784,1,
21,0,836,0,
21,0,895,1,
21,0,940,1,
21,0,988,1,
21,0,1033,1,
21,0,1084,1,
21,0,1130,0,
21,0,1168,1,
21,1,1210,0,
21,0,1243,0,
21,0,1286,0,
21,1,1333,0,
21,1,1371,0,
21,1,1414,0,
