trial,_right_canvas,_left_canvas,times,Unnamed: 4
6,0,0,0,
6,0,0,32,
6,1,0,65,
6,1,0,103,
6,1,0,130,
6,1,0,161,
6,0,1,195,
6,1,0,226,
6,0,1,261,
6,1,0,300,
6,0,0,334,
6,0,1,363,
6,0,1,390,
6,0,0,418,
6,0,1,440,
6,0,1,471,
6,0,1,496,
6,0,1,517,
6,0,0,540,
6,0,0,561,
6,0,1,584,
6,0,0,610,
6,0,1,637,
6,1,0,666,
6,1,0,691,
6,0,1,724,
6,0,1,753,
6,0,1,777,
6,0,1,799,
6,0,1,822,
6,0,1,849,
6,0,1,885,
6,0,1,910,
6,0,1,941,
6,0,1,965,
6,1,0,992,
6,1,0,1024,
6,0,1,1054,
6,0,1,1084,
6,0,0,1114,
6,0,1,1143,
6,0,1,1167,
6,0,1,1190,
6,0,1,1211,
6,0,1,1234,
6,0,1,1258,
6,0,1,1292,
6,1,0,1321,
6,1,0,1345,
6,1,0,1376,
6,1,0,1399,
6,0,0,1431,
6,0,1,1467,
6,0,1,1502,
6,1,0,1537,
6,0,1,1565,
6,1,0,1592,
6,1,0,1626,
6,0,1,1652,
6,1,0,1682,
6,1,0,1714,
6,0,1,1748,
7,1,0,0,
7,0,0,34,
7,0,0,61,
7,1,0,91,
7,1,0,124,
7,0,1,155,
7,0,0,187,
7,0,1,217,
7,0,0,248,
7,1,0,279,
7,1,0,309,
7,0,1,340,
7,0,1,365,
7,1,0,392,
7,0,1,418,
7,0,0,444,
7,0,0,470,
7,1,0,497,
7,0,0,526,
7,1,0,552,
7,1,0,574,
7,0,1,600,
7,0,1,627,
7,0,1,659,
7,1,0,689,
7,0,1,721,
7,0,1,749,
7,1,0,779,
7,1,0,808,
7,1,0,830,
7,0,0,859,
7,0,0,888,
7,1,0,917,
7,0,0,946,
7,0,0,976,
7,1,0,1009,
7,1,0,1041,
7,0,0,1078,
7,1,0,1109,
7,1,0,1144,
7,1,0,1181,
7,0,1,1216,
7,0,0,1255,
8,1,0,0,
8,1,0,24,
8,1,0,50,
8,1,0,76,
8,1,0,104,
8,1,0,132,
8,0,0,162,
8,1,0,185,
8,1,0,211,
8,0,0,237,
8,0,0,264,
8,0,1,291,
8,1,0,313,
8,1,0,335,
8,0,1,358,
8,0,1,387,
8,0,1,415,
8,0,1,447,
8,1,0,477,
8,0,1,511,
8,0,1,545,
8,0,1,578,
8,0,1,607,
8,0,1,637,
8,0,1,663,
8,0,1,695,
8,0,1,725,
8,0,1,749,
8,0,1,782,
8,1,0,811,
8,0,1,847,
8,0,1,884,
8,0,1,920,
8,0,1,960,
8,0,1,985,
8,0,1,1020,
8,0,1,1048,
8,0,1,1082,
8,0,1,1122,
8,0,1,1168,
8,0,1,1201,
8,0,1,1232,
8,0,1,1265,
8,0,1,1298,
8,0,0,1324,
8,0,0,1359,
8,0,1,1395,
8,0,0,1428,
8,0,1,1465,
8,0,1,1498,
8,0,0,1533,
8,0,1,1563,
8,0,1,1599,
8,1,0,1632,
8,1,0,1670,
8,0,0,1701,
8,0,0,1728,
7,1,0,0,
7,1,0,26,
7,1,0,58,
7,1,0,84,
7,1,0,108,
7,0,0,133,
7,0,0,170,
7,0,0,205,
7,0,1,241,
7,1,0,274,
7,1,0,308,
7,1,0,333,
7,1,0,360,
7,1,0,390,
7,1,0,423,
7,1,0,459,
7,1,0,487,
7,1,0,518,
7,1,0,545,
7,1,0,572,
7,1,0,603,
7,1,0,631,
7,1,0,660,
7,0,0,688,
7,1,0,718,
7,1,0,751,
7,1,0,778,
7,1,0,811,
7,0,0,839,
7,0,0,868,
7,1,0,898,
7,1,0,927,
7,1,0,959,
7,1,0,992,
7,1,0,1018,
7,1,0,1055,
7,0,1,1091,
7,1,0,1126,
7,1,0,1158,
7,1,0,1192,
7,0,0,1218,
7,0,0,1245,
7,1,0,1279,
7,1,0,1314,
7,1,0,1348,
7,0,0,1385,
7,1,0,1421,
7,1,0,1445,
7,0,0,1476,
7,0,0,1502,
7,0,0,1529,
7,0,0,1560,
7,0,0,1592,
7,1,0,1627,
7,1,0,1657,
7,1,0,1691,
7,0,0,1720,
7,1,0,1749,
7,0,1,1778,
7,0,1,1808,
7,0,1,1837,
7,0,1,1871,
7,1,0,1896,
7,0,1,1925,
7,0,1,1950,
7,0,1,1977,
7,0,1,2013,
7,0,0,2051,
7,0,1,2079,
7,1,0,2114,
7,0,1,2149,
7,0,1,2181,
7,0,1,2211,
7,0,1,2244,
7,0,0,2272,
7,0,1,2307,
7,1,0,2332,
8,0,0,0,
8,1,0,32,
8,1,0,60,
8,1,0,86,
8,0,0,117,
8,0,0,145,
8,1,0,172,
8,0,1,200,
8,1,0,227,
8,0,1,255,
8,0,1,281,
8,0,1,312,
8,0,1,350,
8,0,0,399,
8,0,0,442,
8,0,1,480,
8,0,1,507,
8,0,1,534,
8,0,1,561,
8,0,1,588,
8,1,0,616,
8,1,0,644,
8,1,0,671,
8,1,0,705,
8,0,0,736,
8,1,0,778,
8,0,0,831,
8,1,0,875,
8,0,0,918,
8,0,0,964,
8,0,1,1014,
8,0,1,1057,
8,0,1,1096,
8,0,1,1136,
8,0,1,1177,
8,0,1,1211,
8,1,0,1242,
8,1,0,1268,
8,0,0,1296,
8,0,0,1323,
8,1,0,1345,
8,0,1,1371,
8,0,1,1397,
8,0,1,1426,
8,0,1,1481,
8,0,1,1532,
8,0,1,1577,
8,0,1,1630,
8,0,1,1681,
8,0,1,1731,
8,0,1,1778,
8,0,0,1812,
8,1,0,1840,
8,1,0,1868,
8,1,0,1898,
8,1,0,1927,
8,1,0,1949,
8,0,1,1979,
8,0,1,2004,
8,0,1,2035,
8,1,0,2066,
8,1,0,2105,
8,1,0,2146,
8,0,1,2183,
8,0,0,2215,
8,1,0,2246,
8,1,0,2284,
8,1,0,2322,
8,1,0,2349,
8,1,0,2372,
8,1,0,2405,
8,0,0,2434,
8,0,0,2463,
8,0,0,2493,
8,1,0,2522,
8,1,0,2556,
8,1,0,2590,
8,1,0,2623,
8,1,0,2647,
8,1,0,2679,
10,0,1,0,
10,0,1,33,
10,0,1,63,
10,0,1,88,
10,0,1,115,
10,0,1,137,
10,0,1,162,
10,0,1,192,
10,0,1,216,
10,0,1,242,
10,0,1,269,
10,0,1,303,
10,0,1,338,
10,0,1,367,
10,0,1,393,
10,0,1,423,
10,0,1,450,
10,0,1,472,
10,0,1,497,
10,0,1,521,
10,1,0,545,
10,1,0,574,
10,1,0,602,
10,1,0,626,
10,1,0,654,
10,1,0,681,
10,1,0,708,
10,1,0,737,
10,1,0,762,
10,1,0,786,
10,1,0,814,
10,1,0,841,
10,1,0,869,
10,1,0,896,
10,1,0,920,
10,1,0,949,
10,1,0,980,
10,1,0,1010,
10,1,0,1043,
10,1,0,1070,
11,0,1,0,
11,0,1,25,
11,0,0,56,
11,0,1,85,
11,0,1,115,
11,0,1,141,
11,0,1,168,
11,0,1,199,
11,0,1,230,
11,0,1,262,
11,0,1,290,
11,0,1,319,
11,0,1,341,
11,0,1,373,
11,0,1,403,
11,0,1,434,
11,0,1,456,
11,0,1,486,
11,0,1,519,
11,0,1,550,
12,0,0,0,
12,1,0,33,
12,1,0,65,
12,1,0,98,
12,1,0,129,
12,0,0,160,
12,1,0,186,
12,1,0,220,
12,1,0,248,
12,1,0,285,
12,1,0,319,
12,1,0,351,
12,1,0,378,
12,1,0,405,
12,1,0,433,
12,1,0,456,
12,1,0,483,
12,1,0,514,
12,1,0,541,
12,1,0,571,
12,1,0,602,
12,1,0,631,
13,1,0,0,
13,1,0,30,
13,0,0,63,
13,1,0,95,
13,0,0,126,
13,1,0,159,
13,1,0,186,
13,1,0,220,
13,1,0,254,
13,1,0,286,
13,1,0,316,
13,1,0,346,
13,1,0,368,
13,1,0,390,
13,1,0,417,
13,1,0,440,
13,1,0,464,
13,1,0,488,
13,1,0,510,
13,1,0,535,
13,1,0,559,
13,0,1,594,
13,0,1,617,
13,0,1,640,
13,0,1,661,
13,0,1,686,
13,0,1,709,
13,0,1,732,
13,0,1,759,
13,0,1,783,
13,0,1,813,
13,0,1,844,
13,0,1,871,
13,0,1,898,
13,0,1,928,
13,0,1,957,
13,0,1,986,
13,0,1,1014,
13,0,1,1043,
13,0,1,1074,
13,0,1,1105,
13,0,1,1134,
14,1,0,0,
14,1,0,31,
14,0,0,71,
14,1,0,104,
14,0,0,136,
14,1,0,163,
14,0,0,192,
14,1,0,221,
14,0,1,251,
14,1,0,287,
14,1,0,316,
14,1,0,344,
14,1,0,373,
14,1,0,397,
14,1,0,430,
14,1,0,458,
14,1,0,490,
14,1,0,517,
14,1,0,545,
14,1,0,573,
14,1,0,600,
14,1,0,633,
14,1,0,661,
14,1,0,688,
14,1,0,722,
14,1,0,747,
14,1,0,776,
15,0,0,0,
15,0,0,32,
15,0,1,68,
15,1,0,98,
15,0,1,128,
15,1,0,159,
15,1,0,192,
15,1,0,222,
15,0,1,252,
15,0,1,276,
15,1,0,306,
15,0,0,341,
15,0,1,371,
15,0,1,398,
15,0,1,430,
15,0,1,468,
15,0,1,502,
15,0,1,531,
15,0,1,561,
15,0,1,585,
15,0,1,607,
15,0,1,634,
15,0,1,660,
15,0,1,684,
15,0,1,709,
15,0,1,732,
15,0,1,758,
15,0,1,789,
15,0,1,813,
15,0,1,838,
15,0,1,865,
15,0,1,890,
15,0,1,914,
15,0,1,942,
15,0,0,966,
15,1,0,997,
15,1,0,1030,
15,1,0,1062,
15,1,0,1092,
15,1,0,1124,
15,1,0,1154,
15,1,0,1178,
15,1,0,1206,
15,1,0,1235,
15,1,0,1264,
15,1,0,1292,
15,1,0,1319,
15,1,0,1346,
15,1,0,1372,
15,1,0,1399,
15,1,0,1422,
15,1,0,1449,
15,1,0,1479,
15,0,0,1502,
15,1,0,1528,
15,1,0,1556,
15,1,0,1593,
15,1,0,1620,
15,1,0,1653,
15,0,1,1683,
15,1,0,1714,
15,1,0,1748,
16,0,0,0,
16,0,1,26,
16,1,0,53,
16,1,0,79,
16,1,0,106,
16,1,0,137,
16,0,0,171,
16,1,0,209,
16,1,0,241,
16,1,0,269,
