trial,_left_canvas,_right_canvas,times,Unnamed: 4
6,1,0,0,
6,1,0,34,
6,1,0,67,
6,1,0,100,
6,0,1,133,
6,0,0,166,
6,0,0,200,
6,0,0,233,
6,1,0,267,
6,0,0,300,
6,1,0,333,
6,0,0,367,
6,0,0,401,
6,1,0,433,
6,0,0,466,
6,1,0,499,
6,1,0,532,
6,0,0,565,
6,1,0,598,
6,1,0,632,
6,1,0,665,
6,1,0,699,
6,1,0,732,
6,1,0,766,
6,1,0,799,
6,1,0,834,
6,1,0,866,
6,1,0,899,
6,1,0,932,
6,1,0,966,
6,1,0,999,
6,1,0,1033,
6,0,0,1071,
6,1,0,1104,
6,1,0,1135,
6,1,0,1166,
6,1,0,1199,
6,1,0,1232,
6,1,0,1266,
6,1,0,1299,
6,1,0,1332,
6,1,0,1365,
6,1,0,1398,
6,1,0,1431,
6,1,0,1464,
6,1,0,1504,
6,1,0,1534,
6,1,0,1564,
6,1,0,1599,
6,1,0,1632,
6,1,0,1666,
6,1,0,1701,
6,1,0,1736,
6,1,0,1766,
6,0,0,1797,
6,0,0,1821,
6,1,0,1849,
6,0,0,1881,
6,0,1,1919,
6,0,1,1960,
6,0,1,1987,
6,0,1,2019,
6,0,0,2053,
6,1,0,2088,
6,0,0,2118,
6,1,0,2152,
6,1,0,2186,
6,1,0,2215,
6,1,0,2248,
6,1,0,2281,
6,1,0,2318,
6,1,0,2348,
7,0,1,0,
7,0,1,36,
7,0,1,67,
7,0,1,100,
7,0,1,134,
7,0,1,167,
7,0,1,201,
7,0,1,234,
7,0,1,267,
7,0,1,301,
7,0,1,334,
7,0,1,368,
7,0,1,401,
7,0,1,435,
7,0,1,467,
7,0,1,502,
7,0,1,544,
7,0,1,582,
7,0,1,616,
7,0,1,651,
7,0,0,683,
7,0,0,716,
7,0,1,750,
7,0,1,783,
7,0,1,816,
7,0,1,850,
7,0,1,884,
7,0,1,917,
7,0,0,951,
7,0,1,984,
7,0,1,1016,
7,0,1,1050,
7,0,1,1084,
7,0,1,1117,
7,0,1,1150,
7,0,0,1183,
7,0,0,1217,
7,0,1,1250,
7,0,1,1284,
7,0,1,1317,
7,0,0,1351,
8,1,0,0,
8,1,0,32,
8,1,0,69,
8,1,0,102,
8,1,0,134,
8,1,0,165,
8,0,0,198,
8,1,0,232,
8,1,0,265,
8,1,0,299,
8,1,0,331,
8,1,0,364,
8,1,0,398,
8,1,0,431,
8,0,0,465,
8,1,0,504,
8,1,0,539,
8,0,0,572,
8,0,0,603,
8,0,0,634,
8,0,0,665,
8,0,0,698,
8,0,0,732,
8,0,0,765,
8,0,0,805,
8,0,0,839,
8,0,0,869,
8,0,0,905,
8,0,0,940,
8,0,0,967,
8,0,0,998,
8,0,0,1031,
8,0,0,1065,
8,0,0,1098,
8,0,0,1131,
8,0,0,1164,
8,0,0,1197,
8,0,0,1231,
8,0,0,1265,
8,0,0,1298,
8,0,0,1332,
8,0,0,1365,
8,0,0,1398,
8,0,0,1431,
8,0,0,1464,
8,0,0,1498,
8,1,0,1534,
8,1,0,1566,
8,1,0,1598,
8,1,0,1636,
8,1,0,1664,
8,1,0,1697,
8,0,0,1730,
8,1,0,1764,
8,1,0,1798,
8,1,0,1833,
8,1,0,1865,
8,1,0,1898,
8,1,0,1932,
8,1,0,1965,
8,1,0,1998,
8,1,0,2034,
8,1,0,2068,
8,1,0,2100,
8,1,0,2132,
8,1,0,2165,
8,1,0,2199,
8,1,0,2248,
8,1,0,2282,
8,1,0,2315,
8,1,0,2350,
8,0,0,2383,
7,1,0,0,
7,0,1,34,
7,0,1,67,
7,0,1,101,
7,0,1,136,
7,0,0,170,
7,0,0,201,
7,0,0,235,
7,0,1,275,
7,0,1,317,
7,0,0,344,
7,0,1,385,
7,0,1,436,
7,0,1,470,
7,0,1,506,
7,0,1,538,
8,0,1,0,
8,0,1,29,
8,0,1,68,
8,0,1,103,
8,0,1,137,
8,0,1,171,
8,0,1,202,
8,0,1,234,
8,0,0,268,
8,0,0,300,
8,0,0,334,
8,0,0,367,
8,0,0,400,
8,0,0,434,
8,0,0,467,
8,0,0,502,
8,1,0,539,
8,1,0,572,
8,0,1,602,
8,0,1,635,
8,0,1,668,
8,0,0,701,
8,0,1,737,
8,0,1,770,
8,0,1,801,
8,0,0,834,
8,1,0,867,
8,1,0,901,
8,1,0,935,
8,1,0,970,
8,1,0,1006,
8,1,0,1039,
8,0,1,1069,
8,1,0,1101,
8,1,0,1134,
8,1,0,1167,
8,1,0,1200,
10,1,0,0,
10,1,0,27,
10,1,0,60,
10,1,0,93,
10,1,0,122,
10,1,0,150,
10,0,0,183,
10,0,0,212,
10,0,0,251,
10,1,0,280,
10,0,0,312,
10,0,0,355,
10,1,0,386,
10,1,0,415,
10,1,0,446,
10,0,0,477,
10,0,0,510,
10,1,0,544,
10,1,0,582,
10,1,0,611,
10,1,0,644,
10,1,0,677,
10,1,0,710,
10,0,0,744,
11,0,1,0,
11,0,1,32,
11,0,1,64,
11,0,0,99,
11,0,1,132,
11,0,1,165,
11,0,1,197,
11,0,0,230,
11,1,0,264,
11,0,1,299,
11,0,1,332,
11,0,0,364,
11,0,1,403,
11,0,1,437,
11,0,1,470,
11,0,1,500,
11,0,1,534,
11,0,1,565,
11,0,0,598,
11,0,1,631,
11,0,0,668,
11,0,1,701,
11,0,1,735,
11,0,1,769,
11,0,1,804,
11,0,1,839,
11,0,1,868,
11,0,1,901,
11,0,1,935,
12,0,1,0,
12,0,1,36,
12,0,1,70,
12,0,1,101,
12,0,1,135,
12,0,1,168,
12,0,1,204,
12,0,1,238,
12,0,1,271,
12,0,1,305,
12,0,1,341,
12,0,1,378,
12,0,1,418,
12,0,1,457,
12,0,1,492,
12,0,1,521,
12,0,0,555,
12,0,1,594,
12,0,1,624,
12,0,1,653,
12,0,1,687,
12,0,1,722,
12,0,1,757,
12,0,1,786,
12,0,1,819,
12,0,1,856,
12,0,1,890,
12,0,1,923,
12,0,1,955,
12,0,1,988,
12,0,1,1022,
12,0,1,1054,
12,0,1,1086,
12,0,1,1112,
12,0,1,1145,
12,0,1,1178,
12,0,1,1211,
12,0,1,1239,
12,0,1,1273,
12,0,1,1305,
12,0,1,1340,
12,0,1,1372,
12,0,1,1402,
12,0,1,1429,
12,0,1,1459,
12,0,0,1492,
12,0,1,1525,
12,0,1,1557,
12,0,1,1589,
12,0,1,1620,
12,0,1,1653,
12,0,1,1686,
12,0,1,1720,
12,0,0,1754,
12,0,1,1787,
12,0,1,1820,
12,0,0,1854,
12,0,0,1887,
12,0,0,1920,
12,0,0,1954,
12,0,1,1988,
12,0,1,2020,
12,0,1,2054,
12,0,1,2088,
12,0,0,2121,
12,0,1,2155,
12,0,1,2188,
12,0,0,2231,
12,0,1,2261,
12,0,1,2296,
12,0,1,2332,
12,1,0,2373,
12,1,0,2406,
12,1,0,2443,
12,1,0,2496,
12,1,0,2533,
12,1,0,2563,
12,1,0,2595,
12,1,0,2631,
12,1,0,2666,
12,1,0,2697,
12,1,0,2730,
12,0,0,2759,
12,0,1,2794,
12,0,1,2830,
12,0,0,2864,
12,0,0,2898,
12,0,1,2930,
12,0,0,2964,
12,0,1,2995,
12,0,1,3026,
12,0,0,3060,
12,0,1,3095,
12,0,1,3128,
12,0,1,3161,
12,0,1,3194,
12,0,1,3226,
12,0,0,3257,
12,0,1,3291,
12,0,1,3324,
12,0,0,3357,
12,0,0,3390,
12,0,0,3424,
12,0,1,3458,
12,0,0,3491,
12,0,1,3524,
13,1,0,0,
13,1,0,33,
13,1,0,66,
13,1,0,100,
13,1,0,133,
13,0,1,166,
13,0,0,200,
13,1,0,233,
13,1,0,267,
13,1,0,301,
13,1,0,334,
13,1,0,369,
13,1,0,402,
13,1,0,433,
13,1,0,467,
13,1,0,501,
13,1,0,534,
13,1,0,568,
13,1,0,601,
13,1,0,634,
13,1,0,667,
13,1,0,700,
13,1,0,733,
13,1,0,771,
14,1,0,0,
14,1,0,34,
14,0,1,66,
14,0,1,99,
14,0,1,132,
14,0,0,165,
14,0,1,198,
14,0,1,232,
14,0,1,265,
14,0,1,302,
14,0,1,335,
14,0,1,369,
14,0,1,404,
14,0,1,438,
14,0,1,474,
14,0,1,512,
14,0,1,550,
14,0,1,584,
14,0,1,618,
14,0,1,653,
14,0,1,690,
14,0,1,735,
14,0,1,771,
14,0,1,809,
14,0,1,839,
14,0,1,879,
15,1,0,0,
15,1,0,36,
15,1,0,65,
15,1,0,97,
15,1,0,130,
15,1,0,163,
15,0,0,196,
15,1,0,231,
15,0,0,265,
15,1,0,300,
15,1,0,332,
15,1,0,363,
15,1,0,401,
15,1,0,430,
15,0,1,464,
15,0,1,497,
15,0,0,531,
15,0,1,568,
15,0,0,600,
15,0,1,634,
15,0,0,672,
15,0,0,701,
15,0,0,736,
15,0,0,770,
15,0,1,805,
15,0,1,848,
15,0,1,881,
15,0,1,915,
15,0,1,948,
15,0,1,981,
15,0,1,1015,
15,0,1,1048,
15,0,1,1081,
15,0,0,1116,
15,0,1,1147,
15,0,1,1180,
15,0,1,1214,
15,0,1,1247,
15,0,1,1281,
15,0,1,1315,
15,0,1,1349,
15,0,1,1382,
15,0,0,1415,
15,0,1,1448,
15,0,1,1482,
16,0,1,0,
16,0,0,50,
16,0,1,93,
16,0,0,133,
16,1,0,167,
16,0,1,203,
16,0,0,238,
16,0,0,272,
16,1,0,303,
16,1,0,338,
16,1,0,373,
16,1,0,410,
16,0,1,451,
16,0,0,486,
16,0,1,524,
16,0,1,561,
16,0,1,601,
16,0,1,634,
16,0,1,667,
16,0,0,704,
16,0,0,738,
16,0,1,771,
16,0,1,800,
16,0,1,840,
16,0,1,871,
16,0,1,904,
16,0,1,935,
16,0,1,967,
16,0,1,1000,
16,1,0,1033,
16,0,0,1068,
17,0,1,0,
17,0,1,34,
17,0,1,69,
17,0,1,106,
17,0,1,143,
17,0,1,183,
17,0,1,224,
17,0,1,289,
17,1,0,325,
17,1,0,362,
17,1,0,400,
17,1,0,441,
17,1,0,476,
17,1,0,516,
17,1,0,550,
17,1,0,583,
17,1,0,627,
17,1,0,666,
17,1,0,700,
17,1,0,734,
17,1,0,769,
17,1,0,802,
17,1,0,835,
18,1,0,0,
18,1,0,34,
18,1,0,69,
18,0,0,100,
18,0,0,133,
18,1,0,167,
18,1,0,201,
18,0,0,234,
