trial,_right_canvas,_left_canvas,times,Unnamed: 4
6,0,1,0,
6,0,1,34,
6,1,0,57,
6,0,0,84,
6,0,0,118,
6,0,0,156,
6,0,0,185,
6,0,0,219,
6,0,1,240,
6,0,1,269,
6,0,0,294,
6,0,1,320,
6,0,1,341,
6,0,0,370,
6,0,1,403,
6,0,1,437,
6,0,1,470,
6,0,1,503,
6,0,1,536,
6,0,1,570,
6,0,1,604,
6,0,1,643,
6,0,1,670,
6,0,1,691,
6,0,1,721,
6,0,0,753,
6,0,1,774,
6,0,1,803,
6,0,1,837,
6,0,1,870,
6,0,1,903,
6,0,1,936,
6,0,1,970,
6,0,1,1003,
6,0,1,1036,
6,0,1,1069,
6,0,1,1103,
6,0,1,1125,
6,0,1,1152,
6,0,1,1179,
6,0,1,1207,
6,0,1,1228,
6,0,1,1254,
6,0,1,1286,
6,0,1,1319,
6,0,1,1352,
6,0,1,1385,
6,0,1,1419,
6,0,1,1453,
6,0,1,1486,
6,0,1,1519,
6,0,0,1552,
6,0,0,1586,
6,0,0,1619,
6,0,0,1652,
6,0,0,1678,
6,0,0,1702,
6,0,0,1736,
6,0,0,1769,
6,0,1,1802,
6,0,0,1836,
6,0,0,1869,
6,0,0,1902,
6,1,0,1935,
6,1,0,1968,
6,0,0,1993,
6,0,0,2019,
6,0,0,2052,
6,0,1,2086,
6,0,0,2119,
6,0,0,2152,
6,0,1,2186,
6,0,0,2219,
6,0,0,2242,
6,0,0,2269,
6,1,0,2303,
6,0,0,2325,
6,0,0,2353,
6,0,1,2387,
6,0,1,2420,
6,0,0,2454,
6,0,1,2487,
6,0,1,2520,
6,0,1,2553,
6,0,0,2587,
6,0,1,2620,
6,0,1,2653,
6,0,1,2675,
6,1,0,2703,
6,0,0,2737,
6,0,1,2770,
6,0,1,2796,
6,0,0,2819,
6,0,0,2853,
6,0,0,2886,
6,0,0,2919,
6,0,1,2953,
6,0,1,2986,
6,0,1,3019,
6,0,1,3053,
6,0,1,3090,
6,0,1,3120,
6,0,1,3153,
6,0,1,3185,
6,0,1,3210,
6,0,1,3237,
6,0,1,3269,
6,0,1,3303,
6,0,1,3336,
6,0,1,3369,
6,0,1,3403,
6,0,0,3425,
6,0,1,3453,
6,0,1,3487,
6,0,1,3520,
6,0,1,3553,
6,0,1,3586,
6,0,1,3619,
6,0,1,3653,
6,0,1,3686,
6,0,1,3720,
6,0,1,3741,
6,0,1,3769,
6,0,0,3802,
6,0,1,3835,
6,0,1,3857,
6,0,1,3885,
6,0,1,3906,
6,0,1,3935,
6,0,1,3956,
6,0,1,3985,
6,0,1,4017,
6,0,1,4051,
6,0,0,4084,
6,0,1,4118,
6,0,1,4151,
6,0,0,4189,
6,0,1,4218,
6,0,1,4252,
6,0,1,4285,
6,0,0,4318,
6,0,1,4351,
6,0,0,4384,
6,0,1,4418,
6,0,1,4451,
6,0,1,4484,
6,0,1,4505,
6,0,1,4526,
6,0,1,4552,
6,0,1,4585,
6,0,1,4619,
7,0,1,0,
7,0,1,23,
7,0,1,54,
7,0,1,84,
7,1,0,117,
7,0,0,151,
7,1,0,174,
7,1,0,200,
7,1,0,235,
7,1,0,268,
7,0,0,301,
7,0,1,322,
7,0,1,351,
7,0,1,384,
7,0,1,418,
7,0,1,440,
7,0,1,469,
7,0,1,490,
7,0,1,517,
7,0,1,551,
7,0,1,584,
7,0,1,617,
7,0,1,650,
7,0,1,688,
7,0,0,717,
7,0,0,750,
7,1,0,776,
7,1,0,803,
7,1,0,834,
7,1,0,868,
7,1,0,901,
7,1,0,934,
7,1,0,967,
7,1,0,1000,
7,1,0,1023,
7,1,0,1050,
7,1,0,1071,
7,1,0,1100,
7,1,0,1133,
7,1,0,1167,
7,1,0,1206,
7,1,0,1237,
7,1,0,1267,
7,1,0,1300,
7,1,0,1333,
8,0,0,0,
8,1,0,33,
8,0,0,55,
8,1,0,84,
8,1,0,118,
8,1,0,151,
8,1,0,184,
8,1,0,217,
8,1,0,251,
8,0,1,274,
8,0,0,300,
8,0,1,334,
8,0,1,360,
8,0,1,388,
8,0,1,417,
8,0,1,450,
8,0,1,483,
8,0,1,517,
8,0,1,538,
8,0,1,566,
8,0,1,600,
8,0,1,633,
8,0,1,655,
8,0,1,685,
8,0,1,717,
8,0,1,754,
8,0,1,784,
8,0,1,806,
8,0,1,834,
8,0,1,867,
8,0,1,900,
8,0,1,933,
8,0,1,967,
8,0,1,1000,
8,0,1,1044,
8,0,1,1072,
8,0,1,1101,
7,0,1,0,
7,1,0,34,
7,0,1,68,
7,0,1,101,
7,1,0,134,
7,1,0,168,
7,0,0,202,
7,0,0,236,
7,1,0,257,
7,1,0,286,
7,1,0,320,
7,1,0,353,
7,1,0,386,
7,1,0,419,
7,1,0,453,
7,1,0,479,
7,1,0,506,
7,1,0,536,
7,1,0,570,
7,1,0,604,
7,1,0,626,
7,1,0,654,
7,1,0,687,
7,1,0,721,
7,1,0,754,
7,1,0,787,
7,1,0,821,
7,1,0,854,
7,1,0,887,
7,1,0,920,
7,1,0,954,
7,1,0,987,
7,1,0,1020,
7,1,0,1053,
7,1,0,1087,
8,1,0,0,
8,0,1,33,
8,0,0,66,
8,0,1,99,
8,0,0,133,
8,0,1,166,
8,0,1,188,
8,1,0,217,
8,0,0,251,
8,0,1,284,
8,0,1,318,
8,0,1,351,
8,0,1,384,
8,0,1,418,
8,0,1,451,
8,0,1,473,
8,0,1,500,
8,0,1,534,
8,0,1,567,
8,0,1,589,
8,0,1,618,
8,0,1,639,
8,0,1,668,
8,0,1,701,
8,0,1,735,
8,0,1,768,
8,0,1,801,
8,0,1,823,
8,0,1,851,
8,0,1,873,
8,0,1,901,
8,0,1,935,
8,1,0,968,
8,1,0,993,
8,1,0,1022,
8,1,0,1053,
8,1,0,1086,
8,1,0,1119,
8,1,0,1152,
8,1,0,1174,
8,1,0,1202,
8,1,0,1236,
8,1,0,1269,
8,1,0,1291,
