trial,times,_right_canvas,_left_canvas,Unnamed: 4
6,0,0,1,
6,27,1,0,
6,56,1,0,
6,89,1,0,
6,122,1,0,
6,157,1,0,
6,179,1,0,
6,206,1,0,
6,231,1,0,
6,258,1,0,
6,290,0,1,
6,323,0,1,
6,356,0,1,
6,389,0,1,
6,423,0,1,
6,456,0,1,
6,489,0,1,
6,522,0,1,
6,545,0,1,
6,572,0,1,
6,606,0,1,
6,627,0,1,
6,656,0,1,
6,690,0,1,
6,711,0,1,
6,740,0,1,
6,773,0,1,
6,794,0,1,
6,823,0,1,
6,856,0,1,
6,881,0,1,
6,908,0,1,
6,938,0,1,
6,964,1,0,
6,990,1,0,
6,1022,1,0,
6,1056,1,0,
6,1089,1,0,
6,1122,1,0,
6,1155,1,0,
6,1178,1,0,
6,1205,1,0,
6,1228,1,0,
6,1256,1,0,
6,1289,1,0,
6,1315,0,1,
6,1341,0,0,
6,1373,0,0,
6,1408,1,0,
6,1448,0,1,
6,1477,1,0,
6,1508,0,1,
6,1542,1,0,
6,1575,1,0,
6,1608,1,0,
6,1641,1,0,
6,1674,1,0,
6,1695,0,0,
6,1724,0,1,
6,1757,0,1,
6,1783,0,1,
6,1810,0,0,
6,1831,0,0,
6,1857,0,1,
6,1878,0,1,
6,1907,0,0,
6,1932,0,0,
6,1957,0,0,
6,1978,1,0,
6,2011,0,0,
6,2040,0,0,
6,2073,1,0,
6,2094,1,0,
6,2123,0,1,
6,2144,1,0,
6,2172,0,1,
6,2198,1,0,
6,2223,0,1,
6,2256,1,0,
6,2277,0,1,
6,2306,1,0,
6,2339,0,1,
6,2360,0,1,
6,2389,0,1,
6,2411,0,1,
6,2438,0,1,
6,2472,0,1,
6,2493,0,1,
6,2521,0,1,
6,2555,0,1,
6,2581,0,1,
6,2607,0,1,
6,2639,0,1,
6,2672,0,1,
6,2705,0,1,
7,0,0,0,
7,26,0,1,
7,52,0,0,
7,73,0,0,
7,100,1,0,
7,121,1,0,
7,149,1,0,
7,183,0,0,
7,216,0,1,
7,249,0,0,
7,282,1,0,
7,315,1,0,
7,349,1,0,
7,370,1,0,
7,400,1,0,
7,433,1,0,
7,466,1,0,
7,499,0,0,
7,533,1,0,
7,567,1,0,
7,588,1,0,
7,617,1,0,
7,640,1,0,
7,667,1,0,
7,707,1,0,
7,734,1,0,
7,755,1,0,
7,784,1,0,
7,817,1,0,
7,851,1,0,
7,876,1,0,
7,902,1,0,
7,935,1,0,
7,969,1,0,
7,991,0,0,
7,1019,0,1,
7,1051,0,0,
7,1073,1,0,
7,1102,1,0,
7,1135,1,0,
7,1168,1,0,
7,1189,1,0,
7,1219,1,0,
7,1239,1,0,
7,1268,1,0,
7,1289,0,1,
7,1318,1,0,
7,1352,1,0,
7,1385,1,0,
7,1418,1,0,
7,1441,1,0,
7,1468,1,0,
7,1502,1,0,
7,1535,1,0,
7,1569,1,0,
7,1602,1,0,
7,1624,0,0,
7,1652,0,1,
8,0,0,0,
8,28,1,0,
8,61,1,0,
8,82,0,1,
8,102,0,1,
8,128,0,0,
8,161,0,0,
8,194,0,0,
8,229,0,1,
8,266,0,1,
8,294,0,1,
8,327,0,1,
8,360,0,1,
8,394,0,1,
8,427,0,1,
8,449,0,1,
8,478,0,1,
8,500,0,1,
8,528,0,1,
8,550,0,1,
8,578,0,1,
8,611,0,1,
8,632,0,1,
8,661,0,1,
8,700,0,1,
8,727,0,1,
8,761,0,1,
8,795,0,1,
8,828,0,1,
8,861,0,1,
8,894,0,1,
8,928,0,1,
8,961,0,1,
8,994,0,1,
8,1028,0,1,
8,1061,0,1,
8,1083,0,1,
8,1111,0,1,
8,1144,0,1,
8,1177,0,1,
8,1212,0,0,
8,1234,0,1,
8,1261,0,1,
8,1294,0,1,
8,1327,0,1,
8,1361,0,0,
8,1395,0,1,
8,1427,0,1,
8,1450,0,1,
8,1482,0,0,
8,1520,0,1,
8,1547,0,1,
8,1577,0,1,
7,0,1,0,
7,34,0,0,
7,67,1,0,
7,103,0,0,
7,137,1,0,
7,169,0,0,
7,190,1,0,
7,218,0,0,
7,249,1,0,
7,283,1,0,
7,316,1,0,
7,349,1,0,
7,382,1,0,
7,415,1,0,
7,449,1,0,
7,471,1,0,
7,510,1,0,
7,538,1,0,
7,566,1,0,
7,600,1,0,
7,624,1,0,
7,651,1,0,
7,683,1,0,
7,716,1,0,
7,739,1,0,
7,766,1,0,
7,799,1,0,
7,832,1,0,
7,866,1,0,
7,891,1,0,
7,916,1,0,
7,949,0,1,
7,970,0,1,
7,1000,0,1,
7,1033,0,1,
7,1056,0,1,
7,1084,0,1,
7,1106,0,1,
7,1133,0,1,
7,1158,0,1,
7,1184,0,1,
7,1217,0,1,
7,1241,0,1,
7,1267,0,1,
7,1300,0,1,
7,1333,0,1,
7,1367,0,1,
7,1400,0,1,
7,1433,0,1,
7,1466,0,1,
7,1488,0,1,
7,1516,1,0,
7,1549,1,0,
7,1583,1,0,
7,1604,1,0,
7,1633,1,0,
7,1667,1,0,
7,1700,1,0,
7,1734,1,0,
7,1755,1,0,
7,1783,1,0,
7,1816,1,0,
7,1850,1,0,
7,1883,1,0,
7,1917,1,0,
7,1938,1,0,
7,1967,1,0,
7,2004,1,0,
7,2034,1,0,
8,0,1,0,
8,24,0,0,
8,50,0,1,
8,84,0,0,
8,104,0,0,
8,133,0,1,
8,166,0,1,
8,200,0,1,
8,233,1,0,
8,267,0,1,
8,301,0,1,
8,334,0,1,
8,367,0,1,
8,389,0,1,
8,417,0,1,
8,451,0,1,
8,484,1,0,
8,518,1,0,
8,540,1,0,
8,568,1,0,
8,601,1,0,
8,635,1,0,
8,668,1,0,
8,701,1,0,
8,735,1,0,
8,768,1,0,
8,801,1,0,
8,835,1,0,
10,0,0,1,
10,26,0,1,
10,59,0,1,
10,93,0,1,
10,126,0,1,
10,159,0,0,
10,192,0,0,
10,226,0,1,
10,259,0,1,
10,292,0,1,
10,326,0,1,
10,359,0,1,
10,393,0,1,
10,426,0,1,
10,460,0,1,
10,493,0,1,
10,525,0,1,
10,558,0,1,
10,591,0,1,
10,625,0,1,
10,658,0,1,
10,679,0,0,
10,708,0,1,
10,742,0,1,
10,775,0,1,
10,809,0,1,
10,842,0,1,
10,875,0,1,
10,908,0,0,
10,933,0,1,
10,958,0,1,
10,992,0,1,
11,0,1,0,
11,23,0,0,
11,49,0,0,
11,71,1,0,
11,100,0,0,
11,134,0,1,
11,167,0,1,
11,202,1,0,
11,234,0,1,
11,268,0,0,
11,290,1,0,
11,318,1,0,
11,351,1,0,
11,372,1,0,
11,402,1,0,
11,423,1,0,
11,452,1,0,
11,473,1,0,
11,501,1,0,
11,535,1,0,
11,568,1,0,
11,601,1,0,
11,635,1,0,
11,669,1,0,
11,702,1,0,
11,727,1,0,
11,756,1,0,
11,785,0,0,
11,812,0,0,
11,838,0,0,
11,868,0,0,
11,901,0,0,
11,927,0,1,
11,952,0,0,
11,985,1,0,
11,1008,1,0,
11,1034,1,0,
11,1060,0,1,
11,1087,0,0,
11,1119,1,0,
11,1152,0,1,
11,1174,0,0,
11,1202,0,0,
11,1227,0,1,
11,1254,0,1,
11,1276,0,1,
11,1303,0,1,
11,1335,1,0,
11,1369,1,0,
11,1391,1,0,
11,1419,0,0,
11,1452,1,0,
11,1477,1,0,
11,1504,1,0,
11,1535,1,0,
11,1569,1,0,
11,1602,1,0,
11,1636,1,0,
11,1658,1,0,
11,1687,1,0,
11,1723,1,0,
11,1744,1,0,
11,1768,1,0,
11,1793,1,0,
11,1819,1,0,
11,1852,0,0,
11,1885,1,0,
11,1907,1,0,
11,1935,0,1,
11,1968,1,0,
11,2001,1,0,
11,2022,1,0,
11,2052,1,0,
11,2084,1,0,
11,2117,0,1,
11,2142,0,1,
11,2168,0,1,
11,2201,0,1,
11,2234,0,1,
11,2267,0,1,
12,0,1,0,
12,33,0,0,
12,58,1,0,
12,83,1,0,
12,116,1,0,
12,154,1,0,
12,184,1,0,
12,217,1,0,
12,250,1,0,
12,284,1,0,
12,317,1,0,
12,350,1,0,
12,375,1,0,
12,400,1,0,
12,440,1,0,
12,466,1,0,
12,487,1,0,
12,516,1,0,
12,550,1,0,
12,583,1,0,
12,616,1,0,
12,650,1,0,
12,683,1,0,
12,716,1,0,
12,749,1,0,
12,783,1,0,
12,816,1,0,
12,837,1,0,
12,866,1,0,
12,887,1,0,
12,917,1,0,
12,967,1,0,
13,0,0,1,
13,22,0,1,
13,49,0,1,
13,83,0,1,
13,108,0,1,
13,134,0,0,
13,156,1,0,
13,182,0,0,
13,216,0,1,
13,249,0,1,
13,272,0,1,
13,315,0,1,
13,340,0,1,
13,366,0,1,
13,391,0,1,
13,418,0,1,
13,449,0,1,
13,483,0,1,
13,505,0,1,
13,533,0,1,
13,566,0,1,
14,0,0,1,
14,33,0,1,
14,67,0,1,
14,100,1,0,
14,134,0,1,
14,167,0,1,
14,201,0,1,
14,222,0,1,
14,250,0,1,
14,283,0,1,
14,316,0,1,
14,351,1,0,
14,383,0,1,
14,416,0,1,
14,449,0,1,
14,474,0,1,
14,501,0,1,
14,534,0,1,
14,567,1,0,
14,601,1,0,
14,633,1,0,
14,667,1,0,
14,701,1,0,
14,725,1,0,
14,752,1,0,
14,784,1,0,
14,817,1,0,
14,851,1,0,
14,884,1,0,
14,918,1,0,
14,950,1,0,
14,985,1,0,
14,1010,1,0,
14,1036,1,0,
14,1067,1,0,
14,1100,1,0,
14,1134,1,0,
14,1166,1,0,
14,1205,1,0,
14,1233,1,0,
14,1255,1,0,
14,1284,1,0,
14,1317,1,0,
14,1351,1,0,
14,1384,1,0,
14,1418,1,0,
14,1450,1,0,
14,1475,1,0,
14,1501,1,0,
14,1535,1,0,
14,1568,1,0,
14,1601,1,0,
14,1634,1,0,
14,1668,1,0,
14,1701,1,0,
14,1734,1,0,
