trial,_right_canvas,times,_left_canvas,Unnamed: 4
6,0,0,0,
6,0,78,1,
6,0,147,1,
6,0,207,1,
6,0,265,1,
6,0,321,1,
6,0,387,1,
6,0,489,1,
6,0,570,1,
6,0,641,1,
6,0,706,1,
6,0,771,1,
6,0,849,1,
6,0,927,1,
6,0,985,1,
6,0,1074,1,
6,0,1138,1,
7,0,0,1,
7,0,90,1,
7,0,151,0,
7,0,211,1,
7,0,275,1,
7,0,337,1,
7,0,397,0,
7,0,460,1,
7,1,527,0,
7,1,601,0,
7,0,673,0,
7,0,738,1,
7,0,809,1,
7,0,885,1,
7,0,951,1,
7,0,1003,1,
7,0,1072,1,
7,0,1171,1,
8,0,0,1,
8,0,110,1,
8,0,164,1,
8,0,220,0,
8,0,275,1,
8,0,327,0,
8,0,391,1,
8,0,455,1,
8,0,518,1,
8,0,583,1,
8,0,650,1,
8,0,736,1,
8,0,824,1,
8,0,905,1,
8,0,972,1,
8,0,1056,1,
8,0,1157,1,
7,0,0,0,
7,0,100,0,
7,0,162,1,
7,0,224,1,
7,0,287,1,
7,0,340,0,
7,0,405,1,
7,0,477,1,
7,0,548,1,
7,0,608,1,
7,0,667,1,
7,0,720,1,
7,0,782,1,
7,0,838,1,
7,0,892,1,
8,1,0,0,
8,1,87,0,
8,1,140,0,
8,0,195,0,
8,0,253,0,
8,1,309,0,
8,0,362,1,
8,0,426,1,
8,0,495,1,
8,0,559,1,
8,0,625,0,
8,0,696,1,
8,0,764,1,
8,0,829,1,
8,0,882,1,
8,0,934,1,
8,0,989,0,
8,0,1045,1,
8,0,1123,0,
10,0,0,1,
10,1,87,0,
10,0,148,1,
10,0,210,1,
10,0,266,1,
10,0,319,1,
10,0,376,1,
10,0,428,1,
10,0,496,1,
10,0,562,1,
10,0,634,1,
10,0,716,1,
10,0,783,1,
10,0,855,1,
10,0,921,1,
10,0,979,1,
10,0,1043,1,
10,0,1100,1,
11,1,0,0,
11,0,110,1,
11,1,164,0,
11,0,220,1,
11,0,272,1,
11,0,338,1,
11,0,409,1,
11,0,481,1,
11,0,544,1,
11,0,605,1,
11,0,680,1,
11,0,755,1,
11,0,817,1,
11,0,870,1,
11,0,926,1,
11,0,979,1,
12,1,0,0,
12,1,77,0,
12,1,132,0,
12,1,186,0,
12,1,243,0,
12,1,302,0,
12,1,361,0,
12,1,427,0,
12,1,499,0,
12,1,571,0,
12,1,634,0,
12,1,706,0,
12,1,774,0,
12,1,846,0,
12,1,908,0,
12,1,962,0,
12,1,1019,0,
12,1,1103,0,
12,1,1154,0,
12,1,1211,0,
12,0,1271,1,
12,0,1326,1,
12,0,1383,1,
12,0,1443,1,
12,0,1495,1,
12,1,1548,0,
12,1,1604,0,
12,1,1661,0,
12,1,1713,0,
12,1,1771,0,
12,1,1829,0,
12,1,1886,0,
13,1,0,0,
13,1,60,0,
13,0,166,0,
13,1,223,0,
13,0,274,1,
13,0,330,1,
13,0,387,1,
13,0,440,1,
13,0,493,1,
13,0,549,0,
13,0,602,0,
13,0,653,1,
13,0,709,1,
13,0,770,0,
13,0,833,1,
13,1,898,0,
13,1,965,0,
13,1,1034,0,
13,1,1106,0,
13,1,1196,0,
13,0,1267,1,
13,0,1326,1,
13,0,1385,1,
13,0,1438,1,
13,0,1495,1,
13,0,1549,1,
13,0,1608,1,
13,0,1668,1,
13,0,1724,0,
14,0,0,0,
14,0,70,1,
14,0,119,1,
14,0,169,1,
14,1,220,0,
14,0,273,1,
14,1,323,0,
14,1,373,0,
14,1,424,0,
14,1,477,0,
14,1,531,0,
14,0,584,1,
14,0,637,1,
14,0,700,1,
14,0,755,1,
14,1,814,0,
14,1,885,0,
14,1,950,0,
14,1,1015,0,
14,1,1097,0,
14,1,1155,0,
14,1,1212,0,
14,1,1271,0,
14,1,1329,0,
14,1,1385,0,
15,1,0,0,
15,0,77,0,
15,0,130,0,
15,0,188,0,
15,0,245,0,
15,1,310,0,
15,1,379,0,
15,1,452,0,
15,1,521,0,
15,1,586,0,
15,1,642,0,
15,1,696,0,
15,1,753,0,
15,0,807,0,
16,1,0,0,
16,1,60,0,
16,0,169,1,
16,0,226,1,
16,0,278,0,
16,1,333,0,
16,0,390,0,
16,1,449,0,
16,1,519,0,
16,1,591,0,
16,1,656,0,
16,1,720,0,
16,1,785,0,
16,1,844,0,
16,1,911,0,
16,1,977,0,
16,1,1032,0,
16,1,1091,0,
16,1,1172,0,
17,1,0,0,
17,0,80,0,
17,0,136,0,
17,1,190,0,
17,1,244,0,
17,1,308,0,
17,1,373,0,
17,1,437,0,
17,0,502,1,
17,0,572,0,
17,0,634,1,
17,0,699,1,
17,0,764,1,
17,0,832,1,
17,0,897,0,
17,0,962,1,
17,0,1034,1,
17,0,1133,1,
17,0,1197,1,
17,0,1260,0,
17,0,1318,0,
17,0,1374,0,
17,0,1433,1,
18,0,0,1,
18,0,96,1,
18,0,150,0,
18,0,201,0,
18,0,254,0,
18,1,314,0,
18,1,378,0,
18,1,443,0,
18,1,506,0,
18,0,628,1,
18,0,732,1,
18,0,802,1,
18,0,868,1,
18,0,927,1,
18,0,985,1,
18,0,1042,0,
18,0,1130,0,
18,0,1188,0,
18,0,1240,0,
18,0,1292,0,
18,0,1346,0,
19,0,0,1,
19,0,77,1,
19,1,137,0,
19,1,192,0,
19,1,250,0,
19,0,308,1,
19,1,374,0,
19,1,434,0,
19,1,504,0,
19,0,571,1,
19,0,642,1,
19,0,714,1,
19,0,784,1,
19,0,859,1,
19,0,922,1,
19,0,981,1,
19,0,1041,1,
19,0,1125,0,
19,0,1178,1,
20,0,0,1,
20,0,100,1,
20,0,153,0,
20,0,207,0,
20,0,267,0,
20,1,324,0,
20,1,384,0,
20,1,443,0,
20,1,501,0,
20,1,557,0,
20,1,619,0,
20,1,694,0,
20,1,761,0,
20,1,821,0,
20,1,877,0,
20,1,935,0,
20,1,990,0,
21,0,0,1,
21,0,91,1,
21,0,147,1,
21,0,206,1,
21,1,261,0,
21,0,312,1,
21,0,388,1,
21,0,467,1,
21,0,539,1,
21,0,610,1,
21,0,681,1,
21,0,736,1,
21,0,796,1,
21,0,855,1,
21,0,909,1,
22,1,0,0,
22,0,65,0,
22,0,120,0,
22,1,177,0,
22,1,235,0,
22,1,289,0,
22,1,343,0,
22,1,403,0,
22,1,481,0,
22,0,552,0,
22,1,615,0,
22,1,677,0,
22,1,744,0,
22,1,801,0,
22,1,854,0,
22,1,907,0,
22,1,962,0,
22,1,1017,0,
22,1,1071,0,
22,1,1135,0,
22,1,1206,0,
22,1,1259,0,
22,0,1311,1,
22,0,1364,1,
22,0,1416,1,
23,0,0,1,
23,0,68,1,
23,1,143,0,
23,0,201,1,
23,0,256,1,
23,1,310,0,
23,0,365,0,
23,1,421,0,
23,0,491,0,
23,1,562,0,
23,1,634,0,
23,1,699,0,
23,1,765,0,
23,1,838,0,
23,0,892,0,
23,1,945,0,
23,1,1001,0,
23,1,1056,0,
24,0,0,1,
24,1,85,0,
24,1,140,0,
24,1,195,0,
24,0,248,0,
24,0,304,1,
24,1,375,0,
24,1,457,0,
24,1,526,0,
24,1,600,0,
24,1,666,0,
24,1,730,0,
24,1,785,0,
24,1,845,0,
24,1,901,0,
25,0,0,1,
25,0,70,0,
25,1,127,0,
25,0,180,1,
25,1,235,0,
25,0,287,0,
25,1,450,0,
25,1,521,0,
25,1,584,0,
25,1,642,0,
25,1,697,0,
25,1,752,0,
25,1,807,0,
26,0,0,1,
26,0,82,1,
26,1,135,0,
26,0,192,1,
26,0,250,0,
26,1,314,0,
26,1,382,0,
26,1,461,0,
26,1,534,0,
26,1,595,0,
26,1,649,0,
26,1,703,0,
26,1,763,0,
26,1,816,0,
27,0,0,0,
27,0,110,0,
27,1,164,0,
27,0,222,1,
27,0,277,1,
27,0,334,1,
27,0,388,1,
27,0,445,1,
27,0,503,1,
27,0,561,1,
27,0,617,1,
27,0,671,1,
27,0,728,1,
27,0,783,1,
27,0,839,1,
27,0,900,1,
27,0,956,0,
27,0,1009,1,
27,0,1064,1,
27,1,1117,0,
27,1,1169,0,
27,1,1226,0,
27,1,1283,0,
27,1,1340,0,
27,1,1399,0,
27,1,1454,0,
27,1,1508,0,
27,1,1565,0,
27,1,1624,0,
27,1,1680,0,
27,1,1741,0,
27,1,1795,0,
27,1,1852,0,
27,0,1946,1,
27,0,2014,1,
27,0,2086,1,
27,0,2297,1,
27,0,2371,1,
27,0,2444,1,
27,0,2511,1,
27,0,2577,1,
27,0,2649,1,
27,0,2708,1,
27,0,2762,1,
27,0,2819,1,
27,0,2873,1,
27,0,2927,1,
27,0,2984,1,
27,0,3039,1,
27,1,3092,0,
27,1,3150,0,
27,1,3210,0,
27,1,3264,0,
27,1,3319,0,
27,1,3377,0,
27,1,3434,0,
27,1,3496,0,
27,1,3562,0,
27,1,3618,0,
27,1,3673,0,
28,1,0,0,
28,1,107,0,
28,1,166,0,
28,1,218,0,
28,1,270,0,
28,1,327,0,
28,1,382,0,
28,1,442,0,
28,1,503,0,
28,1,557,0,
28,1,623,0,
28,1,690,0,
28,0,755,0,
28,1,827,0,
28,1,895,0,
28,1,962,0,
28,1,1019,0,
28,1,1075,0,
28,1,1158,0,
28,1,1210,0,
29,1,0,0,
29,0,113,1,
29,0,170,1,
29,0,227,1,
29,0,284,0,
29,1,342,0,
29,0,399,1,
29,0,457,1,
29,0,516,1,
29,1,572,0,
29,1,641,0,
29,1,711,0,
29,1,783,0,
29,1,854,0,
29,1,920,0,
29,1,982,0,
29,1,1039,0,
29,1,1096,0,
29,1,1179,0,
29,1,1237,0,
30,1,0,0,
30,1,103,0,
30,1,160,0,
30,1,214,0,
30,1,270,0,
30,1,326,0,
30,1,381,0,
30,1,435,0,
30,1,495,0,
30,1,559,0,
30,0,621,1,
30,0,677,1,
30,0,729,1,
30,0,788,1,
30,0,843,1,
30,0,896,1,
30,0,953,1,
30,0,1011,1,
30,0,1072,1,
30,0,1135,1,
30,0,1203,1,
30,0,1267,1,
30,0,1325,1,
30,0,1387,1,
30,1,1443,0,
30,1,1498,0,
30,1,1555,0,
30,1,1612,0,
30,1,1673,0,
30,1,1767,0,
30,1,1849,0,
30,1,1903,0,
30,1,1956,0,
30,1,2009,0,
30,1,2069,0,
30,1,2131,0,
30,1,2186,0,
30,1,2240,0,
30,1,2295,0,
30,0,2351,1,
30,0,2428,1,
30,0,2486,1,
30,0,2554,1,
30,0,2621,1,
30,0,2695,1,
30,1,2765,0,
30,1,2836,0,
30,1,2910,0,
30,1,2972,0,
30,1,3032,0,
30,1,3087,0,
30,1,3145,0,
30,1,3203,0,
30,1,3260,0,
30,1,3316,0,
30,1,3369,0,
30,1,3424,0,
30,1,3482,0,
30,1,3538,0,
30,1,3597,0,
30,1,3652,0,
30,0,3707,1,
30,0,3762,1,
30,1,3815,0,
30,0,3867,1,
30,0,3923,1,
30,0,3980,1,
30,0,4034,1,
30,0,4087,1,
30,0,4140,1,
30,0,4199,1,
30,0,4252,1,
30,0,4305,0,
30,0,4361,1,
30,0,4417,1,
30,1,4470,0,
30,1,4525,0,
30,1,4579,0,
30,1,4633,0,
30,1,4685,0,
30,1,4742,0,
30,1,4801,0,
30,1,4856,0,
30,1,4911,0,
30,1,4968,0,
30,1,5027,0,
30,1,5086,0,
30,1,5141,0,
30,1,5192,0,
30,1,5249,0,
30,1,5302,0,
30,1,5359,0,
30,1,5416,0,
30,1,5473,0,
31,0,0,1,
31,0,83,1,
31,1,137,0,
31,0,193,0,
31,0,249,1,
31,0,302,0,
31,0,359,1,
31,0,424,1,
31,0,490,1,
31,0,561,1,
31,0,628,1,
31,0,695,0,
31,0,760,1,
31,0,827,1,
31,0,888,1,
31,0,945,1,
31,0,1007,1,
32,0,0,0,
32,0,62,1,
32,0,152,1,
32,0,205,0,
32,0,262,1,
32,0,327,0,
32,0,384,1,
32,0,444,1,
32,0,498,1,
32,0,553,1,
32,0,618,1,
32,0,689,1,
32,0,757,1,
32,0,824,1,
32,0,889,1,
32,0,955,1,
32,0,1024,1,
32,0,1083,1,
32,0,1137,1,
32,0,1214,1,
32,0,1267,1,
32,0,1326,1,
33,1,0,0,
33,0,77,1,
33,0,173,0,
33,0,254,1,
33,0,320,1,
33,0,385,1,
33,0,450,1,
33,0,515,1,
33,0,581,1,
33,0,646,1,
33,0,716,1,
33,0,786,1,
33,0,844,1,
33,0,900,1,
33,0,961,1,
33,0,1016,1,
33,0,1074,1,
33,0,1128,1,
34,0,0,0,
34,0,92,0,
34,0,150,0,
34,0,212,1,
34,0,268,1,
34,0,329,1,
34,0,399,1,
34,0,471,1,
34,0,535,1,
34,0,600,1,
34,0,657,1,
34,0,712,1,
34,0,771,1,
34,0,831,1,
34,0,892,1,
34,0,956,1,
35,0,0,0,
35,1,184,0,
35,1,261,0,
35,1,326,0,
35,1,394,0,
35,1,458,0,
35,1,525,0,
35,1,586,0,
35,1,640,0,
35,0,698,0,
35,0,754,0,
35,1,812,0,
35,1,869,0,
35,1,921,0,
35,1,976,0,
35,1,1033,0,
35,1,1086,0,
35,1,1166,0,
36,0,0,0,
36,1,96,0,
36,1,158,0,
36,0,215,0,
36,0,267,0,
36,1,329,0,
36,1,390,0,
36,1,448,0,
36,1,512,0,
36,1,580,0,
36,1,712,0,
36,1,806,0,
36,1,862,0,
36,1,917,0,
36,1,970,0,
36,1,1024,0,
37,0,0,0,
37,0,57,0,
37,0,159,1,
37,0,217,1,
37,1,272,0,
37,1,329,0,
37,1,385,0,
37,0,455,1,
37,0,558,1,
37,0,634,1,
37,0,712,1,
37,0,783,1,
37,0,839,1,
37,0,906,1,
37,0,961,1,
37,0,1017,1,
38,0,0,0,
38,0,96,1,
38,0,154,1,
38,0,212,1,
38,1,271,0,
38,0,323,0,
38,0,382,1,
38,0,454,1,
38,0,527,1,
38,0,598,1,
38,0,669,1,
38,0,731,1,
38,0,790,1,
38,0,864,1,
38,0,919,1,
38,0,972,1,
39,0,0,1,
39,0,96,0,
39,0,152,1,
39,0,210,1,
39,1,267,0,
39,1,322,0,
39,1,377,0,
39,1,448,0,
39,1,513,0,
39,0,583,0,
39,1,650,0,
39,1,712,0,
39,1,770,0,
39,1,826,0,
39,1,888,0,
39,1,960,0,
39,0,1026,0,
39,0,1104,0,
39,1,1174,0,
40,1,0,0,
40,0,83,0,
40,1,146,0,
40,1,212,0,
40,1,275,0,
40,1,356,0,
40,1,429,0,
40,1,499,0,
40,1,559,0,
40,0,627,0,
40,1,684,0,
40,1,753,0,
40,1,811,0,
41,1,0,0,
41,0,76,0,
41,0,136,0,
41,1,195,0,
41,1,249,0,
41,1,308,0,
41,1,379,0,
41,1,451,0,
41,1,516,0,
41,1,586,0,
41,1,646,0,
41,1,708,0,
41,1,770,0,
41,1,827,0,
41,1,883,0,
42,0,0,0,
42,1,66,0,
42,1,119,0,
42,0,171,0,
42,0,224,0,
42,1,278,0,
42,1,333,0,
42,1,389,0,
42,1,448,0,
42,0,503,1,
42,0,562,1,
42,0,621,1,
42,0,677,1,
42,0,733,1,
42,0,788,1,
42,0,850,1,
42,0,920,1,
42,0,990,1,
42,0,1084,1,
42,1,1152,0,
42,1,1216,0,
42,1,1278,0,
42,1,1345,0,
42,1,1418,0,
42,1,1478,0,
42,1,1531,0,
42,1,1586,0,
42,1,1645,0,
42,1,1704,0,
42,1,1764,0,
42,1,1819,0,
42,1,1874,0,
42,1,1933,0,
42,1,1990,0,
42,1,2046,0,
42,0,2105,1,
42,0,2160,1,
42,0,2214,1,
42,0,2269,1,
42,0,2322,1,
42,0,2380,1,
42,0,2439,1,
42,0,2494,1,
42,0,2545,1,
42,0,2605,1,
42,0,2663,1,
42,0,2715,1,
42,0,2777,1,
42,0,2833,1,
42,0,2888,1,
42,0,2943,1,
42,0,3010,1,
42,0,3094,1,
42,0,3154,1,
42,0,3213,1,
42,0,3272,1,
42,0,3329,1,
42,0,3384,1,
42,0,3443,1,
42,0,3501,1,
42,0,3554,1,
42,1,3647,0,
42,1,3729,0,
42,1,3783,0,
42,1,3839,0,
42,1,3896,0,
42,1,3953,0,
42,1,4011,0,
42,1,4064,0,
42,1,4120,0,
42,1,4174,0,
42,1,4231,0,
42,1,4286,0,
42,1,4339,0,
42,1,4394,0,
42,1,4447,0,
42,1,4500,0,
42,0,4556,1,
42,0,4608,1,
42,0,4664,1,
42,0,4719,1,
42,0,4772,1,
42,0,4827,1,
42,0,4883,1,
42,0,4935,1,
42,0,4989,1,
42,0,5041,1,
42,0,5097,1,
42,0,5151,1,
42,0,5213,1,
42,0,5280,1,
42,0,5349,1,
42,0,5418,1,
42,0,5539,1,
42,0,5609,1,
42,0,5676,1,
42,0,5744,1,
42,0,5798,1,
42,0,5854,1,
42,0,5911,1,
42,0,5966,1,
42,0,6019,1,
42,0,6080,1,
42,0,6154,1,
42,1,6221,0,
42,1,6290,0,
42,1,6349,0,
42,1,6403,0,
42,1,6491,0,
42,1,6545,0,
42,1,6601,0,
42,0,6657,1,
42,0,6711,1,
42,0,6768,1,
42,0,6826,1,
42,0,6880,1,
42,0,6933,1,
42,0,6986,1,
42,0,7042,1,
42,0,7112,1,
42,0,7174,1,
42,0,7229,1,
42,0,7286,1,
42,0,7339,1,
42,0,7395,1,
42,0,7491,1,
42,0,7568,1,
42,0,7628,1,
42,0,7682,1,
42,0,7741,1,
42,0,7795,1,
42,0,7849,1,
42,0,7909,1,
42,0,7967,1,
42,0,8023,1,
43,0,0,1,
43,0,79,0,
43,0,130,0,
43,0,179,0,
43,1,235,0,
43,1,285,0,
43,1,336,0,
43,1,385,0,
43,1,439,0,
43,1,494,0,
43,1,550,0,
43,1,607,0,
43,1,662,0,
43,1,725,0,
43,0,782,1,
43,1,840,0,
43,1,893,0,
43,1,945,0,
43,1,998,0,
43,0,1049,1,
43,0,1112,0,
43,0,1191,0,
44,0,0,0,
44,1,79,0,
44,1,138,0,
44,1,195,0,
44,1,252,0,
44,1,309,0,
44,1,364,0,
44,1,433,0,
44,1,498,0,
44,1,568,0,
44,1,641,0,
44,1,707,0,
44,1,771,0,
44,1,830,0,
44,1,883,0,
44,1,939,0,
44,1,998,0,
45,0,0,1,
45,0,101,0,
45,0,156,0,
45,0,213,0,
45,0,268,0,
45,0,325,1,
45,1,390,0,
45,1,454,0,
45,1,520,0,
45,0,590,0,
45,1,661,0,
45,0,716,0,
45,1,775,0,
45,1,834,0,
45,1,889,0,
46,1,0,0,
46,1,80,0,
46,0,151,0,
46,1,222,0,
46,1,294,0,
46,1,367,0,
46,1,432,0,
46,1,497,0,
46,1,556,0,
46,1,616,0,
46,1,672,0,
46,1,725,0,
46,1,779,0,
47,1,0,0,
47,1,106,0,
47,0,164,0,
47,0,225,0,
47,1,284,0,
47,0,360,1,
47,0,440,1,
47,0,505,1,
47,0,575,0,
47,1,656,0,
47,1,735,0,
47,1,801,0,
47,1,862,0,
47,1,922,0,
47,1,978,0,
47,1,1037,0,
47,1,1115,0,
47,1,1172,0,
47,1,1230,0,
47,1,1295,0,
47,1,1358,0,
47,1,1420,0,
47,1,1479,0,
47,1,1536,0,
47,0,1592,1,
47,0,1651,1,
