trial,_right_canvas,_left_canvas,times,Unnamed: 4
6,0,1,0,
6,0,1,36,
6,1,0,74,
6,0,0,109,
6,0,1,142,
6,0,1,180,
6,0,1,212,
6,0,0,244,
6,1,0,281,
6,1,0,315,
6,0,0,349,
6,1,0,387,
6,0,1,422,
6,0,1,460,
6,0,1,496,
6,0,1,535,
6,0,1,596,
6,0,1,635,
6,1,0,674,
6,0,1,711,
6,0,1,751,
6,0,1,788,
6,0,1,827,
6,0,1,862,
6,0,0,899,
6,0,0,933,
6,0,0,966,
6,0,1,1005,
6,0,0,1040,
6,0,0,1081,
6,0,0,1120,
6,0,1,1159,
6,0,1,1192,
6,0,1,1230,
6,0,1,1267,
6,0,1,1304,
7,1,0,0,
7,1,0,36,
7,1,0,69,
7,1,0,106,
7,1,0,141,
7,1,0,179,
7,0,0,214,
7,1,0,247,
7,1,0,283,
7,1,0,317,
7,1,0,354,
7,1,0,390,
7,1,0,422,
7,1,0,456,
7,1,0,499,
7,1,0,552,
7,1,0,589,
7,1,0,621,
7,1,0,658,
7,1,0,694,
7,1,0,731,
7,1,0,766,
7,1,0,799,
7,1,0,833,
7,1,0,866,
7,1,0,905,
7,1,0,941,
7,1,0,975,
7,1,0,1013,
7,1,0,1049,
7,1,0,1086,
7,1,0,1123,
7,1,0,1158,
8,0,0,0,
8,0,1,35,
8,0,1,68,
8,1,0,102,
8,0,1,135,
8,0,0,168,
8,0,1,200,
8,0,0,234,
8,0,0,267,
8,0,0,307,
8,0,1,372,
8,0,1,413,
8,0,1,450,
8,0,1,489,
8,0,1,528,
8,0,1,564,
8,0,1,598,
8,0,1,632,
8,0,1,667,
8,0,1,701,
8,0,1,736,
8,0,1,768,
8,0,1,802,
8,0,1,839,
8,0,1,872,
8,0,1,905,
8,0,1,942,
8,0,1,982,
8,0,1,1019,
8,0,0,1054,
8,0,0,1091,
8,0,1,1131,
8,0,1,1169,
8,0,0,1206,
8,0,1,1240,
8,0,1,1273,
8,0,1,1307,
8,0,1,1343,
7,0,1,0,
7,1,0,35,
7,0,0,73,
7,1,0,107,
7,0,0,141,
7,1,0,181,
7,0,0,217,
7,1,0,251,
7,1,0,292,
7,1,0,331,
7,1,0,368,
7,1,0,404,
7,1,0,442,
7,1,0,476,
7,1,0,517,
7,1,0,552,
7,1,0,588,
7,1,0,624,
7,0,0,662,
7,1,0,702,
7,1,0,739,
7,1,0,776,
7,1,0,810,
7,1,0,850,
7,1,0,887,
7,1,0,920,
7,1,0,952,
7,1,0,985,
7,1,0,1019,
7,1,0,1064,
7,1,0,1122,
7,1,0,1157,
7,1,0,1191,
7,1,0,1224,
7,1,0,1258,
7,1,0,1294,
7,1,0,1327,
7,1,0,1361,
7,1,0,1401,
7,1,0,1438,
7,1,0,1471,
7,1,0,1509,
7,1,0,1544,
7,1,0,1585,
7,1,0,1619,
7,1,0,1656,
7,1,0,1688,
8,0,1,0,
8,0,1,38,
8,0,0,82,
8,0,0,116,
8,0,1,154,
8,0,1,187,
8,0,0,224,
8,1,0,264,
8,1,0,302,
8,0,0,339,
8,0,0,380,
8,0,1,413,
8,0,1,451,
8,0,1,485,
8,0,1,525,
8,0,1,563,
8,0,1,606,
8,0,0,643,
8,0,1,681,
8,0,1,718,
8,0,1,755,
8,0,0,790,
8,0,0,825,
8,0,1,858,
8,0,0,896,
8,0,1,933,
8,0,1,970,
8,0,0,1004,
8,0,1,1039,
8,0,1,1081,
8,0,0,1118,
8,0,1,1158,
8,0,1,1193,
8,0,0,1227,
8,0,0,1264,
8,0,1,1296,
8,0,1,1330,
8,0,0,1367,
8,0,1,1404,
8,0,1,1439,
8,0,1,1474,
8,0,1,1507,
8,0,1,1546,
8,0,1,1579,
8,0,0,1613,
8,0,0,1648,
10,1,0,0,
10,1,0,41,
10,1,0,75,
10,1,0,114,
10,1,0,156,
10,1,0,191,
10,1,0,228,
10,1,0,264,
10,1,0,298,
10,1,0,332,
10,1,0,365,
10,1,0,402,
10,1,0,441,
10,1,0,476,
10,1,0,513,
10,1,0,545,
10,1,0,577,
10,1,0,615,
10,1,0,652,
10,1,0,692,
10,1,0,731,
10,1,0,763,
10,1,0,800,
10,1,0,835,
10,1,0,869,
10,1,0,904,
10,0,0,938,
10,1,0,973,
10,1,0,1006,
10,1,0,1040,
10,1,0,1076,
10,1,0,1111,
10,1,0,1148,
10,1,0,1182,
10,1,0,1215,
10,1,0,1252,
10,1,0,1285,
10,1,0,1327,
10,1,0,1362,
10,1,0,1397,
10,1,0,1429,
11,0,1,0,
11,0,1,37,
11,0,1,76,
11,0,0,110,
11,0,1,142,
11,0,0,179,
11,0,0,212,
11,0,1,250,
11,0,0,294,
11,0,1,346,
11,0,1,392,
11,0,1,433,
11,0,1,469,
11,0,1,506,
11,0,1,548,
11,0,1,590,
11,0,1,624,
11,0,1,661,
11,0,1,699,
11,0,1,737,
11,0,1,782,
11,0,1,826,
11,0,1,869,
11,0,1,902,
11,0,1,938,
11,0,1,972,
11,0,1,1008,
11,0,1,1048,
11,0,1,1082,
11,0,1,1116,
11,0,1,1148,
11,0,1,1215,
11,0,1,1256,
11,0,0,1299,
11,0,0,1340,
11,0,0,1383,
11,0,0,1423,
11,0,0,1465,
11,0,1,1504,
11,0,1,1547,
11,0,0,1588,
12,0,0,0,
12,1,0,37,
12,0,0,74,
12,0,1,108,
12,0,1,148,
12,0,0,180,
12,0,1,213,
12,0,1,250,
12,0,1,283,
12,1,0,322,
12,1,0,356,
12,1,0,393,
12,1,0,431,
12,1,0,468,
12,1,0,501,
12,1,0,534,
12,0,0,571,
12,1,0,615,
12,1,0,670,
12,1,0,705,
12,1,0,744,
12,1,0,778,
12,1,0,814,
12,1,0,851,
12,1,0,889,
12,1,0,926,
12,1,0,964,
12,1,0,997,
12,1,0,1034,
12,1,0,1072,
12,1,0,1108,
12,1,0,1142,
12,1,0,1182,
12,1,0,1220,
12,1,0,1256,
12,1,0,1290,
12,1,0,1324,
13,1,0,0,
13,0,1,41,
13,1,0,81,
13,0,0,115,
13,0,0,150,
13,1,0,183,
13,0,1,218,
13,0,0,255,
13,0,1,294,
13,0,1,329,
13,0,1,364,
13,0,0,402,
13,0,1,440,
13,0,1,477,
13,0,1,516,
13,0,1,575,
13,0,1,613,
13,0,1,650,
13,0,1,684,
13,0,1,722,
13,0,1,758,
13,0,1,794,
13,0,1,830,
13,0,1,867,
13,0,1,905,
13,0,1,943,
13,0,1,983,
13,0,1,1019,
13,0,1,1052,
13,0,1,1086,
13,0,1,1120,
13,0,1,1158,
14,1,0,0,
14,1,0,37,
14,1,0,70,
14,1,0,102,
14,1,0,136,
14,1,0,173,
14,0,0,207,
14,0,0,241,
14,0,1,276,
14,0,1,311,
14,0,1,344,
14,0,1,378,
14,0,1,411,
14,0,1,444,
14,0,1,476,
14,0,1,511,
14,0,1,544,
14,0,1,583,
14,0,1,619,
14,0,1,655,
14,0,1,694,
14,0,1,749,
14,0,1,787,
14,0,1,824,
14,0,1,856,
14,0,1,891,
14,0,1,924,
14,0,1,965,
14,0,1,999,
14,0,1,1035,
14,0,1,1071,
14,0,1,1105,
14,0,1,1140,
14,0,1,1173,
14,0,1,1206,
14,0,1,1243,
14,0,1,1284,
14,0,1,1318,
14,0,1,1351,
14,0,1,1387,
14,0,1,1420,
14,0,1,1454,
14,0,1,1491,
14,0,1,1524,
14,0,1,1557,
14,0,1,1592,
14,0,1,1624,
14,0,1,1660,
14,0,1,1693,
14,0,1,1727,
14,0,1,1766,
14,0,1,1803,
14,0,1,1842,
14,0,1,1879,
14,0,1,1915,
14,0,1,1951,
14,0,1,1983,
14,0,1,2021,
14,0,0,2054,
14,0,0,2091,
14,0,1,2129,
14,0,0,2167,
14,1,0,2200,
14,0,1,2238,
14,0,1,2276,
14,0,1,2314,
14,0,0,2350,
14,0,0,2384,
15,0,0,0,
15,1,0,39,
15,1,0,79,
15,0,0,113,
15,1,0,148,
15,1,0,185,
15,0,1,219,
15,1,0,251,
15,1,0,285,
15,1,0,319,
15,1,0,352,
15,1,0,384,
15,1,0,422,
15,1,0,459,
15,1,0,493,
15,1,0,527,
15,1,0,562,
15,1,0,596,
15,1,0,630,
15,1,0,664,
15,1,0,698,
15,1,0,731,
15,1,0,769,
15,1,0,805,
15,1,0,838,
15,1,0,875,
15,1,0,910,
15,0,0,945,
15,1,0,980,
15,1,0,1014,
15,1,0,1054,
15,1,0,1103,
15,1,0,1136,
16,0,1,0,
16,0,1,34,
16,0,0,71,
16,0,0,104,
16,0,0,137,
16,0,1,172,
16,0,1,206,
16,0,1,239,
16,0,1,279,
16,0,1,316,
16,0,1,348,
16,0,1,386,
16,0,1,424,
16,0,1,460,
16,0,1,495,
16,0,0,528,
16,0,1,561,
16,0,1,594,
16,0,1,634,
16,0,1,672,
16,0,1,705,
16,0,1,738,
16,0,1,778,
16,0,1,815,
16,0,1,849,
16,0,1,882,
16,0,1,928,
16,0,1,961,
16,0,1,999,
16,0,0,1033,
16,0,1,1072,
17,1,0,0,
17,1,0,34,
17,1,0,71,
17,1,0,104,
17,0,0,137,
17,1,0,175,
17,1,0,210,
17,1,0,246,
17,1,0,280,
17,0,1,313,
17,0,1,347,
17,0,1,381,
17,0,1,413,
17,0,1,447,
17,0,1,482,
17,0,1,516,
17,0,1,550,
17,1,0,584,
17,1,0,617,
17,1,0,650,
17,1,0,689,
17,1,0,722,
17,1,0,761,
17,1,0,795,
17,1,0,833,
17,0,0,867,
17,1,0,906,
17,1,0,945,
17,1,0,978,
17,1,0,1015,
17,1,0,1055,
17,1,0,1111,
17,1,0,1149,
17,1,0,1185,
17,1,0,1223,
17,1,0,1256,
17,1,0,1293,
17,1,0,1329,
17,1,0,1366,
17,1,0,1406,
17,1,0,1440,
17,1,0,1474,
17,1,0,1510,
17,1,0,1543,
17,1,0,1579,
17,0,0,1619,
17,1,0,1655,
17,1,0,1692,
17,1,0,1729,
17,1,0,1766,
17,1,0,1807,
17,1,0,1841,
17,1,0,1874,
17,1,0,1907,
17,1,0,1944,
17,1,0,1982,
17,1,0,2021,
17,1,0,2057,
17,1,0,2090,
17,1,0,2127,
17,1,0,2164,
17,1,0,2197,
17,1,0,2233,
17,1,0,2267,
17,1,0,2300,
17,1,0,2333,
17,1,0,2365,
17,1,0,2397,
17,1,0,2430,
17,1,0,2464,
17,1,0,2496,
17,1,0,2537,
17,1,0,2575,
17,1,0,2607,
17,1,0,2644,
17,1,0,2681,
17,1,0,2718,
17,1,0,2756,
17,1,0,2794,
17,1,0,2834,
17,1,0,2873,
17,1,0,2910,
17,1,0,2948,
17,1,0,2988,
17,1,0,3023,
17,1,0,3057,
17,1,0,3092,
17,1,0,3129,
17,1,0,3163,
17,0,0,3202,
17,0,0,3239,
17,1,0,3276,
17,0,0,3317,
17,0,0,3354,
17,1,0,3389,
17,0,0,3423,
17,0,0,3456,
17,1,0,3490,
17,1,0,3524,
17,1,0,3560,
17,1,0,3593,
17,1,0,3630,
17,1,0,3666,
17,1,0,3701,
17,1,0,3740,
17,1,0,3778,
17,1,0,3815,
17,0,0,3851,
17,1,0,3891,
17,1,0,3923,
17,1,0,3958,
17,1,0,3990,
17,1,0,4023,
17,1,0,4056,
17,1,0,4092,
17,1,0,4126,
17,1,0,4165,
17,1,0,4198,
17,1,0,4235,
17,1,0,4272,
17,1,0,4309,
17,1,0,4345,
17,1,0,4381,
17,1,0,4419,
17,1,0,4455,
17,1,0,4492,
17,1,0,4525,
17,1,0,4558,
17,1,0,4596,
