trial,_left_canvas,times,_right_canvas,Unnamed: 4
6,1,0,0,
6,1,43,0,
6,1,77,0,
6,1,112,0,
6,0,148,0,
6,1,205,0,
6,1,239,0,
6,1,277,0,
6,1,312,0,
6,1,348,0,
6,1,381,0,
6,1,415,0,
6,1,449,0,
6,1,483,0,
6,0,516,0,
6,0,549,0,
6,1,623,0,
6,0,658,0,
6,0,691,0,
6,1,723,0,
6,1,756,0,
6,1,790,0,
6,1,824,0,
6,0,861,0,
6,0,898,0,
6,0,934,0,
6,1,969,0,
6,0,1006,0,
6,0,1045,0,
6,0,1080,0,
6,0,1115,0,
6,1,1150,0,
6,0,1184,0,
6,0,1223,0,
6,0,1260,0,
6,0,1297,0,
6,0,1333,0,
6,0,1367,0,
6,0,1400,0,
7,0,0,0,
7,1,41,0,
7,0,81,0,
7,0,120,1,
7,0,155,1,
7,0,190,1,
7,0,229,1,
7,1,262,0,
7,0,297,0,
7,0,333,1,
7,0,369,1,
7,0,404,1,
7,0,436,1,
7,0,474,1,
7,0,515,1,
7,0,549,1,
7,0,584,1,
7,0,620,1,
7,0,658,1,
7,0,692,1,
7,0,729,1,
7,0,762,1,
7,0,795,1,
7,0,829,1,
7,0,863,1,
7,0,898,1,
7,0,932,0,
7,0,967,1,
7,0,1004,1,
7,0,1044,1,
7,0,1084,1,
7,0,1123,0,
8,1,0,0,
8,1,37,0,
8,1,78,0,
8,1,116,0,
8,1,154,0,
8,1,192,0,
8,1,237,0,
8,1,308,0,
8,1,348,0,
8,1,383,0,
8,1,417,0,
8,1,453,0,
8,1,490,0,
8,1,525,0,
8,1,558,0,
8,1,593,0,
8,1,630,0,
8,1,663,0,
8,0,700,0,
8,0,740,0,
8,1,774,0,
8,1,812,0,
8,1,848,0,
8,0,882,0,
8,0,916,0,
8,0,953,0,
8,1,992,0,
8,0,1032,0,
8,0,1077,0,
8,1,1116,0,
8,0,1150,0,
8,0,1194,0,
8,0,1234,0,
8,1,1275,0,
8,1,1315,0,
8,0,1350,1,
8,0,1385,1,
8,0,1418,0,
8,0,1455,1,
8,0,1490,0,
8,0,1530,0,
8,0,1563,0,
8,0,1598,0,
8,0,1635,0,
8,0,1667,0,
8,1,1702,0,
8,0,1736,0,
8,0,1774,1,
8,0,1815,1,
8,1,1853,0,
8,1,1886,0,
8,1,1925,0,
8,1,1960,0,
8,1,1997,0,
8,1,2034,0,
8,1,2072,0,
8,1,2108,0,
8,1,2143,0,
8,0,2181,0,
8,1,2218,0,
8,1,2255,0,
8,1,2293,0,
8,1,2333,0,
8,1,2370,0,
8,1,2402,0,
8,1,2442,0,
8,1,2478,0,
8,0,2514,0,
8,0,2551,0,
8,1,2586,0,
8,0,2624,0,
8,1,2662,0,
8,1,2700,0,
8,1,2734,0,
8,1,2769,0,
8,1,2808,0,
8,1,2844,0,
8,1,2878,0,
8,0,2916,0,
8,1,2951,0,
8,0,2989,0,
8,1,3022,0,
8,1,3061,0,
8,1,3095,0,
8,0,3132,0,
8,1,3168,0,
8,0,3205,0,
8,0,3256,0,
7,0,0,1,
7,0,41,1,
7,1,74,0,
7,0,109,1,
7,0,142,1,
7,0,175,1,
7,0,213,1,
7,0,246,0,
7,0,283,1,
7,0,319,1,
7,0,353,1,
7,0,387,1,
7,0,424,1,
7,0,457,1,
7,0,493,1,
7,0,526,1,
7,0,562,1,
7,0,596,1,
7,0,631,1,
7,0,664,1,
7,0,697,1,
7,0,730,1,
7,0,769,1,
7,0,808,1,
7,0,843,1,
7,0,880,1,
7,0,913,1,
7,0,947,1,
7,0,984,1,
7,0,1017,1,
7,0,1053,1,
7,0,1090,1,
7,0,1127,1,
7,0,1167,1,
7,0,1215,1,
7,0,1249,1,
8,0,0,1,
8,0,35,0,
8,0,68,0,
8,0,102,0,
8,0,138,1,
8,0,178,0,
8,0,216,1,
8,0,248,0,
8,0,287,1,
8,0,324,1,
8,0,361,1,
8,0,401,1,
8,0,435,1,
8,0,469,1,
8,0,504,1,
8,0,536,1,
8,0,574,1,
8,0,609,1,
8,0,644,1,
8,0,684,1,
8,0,724,1,
8,0,762,0,
8,0,799,1,
8,0,838,1,
8,0,872,1,
8,0,904,1,
8,0,937,1,
8,0,972,1,
8,0,1012,1,
8,0,1047,1,
8,0,1081,1,
8,0,1118,1,
8,0,1156,1,
8,0,1189,1,
8,0,1227,1,
8,0,1267,1,
8,0,1300,1,
8,0,1340,1,
8,0,1372,1,
8,0,1411,1,
8,0,1448,1,
10,0,0,1,
10,0,35,1,
10,0,74,0,
10,0,108,1,
10,0,143,1,
10,1,180,0,
10,0,245,0,
10,0,281,0,
10,0,317,1,
10,1,355,0,
10,1,389,0,
10,1,427,0,
10,1,460,0,
10,1,501,0,
10,1,534,0,
10,1,569,0,
10,1,604,0,
10,1,641,0,
10,1,677,0,
10,1,711,0,
10,1,748,0,
10,1,784,0,
10,1,823,0,
10,1,857,0,
10,1,900,0,
10,1,933,0,
10,1,968,0,
10,1,1002,0,
10,1,1039,0,
11,1,0,0,
11,1,35,0,
11,0,75,0,
11,0,114,1,
11,0,147,1,
11,1,183,0,
11,0,216,1,
11,1,249,0,
11,0,287,1,
11,0,330,1,
11,0,370,1,
11,0,406,1,
11,0,442,1,
11,0,480,1,
11,0,515,1,
11,0,550,1,
11,0,589,1,
11,0,626,1,
11,0,659,1,
11,0,697,1,
11,0,733,1,
11,0,767,1,
11,0,801,1,
11,0,838,1,
11,0,872,1,
11,0,912,1,
11,0,946,1,
11,0,985,0,
11,0,1019,0,
11,0,1059,1,
11,0,1097,1,
11,0,1142,1,
11,0,1175,1,
11,0,1213,1,
11,0,1246,0,
11,0,1280,0,
11,0,1314,0,
12,0,0,0,
12,1,36,0,
12,1,73,0,
12,1,111,0,
12,1,144,0,
12,1,177,0,
12,1,214,0,
12,1,257,0,
12,1,294,0,
12,1,327,0,
12,1,360,0,
12,1,393,0,
12,1,426,0,
12,1,460,0,
12,1,497,0,
12,1,535,0,
12,1,573,0,
12,1,611,0,
12,1,643,0,
12,1,675,0,
12,1,710,0,
12,1,752,0,
12,1,798,0,
12,1,834,0,
12,1,872,0,
12,1,906,0,
12,1,944,0,
12,1,978,0,
12,1,1013,0,
12,1,1047,0,
12,1,1083,0,
12,1,1121,0,
12,1,1175,0,
12,1,1220,0,
12,1,1262,0,
12,1,1300,0,
12,1,1339,0,
12,1,1377,0,
12,1,1432,0,
12,1,1469,0,
12,1,1512,0,
13,0,0,1,
13,0,37,0,
13,0,75,1,
13,0,112,1,
13,0,145,1,
13,0,178,1,
13,0,221,1,
13,0,259,0,
13,0,292,1,
13,0,325,1,
13,1,362,0,
13,1,398,0,
13,1,433,0,
13,1,467,0,
13,1,505,0,
13,1,539,0,
13,1,576,0,
13,1,613,0,
13,1,648,0,
13,1,681,0,
13,1,720,0,
13,1,758,0,
13,1,791,0,
13,1,825,0,
13,1,860,0,
13,1,897,0,
13,1,933,0,
13,1,966,0,
13,1,1005,0,
13,1,1038,0,
13,1,1074,0,
13,1,1111,0,
13,1,1144,0,
13,1,1183,0,
13,1,1224,0,
13,1,1257,0,
13,0,1293,0,
13,1,1328,0,
13,1,1362,0,
13,0,1401,0,
13,1,1442,0,
13,1,1475,0,
13,1,1513,0,
13,1,1546,0,
13,0,1580,0,
13,1,1618,0,
13,0,1651,0,
13,0,1685,0,
13,1,1725,0,
13,1,1761,0,
13,1,1797,0,
14,1,0,0,
14,1,37,0,
14,1,75,0,
14,1,113,0,
14,1,150,0,
14,1,190,0,
14,1,227,0,
14,1,261,0,
14,1,294,0,
14,1,327,0,
14,0,361,0,
14,1,397,0,
14,1,432,0,
14,0,471,0,
14,0,504,0,
14,1,541,0,
14,0,579,1,
14,0,618,1,
14,0,656,1,
14,0,692,1,
14,0,727,1,
14,0,765,1,
14,0,799,1,
14,0,835,1,
14,0,868,1,
14,0,901,1,
14,0,935,1,
14,0,973,1,
14,0,1006,1,
14,0,1039,1,
14,0,1074,1,
14,0,1112,1,
14,0,1150,0,
14,0,1189,1,
14,0,1225,1,
14,0,1258,1,
14,0,1296,1,
14,0,1330,1,
14,0,1367,1,
14,0,1406,1,
14,0,1440,0,
14,0,1474,1,
15,0,0,1,
15,0,36,1,
15,0,75,1,
15,0,108,1,
15,0,141,1,
15,0,177,1,
15,0,214,1,
15,1,248,0,
15,0,285,0,
15,0,320,0,
15,0,357,1,
15,0,392,1,
15,0,430,1,
15,0,466,1,
15,0,506,1,
15,0,540,1,
15,0,579,1,
15,0,616,1,
15,0,653,1,
15,0,691,1,
15,0,724,1,
15,0,760,1,
15,0,797,1,
15,0,831,1,
15,0,865,1,
15,0,898,1,
15,0,933,1,
15,0,974,1,
15,0,1007,1,
15,0,1045,1,
15,0,1079,1,
15,0,1118,1,
16,1,0,0,
16,0,36,0,
16,0,73,0,
16,0,111,1,
16,0,150,1,
16,0,188,1,
16,0,223,0,
16,1,259,0,
16,1,295,0,
16,1,334,0,
16,1,372,0,
16,1,409,0,
16,1,443,0,
16,1,477,0,
16,1,518,0,
16,0,556,1,
16,0,595,1,
16,0,630,1,
16,0,667,1,
16,0,706,1,
16,0,743,1,
16,0,776,1,
16,0,813,1,
16,0,852,1,
16,0,890,1,
16,0,925,1,
16,0,961,1,
16,0,998,1,
16,0,1036,1,
16,0,1069,1,
16,0,1102,1,
16,0,1140,1,
16,0,1173,1,
16,0,1206,1,
16,0,1242,1,
16,0,1275,1,
16,0,1310,1,
16,0,1343,1,
16,0,1378,1,
16,0,1413,1,
17,0,0,1,
17,0,37,1,
17,0,70,0,
17,1,109,0,
17,1,146,0,
17,0,187,0,
17,1,225,0,
17,1,262,0,
17,1,297,0,
17,1,337,0,
17,1,371,0,
17,1,411,0,
17,1,448,0,
17,1,482,0,
17,1,517,0,
17,1,550,0,
17,1,588,0,
17,1,623,0,
17,1,661,0,
17,1,703,0,
17,1,739,0,
17,1,773,0,
17,1,809,0,
17,1,843,0,
17,1,877,0,
17,1,914,0,
17,0,947,0,
17,1,981,0,
18,0,0,1,
18,0,35,1,
18,0,75,1,
18,0,109,1,
18,0,147,1,
18,0,181,1,
18,0,215,1,
18,0,253,1,
18,0,290,1,
18,0,324,1,
18,0,360,1,
18,0,397,1,
18,0,435,1,
18,0,473,1,
18,0,508,1,
18,0,543,1,
18,0,579,1,
18,0,618,1,
18,0,652,1,
18,0,685,1,
18,0,722,1,
18,0,755,1,
18,0,791,1,
18,0,827,1,
18,0,863,1,
18,0,900,1,
18,0,934,1,
18,0,967,1,
18,0,1005,1,
19,0,0,1,
19,1,34,0,
19,1,67,0,
19,1,101,0,
19,0,134,0,
19,1,174,0,
19,0,207,0,
19,1,241,0,
19,1,278,0,
19,1,315,0,
19,1,350,0,
19,1,384,0,
19,1,417,0,
19,1,451,0,
19,0,492,1,
19,0,530,1,
19,0,564,1,
19,0,602,1,
19,0,636,1,
19,0,675,1,
19,0,712,1,
19,0,748,1,
19,0,784,1,
19,0,825,1,
