trial,_right_canvas,_left_canvas,times,Unnamed: 4
6,0,1,0,
6,0,1,95,
6,0,1,156,
6,0,1,224,
6,1,0,283,
6,0,0,342,
6,0,0,396,
6,0,1,452,
6,1,0,506,
6,0,1,560,
6,1,0,623,
6,1,0,673,
6,1,0,734,
6,1,0,783,
6,1,0,828,
6,1,0,880,
6,1,0,928,
6,1,0,972,
6,1,0,1019,
6,1,0,1071,
6,1,0,1122,
6,1,0,1172,
6,1,0,1218,
6,1,0,1263,
6,1,0,1308,
6,1,0,1356,
6,0,0,1403,
6,0,1,1452,
6,0,0,1507,
6,0,1,1555,
6,0,1,1603,
6,0,0,1647,
6,0,1,1698,
6,1,0,1751,
6,1,0,1807,
6,1,0,1866,
7,1,0,0,
7,1,0,46,
7,0,1,90,
7,0,1,135,
7,1,0,179,
7,0,0,227,
7,0,0,273,
7,1,0,322,
7,1,0,373,
7,1,0,426,
7,1,0,485,
7,1,0,535,
7,1,0,590,
7,0,1,640,
7,1,0,683,
7,1,0,730,
7,1,0,790,
7,1,0,840,
7,1,0,899,
7,1,0,954,
7,1,0,995,
8,0,0,0,
8,0,1,46,
8,0,1,96,
8,0,1,140,
8,1,0,192,
8,0,1,249,
8,0,1,300,
8,0,1,352,
8,0,1,413,
8,0,1,475,
8,0,1,530,
8,0,1,574,
8,0,1,616,
8,0,1,657,
8,0,1,701,
8,0,1,778,
8,0,1,852,
8,0,1,902,
8,0,1,959,
8,0,1,1007,
8,0,1,1052,
8,0,1,1103,
8,0,1,1144,
8,0,1,1192,
8,0,1,1240,
8,0,1,1293,
8,0,0,1346,
8,0,1,1396,
8,0,1,1448,
8,0,0,1499,
8,0,1,1551,
10,0,0,0,
10,1,0,58,
10,0,0,104,
10,0,1,157,
10,0,0,207,
10,0,0,255,
10,0,1,305,
10,0,1,356,
10,0,1,406,
10,0,1,457,
10,0,1,509,
10,0,1,560,
10,0,1,611,
10,0,1,664,
10,0,1,718,
10,0,1,770,
10,0,1,821,
10,0,1,872,
10,0,1,925,
10,0,0,978,
10,0,1,1029,
10,0,0,1084,
10,0,1,1130,
10,0,1,1186,
10,0,1,1236,
10,0,1,1289,
10,0,1,1339,
10,0,1,1394,
10,0,1,1452,
10,0,1,1493,
10,0,1,1541,
11,0,1,0,
11,0,1,55,
11,0,1,115,
11,0,0,173,
11,0,1,230,
11,0,1,283,
11,0,1,339,
11,0,1,390,
11,1,0,445,
11,1,0,501,
11,1,0,560,
11,1,0,606,
11,1,0,654,
11,1,0,703,
11,1,0,752,
11,1,0,802,
11,1,0,849,
11,1,0,892,
11,1,0,940,
11,1,0,990,
11,1,0,1050,
11,1,0,1106,
11,1,0,1161,
11,1,0,1235,
11,1,0,1306,
11,1,0,1354,
11,1,0,1402,
11,1,0,1447,
11,1,0,1497,
11,1,0,1552,
11,1,0,1609,
11,1,0,1666,
11,1,0,1716,
11,1,0,1768,
11,1,0,1810,
11,1,0,1861,
11,1,0,1911,
11,1,0,1965,
11,1,0,2018,
11,1,0,2070,
12,1,0,0,
12,1,0,53,
12,0,0,106,
12,1,0,186,
12,0,0,240,
12,1,0,288,
12,1,0,329,
12,1,0,379,
12,1,0,431,
12,1,0,483,
12,1,0,539,
12,1,0,592,
12,1,0,642,
12,1,0,699,
12,1,0,753,
12,1,0,804,
12,1,0,857,
12,1,0,904,
13,0,1,0,
13,0,1,55,
13,0,1,105,
13,0,1,148,
13,0,1,201,
13,0,0,245,
13,0,1,294,
13,0,0,341,
13,1,0,397,
13,0,0,442,
13,1,0,497,
13,0,1,550,
13,0,1,600,
13,0,1,646,
13,0,1,695,
13,0,1,740,
13,0,1,790,
13,0,1,834,
13,0,1,877,
13,0,1,929,
13,0,1,980,
13,0,1,1041,
13,0,1,1119,
13,1,0,1186,
13,1,0,1234,
14,0,1,0,
14,0,0,50,
14,1,0,115,
14,0,0,161,
14,0,0,216,
14,0,1,267,
14,0,1,324,
14,0,1,366,
14,0,1,414,
14,0,1,454,
14,0,1,499,
14,0,1,557,
14,0,1,610,
14,0,1,654,
14,0,1,697,
14,0,1,754,
14,0,1,804,
14,0,1,860,
14,0,0,913,
14,0,0,959,
14,0,0,1006,
14,0,0,1060,
14,0,0,1111,
14,0,0,1156,
14,0,1,1200,
14,0,1,1259,
14,0,1,1330,
14,0,1,1415,
14,0,1,1498,
14,0,1,1581,
15,0,1,0,
15,0,1,48,
15,0,1,99,
15,0,0,171,
15,0,1,237,
15,0,1,315,
15,0,1,371,
15,0,1,422,
15,1,0,468,
15,1,0,511,
15,1,0,553,
15,1,0,595,
15,1,0,637,
15,1,0,683,
15,1,0,737,
15,1,0,797,
15,1,0,842,
15,1,0,894,
15,1,0,938,
15,1,0,986,
15,1,0,1031,
15,1,0,1071,
15,1,0,1122,
15,1,0,1171,
15,1,0,1221,
15,1,0,1281,
15,1,0,1324,
15,1,0,1373,
15,1,0,1418,
15,1,0,1468,
15,1,0,1528,
15,1,0,1584,
15,1,0,1635,
15,1,0,1684,
15,1,0,1730,
15,1,0,1780,
15,1,0,1834,
15,1,0,1883,
15,1,0,1934,
15,1,0,1979,
15,1,0,2019,
15,1,0,2057,
15,1,0,2100,
15,1,0,2139,
15,1,0,2185,
15,1,0,2234,
15,1,0,2284,
15,1,0,2328,
15,1,0,2366,
15,1,0,2406,
15,1,0,2451,
15,1,0,2494,
15,1,0,2532,
15,1,0,2576,
15,1,0,2618,
15,1,0,2661,
15,1,0,2744,
15,1,0,2799,
15,1,0,2849,
15,1,0,2902,
15,0,0,2949,
15,0,0,2991,
15,0,0,3035,
15,1,0,3082,
15,1,0,3125,
15,1,0,3170,
15,1,0,3218,
15,1,0,3264,
15,1,0,3308,
15,1,0,3353,
15,1,0,3398,
15,1,0,3442,
15,1,0,3489,
15,1,0,3529,
15,1,0,3572,
15,1,0,3623,
15,1,0,3672,
15,1,0,3715,
16,0,0,0,
16,1,0,46,
16,0,0,95,
16,0,0,139,
16,0,1,190,
16,0,1,235,
16,0,1,281,
16,0,1,327,
16,0,1,375,
16,0,1,419,
16,0,1,465,
16,0,1,517,
16,0,1,565,
16,0,1,615,
16,0,1,655,
16,1,0,701,
16,0,0,745,
16,1,0,786,
16,1,0,832,
16,0,0,881,
16,0,0,945,
16,1,0,992,
16,0,0,1033,
16,0,0,1079,
16,0,0,1126,
16,0,0,1172,
16,0,0,1216,
16,0,0,1258,
16,0,0,1303,
16,0,0,1346,
16,0,0,1385,
16,0,0,1431,
16,0,0,1510,
16,0,0,1567,
16,0,0,1612,
16,0,0,1656,
16,0,0,1697,
16,0,0,1735,
16,0,0,1780,
16,0,0,1822,
16,0,1,1874,
16,0,1,1918,
16,0,1,1966,
16,0,1,2014,
16,0,1,2059,
16,0,1,2105,
16,0,1,2153,
16,0,1,2197,
16,0,1,2242,
16,0,1,2294,
16,0,1,2341,
16,0,1,2393,
16,0,1,2441,
16,0,1,2494,
16,0,1,2548,
16,0,1,2594,
16,0,1,2636,
16,0,1,2677,
16,0,1,2718,
16,0,1,2759,
16,0,1,2796,
16,0,1,2840,
16,0,1,2885,
16,0,1,2930,
16,0,1,2976,
16,0,1,3085,
17,0,1,0,
17,0,1,49,
17,0,1,97,
17,0,1,145,
17,0,1,197,
17,0,1,240,
17,0,1,284,
17,0,1,334,
17,0,1,383,
17,0,1,426,
17,0,1,466,
17,0,1,512,
17,0,1,558,
17,0,1,603,
17,0,1,646,
17,0,1,689,
18,0,0,0,
18,0,0,44,
18,0,0,92,
18,0,1,137,
18,0,0,174,
18,1,0,219,
18,1,0,260,
18,1,0,323,
18,1,0,389,
18,1,0,450,
18,1,0,516,
18,1,0,577,
18,0,1,646,
18,0,1,705,
18,0,1,764,
18,0,1,827,
18,0,1,893,
18,0,1,961,
18,1,0,1027,
18,1,0,1087,
18,1,0,1129,
18,1,0,1173,
18,1,0,1215,
18,1,0,1261,
18,1,0,1306,
18,1,0,1357,
18,1,0,1404,
18,1,0,1454,
18,1,0,1502,
18,1,0,1551,
18,1,0,1593,
18,1,0,1643,
18,1,0,1693,
18,1,0,1743,
18,1,0,1786,
18,1,0,1836,
18,1,0,1882,
18,1,0,1924,
18,1,0,1983,
18,1,0,2049,
18,1,0,2094,
18,0,0,2139,
18,1,0,2190,
18,1,0,2231,
18,1,0,2272,
18,1,0,2316,
19,0,0,0,
19,0,0,72,
19,0,0,152,
19,0,0,213,
19,0,1,274,
19,0,1,328,
19,0,1,373,
19,0,1,410,
19,0,0,448,
19,1,0,495,
19,1,0,538,
19,1,0,583,
19,1,0,624,
19,1,0,670,
19,1,0,719,
19,1,0,764,
19,0,1,812,
19,0,1,858,
19,0,1,900,
19,0,1,946,
19,0,1,991,
19,0,1,1075,
19,0,1,1166,
19,0,1,1247,
19,0,1,1313,
19,0,1,1386,
19,0,1,1454,
19,0,1,1498,
19,0,1,1544,
19,0,1,1593,
19,0,1,1645,
19,0,1,1699,
19,0,1,1743,
19,0,1,1793,
19,0,1,1844,
19,0,1,1895,
19,0,1,1944,
19,0,1,1988,
19,0,1,2038,
19,0,1,2085,
19,0,1,2133,
19,0,1,2174,
19,0,1,2212,
19,0,1,2257,
19,0,1,2300,
19,0,1,2340,
19,0,1,2388,
19,0,1,2435,
19,0,1,2483,
19,0,1,2529,
19,0,0,2570,
19,0,0,2619,
19,0,0,2665,
19,0,0,2711,
19,0,0,2761,
19,1,0,2810,
19,0,1,2858,
20,1,0,0,
20,1,0,59,
20,1,0,116,
20,1,0,174,
20,1,0,239,
20,1,0,302,
20,1,0,366,
20,1,0,429,
20,0,0,490,
20,0,1,557,
20,0,1,627,
20,0,1,691,
20,0,0,752,
20,0,1,815,
20,0,1,877,
20,0,1,941,
20,0,1,1002,
20,0,1,1068,
20,0,1,1131,
20,0,1,1197,
20,0,1,1269,
20,0,1,1326,
20,0,1,1369,
20,0,1,1416,
20,0,0,1464,
20,0,1,1514,
20,0,1,1568,
20,0,1,1617,
20,0,1,1661,
20,0,0,1709,
20,0,1,1753,
20,0,0,1796,
20,0,0,1844,
20,0,1,1888,
20,0,0,1932,
20,0,0,1980,
20,0,0,2024,
20,0,0,2065,
20,0,0,2111,
20,0,1,2154,
20,0,1,2194,
21,0,0,0,
21,0,1,45,
21,1,0,90,
21,0,1,136,
21,0,0,184,
21,0,1,234,
21,0,0,280,
21,1,0,325,
21,1,0,376,
21,1,0,473,
21,1,0,572,
21,1,0,673,
21,1,0,756,
21,1,0,816,
21,1,0,853,
21,1,0,900,
21,1,0,944,
21,1,0,982,
21,1,0,1030,
21,1,0,1072,
21,1,0,1114,
21,1,0,1160,
21,1,0,1206,
21,0,1,1253,
21,0,1,1301,
21,0,1,1349,
21,0,1,1405,
21,0,1,1468,
21,0,1,1507,
21,0,1,1553,
21,0,0,1596,
21,0,1,1641,
21,0,1,1687,
21,0,1,1734,
21,0,1,1788,
21,0,1,1844,
21,0,1,1887,
21,0,1,1929,
21,0,1,1977,
21,0,1,2022,
21,0,1,2066,
21,0,1,2107,
21,0,1,2154,
21,0,1,2204,
21,0,1,2250,
21,1,0,2303,
21,1,0,2347,
21,1,0,2394,
21,1,0,2437,
21,1,0,2485,
21,1,0,2530,
21,1,0,2577,
21,1,0,2618,
21,1,0,2657,
21,1,0,2704,
21,1,0,2746,
21,1,0,2791,
21,1,0,2840,
21,1,0,2885,
22,0,1,0,
22,0,1,49,
22,0,1,98,
22,0,1,148,
22,0,1,197,
22,0,0,253,
22,1,0,341,
22,0,0,385,
22,1,0,430,
22,1,0,478,
22,1,0,530,
22,1,0,583,
22,0,0,630,
22,1,0,678,
22,1,0,715,
22,1,0,757,
22,1,0,799,
22,1,0,841,
22,1,0,882,
22,1,0,921,
22,1,0,963,
22,0,0,1015,
22,0,0,1067,
22,1,0,1116,
22,0,0,1161,
22,1,0,1214,
22,1,0,1257,
23,0,0,0,
23,1,0,48,
23,0,1,97,
23,0,0,142,
23,1,0,185,
23,1,0,231,
23,1,0,274,
23,0,0,319,
23,1,0,360,
23,1,0,402,
23,1,0,443,
23,0,0,489,
23,1,0,531,
23,1,0,570,
23,1,0,616,
23,1,0,661,
23,1,0,707,
23,1,0,754,
23,1,0,797,
23,1,0,845,
23,1,0,885,
23,1,0,931,
23,1,0,979,
23,1,0,1026,
23,1,0,1072,
23,1,0,1117,
23,1,0,1161,
23,1,0,1214,
23,1,0,1258,
23,1,0,1311,
23,0,0,1353,
23,0,0,1388,
23,0,0,1434,
23,0,0,1481,
23,1,0,1528,
23,0,0,1576,
23,1,0,1629,
23,1,0,1681,
23,1,0,1728,
23,1,0,1780,
23,1,0,1824,
23,1,0,1869,
23,1,0,1909,
23,1,0,1949,
23,1,0,1994,
23,1,0,2041,
23,1,0,2091,
23,1,0,2140,
23,0,0,2189,
23,0,1,2242,
23,0,1,2280,
23,0,1,2322,
23,0,1,2387,
23,0,1,2454,
23,0,1,2499,
23,0,1,2546,
23,0,1,2599,
23,0,1,2648,
23,0,1,2696,
23,0,1,2739,
23,0,1,2785,
23,0,1,2831,
23,1,0,2875,
23,1,0,2925,
23,1,0,2968,
23,1,0,3008,
23,1,0,3046,
23,1,0,3096,
23,1,0,3140,
23,1,0,3183,
23,1,0,3231,
23,1,0,3275,
23,0,0,3318,
23,0,0,3366,
23,0,0,3411,
23,0,0,3460,
23,0,0,3507,
23,0,0,3552,
23,0,0,3600,
23,0,0,3652,
23,0,0,3699,
23,0,0,3745,
23,0,0,3791,
23,0,0,3836,
23,0,0,3875,
23,0,0,3922,
23,0,0,4023,
23,0,0,4127,
23,0,0,4227,
23,0,0,4323,
23,0,0,4424,
23,0,0,4512,
23,0,0,4619,
23,0,0,4686,
23,0,0,4724,
23,0,0,4770,
23,1,0,4812,
23,0,0,4852,
23,0,0,4893,
23,0,0,4935,
23,0,0,4993,
23,0,0,5089,
23,0,0,5189,
23,0,0,5274,
23,0,0,5350,
23,0,0,5455,
23,1,0,5570,
23,1,0,5648,
23,1,0,5696,
23,1,0,5743,
23,1,0,5785,
23,1,0,5831,
23,1,0,5880,
23,1,0,5922,
23,1,0,5972,
23,1,0,6020,
23,1,0,6069,
23,1,0,6117,
23,1,0,6167,
23,1,0,6212,
23,1,0,6264,
23,1,0,6314,
23,1,0,6377,
23,1,0,6445,
23,1,0,6489,
23,1,0,6526,
23,0,0,6570,
23,1,0,6615,
23,1,0,6664,
23,0,0,6713,
23,0,0,6759,
23,0,1,6807,
23,0,0,6854,
23,1,0,6898,
24,0,0,0,
24,1,0,96,
24,0,0,192,
24,1,0,268,
24,1,0,334,
24,1,0,400,
24,1,0,468,
24,1,0,530,
24,1,0,591,
24,1,0,653,
24,1,0,713,
24,1,0,781,
24,1,0,829,
24,1,0,879,
24,1,0,929,
24,1,0,984,
24,1,0,1035,
24,1,0,1084,
24,1,0,1132,
24,1,0,1184,
24,1,0,1229,
24,1,0,1275,
24,1,0,1322,
24,1,0,1365,
25,0,0,0,
25,1,0,45,
25,1,0,91,
25,1,0,137,
25,1,0,176,
25,1,0,219,
25,1,0,261,
25,1,0,341,
25,1,0,397,
25,1,0,447,
25,1,0,494,
25,1,0,547,
25,1,0,597,
25,1,0,653,
25,1,0,696,
25,1,0,740,
25,1,0,786,
25,1,0,837,
25,1,0,890,
25,1,0,931,
25,1,0,982,
25,1,0,1030,
25,1,0,1075,
25,1,0,1119,
25,1,0,1164,
25,1,0,1208,
25,0,0,1254,
25,1,0,1298,
25,1,0,1337,
26,0,1,0,
26,0,0,45,
26,0,0,92,
26,0,0,129,
26,0,1,168,
26,0,0,215,
26,1,0,263,
26,1,0,312,
26,1,0,359,
26,1,0,406,
26,1,0,454,
26,1,0,498,
26,1,0,546,
26,0,1,591,
26,0,1,638,
26,0,1,681,
26,0,1,727,
26,0,1,765,
26,0,1,809,
26,0,1,850,
26,0,1,890,
26,0,0,938,
26,1,0,982,
26,1,0,1026,
26,1,0,1063,
26,1,0,1105,
26,1,0,1151,
26,1,0,1195,
26,1,0,1247,
26,1,0,1307,
26,1,0,1373,
26,1,0,1422,
26,1,0,1473,
26,1,0,1532,
26,1,0,1583,
26,1,0,1626,
26,1,0,1668,
26,1,0,1710,
26,1,0,1753,
26,1,0,1795,
26,1,0,1843,
26,1,0,1895,
26,1,0,1943,
26,1,0,1992,
26,1,0,2044,
26,1,0,2094,
26,1,0,2138,
26,1,0,2178,
26,1,0,2221,
26,1,0,2270,
26,1,0,2311,
26,1,0,2357,
27,0,0,0,
27,0,1,43,
27,0,1,87,
27,0,1,129,
27,0,1,168,
27,0,1,211,
27,0,1,252,
27,0,1,293,
27,0,1,333,
27,0,1,378,
27,0,1,423,
27,0,1,468,
27,0,0,515,
27,0,0,563,
27,0,0,610,
27,0,1,683,
27,0,0,744,
27,0,1,864,
27,0,1,974,
27,0,1,1040,
27,0,1,1094,
27,0,1,1149,
27,0,1,1192,
27,0,1,1237,
27,0,1,1288,
27,0,1,1335,
27,0,1,1379,
27,0,1,1428,
27,0,1,1476,
27,0,1,1520,
27,0,1,1569,
27,0,1,1615,
27,0,1,1657,
27,0,1,1709,
28,1,0,0,
28,1,0,84,
28,0,1,172,
28,0,0,265,
28,1,0,362,
28,1,0,445,
28,1,0,526,
28,1,0,609,
28,1,0,695,
28,0,0,777,
28,1,0,863,
28,1,0,925,
28,1,0,984,
28,1,0,1045,
28,1,0,1105,
28,1,0,1161,
28,1,0,1214,
28,1,0,1268,
28,1,0,1321,
28,1,0,1421,
28,0,0,1487,
28,1,0,1540,
28,1,0,1591,
28,1,0,1638,
28,1,0,1687,
28,1,0,1735,
29,0,0,0,
29,1,0,95,
29,0,0,196,
29,0,0,283,
29,1,0,343,
29,0,0,405,
29,1,0,470,
29,1,0,532,
29,1,0,595,
29,1,0,658,
29,0,1,721,
29,0,1,786,
29,0,1,858,
29,0,1,926,
29,0,0,995,
29,0,1,1070,
29,0,1,1132,
29,0,1,1197,
29,1,0,1255,
29,1,0,1307,
29,1,0,1357,
29,1,0,1401,
29,1,0,1452,
29,1,0,1499,
29,1,0,1552,
29,1,0,1616,
29,1,0,1662,
29,1,0,1704,
29,1,0,1748,
29,1,0,1810,
29,1,0,1861,
29,1,0,1908,
30,1,0,0,
30,1,0,58,
30,1,0,119,
30,1,0,174,
30,1,0,227,
30,1,0,282,
30,1,0,347,
30,1,0,477,
30,1,0,584,
30,1,0,652,
30,1,0,701,
30,1,0,755,
30,1,0,812,
30,1,0,866,
30,1,0,936,
30,1,0,1004,
30,1,0,1049,
30,1,0,1093,
30,1,0,1140,
30,1,0,1186,
30,1,0,1232,
30,1,0,1282,
30,1,0,1329,
30,1,0,1379,
30,1,0,1423,
30,1,0,1470,
30,1,0,1512,
30,1,0,1554,
30,1,0,1602,
30,1,0,1646,
30,1,0,1685,
30,1,0,1730,
30,1,0,1771,
30,1,0,1817,
30,0,1,1858,
30,0,1,1900,
30,1,0,1945,
30,1,0,1991,
30,1,0,2032,
30,1,0,2074,
30,1,0,2116,
30,1,0,2155,
30,1,0,2202,
30,1,0,2244,
30,1,0,2283,
30,1,0,2330,
30,1,0,2371,
30,1,0,2412,
30,1,0,2455,
30,1,0,2499,
31,0,0,0,
31,1,0,43,
31,0,0,86,
31,0,0,123,
31,0,1,163,
31,1,0,203,
31,1,0,249,
31,1,0,294,
31,1,0,333,
31,1,0,372,
31,1,0,415,
31,1,0,455,
31,1,0,497,
31,1,0,537,
31,1,0,578,
31,1,0,617,
31,1,0,661,
31,1,0,703,
31,1,0,743,
31,1,0,785,
31,1,0,831,
31,1,0,873,
31,0,1,915,
31,0,1,956,
31,0,1,1000,
31,0,1,1044,
31,0,1,1086,
31,0,1,1130,
31,0,0,1169,
31,0,1,1216,
31,0,1,1255,
31,0,1,1301,
31,0,1,1353,
31,0,1,1400,
31,0,1,1441,
31,0,1,1481,
31,0,1,1522,
31,0,1,1567,
31,0,1,1607,
31,0,1,1648,
31,0,1,1687,
31,0,1,1728,
31,0,1,1772,
31,0,1,1811,
31,0,1,1854,
31,0,1,1897,
31,0,1,1938,
31,0,1,2000,
31,0,1,2051,
31,1,0,2120,
31,1,0,2196,
31,1,0,2267,
31,1,0,2333,
31,1,0,2410,
31,1,0,2515,
31,1,0,2618,
31,1,0,2704,
31,1,0,2774,
31,1,0,2848,
31,1,0,2917,
31,1,0,2986,
31,1,0,3061,
31,1,0,3128,
31,1,0,3198,
31,1,0,3271,
31,1,0,3348,
31,1,0,3416,
31,1,0,3485,
31,1,0,3559,
31,1,0,3634,
31,1,0,3695,
31,1,0,3745,
31,0,1,3794,
31,0,1,3837,
31,0,1,3888,
31,0,1,3933,
31,0,1,3978,
