trial,_right_canvas,times,_left_canvas,Unnamed: 4
6,0,0,1,
6,0,63,0,
6,0,124,0,
6,0,184,0,
6,0,240,0,
6,1,295,0,
6,0,350,1,
6,0,407,1,
6,0,466,1,
6,0,526,1,
6,0,584,1,
6,0,642,1,
6,0,703,1,
6,0,763,1,
6,0,821,1,
6,0,877,0,
6,0,933,1,
6,0,993,1,
6,0,1069,1,
6,0,1127,1,
6,0,1186,1,
7,1,0,0,
7,0,57,0,
7,0,116,0,
7,0,173,0,
7,1,234,0,
7,1,291,0,
7,1,350,0,
7,1,405,0,
7,1,464,0,
7,1,518,0,
7,1,581,0,
7,1,641,0,
7,1,698,0,
7,1,758,0,
7,1,818,0,
7,1,877,0,
7,1,935,0,
7,1,992,0,
7,1,1063,0,
7,1,1121,0,
7,1,1179,0,
8,0,0,1,
8,0,59,1,
8,1,118,0,
8,0,174,1,
8,1,234,0,
8,0,293,1,
8,0,356,0,
8,0,414,0,
8,0,476,1,
8,0,536,1,
8,0,598,1,
8,0,657,1,
8,0,717,1,
8,0,776,1,
8,0,836,1,
8,0,895,1,
8,0,954,1,
8,0,1012,1,
8,0,1095,1,
8,0,1154,1,
8,0,1213,1,
8,0,1271,1,
8,0,1326,1,
8,0,1388,0,
8,0,1447,0,
7,0,0,0,
7,1,64,0,
7,1,129,0,
7,1,189,0,
7,0,246,0,
7,0,304,1,
7,0,364,1,
7,0,420,1,
7,0,477,1,
7,0,535,1,
7,0,590,1,
7,0,646,1,
7,0,704,1,
7,0,763,1,
7,0,821,1,
7,0,879,1,
7,0,939,1,
7,0,996,1,
7,0,1054,1,
7,0,1114,1,
7,0,1171,1,
7,0,1229,1,
7,0,1286,1,
7,0,1342,1,
7,0,1397,1,
7,0,1457,1,
8,0,0,1,
8,0,60,0,
8,1,127,0,
8,0,185,0,
8,0,242,0,
8,0,301,0,
8,1,359,0,
8,1,415,0,
8,1,474,0,
8,1,533,0,
8,1,592,0,
8,1,650,0,
8,1,709,0,
8,1,766,0,
8,1,829,0,
8,1,890,0,
8,1,951,0,
8,1,1005,0,
8,1,1067,0,
8,1,1125,0,
8,1,1184,0,
10,1,0,0,
10,0,72,0,
10,1,159,0,
10,1,218,0,
10,1,275,0,
10,1,339,0,
10,1,404,0,
10,1,468,0,
10,1,529,0,
10,1,592,0,
10,1,657,0,
10,1,719,0,
10,1,784,0,
10,1,850,0,
10,1,913,0,
10,1,971,0,
10,1,1043,0,
10,1,1104,0,
10,1,1169,0,
11,1,0,0,
11,0,58,0,
11,0,117,0,
11,1,173,0,
11,0,230,0,
11,0,290,0,
11,0,346,1,
11,0,403,1,
11,0,460,1,
11,0,515,1,
11,0,574,1,
11,0,633,1,
11,0,692,1,
11,0,752,1,
11,0,813,1,
11,0,872,1,
11,0,934,1,
11,0,992,1,
11,0,1051,1,
11,0,1107,1,
11,0,1163,1,
11,0,1225,1,
11,1,1291,0,
12,0,0,1,
12,1,62,0,
12,1,129,0,
12,1,193,0,
12,1,249,0,
12,0,305,1,
12,1,360,0,
12,1,416,0,
12,1,474,0,
12,1,532,0,
12,1,589,0,
12,1,649,0,
12,1,708,0,
12,1,770,0,
12,1,828,0,
12,1,888,0,
12,1,945,0,
12,1,1003,0,
12,1,1065,0,
12,1,1126,0,
12,1,1184,0,
12,1,1239,0,
12,1,1298,0,
12,1,1355,0,
12,1,1415,0,
12,1,1473,0,
12,1,1527,0,
12,1,1582,0,
12,1,1642,0,
12,1,1699,0,
13,0,0,0,
13,0,61,0,
13,1,121,0,
13,0,178,0,
13,0,237,1,
13,0,291,0,
13,1,351,0,
13,1,411,0,
13,1,471,0,
13,1,531,0,
13,1,589,0,
13,1,647,0,
13,1,706,0,
13,1,766,0,
13,1,825,0,
13,1,885,0,
13,0,944,0,
13,1,1003,0,
13,1,1061,0,
13,1,1121,0,
14,0,0,1,
14,0,65,1,
14,1,123,0,
14,0,180,1,
14,0,235,1,
14,0,295,1,
14,0,353,1,
14,0,412,1,
14,0,472,1,
14,0,531,1,
14,0,589,1,
14,0,646,1,
14,0,704,1,
14,0,766,1,
14,0,829,1,
15,0,0,1,
15,0,62,0,
15,1,120,0,
15,0,175,0,
15,0,233,1,
15,0,288,1,
15,0,346,1,
15,0,402,1,
15,0,459,1,
15,0,517,1,
15,0,575,1,
15,1,634,0,
15,1,692,0,
15,0,752,1,
15,0,814,1,
15,0,873,1,
15,0,934,0,
15,1,997,0,
15,1,1055,0,
15,1,1115,0,
16,1,0,0,
16,1,61,0,
16,1,119,0,
16,1,177,0,
16,0,240,1,
16,0,302,1,
16,1,357,0,
16,1,415,0,
16,1,476,0,
16,1,535,0,
16,1,593,0,
16,1,651,0,
16,1,896,0,
16,1,953,0,
16,1,1012,0,
16,1,1071,0,
16,1,1126,0,
17,0,0,1,
17,0,61,0,
17,0,119,1,
17,0,178,1,
17,0,236,0,
17,1,295,0,
17,1,350,0,
17,1,405,0,
17,1,462,0,
17,1,520,0,
17,1,582,0,
17,1,639,0,
17,1,701,0,
17,1,759,0,
17,1,819,0,
17,1,875,0,
17,1,932,0,
17,1,986,0,
18,0,0,0,
18,0,62,0,
18,1,123,0,
18,0,178,1,
18,0,234,1,
18,0,293,1,
18,0,353,1,
18,0,410,1,
18,0,479,1,
18,0,541,1,
18,0,598,1,
18,0,655,1,
18,0,713,1,
18,0,770,1,
18,0,829,1,
18,0,892,1,
18,0,947,1,
18,0,1004,1,
18,0,1062,1,
18,0,1118,1,
18,0,1178,1,
19,0,0,0,
19,1,67,0,
19,0,136,0,
19,1,191,0,
19,0,257,0,
19,0,349,1,
19,0,408,1,
19,0,463,1,
19,0,524,1,
19,0,585,1,
19,0,644,1,
19,0,710,1,
19,0,767,1,
19,0,828,1,
19,0,886,1,
19,0,943,1,
19,0,998,1,
19,0,1058,1,
19,0,1118,1,
19,1,1176,0,
19,1,1234,0,
19,1,1293,0,
19,1,1351,0,
19,1,1406,0,
19,1,1464,0,
20,0,0,0,
20,0,65,1,
20,0,121,1,
20,0,177,1,
20,0,232,1,
20,0,289,1,
20,0,345,1,
20,0,402,1,
20,0,461,0,
20,0,520,0,
20,0,577,0,
20,1,635,0,
20,1,694,0,
20,1,752,0,
20,1,809,0,
20,1,868,0,
20,1,931,0,
21,0,0,1,
21,0,73,0,
21,0,135,1,
21,0,196,1,
21,0,255,1,
21,1,313,0,
21,0,370,1,
21,1,426,0,
21,1,485,0,
21,1,543,0,
21,1,604,0,
21,1,659,0,
21,1,719,0,
21,1,772,0,
21,1,832,0,
21,1,887,0,
22,0,0,1,
22,1,65,0,
22,1,123,0,
22,1,181,0,
22,1,244,0,
22,0,304,1,
22,0,365,1,
22,0,428,1,
22,0,485,1,
22,0,546,1,
22,1,607,0,
22,1,670,0,
22,1,727,0,
22,0,787,1,
22,0,847,0,
22,0,906,0,
22,1,967,0,
23,0,0,1,
23,0,59,1,
23,0,122,1,
23,0,179,1,
23,0,239,1,
23,0,297,1,
23,1,356,0,
23,1,416,0,
23,0,477,1,
23,1,538,0,
23,1,597,0,
23,1,655,0,
23,1,712,0,
23,0,771,0,
24,0,0,0,
24,0,63,0,
