trial,times,_left_canvas,_right_canvas,Unnamed: 4
6,0,1,0,
6,47,0,0,
6,91,1,0,
6,136,1,0,
6,178,1,0,
6,220,1,0,
6,265,1,0,
6,310,1,0,
6,350,1,0,
6,397,1,0,
6,443,1,0,
6,491,1,0,
6,540,1,0,
6,584,1,0,
6,632,1,0,
6,674,1,0,
6,720,1,0,
6,764,1,0,
6,808,1,0,
6,855,1,0,
6,897,1,0,
6,943,1,0,
6,988,1,0,
6,1032,1,0,
6,1077,1,0,
7,0,1,0,
7,48,0,1,
7,96,0,1,
7,139,0,1,
7,182,0,1,
7,224,0,1,
7,268,0,1,
7,312,0,1,
7,354,0,1,
7,399,0,1,
7,441,0,1,
7,483,0,1,
7,527,0,1,
7,570,0,1,
7,614,0,1,
7,661,0,1,
7,705,0,1,
7,752,0,1,
7,797,0,1,
7,838,0,1,
7,881,0,1,
7,922,0,1,
7,965,0,1,
7,1010,0,1,
7,1056,0,1,
7,1102,0,1,
7,1149,0,1,
7,1192,0,1,
7,1233,0,1,
7,1276,0,1,
7,1318,0,1,
7,1359,0,1,
7,1400,0,1,
7,1446,0,1,
7,1492,0,1,
7,1536,1,0,
7,1581,0,0,
7,1620,0,1,
7,1660,0,1,
7,1704,0,1,
7,1749,1,0,
7,1791,1,0,
7,1837,0,0,
7,1879,0,1,
7,1925,1,0,
7,1968,0,0,
7,2011,0,1,
7,2059,0,1,
7,2105,0,1,
7,2172,0,0,
7,2223,0,1,
7,2268,0,1,
7,2317,0,1,
7,2358,0,1,
7,2401,0,1,
7,2443,0,1,
7,2486,0,1,
7,2529,0,1,
7,2569,0,1,
7,2613,0,1,
7,2657,0,1,
7,2703,0,0,
7,2750,0,1,
7,2797,0,1,
7,2842,0,1,
7,2887,0,1,
7,2931,0,1,
7,2974,0,1,
7,3019,0,1,
7,3059,0,1,
7,3103,0,1,
7,3147,0,1,
7,3193,0,1,
7,3237,0,1,
7,3280,0,1,
7,3323,0,0,
7,3364,0,0,
7,3413,0,1,
7,3454,0,1,
7,3495,0,1,
7,3538,0,1,
8,0,0,0,
8,51,0,0,
8,99,0,1,
8,144,0,0,
8,187,1,0,
8,233,1,0,
8,280,1,0,
8,326,1,0,
8,368,1,0,
8,411,1,0,
8,456,1,0,
8,504,1,0,
8,547,1,0,
8,592,1,0,
8,633,1,0,
8,676,1,0,
8,721,1,0,
8,765,1,0,
8,814,1,0,
8,859,1,0,
8,903,1,0,
8,946,1,0,
8,996,1,0,
8,1044,1,0,
8,1093,1,0,
8,1139,1,0,
8,1183,1,0,
