trial,times,_left_canvas,_right_canvas,Unnamed: 4
6,0,0,1,
6,52,0,1,
6,91,1,0,
6,132,1,0,
6,168,0,1,
6,207,0,0,
6,246,0,0,
6,287,0,0,
6,345,1,0,
6,387,0,1,
6,424,1,0,
6,467,1,0,
6,507,1,0,
6,548,1,0,
6,590,1,0,
6,633,0,0,
6,676,1,0,
6,714,1,0,
6,755,1,0,
6,792,1,0,
6,834,1,0,
6,873,1,0,
6,915,1,0,
6,958,1,0,
6,1000,1,0,
6,1041,1,0,
6,1082,1,0,
6,1119,1,0,
6,1163,1,0,
6,1202,1,0,
6,1240,1,0,
6,1284,1,0,
6,1325,1,0,
6,1369,1,0,
6,1409,1,0,
6,1449,1,0,
6,1491,1,0,
6,1533,1,0,
6,1571,1,0,
6,1614,0,1,
7,0,1,0,
7,43,1,0,
7,86,1,0,
7,129,1,0,
7,172,0,0,
7,215,0,0,
7,257,1,0,
7,300,0,1,
7,346,0,1,
7,390,0,1,
7,426,0,1,
7,470,0,1,
7,510,0,1,
7,552,0,1,
7,588,0,1,
7,625,0,1,
7,670,0,1,
7,710,0,1,
7,751,0,1,
7,798,0,1,
7,838,0,1,
7,882,0,1,
7,919,0,1,
7,961,0,1,
7,1003,0,1,
7,1044,0,1,
7,1086,0,1,
7,1128,0,0,
7,1170,0,1,
7,1212,0,1,
7,1251,0,1,
7,1294,0,1,
7,1348,0,1,
7,1390,0,1,
7,1428,1,0,
7,1470,1,0,
7,1512,1,0,
7,1558,1,0,
8,0,0,1,
8,39,0,0,
8,86,1,0,
8,127,0,1,
8,168,0,1,
8,211,0,1,
8,255,0,1,
8,296,0,0,
8,339,0,0,
8,378,0,0,
8,418,1,0,
8,461,1,0,
8,499,1,0,
8,542,0,1,
8,583,0,1,
8,624,0,1,
8,667,0,1,
8,705,0,1,
8,746,0,1,
8,789,0,1,
8,830,0,1,
8,871,0,1,
8,913,0,1,
8,951,0,1,
8,990,0,1,
8,1024,0,0,
8,1066,0,1,
8,1103,0,1,
8,1139,0,1,
8,1171,0,1,
8,1210,0,1,
8,1243,0,1,
8,1280,0,1,
8,1316,0,1,
8,1354,0,1,
8,1388,0,0,
8,1426,1,0,
8,1465,1,0,
8,1500,1,0,
8,1538,0,0,
8,1575,0,0,
8,1614,1,0,
8,1652,1,0,
8,1689,1,0,
8,1725,1,0,
8,1762,0,0,
8,1798,1,0,
8,1833,1,0,
8,1870,1,0,
8,1908,1,0,
8,1948,1,0,
8,1987,1,0,
8,2025,1,0,
8,2063,1,0,
8,2101,1,0,
8,2141,1,0,
8,2180,1,0,
8,2220,0,0,
8,2258,1,0,
8,2298,1,0,
8,2334,1,0,
8,2367,1,0,
7,0,0,1,
7,44,0,1,
7,84,0,1,
7,122,0,0,
7,161,0,1,
7,200,0,1,
7,236,0,1,
7,277,0,0,
7,317,0,1,
7,363,0,1,
7,401,0,1,
7,444,0,1,
7,486,0,1,
7,522,0,1,
7,561,0,1,
7,601,0,0,
7,645,0,1,
7,691,0,1,
7,730,0,1,
7,775,0,0,
7,818,0,0,
8,0,0,0,
8,42,0,1,
8,82,1,0,
8,117,1,0,
8,160,0,1,
8,201,0,1,
8,244,1,0,
8,288,0,1,
8,325,0,1,
8,365,0,1,
8,406,0,1,
8,452,0,1,
8,497,0,1,
8,539,0,1,
8,585,0,0,
8,625,0,1,
8,666,0,1,
8,708,0,1,
8,750,1,0,
8,789,1,0,
8,827,1,0,
8,865,1,0,
8,908,1,0,
8,945,1,0,
8,982,1,0,
8,1023,1,0,
8,1060,1,0,
10,0,0,0,
10,40,0,0,
10,77,0,1,
10,117,0,1,
10,155,0,1,
10,194,0,1,
10,234,1,0,
10,269,0,0,
10,307,0,1,
10,342,0,0,
10,379,0,0,
10,417,0,1,
10,452,1,0,
10,494,0,0,
10,529,1,0,
10,566,1,0,
10,608,1,0,
10,644,0,1,
10,679,1,0,
10,715,1,0,
10,752,1,0,
10,789,1,0,
10,826,1,0,
10,861,1,0,
10,894,1,0,
10,931,1,0,
10,965,1,0,
10,997,1,0,
10,1031,1,0,
10,1063,1,0,
10,1102,1,0,
10,1138,1,0,
11,0,1,0,
11,36,0,0,
11,74,0,0,
11,115,0,1,
11,155,0,0,
11,198,0,0,
11,240,0,0,
11,280,0,1,
11,327,0,0,
11,370,0,0,
11,409,0,1,
11,447,0,1,
12,0,0,1,
12,41,0,1,
12,85,0,1,
12,124,0,1,
12,165,0,1,
12,205,0,1,
12,245,0,0,
12,284,0,0,
12,324,0,1,
12,367,0,1,
12,405,0,1,
12,447,0,1,
12,491,0,1,
12,532,0,1,
12,586,0,1,
13,0,0,1,
13,39,0,1,
13,77,1,0,
13,116,1,0,
13,154,0,1,
13,194,0,1,
13,230,0,1,
13,272,0,0,
13,315,1,0,
13,359,1,0,
13,400,1,0,
13,440,1,0,
13,483,1,0,
13,522,1,0,
13,566,1,0,
13,607,1,0,
13,643,1,0,
13,686,1,0,
14,0,0,0,
14,39,1,0,
14,76,1,0,
14,111,0,1,
14,146,0,0,
14,191,0,0,
14,236,1,0,
14,273,1,0,
14,313,1,0,
14,350,1,0,
14,390,1,0,
14,425,1,0,
14,461,1,0,
14,494,1,0,
14,533,1,0,
14,566,1,0,
14,604,1,0,
14,642,1,0,
14,680,1,0,
14,719,0,1,
14,755,0,1,
14,794,0,1,
14,830,0,1,
14,869,0,1,
14,908,0,1,
14,946,0,1,
14,985,0,1,
14,1021,0,1,
14,1055,0,1,
15,0,1,0,
15,39,0,0,
15,78,1,0,
15,114,1,0,
15,152,0,1,
15,191,0,1,
15,227,1,0,
15,264,1,0,
15,305,1,0,
15,341,0,0,
15,380,0,1,
15,420,0,1,
15,459,0,1,
15,498,0,1,
15,532,0,1,
15,571,0,1,
15,610,0,1,
16,0,0,0,
16,39,0,0,
16,81,0,1,
16,123,0,0,
16,164,0,1,
16,205,0,0,
16,246,0,0,
16,290,0,1,
16,334,0,1,
16,376,0,1,
16,420,0,1,
16,461,0,1,
16,501,0,1,
16,544,0,1,
16,586,0,1,
16,629,1,0,
16,669,0,0,
16,708,0,0,
16,748,1,0,
16,788,1,0,
16,826,1,0,
16,869,1,0,
16,906,1,0,
16,945,1,0,
16,992,1,0,
17,0,0,0,
17,59,0,1,
17,120,0,1,
17,183,0,0,
17,240,0,1,
17,293,0,1,
17,342,0,1,
17,392,1,0,
17,445,1,0,
17,496,1,0,
17,548,1,0,
17,598,1,0,
17,644,0,1,
17,690,0,0,
17,736,0,0,
17,783,0,1,
17,867,0,1,
17,922,0,1,
17,969,0,1,
17,1014,0,1,
17,1056,0,1,
17,1100,0,1,
17,1145,0,1,
17,1178,0,1,
17,1219,0,0,
17,1260,0,0,
17,1303,1,0,
17,1342,1,0,
17,1382,1,0,
17,1425,1,0,
17,1463,1,0,
18,0,0,1,
18,44,0,0,
18,83,0,1,
18,125,0,0,
18,164,0,0,
18,208,0,1,
18,249,0,0,
18,281,0,0,
18,324,1,0,
18,361,1,0,
18,404,1,0,
18,446,1,0,
18,480,1,0,
18,524,0,1,
18,565,0,0,
18,630,0,1,
18,674,0,1,
18,715,0,1,
18,753,0,1,
18,795,0,1,
18,839,0,1,
18,884,0,1,
18,923,0,1,
18,963,0,1,
19,0,0,1,
19,43,0,1,
19,89,0,1,
19,131,0,1,
19,170,0,1,
19,211,0,1,
19,248,0,0,
19,289,0,1,
19,332,1,0,
19,372,1,0,
19,413,1,0,
19,456,1,0,
19,496,1,0,
19,535,0,0,
19,575,0,0,
19,620,1,0,
19,662,1,0,
19,699,1,0,
19,739,1,0,
19,777,1,0,
19,817,1,0,
20,0,0,1,
20,40,0,1,
20,82,0,0,
20,119,0,0,
20,162,0,1,
20,202,0,1,
20,242,1,0,
20,283,1,0,
20,326,0,1,
20,367,0,1,
20,408,0,1,
20,452,0,1,
20,493,0,1,
20,532,0,1,
20,571,0,1,
20,608,0,1,
20,651,0,1,
20,694,0,1,
20,735,0,1,
20,775,0,1,
20,819,0,1,
20,858,0,1,
20,901,0,1,
20,943,0,1,
20,985,0,1,
20,1025,0,1,
20,1065,0,1,
20,1108,0,1,
20,1150,0,1,
20,1192,0,1,
21,0,1,0,
21,39,0,1,
21,77,0,1,
21,113,0,1,
21,152,0,0,
21,190,1,0,
21,228,1,0,
21,266,1,0,
21,304,1,0,
21,343,1,0,
21,383,1,0,
21,423,1,0,
21,462,1,0,
21,500,1,0,
21,538,1,0,
21,576,1,0,
21,613,1,0,
21,649,1,0,
22,0,0,1,
22,40,0,0,
22,82,0,1,
22,121,0,1,
22,160,0,0,
22,199,0,1,
22,239,0,1,
22,278,0,0,
22,319,0,1,
22,356,0,1,
22,395,0,1,
22,432,0,1,
22,473,0,1,
22,514,0,1,
22,554,0,1,
22,599,0,1,
22,635,0,1,
22,678,0,1,
22,720,0,1,
22,762,0,1,
22,803,0,0,
22,846,1,0,
22,885,1,0,
22,944,1,0,
22,985,1,0,
22,1025,1,0,
22,1065,0,1,
22,1112,0,1,
23,0,1,0,
23,56,1,0,
23,96,0,0,
23,137,0,1,
23,181,0,1,
23,222,0,1,
23,264,0,1,
23,306,0,1,
23,345,1,0,
23,385,1,0,
23,425,1,0,
23,465,1,0,
23,503,0,0,
