trial,_right_canvas,_left_canvas,times,Unnamed: 4
6,1,0,0,
6,1,0,58,
6,1,0,94,
6,1,0,137,
6,1,0,179,
6,1,0,216,
6,1,0,256,
6,1,0,291,
6,1,0,326,
6,1,0,363,
6,1,0,397,
6,1,0,433,
6,1,0,466,
6,1,0,501,
6,1,0,535,
6,1,0,572,
6,1,0,606,
6,0,0,640,
6,0,0,674,
6,1,0,704,
6,1,0,737,
6,1,0,768,
6,1,0,799,
6,1,0,833,
6,0,0,865,
6,0,0,898,
6,1,0,932,
6,1,0,966,
6,1,0,1000,
6,0,0,1038,
6,0,1,1073,
6,0,0,1106,
6,0,1,1147,
6,0,0,1233,
6,0,0,1272,
6,0,0,1310,
6,1,0,1345,
6,1,0,1380,
6,0,0,1420,
6,0,0,1464,
6,1,0,1501,
6,1,0,1534,
6,1,0,1566,
6,0,1,1599,
6,1,0,1635,
6,0,0,1672,
6,1,0,1708,
6,1,0,1750,
6,0,0,1785,
6,0,0,1817,
6,1,0,1850,
6,1,0,1887,
6,1,0,1926,
6,1,0,1958,
6,0,0,1997,
6,0,0,2035,
6,0,0,2070,
7,0,0,0,
7,0,1,34,
7,1,0,71,
7,0,1,103,
7,1,0,138,
7,0,1,169,
7,0,1,204,
7,0,0,240,
7,0,0,275,
7,0,1,306,
7,0,1,340,
7,0,1,371,
7,1,0,402,
7,1,0,437,
7,1,0,470,
7,1,0,505,
7,1,0,539,
7,1,0,575,
7,1,0,610,
7,1,0,645,
7,1,0,676,
7,1,0,713,
7,1,0,744,
7,1,0,785,
7,1,0,818,
7,1,0,854,
7,1,0,888,
7,1,0,924,
7,1,0,961,
7,1,0,992,
7,1,0,1022,
7,1,0,1053,
7,1,0,1083,
7,1,0,1117,
7,1,0,1151,
7,1,0,1184,
7,1,0,1217,
7,1,0,1257,
7,1,0,1292,
7,1,0,1327,
7,1,0,1362,
8,1,0,0,
8,1,0,33,
8,0,1,69,
8,0,1,102,
8,0,1,132,
8,0,1,166,
8,1,0,199,
8,0,1,232,
8,0,1,267,
8,0,1,299,
8,0,1,332,
8,0,1,365,
8,0,1,398,
8,0,1,432,
8,0,1,466,
8,0,1,499,
8,0,1,537,
8,0,1,574,
8,0,1,623,
8,0,1,654,
8,0,1,689,
8,0,1,724,
8,0,1,758,
8,0,1,790,
8,0,1,828,
8,0,1,859,
8,0,1,890,
8,0,1,924,
8,0,1,960,
8,0,1,991,
8,0,1,1022,
8,0,1,1051,
8,0,1,1084,
8,0,1,1119,
8,0,1,1151,
8,0,1,1186,
8,0,1,1222,
8,0,1,1254,
8,0,1,1288,
8,0,1,1325,
8,0,1,1358,
8,0,1,1393,
8,0,1,1429,
8,0,1,1462,
8,0,1,1502,
8,0,1,1538,
8,0,1,1570,
8,0,1,1602,
8,0,1,1637,
8,0,1,1672,
8,0,1,1704,
8,0,1,1734,
8,0,1,1768,
8,0,1,1802,
8,0,1,1835,
8,0,1,1869,
8,0,1,1902,
8,0,1,1934,
8,0,1,1967,
7,0,1,0,
7,0,1,35,
7,0,1,70,
7,0,1,103,
7,0,1,140,
7,0,1,174,
7,0,1,206,
7,0,1,243,
7,0,1,282,
7,0,1,314,
7,1,0,348,
7,1,0,381,
7,1,0,419,
7,1,0,457,
7,1,0,495,
7,1,0,530,
7,1,0,568,
7,1,0,606,
7,1,0,638,
7,1,0,683,
7,1,0,724,
7,1,0,760,
7,1,0,792,
7,0,0,832,
7,1,0,866,
7,1,0,903,
7,1,0,950,
8,1,0,0,
8,0,0,41,
8,0,0,106,
8,0,1,145,
8,0,1,181,
8,1,0,217,
8,0,1,249,
8,0,1,281,
8,0,1,315,
8,0,1,347,
8,0,1,379,
8,0,1,411,
8,0,1,443,
8,0,1,475,
8,0,1,509,
8,0,1,540,
8,0,1,573,
8,0,1,606,
8,0,1,640,
8,0,1,673,
8,0,1,707,
8,0,1,740,
8,0,1,775,
8,0,1,806,
8,0,1,839,
8,0,1,873,
8,0,1,908,
8,0,1,940,
8,0,1,976,
8,0,1,1014,
8,0,1,1048,
8,0,1,1079,
8,0,1,1117,
8,0,1,1148,
8,0,1,1178,
8,0,1,1211,
8,0,1,1244,
8,0,1,1278,
8,0,1,1313,
8,0,1,1347,
8,0,1,1384,
8,0,1,1418,
8,0,1,1453,
8,0,1,1485,
8,0,1,1525,
8,0,1,1559,
8,0,1,1591,
10,0,1,0,
10,0,0,56,
10,0,0,88,
10,1,0,124,
10,0,0,161,
10,1,0,194,
10,0,1,226,
10,0,1,261,
10,0,1,292,
10,0,1,322,
10,0,1,356,
10,0,1,392,
10,0,1,427,
10,0,1,458,
10,0,1,492,
10,0,1,524,
10,0,1,559,
10,0,1,593,
10,0,1,629,
10,0,1,659,
10,0,1,689,
10,0,1,721,
10,0,1,754,
10,0,1,787,
10,0,1,821,
10,0,1,855,
10,0,0,894,
10,0,1,926,
10,0,1,958,
10,0,1,992,
10,0,0,1023,
10,0,1,1056,
10,0,1,1089,
10,0,1,1123,
10,0,1,1157,
10,0,1,1192,
10,0,1,1230,
10,0,1,1267,
10,0,1,1301,
10,0,1,1334,
10,0,1,1366,
10,0,1,1397,
10,0,1,1432,
10,0,1,1463,
10,0,1,1494,
10,0,1,1531,
10,0,1,1563,
10,0,1,1594,
10,0,1,1627,
10,0,1,1659,
10,0,1,1690,
10,1,0,1725,
10,1,0,1761,
10,1,0,1791,
10,1,0,1826,
10,1,0,1860,
10,1,0,1895,
10,1,0,1927,
10,1,0,1959,
10,1,0,1995,
10,1,0,2028,
10,1,0,2064,
10,1,0,2098,
10,1,0,2130,
10,1,0,2166,
10,1,0,2204,
10,1,0,2242,
10,1,0,2277,
10,1,0,2309,
10,1,0,2341,
10,1,0,2375,
10,0,1,2410,
10,0,1,2441,
11,0,1,0,
11,0,1,39,
11,0,1,70,
11,0,1,103,
11,0,1,134,
11,0,1,168,
11,0,1,209,
11,0,1,247,
11,0,1,284,
11,0,1,320,
11,0,1,351,
11,0,1,385,
11,0,1,424,
11,0,1,477,
11,0,1,510,
11,0,1,541,
11,0,1,576,
11,0,1,607,
11,0,1,638,
11,1,0,669,
11,1,0,702,
11,1,0,735,
11,1,0,771,
11,1,0,802,
11,1,0,835,
11,1,0,868,
11,1,0,902,
11,1,0,937,
11,1,0,968,
11,1,0,1005,
11,1,0,1036,
11,1,0,1069,
11,1,0,1103,
11,1,0,1137,
11,1,0,1170,
11,1,0,1203,
11,1,0,1236,
11,1,0,1269,
11,1,0,1304,
11,1,0,1337,
11,1,0,1370,
11,1,0,1403,
11,1,0,1437,
