trial,times,_left_canvas,_right_canvas,Unnamed: 4
6,0,0,1,
6,140,0,1,
6,304,1,0,
6,462,0,0,
6,609,0,1,
6,738,1,0,
6,834,0,0,
6,957,0,1,
6,1050,1,0,
6,1165,0,0,
6,1270,0,1,
6,1396,1,0,
6,1488,0,0,
6,1596,0,0,
6,1698,0,0,
6,1798,0,1,
6,1936,1,0,
6,2023,1,0,
6,2151,1,0,
6,2254,1,0,
6,2362,1,0,
6,2456,1,0,
6,2585,1,0,
6,2735,0,0,
6,2886,0,1,
6,3285,0,1,
6,3387,0,1,
6,3515,0,1,
6,3620,0,1,
6,3747,1,0,
6,3850,0,0,
6,3938,0,1,
6,4036,1,0,
7,0,1,0,
7,166,1,0,
7,290,1,0,
7,425,1,0,
7,550,1,0,
7,687,1,0,
7,805,1,0,
7,946,1,0,
7,1050,1,0,
7,1179,1,0,
7,1274,1,0,
7,1424,0,1,
7,1533,1,0,
7,1657,1,0,
7,1783,0,0,
7,1950,0,1,
7,2099,0,1,
7,2244,1,0,
7,2364,1,0,
7,2482,0,1,
7,2592,0,1,
7,2685,0,0,
7,2798,1,0,
8,0,1,0,
8,95,1,0,
8,196,1,0,
8,293,1,0,
8,378,1,0,
8,503,1,0,
8,597,0,0,
8,720,0,0,
8,814,1,0,
8,927,0,0,
8,1018,1,0,
8,1175,1,0,
8,1378,0,0,
8,1584,1,0,
8,1795,0,0,
8,1978,0,0,
7,0,1,0,
7,108,0,0,
7,211,1,0,
7,311,1,0,
7,595,1,0,
7,716,1,0,
7,802,1,0,
7,908,1,0,
7,995,0,0,
7,1100,1,0,
7,1197,1,0,
7,1294,1,0,
7,1392,1,0,
7,1477,0,1,
7,1580,0,1,
7,1677,0,1,
7,1805,0,0,
7,1923,1,0,
7,2051,1,0,
7,2166,1,0,
7,2280,1,0,
7,2400,1,0,
7,2529,1,0,
7,2648,1,0,
7,2742,1,0,
7,2866,1,0,
7,2962,1,0,
7,3064,1,0,
7,3176,1,0,
8,0,1,0,
8,111,1,0,
8,215,1,0,
8,315,0,1,
8,403,1,0,
8,539,1,0,
8,630,1,0,
8,745,1,0,
8,845,1,0,
8,949,0,0,
8,1040,0,1,
8,1137,1,0,
8,1247,1,0,
8,1337,1,0,
8,1445,0,0,
8,1543,1,0,
8,1658,1,0,
8,1752,1,0,
8,1836,1,0,
8,1953,1,0,
8,2054,0,0,
8,2185,0,0,
