trial,times,_left_canvas,_right_canvas,Unnamed: 4
6,0,1,0,
6,37,1,0,
6,75,1,0,
6,109,1,0,
6,143,1,0,
6,177,1,0,
6,210,1,0,
6,259,0,1,
6,296,1,0,
6,334,0,0,
6,371,1,0,
6,407,1,0,
6,441,1,0,
6,479,1,0,
6,514,1,0,
6,550,1,0,
6,587,1,0,
6,621,1,0,
6,655,1,0,
6,702,1,0,
6,737,1,0,
6,775,1,0,
6,809,1,0,
6,844,1,0,
6,879,1,0,
6,913,1,0,
6,946,1,0,
6,986,1,0,
6,1025,1,0,
6,1061,1,0,
6,1097,1,0,
6,1135,1,0,
6,1172,1,0,
6,1207,1,0,
7,0,1,0,
7,36,1,0,
7,74,0,1,
7,108,1,0,
7,145,1,0,
7,179,1,0,
7,216,0,1,
7,251,1,0,
7,283,0,1,
7,336,0,0,
7,371,1,0,
7,405,0,0,
7,446,0,0,
7,484,1,0,
7,519,0,1,
7,553,1,0,
7,586,0,0,
7,621,0,1,
7,656,0,1,
7,691,1,0,
7,727,0,0,
7,765,0,1,
7,799,0,1,
7,836,0,0,
7,875,0,0,
7,916,1,0,
7,953,0,1,
7,990,0,1,
7,1023,0,0,
7,1058,0,0,
7,1091,0,1,
7,1125,0,1,
7,1159,0,0,
7,1193,0,0,
7,1227,0,1,
7,1261,0,1,
7,1295,0,0,
7,1332,0,0,
7,1366,0,0,
7,1400,0,1,
8,0,1,0,
8,35,1,0,
8,74,1,0,
8,108,1,0,
8,142,1,0,
8,179,1,0,
8,217,0,1,
8,255,0,1,
8,289,0,1,
8,324,0,1,
8,359,1,0,
8,394,1,0,
8,428,1,0,
8,464,1,0,
8,498,1,0,
8,532,1,0,
8,566,1,0,
8,601,1,0,
8,656,1,0,
8,692,1,0,
8,729,1,0,
8,765,1,0,
8,822,1,0,
8,862,1,0,
8,901,1,0,
8,940,1,0,
8,979,1,0,
8,1012,1,0,
8,1047,1,0,
8,1080,1,0,
8,1117,1,0,
8,1150,1,0,
8,1204,1,0,
8,1237,1,0,
7,0,0,0,
7,46,1,0,
7,84,1,0,
7,124,1,0,
7,162,1,0,
7,199,0,1,
7,236,0,0,
7,271,1,0,
7,306,0,0,
7,341,0,1,
7,379,0,0,
7,414,1,0,
7,448,0,1,
7,486,0,0,
7,523,0,1,
7,560,0,0,
7,598,1,0,
7,632,0,1,
7,670,0,1,
7,707,0,1,
7,741,1,0,
7,778,0,1,
7,812,0,1,
7,860,0,1,
7,895,0,1,
7,930,0,1,
7,964,0,1,
7,1000,0,1,
7,1033,0,1,
7,1068,0,1,
7,1105,0,1,
7,1140,0,1,
7,1178,1,0,
7,1214,1,0,
7,1250,1,0,
7,1290,1,0,
7,1326,1,0,
7,1364,1,0,
7,1402,1,0,
7,1439,1,0,
7,1478,1,0,
7,1520,1,0,
7,1565,1,0,
7,1607,1,0,
7,1645,1,0,
7,1686,1,0,
7,1728,0,1,
7,1768,0,1,
7,1805,0,1,
7,1846,0,1,
7,1890,0,1,
8,0,0,1,
8,38,0,1,
8,77,1,0,
8,110,0,0,
8,143,0,1,
8,180,0,1,
8,214,0,1,
8,248,1,0,
8,285,0,1,
8,319,0,0,
8,353,0,1,
8,392,0,1,
8,428,0,1,
8,464,0,1,
8,500,0,1,
8,536,0,1,
8,571,0,1,
8,606,0,1,
8,643,0,1,
10,0,1,0,
10,36,1,0,
10,76,1,0,
10,115,1,0,
10,153,1,0,
10,187,1,0,
10,222,1,0,
10,259,1,0,
10,299,1,0,
10,336,1,0,
10,374,1,0,
10,410,1,0,
10,446,0,0,
10,480,0,0,
10,522,1,0,
10,567,1,0,
10,601,0,0,
10,638,0,1,
10,675,1,0,
10,712,1,0,
10,750,1,0,
10,784,1,0,
10,823,1,0,
10,858,0,1,
10,892,0,1,
11,0,1,0,
11,34,1,0,
11,70,0,0,
11,104,1,0,
11,140,0,0,
11,174,1,0,
11,208,1,0,
11,242,1,0,
11,277,0,1,
11,310,0,0,
11,349,1,0,
