trial,_left_canvas,_right_canvas,times,Unnamed: 4
6,0,1,0,
6,0,1,67,
6,1,0,129,
6,0,0,187,
6,1,0,248,
6,0,1,306,
6,0,0,364,
6,0,1,418,
6,0,0,469,
6,0,0,526,
6,1,0,584,
6,1,0,638,
6,1,0,692,
6,1,0,763,
6,1,0,826,
6,1,0,885,
6,1,0,948,
6,1,0,1006,
6,1,0,1081,
6,1,0,1142,
6,1,0,1204,
6,1,0,1266,
6,1,0,1320,
6,1,0,1373,
6,1,0,1431,
6,1,0,1487,
6,1,0,1547,
6,1,0,1612,
6,1,0,1671,
6,1,0,1731,
7,1,0,0,
7,0,0,64,
7,1,0,118,
7,0,0,173,
7,1,0,229,
7,1,0,287,
7,0,0,342,
7,1,0,397,
7,0,0,454,
7,0,0,506,
7,0,0,556,
7,1,0,612,
7,0,1,671,
7,0,1,734,
7,0,1,796,
7,0,1,857,
7,0,1,915,
7,0,1,978,
7,0,1,1042,
7,0,1,1110,
7,0,1,1178,
7,0,1,1246,
7,0,1,1315,
7,0,1,1377,
7,0,1,1439,
7,0,1,1492,
7,0,1,1542,
7,0,1,1602,
7,0,1,1658,
7,0,1,1717,
7,0,1,1773,
8,0,0,0,
8,1,0,57,
8,0,0,114,
8,0,1,170,
8,1,0,223,
8,0,1,288,
8,1,0,353,
8,1,0,412,
8,1,0,465,
8,1,0,520,
8,1,0,573,
8,0,0,633,
8,0,0,689,
8,1,0,754,
8,1,0,818,
8,1,0,883,
8,1,0,944,
8,1,0,1023,
8,1,0,1089,
8,1,0,1153,
8,1,0,1220,
8,1,0,1278,
8,1,0,1335,
8,1,0,1390,
8,1,0,1452,
8,1,0,1517,
8,1,0,1580,
8,0,0,1645,
10,0,1,0,
10,0,0,58,
10,0,1,113,
10,0,0,165,
10,1,0,222,
10,1,0,283,
10,0,0,340,
10,1,0,393,
10,1,0,450,
10,1,0,509,
10,1,0,566,
10,1,0,631,
10,1,0,692,
10,1,0,758,
10,1,0,826,
10,1,0,890,
10,0,1,953,
10,0,1,1018,
10,0,1,1078,
10,0,1,1137,
10,1,0,1196,
10,1,0,1263,
10,1,0,1326,
10,1,0,1384,
10,1,0,1441,
10,1,0,1515,
10,1,0,1612,
10,1,0,1686,
10,1,0,1760,
11,1,0,0,
11,1,0,58,
11,0,1,113,
11,0,0,171,
11,1,0,226,
11,1,0,292,
11,1,0,348,
11,1,0,407,
11,1,0,479,
11,1,0,538,
11,1,0,631,
11,1,0,764,
11,1,0,830,
11,1,0,900,
11,1,0,963,
11,1,0,1022,
11,1,0,1075,
11,1,0,1133,
11,1,0,1187,
11,1,0,1241,
11,1,0,1301,
11,1,0,1358,
11,1,0,1414,
11,1,0,1483,
12,1,0,0,
12,0,1,57,
12,0,1,122,
12,1,0,185,
12,1,0,239,
12,0,1,288,
12,0,1,345,
12,0,1,402,
12,0,1,468,
12,0,1,522,
12,0,1,576,
12,0,1,629,
12,0,1,687,
12,0,1,750,
12,0,0,806,
12,0,1,873,
12,1,0,929,
12,1,0,981,
12,1,0,1035,
12,1,0,1114,
12,1,0,1169,
12,1,0,1230,
12,1,0,1298,
12,1,0,1366,
12,1,0,1425,
12,1,0,1480,
12,1,0,1542,
12,1,0,1600,
12,0,1,1655,
12,0,1,1705,
12,0,1,1760,
12,0,1,1818,
12,1,0,1877,
12,1,0,1932,
12,1,0,1995,
13,0,1,0,
13,0,1,57,
13,1,0,117,
13,0,0,171,
13,0,1,227,
13,0,1,283,
13,0,1,343,
13,0,1,403,
13,0,1,461,
13,0,1,517,
13,0,1,585,
13,0,1,642,
13,0,1,695,
13,0,1,748,
13,0,1,802,
13,0,1,875,
13,1,0,988,
13,1,0,1049,
13,0,0,1107,
13,1,0,1166,
13,1,0,1235,
13,1,0,1309,
13,0,1,1406,
13,0,1,1534,
13,0,1,1645,
13,0,1,1763,
13,0,1,1872,
13,0,1,1986,
13,0,1,2126,
13,0,1,2233,
13,0,1,2309,
13,0,1,2364,
13,0,1,2423,
13,0,1,2481,
13,0,0,2539,
13,0,1,2603,
13,0,1,2663,
13,0,1,2730,
13,0,1,2788,
13,1,0,2842,
13,1,0,2904,
13,1,0,2959,
13,1,0,3019,
13,1,0,3074,
13,1,0,3140,
13,1,0,3203,
13,1,0,3270,
13,1,0,3333,
13,1,0,3399,
13,1,0,3458,
13,1,0,3519,
13,1,0,3576,
13,1,0,3636,
13,1,0,3699,
13,1,0,3763,
13,1,0,3833,
13,0,0,3903,
13,1,0,3970,
13,1,0,4030,
14,1,0,0,
14,0,0,67,
14,1,0,119,
14,0,0,176,
14,1,0,235,
14,0,0,291,
14,0,1,349,
14,0,1,413,
14,0,1,466,
14,0,1,534,
14,0,1,597,
14,0,1,665,
14,0,1,726,
14,0,1,793,
14,0,1,860,
14,0,1,927,
14,0,1,991,
14,0,1,1052,
14,0,1,1108,
14,0,1,1179,
14,0,1,1237,
15,0,0,0,
15,1,0,58,
15,0,1,112,
15,0,1,170,
15,0,1,228,
15,0,1,305,
15,1,0,372,
15,1,0,429,
15,1,0,492,
15,1,0,550,
15,1,0,603,
15,1,0,664,
15,1,0,723,
15,1,0,794,
15,1,0,857,
15,1,0,916,
15,1,0,976,
15,1,0,1038,
15,1,0,1101,
15,1,0,1164,
15,1,0,1219,
15,1,0,1273,
15,1,0,1329,
15,1,0,1386,
15,1,0,1448,
15,0,1,1508,
15,0,1,1571,
15,0,1,1632,
15,0,1,1692,
15,0,1,1747,
15,0,1,1803,
15,1,0,1861,
16,0,0,0,
16,0,0,114,
16,0,0,236,
16,0,1,298,
16,0,1,360,
16,0,1,422,
16,0,1,483,
16,1,0,545,
16,1,0,603,
16,1,0,665,
16,1,0,722,
16,1,0,778,
16,0,1,840,
16,0,1,901,
16,0,1,962,
16,0,1,1018,
16,0,0,1073,
16,0,1,1144,
16,0,1,1210,
16,0,1,1278,
16,0,1,1354,
16,0,1,1411,
16,0,1,1472,
16,0,1,1538,
16,0,1,1590,
16,0,1,1642,
16,0,1,1696,
16,0,1,1748,
16,0,1,1809,
16,0,1,1865,
16,0,1,1922,
16,0,1,1980,
