trial,times,_right_canvas,_left_canvas,Unnamed: 4
6,0,1,0,
6,35,1,0,
6,72,1,0,
6,115,1,0,
6,151,1,0,
6,187,1,0,
6,244,1,0,
6,284,1,0,
6,320,1,0,
6,357,1,0,
6,418,0,1,
6,451,1,0,
6,486,0,0,
6,522,1,0,
6,565,1,0,
6,601,1,0,
6,637,1,0,
6,672,1,0,
6,708,1,0,
6,745,1,0,
6,782,1,0,
6,819,0,1,
6,855,1,0,
6,891,0,1,
6,928,0,0,
6,984,0,0,
6,1022,1,0,
6,1072,1,0,
6,1109,1,0,
6,1142,1,0,
6,1197,1,0,
6,1235,1,0,
6,1271,1,0,
6,1307,1,0,
6,1344,1,0,
6,1384,1,0,
6,1419,0,0,
6,1456,1,0,
6,1493,0,0,
6,1534,1,0,
6,1571,1,0,
6,1608,0,1,
6,1645,0,0,
6,1683,1,0,
6,1740,1,0,
6,1797,0,0,
6,1833,1,0,
6,1878,1,0,
6,1916,1,0,
6,1952,1,0,
6,1989,0,0,
6,2026,0,0,
6,2062,1,0,
6,2101,1,0,
6,2136,0,0,
6,2189,1,0,
6,2226,0,0,
6,2286,0,1,
6,2324,1,0,
6,2361,1,0,
6,2400,0,1,
6,2437,1,0,
6,2473,1,0,
6,2509,0,0,
6,2546,0,0,
6,2584,0,0,
6,2638,1,0,
6,2693,1,0,
6,2745,1,0,
6,2792,1,0,
6,2838,1,0,
6,2881,0,1,
6,2919,1,0,
6,2957,1,0,
6,2993,1,0,
6,3034,0,0,
6,3079,1,0,
6,3117,1,0,
6,3152,1,0,
6,3188,1,0,
6,3232,1,0,
6,3269,0,1,
6,3304,0,0,
6,3340,0,0,
6,3376,0,0,
6,3412,1,0,
6,3451,0,1,
6,3484,0,1,
6,3519,0,1,
6,3555,1,0,
6,3592,0,1,
6,3627,1,0,
6,3664,1,0,
6,3719,1,0,
6,3765,1,0,
6,3804,1,0,
6,3840,1,0,
6,3873,0,0,
6,3928,1,0,
