trial,_left_canvas,_right_canvas,times,Unnamed: 4
6,1,0,0,
6,0,1,42,
6,1,0,88,
6,1,0,125,
6,0,1,170,
6,0,1,211,
6,1,0,250,
6,1,0,295,
6,1,0,337,
6,0,0,380,
6,1,0,424,
6,0,0,467,
6,1,0,510,
6,0,0,554,
6,0,1,596,
6,0,1,635,
6,0,1,673,
6,0,1,719,
6,0,1,763,
6,0,1,802,
6,0,1,840,
6,0,0,881,
6,0,0,928,
6,0,0,966,
6,0,0,1009,
6,0,1,1052,
6,0,1,1109,
6,0,1,1147,
6,0,1,1191,
7,1,0,0,
7,0,1,39,
7,0,1,86,
7,0,1,144,
7,0,1,189,
7,0,0,235,
7,0,1,277,
7,0,1,330,
7,0,0,380,
7,0,1,425,
7,0,1,466,
7,0,0,510,
7,0,0,553,
7,0,0,598,
7,0,1,642,
7,1,0,681,
7,0,1,724,
7,0,0,762,
7,0,0,801,
7,1,0,846,
7,0,0,886,
7,1,0,927,
7,0,0,968,
7,1,0,1010,
7,1,0,1055,
7,1,0,1100,
7,1,0,1142,
7,1,0,1191,
7,1,0,1233,
7,0,1,1276,
7,1,0,1320,
7,0,1,1359,
7,1,0,1401,
7,0,1,1443,
7,0,1,1486,
7,1,0,1533,
7,0,1,1572,
7,0,0,1615,
7,0,0,1653,
7,1,0,1697,
7,1,0,1734,
7,0,0,1776,
7,1,0,1820,
7,0,1,1865,
7,0,0,1909,
7,0,0,1954,
7,0,0,2001,
7,0,1,2048,
7,0,1,2095,
7,0,1,2145,
7,0,1,2206,
7,0,1,2246,
7,0,1,2294,
7,0,1,2345,
7,0,1,2408,
7,0,1,2454,
7,0,1,2501,
7,0,1,2547,
8,1,0,0,
8,1,0,54,
8,0,0,101,
8,0,0,156,
8,0,0,201,
8,0,0,245,
8,1,0,284,
8,1,0,329,
8,1,0,374,
8,1,0,413,
8,1,0,458,
8,1,0,500,
8,0,0,540,
8,0,0,581,
8,1,0,623,
8,0,0,665,
8,1,0,704,
8,1,0,747,
8,0,0,791,
8,0,0,835,
8,1,0,878,
8,1,0,921,
8,1,0,965,
8,0,0,1005,
8,0,0,1043,
8,0,0,1090,
8,1,0,1132,
8,0,0,1171,
8,0,0,1209,
8,1,0,1249,
8,1,0,1288,
8,0,0,1330,
8,0,0,1379,
8,1,0,1416,
7,1,0,0,
7,1,0,40,
7,1,0,83,
7,1,0,129,
7,1,0,175,
7,1,0,233,
7,1,0,282,
7,1,0,328,
7,1,0,373,
7,1,0,428,
7,1,0,480,
7,1,0,522,
7,1,0,569,
7,0,1,608,
7,0,1,650,
7,0,0,696,
7,0,1,738,
7,0,1,780,
7,0,1,818,
7,0,1,861,
7,0,1,908,
7,0,1,949,
7,0,1,988,
7,0,1,1035,
7,0,1,1081,
7,0,1,1124,
7,0,1,1166,
7,0,1,1210,
7,0,1,1252,
7,0,1,1291,
7,0,1,1334,
7,0,1,1379,
7,0,1,1422,
7,0,1,1463,
7,0,1,1502,
7,0,1,1543,
7,0,1,1585,
7,0,1,1629,
7,0,1,1670,
7,0,1,1708,
7,0,1,1751,
8,0,1,0,
8,0,1,44,
8,0,1,87,
8,0,1,131,
8,0,0,176,
8,0,1,218,
8,0,1,261,
8,0,1,305,
8,1,0,348,
8,0,0,390,
8,0,0,435,
8,0,0,480,
8,0,0,544,
8,0,0,595,
8,0,1,639,
8,0,1,683,
8,0,0,732,
8,1,0,781,
8,1,0,820,
8,0,0,863,
8,0,0,906,
8,0,1,948,
8,0,1,991,
8,0,1,1032,
8,0,1,1075,
8,0,0,1115,
8,0,0,1158,
8,0,0,1198,
8,0,0,1237,
8,0,0,1274,
8,0,0,1316,
8,0,0,1355,
8,0,0,1398,
8,0,0,1446,
8,0,0,1488,
8,0,1,1530,
8,0,1,1572,
8,0,1,1615,
8,0,0,1657,
8,0,0,1699,
8,0,0,1744,
8,0,0,1787,
8,0,0,1829,
8,0,1,1874,
8,0,0,1915,
8,0,1,1956,
8,0,1,1995,
8,0,1,2037,
8,0,0,2081,
8,1,0,2122,
8,1,0,2164,
8,1,0,2207,
8,1,0,2248,
8,0,0,2286,
8,1,0,2328,
8,1,0,2370,
8,1,0,2407,
8,1,0,2450,
8,1,0,2493,
8,1,0,2537,
8,0,0,2581,
8,0,0,2624,
8,0,0,2666,
8,0,0,2714,
8,0,0,2778,
8,0,0,2828,
8,0,0,2873,
8,0,0,2917,
8,0,0,2963,
8,0,0,3024,
8,0,0,3065,
8,0,1,3111,
8,0,1,3153,
8,0,0,3193,
8,0,0,3234,
8,0,0,3281,
8,0,0,3319,
8,0,0,3359,
8,0,0,3403,
8,0,0,3442,
8,0,0,3483,
8,0,0,3525,
8,0,1,3569,
8,0,1,3614,
8,0,0,3655,
8,0,0,3696,
8,0,1,3736,
8,0,0,3779,
8,0,1,3821,
10,0,1,0,
10,0,1,43,
10,0,1,80,
10,0,1,125,
10,0,1,182,
10,0,1,222,
10,0,1,266,
10,0,1,308,
10,0,0,353,
10,1,0,396,
10,1,0,439,
10,1,0,484,
10,1,0,525,
10,1,0,568,
10,1,0,610,
10,1,0,652,
10,1,0,695,
10,1,0,738,
10,1,0,782,
10,1,0,843,
10,1,0,895,
10,1,0,943,
10,1,0,987,
10,1,0,1029,
10,1,0,1068,
10,1,0,1111,
10,1,0,1157,
10,1,0,1215,
10,1,0,1264,
10,1,0,1311,
10,1,0,1358,
10,1,0,1402,
11,1,0,0,
11,0,0,44,
11,0,1,88,
11,1,0,129,
11,0,1,172,
11,0,1,216,
11,1,0,257,
11,0,0,296,
11,1,0,340,
11,1,0,392,
11,1,0,442,
11,0,1,479,
11,0,1,525,
11,0,0,571,
11,0,0,629,
11,1,0,671,
11,1,0,715,
11,0,0,756,
11,0,0,797,
11,0,0,843,
11,1,0,885,
11,1,0,928,
11,0,0,970,
11,1,0,1012,
11,0,0,1057,
11,1,0,1102,
11,1,0,1150,
11,0,0,1193,
11,0,0,1234,
11,0,0,1279,
11,0,0,1323,
11,0,0,1364,
11,0,0,1405,
11,0,0,1448,
11,0,0,1494,
11,1,0,1533,
11,0,0,1574,
11,0,0,1617,
11,0,0,1656,
11,0,0,1697,
11,1,0,1739,
11,0,0,1781,
11,1,0,1822,
11,0,0,1866,
11,0,0,1903,
12,0,1,0,
12,0,1,44,
12,0,0,87,
12,0,1,130,
12,0,1,172,
12,0,0,215,
12,0,0,254,
12,0,1,298,
12,0,1,341,
12,0,1,384,
12,0,1,426,
12,0,1,467,
12,0,1,510,
12,0,1,553,
12,0,0,596,
12,0,1,639,
12,1,0,681,
12,1,0,728,
12,1,0,774,
12,1,0,821,
12,1,0,883,
12,1,0,924,
12,1,0,969,
12,0,0,1011,
12,1,0,1062,
12,1,0,1112,
12,1,0,1157,
12,1,0,1199,
12,0,0,1241,
12,0,0,1283,
12,0,1,1325,
12,0,1,1369,
12,0,1,1411,
12,0,1,1451,
12,0,1,1495,
12,0,1,1535,
12,0,1,1576,
12,0,1,1615,
12,0,1,1657,
12,0,1,1695,
12,0,1,1744,
12,0,1,1785,
12,0,1,1825,
12,0,1,1868,
12,0,1,1910,
12,0,1,1953,
12,0,1,1993,
12,0,1,2035,
12,0,0,2076,
12,0,0,2118,
12,0,1,2157,
12,0,1,2201,
12,0,0,2244,
12,0,0,2285,
12,0,0,2330,
12,0,0,2372,
12,0,1,2413,
12,0,0,2454,
12,0,1,2495,
12,0,1,2535,
12,0,1,2578,
12,0,1,2619,
12,0,1,2664,
12,0,1,2707,
12,0,1,2749,
12,0,1,2798,
12,0,1,2858,
12,0,1,2898,
12,0,0,2945,
12,0,1,2991,
12,0,1,3037,
12,0,1,3092,
12,0,1,3146,
12,0,1,3191,
12,0,1,3235,
12,0,1,3289,
12,0,1,3345,
12,0,1,3383,
12,0,1,3424,
12,0,1,3463,
12,0,0,3506,
12,0,0,3549,
12,0,0,3592,
12,0,0,3633,
12,0,0,3676,
12,0,0,3718,
12,0,1,3760,
12,0,1,3802,
12,0,0,3840,
12,0,0,3876,
12,0,0,3917,
12,0,1,3960,
12,0,0,4005,
12,0,0,4048,
12,0,1,4089,
12,0,1,4130,
12,0,1,4173,
12,0,0,4214,
12,0,1,4254,
12,0,1,4297,
12,0,0,4338,
12,0,1,4379,
12,0,0,4422,
12,0,1,4465,
12,0,1,4510,
12,0,1,4566,
12,0,1,4611,
12,0,0,4654,
12,0,0,4698,
12,0,0,4740,
12,1,0,4781,
12,1,0,4820,
12,1,0,4862,
12,1,0,4907,
12,1,0,4949,
12,1,0,4990,
12,0,0,5033,
12,1,0,5072,
12,1,0,5113,
12,1,0,5155,
12,1,0,5197,
12,1,0,5239,
12,1,0,5282,
12,1,0,5326,
12,1,0,5381,
12,0,0,5423,
12,0,0,5470,
12,0,0,5509,
12,0,1,5569,
12,0,1,5612,
12,0,0,5658,
12,0,1,5696,
12,0,1,5743,
12,0,1,5785,
12,0,1,5827,
12,0,0,5873,
12,0,0,5913,
12,0,0,5954,
12,0,0,5998,
12,0,0,6041,
12,0,0,6083,
12,0,0,6125,
12,0,1,6168,
12,0,1,6211,
12,0,1,6255,
12,0,1,6293,
12,0,0,6335,
12,0,0,6377,
12,0,1,6415,
12,0,1,6458,
12,0,0,6502,
12,0,1,6544,
12,0,0,6582,
12,0,1,6625,
12,0,0,6670,
12,0,0,6728,
12,0,1,6770,
12,0,1,6814,
12,0,0,6859,
12,0,0,6902,
12,0,1,6942,
12,0,1,6984,
12,0,1,7026,
12,0,1,7073,
12,0,1,7115,
12,0,1,7156,
12,0,1,7199,
13,0,1,0,
13,0,1,43,
13,0,1,86,
13,0,1,130,
13,0,1,171,
13,0,1,214,
13,0,0,258,
13,0,0,300,
13,1,0,345,
13,1,0,388,
13,1,0,434,
13,1,0,478,
13,1,0,525,
13,1,0,589,
13,1,0,632,
13,1,0,677,
13,1,0,720,
13,0,0,766,
13,0,0,810,
13,0,1,853,
