trial,_left_canvas,times,_right_canvas,Unnamed: 4
6,0,0,0,
6,1,42,0,
6,1,81,0,
6,1,125,0,
6,0,163,1,
6,1,202,0,
6,0,242,1,
6,0,283,1,
6,1,323,0,
6,1,361,0,
6,1,401,0,
6,1,440,0,
6,1,483,0,
6,1,526,0,
6,1,567,0,
6,1,610,0,
6,1,651,0,
6,1,693,0,
6,1,732,0,
6,1,769,0,
6,1,810,0,
6,1,851,0,
6,1,893,0,
6,1,934,0,
6,1,977,0,
6,1,1017,0,
6,1,1056,0,
6,1,1094,0,
6,1,1137,0,
6,1,1178,0,
6,1,1229,0,
6,1,1272,0,
6,1,1313,0,
6,0,1351,0,
6,0,1395,1,
7,0,0,0,
7,1,41,0,
7,0,81,1,
7,0,121,1,
7,0,162,0,
7,0,203,1,
7,0,242,1,
7,0,283,1,
7,0,324,1,
7,0,366,1,
7,0,403,1,
7,0,443,1,
7,0,484,1,
7,0,522,1,
7,0,562,1,
7,0,602,1,
7,0,642,1,
7,0,681,1,
7,0,722,1,
7,0,764,1,
7,0,809,1,
7,0,851,1,
7,0,893,1,
7,0,935,1,
7,0,976,1,
7,0,1016,1,
7,0,1057,1,
7,0,1099,1,
7,0,1140,1,
7,0,1180,1,
7,0,1223,1,
7,0,1264,1,
7,0,1302,1,
7,0,1346,1,
7,0,1389,1,
7,0,1438,1,
7,0,1480,1,
7,0,1524,1,
7,0,1563,1,
7,0,1605,1,
7,0,1659,1,
7,0,1700,1,
7,0,1743,1,
7,0,1781,1,
7,0,1821,1,
8,1,0,0,
8,1,41,0,
8,1,80,0,
8,1,122,0,
8,0,161,0,
8,0,202,0,
8,0,239,0,
8,0,284,0,
8,1,325,0,
8,1,366,0,
8,0,411,0,
8,1,455,0,
8,1,497,0,
8,1,539,0,
8,1,579,0,
8,1,624,0,
8,1,664,0,
8,1,703,0,
8,1,751,0,
8,1,785,0,
8,1,825,0,
8,1,864,0,
8,1,907,0,
8,1,947,0,
8,1,988,0,
8,1,1029,0,
8,0,1070,0,
8,1,1108,0,
8,1,1147,0,
8,1,1188,0,
8,1,1229,0,
8,1,1268,0,
8,1,1310,0,
8,1,1352,0,
8,1,1393,0,
8,0,1437,1,
8,1,1479,0,
8,1,1521,0,
8,1,1563,0,
8,1,1603,0,
8,0,1644,0,
8,1,1686,0,
8,0,1728,0,
