trial,times,_left_canvas,_right_canvas,Unnamed: 4
6,0,0,0,
6,41,1,0,
6,81,1,0,
6,120,0,1,
6,162,0,0,
6,203,1,0,
6,245,1,0,
6,285,1,0,
6,326,1,0,
6,368,1,0,
6,407,1,0,
6,450,1,0,
6,494,1,0,
6,539,1,0,
6,579,1,0,
6,618,1,0,
6,662,1,0,
6,702,1,0,
6,743,1,0,
6,782,0,0,
6,822,1,0,
6,863,1,0,
6,903,1,0,
6,944,1,0,
6,988,1,0,
6,1029,1,0,
6,1077,1,0,
6,1117,0,0,
6,1156,1,0,
6,1196,1,0,
6,1235,0,0,
6,1277,1,0,
6,1316,1,0,
6,1359,1,0,
6,1399,1,0,
6,1437,1,0,
6,1472,1,0,
6,1509,0,0,
7,0,0,1,
7,40,0,0,
7,81,1,0,
7,122,0,1,
7,163,0,1,
7,205,0,1,
7,248,1,0,
7,287,1,0,
7,328,1,0,
7,366,1,0,
7,408,1,0,
7,447,1,0,
7,490,1,0,
7,528,1,0,
7,569,1,0,
7,611,1,0,
7,651,1,0,
7,694,0,1,
7,736,0,0,
7,778,0,1,
7,820,0,1,
7,857,0,1,
7,898,0,1,
7,940,0,0,
7,982,0,1,
7,1022,0,1,
7,1060,0,0,
7,1095,0,1,
7,1133,0,1,
7,1175,0,1,
7,1216,0,1,
7,1255,0,1,
7,1295,0,1,
7,1336,0,1,
7,1383,0,1,
7,1422,0,1,
7,1462,0,1,
7,1502,0,1,
7,1542,0,1,
7,1584,0,1,
7,1626,0,1,
7,1669,0,1,
7,1712,0,1,
7,1751,0,1,
7,1793,0,1,
8,0,0,1,
8,42,1,0,
8,83,0,0,
8,124,0,0,
8,164,1,0,
8,204,1,0,
8,248,1,0,
8,285,1,0,
8,324,1,0,
8,364,1,0,
8,409,1,0,
8,452,0,0,
8,493,1,0,
8,535,0,0,
8,575,1,0,
8,620,1,0,
8,661,1,0,
8,703,0,0,
8,744,1,0,
8,787,1,0,
8,828,1,0,
8,866,1,0,
8,906,1,0,
8,945,1,0,
8,987,1,0,
8,1028,1,0,
8,1069,1,0,
8,1113,1,0,
8,1157,1,0,
8,1197,1,0,
8,1241,1,0,
8,1282,1,0,
8,1323,1,0,
8,1365,1,0,
8,1405,1,0,
8,1446,1,0,
8,1486,1,0,
8,1526,1,0,
8,1573,1,0,
8,1613,0,1,
8,1655,0,1,
8,1695,1,0,
8,1732,0,1,
8,1774,1,0,
8,1813,1,0,
8,1854,1,0,
8,1895,1,0,
8,1930,1,0,
8,1972,1,0,
8,2011,1,0,
8,2052,1,0,
8,2095,1,0,
8,2140,1,0,
8,2184,1,0,
8,2228,1,0,
8,2269,1,0,
7,0,0,1,
7,42,0,0,
7,80,0,0,
7,122,0,1,
7,163,1,0,
7,203,1,0,
7,244,1,0,
7,287,0,1,
7,330,1,0,
7,366,0,1,
7,410,0,1,
7,455,0,1,
7,496,0,1,
7,538,0,1,
7,580,0,1,
7,622,0,1,
7,662,0,1,
7,709,0,1,
7,750,0,1,
7,791,0,1,
7,831,0,1,
7,873,0,1,
7,913,0,1,
7,957,0,1,
7,998,0,1,
7,1040,0,1,
7,1079,0,1,
7,1124,0,1,
7,1168,0,1,
7,1212,0,1,
7,1251,0,1,
7,1291,0,1,
7,1327,0,1,
7,1371,0,1,
7,1412,0,1,
7,1453,0,1,
7,1496,0,1,
7,1541,0,1,
8,0,1,0,
8,52,1,0,
8,94,0,0,
8,132,0,0,
8,173,1,0,
8,213,0,0,
8,253,1,0,
8,293,1,0,
8,333,1,0,
8,376,1,0,
8,417,1,0,
8,457,1,0,
8,498,1,0,
8,538,1,0,
8,580,0,0,
8,619,1,0,
8,660,0,0,
8,701,1,0,
8,743,1,0,
8,784,1,0,
8,826,1,0,
8,867,1,0,
8,910,1,0,
8,952,0,0,
8,993,1,0,
8,1032,1,0,
8,1072,0,0,
8,1113,1,0,
8,1161,1,0,
8,1201,1,0,
8,1241,1,0,
8,1280,1,0,
8,1324,1,0,
10,0,1,0,
10,45,0,0,
10,87,0,0,
10,130,1,0,
10,170,0,0,
10,210,1,0,
10,252,1,0,
10,294,1,0,
10,336,0,1,
10,376,1,0,
10,416,1,0,
10,458,1,0,
10,497,1,0,
10,537,1,0,
10,577,1,0,
10,620,1,0,
10,661,0,1,
10,702,0,1,
10,740,0,1,
10,780,0,1,
10,819,0,1,
10,859,0,1,
10,902,0,1,
10,944,0,1,
10,987,0,1,
10,1027,0,1,
10,1068,0,1,
10,1108,0,1,
10,1152,0,1,
10,1194,0,1,
10,1231,0,1,
10,1271,0,1,
10,1313,0,1,
10,1354,0,1,
10,1394,0,1,
11,0,0,0,
11,38,0,0,
11,82,0,0,
11,123,0,0,
11,162,0,0,
11,204,0,0,
11,242,0,0,
11,283,0,0,
11,322,0,0,
11,362,0,0,
11,402,1,0,
11,442,1,0,
11,483,1,0,
11,522,1,0,
11,562,1,0,
11,602,1,0,
11,650,0,0,
11,691,1,0,
11,731,1,0,
11,774,1,0,
11,817,1,0,
12,0,0,0,
12,43,1,0,
12,84,0,0,
12,123,0,0,
12,165,1,0,
12,208,1,0,
12,247,0,0,
12,287,0,0,
12,331,0,1,
12,374,0,1,
12,416,0,1,
12,453,0,1,
12,492,0,1,
12,531,0,1,
12,574,0,1,
12,612,0,1,
12,654,0,1,
12,692,0,1,
12,733,0,1,
12,773,0,1,
12,815,0,1,
12,857,0,1,
12,901,0,1,
12,941,0,1,
13,0,1,0,
13,40,1,0,
13,82,1,0,
13,122,1,0,
13,166,0,0,
13,217,1,0,
13,258,1,0,
13,299,0,1,
13,344,1,0,
13,385,1,0,
13,425,1,0,
13,467,1,0,
13,507,1,0,
13,553,1,0,
13,598,1,0,
13,639,1,0,
13,680,1,0,
13,720,1,0,
13,760,1,0,
14,0,1,0,
14,43,1,0,
14,83,1,0,
14,126,1,0,
14,166,1,0,
14,206,1,0,
14,244,1,0,
14,287,1,0,
14,328,1,0,
14,369,0,0,
14,411,1,0,
14,453,1,0,
14,494,1,0,
14,533,1,0,
14,574,1,0,
14,614,1,0,
14,651,1,0,
14,687,1,0,
14,729,1,0,
14,770,1,0,
14,814,1,0,
14,857,1,0,
14,898,1,0,
14,942,0,1,
14,986,0,1,
14,1031,0,1,
14,1070,0,1,
14,1112,0,1,
14,1150,0,1,
14,1191,0,1,
14,1231,0,1,
14,1270,0,1,
14,1311,0,1,
14,1352,0,1,
14,1386,0,1,
14,1424,0,1,
14,1466,0,1,
14,1510,0,0,
14,1550,0,0,
14,1589,0,1,
14,1631,0,1,
14,1673,0,1,
14,1716,0,1,
15,0,0,1,
15,41,0,1,
15,85,0,1,
15,124,0,1,
15,162,0,1,
15,202,0,1,
15,244,0,1,
15,286,0,1,
15,327,0,1,
15,368,0,1,
15,409,0,1,
15,450,0,1,
15,490,0,1,
15,534,0,1,
15,573,0,0,
15,617,0,1,
15,659,0,1,
15,700,0,1,
16,0,1,0,
16,45,1,0,
16,89,1,0,
16,131,1,0,
16,174,0,1,
16,215,1,0,
16,255,1,0,
16,295,1,0,
16,335,1,0,
16,370,1,0,
16,411,0,0,
16,450,1,0,
16,490,1,0,
16,544,1,0,
16,586,1,0,
16,628,0,0,
16,669,0,0,
16,708,0,0,
16,749,0,0,
16,790,0,0,
16,833,0,0,
16,872,0,0,
16,912,0,0,
16,954,0,0,
16,993,1,0,
16,1033,1,0,
16,1072,1,0,
16,1116,0,0,
16,1155,1,0,
16,1198,1,0,
16,1240,0,0,
16,1277,1,0,
16,1319,0,0,
16,1365,0,0,
16,1407,0,0,
16,1447,0,0,
16,1487,1,0,
16,1526,0,0,
16,1569,1,0,
16,1608,1,0,
16,1650,1,0,
16,1690,1,0,
16,1727,1,0,
16,1769,0,1,
16,1807,0,1,
16,1851,0,1,
16,1892,0,1,
16,1934,0,1,
17,0,0,1,
17,40,0,1,
17,84,0,1,
17,126,1,0,
17,165,0,0,
17,208,1,0,
17,246,1,0,
17,289,0,0,
17,329,1,0,
17,370,0,0,
17,411,1,0,
17,451,1,0,
17,495,1,0,
17,534,0,0,
17,577,1,0,
17,623,1,0,
17,668,1,0,
17,708,1,0,
17,752,1,0,
17,793,0,0,
17,840,0,1,
17,885,0,1,
17,927,0,1,
17,968,0,1,
17,1010,0,1,
17,1050,0,1,
17,1092,0,1,
17,1131,0,1,
17,1170,0,1,
17,1211,0,1,
17,1249,0,1,
17,1288,0,1,
17,1331,0,1,
17,1371,0,0,
17,1413,0,1,
17,1453,0,1,
17,1496,0,1,
17,1535,0,1,
17,1574,0,1,
17,1613,0,1,
17,1649,0,1,
17,1688,0,1,
17,1726,0,1,
17,1762,0,1,
17,1797,1,0,
17,1837,1,0,
17,1876,1,0,
17,1913,1,0,
17,1950,1,0,
17,1993,1,0,
17,2029,1,0,
17,2066,1,0,
17,2104,1,0,
17,2139,0,0,
17,2177,0,0,
17,2214,1,0,
17,2252,1,0,
17,2294,1,0,
17,2334,0,0,
17,2378,0,0,
17,2419,1,0,
17,2461,0,0,
17,2501,0,0,
17,2539,1,0,
17,2577,1,0,
17,2616,1,0,
17,2656,1,0,
17,2698,0,0,
17,2738,0,0,
17,2778,0,0,
17,2820,0,0,
17,2857,1,0,
17,2899,0,0,
17,2938,0,0,
17,2980,0,0,
17,3020,1,0,
17,3059,0,0,
17,3100,0,0,
17,3137,0,0,
17,3174,1,0,
17,3213,1,0,
17,3257,1,0,
17,3303,1,0,
17,3349,0,0,
17,3393,0,0,
18,0,0,0,
18,43,0,0,
18,88,1,0,
18,131,1,0,
18,170,1,0,
18,213,1,0,
18,255,1,0,
18,299,1,0,
18,342,1,0,
18,378,0,0,
18,418,0,0,
18,461,0,0,
18,500,0,0,
18,541,0,0,
18,581,1,0,
18,625,0,1,
18,670,0,1,
18,718,0,1,
18,762,0,1,
18,803,0,1,
18,840,0,1,
18,880,0,1,
18,922,0,1,
18,965,0,1,
18,1012,0,1,
18,1049,0,1,
18,1092,0,1,
18,1134,0,1,
18,1173,0,1,
19,0,1,0,
19,43,1,0,
19,84,1,0,
19,120,0,0,
19,161,0,0,
19,201,1,0,
19,244,0,1,
