trial,times,_left_canvas,_right_canvas,Unnamed: 4
6,0,0,0,
6,43,0,0,
6,77,0,0,
6,115,1,0,
6,153,0,0,
6,191,0,1,
6,230,0,1,
6,269,0,1,
6,306,0,1,
6,344,0,0,
6,384,1,0,
6,424,1,0,
6,465,1,0,
6,505,1,0,
6,548,1,0,
6,586,1,0,
6,620,1,0,
6,657,1,0,
6,698,1,0,
6,739,1,0,
6,778,1,0,
6,819,1,0,
6,863,1,0,
6,907,1,0,
6,946,1,0,
6,986,0,1,
6,1025,0,0,
6,1069,1,0,
6,1114,1,0,
6,1154,0,0,
6,1191,1,0,
6,1232,1,0,
6,1277,1,0,
6,1318,1,0,
6,1358,1,0,
6,1398,1,0,
7,0,0,1,
7,40,0,0,
7,81,1,0,
7,120,1,0,
7,161,1,0,
7,199,1,0,
7,244,0,0,
7,284,1,0,
7,328,0,1,
7,371,0,1,
7,412,0,1,
7,452,0,1,
7,491,0,0,
7,530,1,0,
7,568,1,0,
7,609,1,0,
7,647,1,0,
7,685,1,0,
7,724,1,0,
7,762,1,0,
7,800,1,0,
7,838,1,0,
7,878,1,0,
7,921,1,0,
7,962,1,0,
7,1001,1,0,
7,1040,1,0,
7,1081,1,0,
7,1127,1,0,
7,1165,1,0,
7,1204,1,0,
7,1244,1,0,
7,1285,1,0,
7,1325,0,1,
7,1369,0,1,
7,1407,0,1,
7,1446,0,1,
7,1486,0,1,
7,1523,0,1,
7,1563,0,1,
7,1602,0,1,
7,1640,0,1,
7,1680,0,1,
7,1724,0,1,
7,1762,0,1,
7,1801,0,1,
7,1840,0,1,
7,1879,0,1,
7,1918,1,0,
7,1958,0,0,
7,1996,1,0,
7,2035,1,0,
7,2074,1,0,
7,2116,1,0,
7,2155,0,0,
7,2194,1,0,
7,2242,1,0,
7,2303,0,1,
7,2346,1,0,
7,2387,1,0,
7,2433,1,0,
7,2472,1,0,
7,2509,1,0,
7,2551,1,0,
7,2591,1,0,
7,2635,0,1,
7,2675,0,0,
7,2714,1,0,
7,2753,0,0,
7,2794,0,0,
7,2834,0,0,
7,2874,0,0,
7,2914,0,0,
7,2953,1,0,
7,2993,0,1,
7,3034,0,1,
7,3074,1,0,
7,3113,0,0,
7,3152,0,1,
7,3189,0,1,
7,3231,0,1,
7,3271,0,1,
7,3306,0,1,
7,3344,0,1,
7,3379,0,1,
7,3413,0,1,
7,3446,0,1,
7,3480,0,1,
7,3517,0,1,
7,3556,0,1,
7,3596,0,1,
7,3634,0,1,
7,3673,0,0,
7,3711,0,0,
7,3748,0,1,
7,3782,0,0,
7,3820,0,0,
7,3861,0,0,
7,3900,0,0,
7,3938,0,0,
7,3977,1,0,
7,4012,0,0,
7,4049,0,0,
7,4087,0,0,
7,4123,0,0,
7,4166,0,0,
7,4202,0,1,
7,4240,0,1,
7,4277,0,1,
7,4315,0,0,
7,4352,0,1,
7,4389,0,0,
7,4424,0,1,
7,4465,0,1,
7,4504,0,1,
7,4541,0,1,
7,4582,0,1,
7,4619,0,1,
7,4659,0,1,
7,4696,0,1,
7,4735,0,1,
7,4769,1,0,
7,4804,1,0,
7,4839,1,0,
7,4873,1,0,
7,4913,0,1,
8,0,0,0,
8,38,0,0,
8,75,0,1,
8,109,0,1,
8,141,0,1,
8,189,0,1,
8,245,0,1,
8,284,1,0,
8,318,0,1,
8,351,1,0,
8,391,0,0,
8,427,0,0,
8,462,1,0,
8,498,1,0,
8,541,1,0,
8,579,1,0,
8,613,1,0,
8,651,1,0,
8,687,1,0,
8,724,1,0,
8,761,1,0,
8,800,1,0,
8,836,1,0,
8,871,1,0,
8,907,1,0,
8,946,1,0,
8,981,1,0,
8,1024,1,0,
8,1068,1,0,
8,1108,1,0,
8,1147,1,0,
8,1185,1,0,
8,1224,1,0,
8,1266,1,0,
8,1303,1,0,
8,1340,1,0,
8,1376,1,0,
8,1417,1,0,
8,1460,1,0,
8,1500,1,0,
8,1537,1,0,
8,1575,1,0,
8,1613,0,0,
8,1650,0,0,
8,1687,0,1,
8,1721,0,1,
8,1757,0,0,
8,1794,0,0,
7,0,0,1,
7,37,0,0,
7,75,0,0,
7,109,0,1,
7,147,0,1,
7,186,0,1,
7,226,0,0,
7,266,1,0,
7,305,0,1,
7,343,0,1,
7,381,0,1,
7,417,0,1,
7,456,0,1,
7,496,0,1,
7,535,0,1,
7,579,0,1,
7,634,0,1,
7,675,0,1,
7,711,0,1,
7,752,0,1,
7,790,0,1,
7,828,0,1,
7,869,0,0,
7,905,0,1,
7,945,0,1,
7,984,0,1,
7,1022,0,1,
7,1060,0,1,
7,1098,0,1,
7,1137,0,1,
7,1172,0,1,
7,1210,0,1,
7,1246,0,1,
7,1281,0,1,
7,1321,0,1,
7,1357,0,1,
7,1395,0,1,
7,1432,0,1,
7,1471,0,1,
7,1509,0,1,
7,1548,0,1,
7,1585,0,1,
7,1622,0,1,
7,1659,0,1,
7,1696,0,1,
7,1734,0,1,
7,1773,0,1,
7,1813,0,1,
7,1851,0,1,
7,1891,0,1,
7,1928,0,1,
7,1965,0,1,
7,2003,0,1,
7,2042,0,1,
7,2080,0,1,
7,2119,0,1,
7,2158,0,1,
7,2195,0,1,
7,2232,0,1,
7,2267,0,1,
7,2308,0,1,
7,2344,0,1,
7,2377,0,1,
7,2413,0,1,
8,0,0,0,
8,35,1,0,
8,69,0,1,
8,103,0,0,
8,140,1,0,
8,178,0,1,
8,215,1,0,
8,254,0,1,
8,291,0,1,
8,330,0,1,
8,368,0,1,
8,406,0,1,
8,446,0,1,
8,486,0,1,
8,524,0,1,
8,564,0,1,
8,603,0,1,
8,638,0,1,
8,675,0,1,
8,716,0,1,
8,756,0,1,
8,793,0,1,
8,830,0,1,
8,868,0,1,
8,902,0,1,
8,939,0,1,
8,973,0,1,
8,1026,0,1,
8,1082,0,1,
8,1149,0,1,
8,1187,0,1,
8,1222,0,1,
8,1259,0,1,
8,1304,0,1,
8,1355,0,1,
8,1397,0,1,
8,1433,0,1,
8,1471,0,1,
8,1507,0,1,
8,1541,0,1,
8,1576,0,1,
8,1616,0,1,
8,1649,0,1,
8,1686,0,1,
8,1723,0,1,
8,1758,0,1,
8,1792,0,1,
8,1826,0,1,
8,1863,0,1,
8,1902,0,1,
10,0,0,0,
10,35,1,0,
10,75,1,0,
10,116,0,1,
10,154,0,1,
10,191,1,0,
10,228,0,1,
10,268,1,0,
10,302,1,0,
10,340,1,0,
10,377,1,0,
10,417,1,0,
10,453,1,0,
10,492,1,0,
10,530,1,0,
10,566,1,0,
10,602,1,0,
10,640,1,0,
10,677,1,0,
10,716,1,0,
10,751,1,0,
10,785,0,1,
10,822,0,1,
10,859,0,1,
10,900,0,1,
10,936,0,1,
10,980,0,1,
10,1034,0,1,
10,1071,0,1,
10,1104,0,1,
10,1144,0,1,
10,1183,0,1,
10,1220,0,1,
10,1256,0,1,
10,1294,0,1,
10,1334,0,1,
10,1370,0,1,
10,1404,0,1,
10,1436,0,1,
10,1474,0,1,
10,1508,0,1,
10,1544,0,1,
10,1584,0,1,
10,1623,0,1,
10,1661,0,1,
10,1697,0,0,
10,1730,1,0,
10,1767,1,0,
10,1801,1,0,
10,1837,1,0,
10,1875,1,0,
10,1908,1,0,
10,1942,1,0,
10,1977,0,1,
10,2019,0,1,
10,2057,0,1,
10,2093,0,1,
10,2127,0,1,
10,2167,0,0,
10,2204,0,1,
10,2240,0,1,
10,2278,0,1,
10,2316,0,1,
10,2354,0,1,
10,2390,0,1,
10,2425,0,1,
10,2461,0,1,
10,2499,0,1,
10,2538,0,1,
10,2574,0,1,
10,2606,0,1,
10,2642,0,1,
11,0,0,1,
11,39,0,0,
11,78,0,1,
11,118,0,1,
11,155,0,1,
11,190,0,1,
11,230,0,1,
11,287,0,1,
11,327,0,1,
11,364,0,1,
11,397,0,1,
11,429,0,1,
11,465,0,1,
11,502,0,1,
11,541,0,0,
11,580,1,0,
11,620,1,0,
11,660,1,0,
11,699,1,0,
11,739,1,0,
11,780,1,0,
11,820,1,0,
11,853,1,0,
11,891,1,0,
11,929,1,0,
11,967,1,0,
11,1006,1,0,
11,1044,1,0,
11,1085,1,0,
11,1120,1,0,
11,1162,1,0,
11,1198,1,0,
11,1236,1,0,
11,1276,1,0,
11,1315,1,0,
11,1356,1,0,
11,1394,1,0,
11,1431,1,0,
12,0,0,0,
12,40,0,1,
12,77,0,0,
12,113,0,0,
12,151,0,0,
12,187,0,1,
12,222,0,0,
12,259,0,0,
12,299,0,0,
12,332,0,1,
12,369,0,1,
12,406,0,1,
12,443,0,1,
12,482,0,1,
12,518,0,1,
12,558,0,1,
12,608,0,1,
12,663,0,1,
12,703,0,1,
12,736,0,1,
12,776,0,1,
12,817,0,1,
12,853,0,1,
12,889,0,1,
12,924,0,1,
12,961,0,1,
12,997,0,1,
12,1033,0,1,
12,1071,0,1,
12,1111,0,1,
12,1147,0,1,
12,1184,0,1,
12,1221,0,1,
12,1257,0,1,
12,1292,0,1,
12,1330,0,1,
12,1368,0,1,
12,1407,0,1,
12,1447,0,1,
12,1485,0,1,
12,1522,0,1,
12,1559,0,1,
12,1596,0,1,
12,1633,0,1,
12,1670,0,1,
12,1703,0,1,
12,1736,0,1,
12,1770,0,1,
12,1809,0,1,
12,1848,1,0,
12,1883,1,0,
12,1917,1,0,
12,1954,1,0,
12,1990,1,0,
12,2030,1,0,
12,2068,0,1,
12,2103,0,1,
13,0,0,1,
13,42,0,0,
13,101,0,1,
13,145,0,1,
13,178,0,0,
13,212,0,1,
13,253,0,1,
13,293,0,1,
13,331,0,1,
13,372,0,1,
13,408,0,1,
13,445,0,1,
13,482,0,1,
13,521,0,1,
13,560,0,1,
13,597,0,1,
13,634,0,1,
13,673,0,1,
13,721,0,1,
13,760,0,1,
13,797,0,1,
14,0,0,1,
14,37,0,1,
14,73,0,1,
14,111,0,1,
14,147,0,1,
14,188,0,1,
14,222,0,1,
14,260,0,1,
14,296,0,1,
14,328,0,1,
14,370,0,1,
14,426,0,1,
14,462,0,1,
14,496,0,1,
15,0,0,1,
15,41,0,1,
15,81,0,0,
15,117,1,0,
15,155,0,1,
15,197,0,0,
15,234,1,0,
15,271,0,1,
15,309,1,0,
15,346,1,0,
15,383,1,0,
15,419,1,0,
15,455,1,0,
15,492,1,0,
15,531,1,0,
15,569,0,1,
15,606,0,1,
15,646,0,1,
15,681,0,1,
15,718,0,1,
15,755,0,1,
15,790,0,1,
15,830,0,1,
15,867,0,1,
15,905,0,1,
15,943,0,1,
15,981,0,1,
15,1019,0,1,
15,1065,0,1,
15,1118,0,1,
16,0,0,1,
16,38,0,1,
16,76,0,1,
16,113,0,1,
16,150,0,1,
16,187,0,1,
16,227,0,1,
16,264,0,1,
16,300,0,1,
16,338,0,1,
16,376,0,1,
16,413,0,1,
16,448,0,1,
16,483,0,1,
16,521,0,1,
16,558,0,1,
16,599,0,1,
16,635,0,1,
16,674,0,1,
16,712,0,1,
17,0,1,0,
17,35,0,0,
17,74,0,0,
17,116,0,1,
17,155,0,0,
17,194,0,0,
17,231,0,1,
17,266,0,1,
17,303,0,1,
17,340,0,1,
17,377,0,1,
17,415,0,1,
17,455,0,1,
17,497,0,1,
17,553,0,1,
17,597,0,1,
17,633,0,1,
17,669,0,1,
17,704,0,1,
17,740,0,1,
17,772,0,1,
17,809,0,1,
17,847,0,1,
17,882,0,1,
17,921,0,1,
18,0,1,0,
18,35,0,1,
18,73,0,0,
18,110,0,0,
18,145,0,1,
18,183,0,0,
18,221,0,0,
18,260,0,0,
18,299,1,0,
18,340,1,0,
18,379,1,0,
18,418,0,1,
18,457,1,0,
18,492,1,0,
18,532,1,0,
18,571,1,0,
18,611,1,0,
18,650,1,0,
18,689,1,0,
18,728,1,0,
18,769,1,0,
18,806,1,0,
18,845,1,0,
18,879,1,0,
18,916,1,0,
18,952,1,0,
18,991,1,0,
18,1029,1,0,
18,1068,1,0,
18,1105,0,1,
18,1143,0,1,
18,1183,0,1,
19,0,0,0,
19,35,0,0,
19,73,1,0,
19,112,1,0,
19,152,0,0,
19,192,0,1,
19,231,0,1,
19,268,0,1,
19,303,0,1,
19,344,0,0,
19,382,0,0,
19,420,1,0,
19,458,0,0,
19,496,0,0,
19,534,0,1,
19,575,0,1,
19,614,0,1,
19,653,0,1,
19,692,0,1,
19,729,0,1,
19,764,0,1,
19,801,0,1,
19,835,0,1,
19,875,0,1,
19,914,0,1,
19,951,0,1,
19,993,0,1,
19,1031,0,1,
19,1069,0,1,
19,1109,0,1,
19,1150,0,1,
19,1188,0,0,
19,1227,0,1,
19,1265,0,1,
19,1303,0,1,
19,1339,0,1,
19,1375,0,0,
19,1413,0,0,
19,1452,0,1,
19,1491,0,1,
19,1530,0,1,
19,1568,0,1,
19,1604,0,1,
19,1643,0,1,
19,1681,0,0,
19,1719,0,1,
19,1757,0,1,
19,1796,0,1,
19,1833,0,1,
19,1871,0,1,
19,1908,0,1,
19,1945,0,1,
19,1981,0,1,
19,2021,0,0,
19,2057,0,0,
19,2095,0,0,
19,2132,1,0,
19,2171,0,0,
19,2208,1,0,
19,2247,1,0,
19,2290,1,0,
19,2329,1,0,
19,2369,0,1,
19,2403,1,0,
19,2440,0,0,
19,2478,1,0,
19,2515,1,0,
19,2556,1,0,
19,2595,1,0,
19,2639,1,0,
19,2698,0,1,
19,2735,0,1,
19,2771,0,0,
19,2808,0,0,
19,2845,0,1,
19,2883,0,1,
19,2923,0,0,
19,2962,0,1,
19,3000,0,0,
19,3038,0,0,
19,3076,0,1,
19,3113,0,0,
19,3152,0,0,
20,0,0,1,
20,38,0,1,
20,75,0,1,
20,113,0,0,
20,159,0,1,
20,214,1,0,
20,256,0,0,
20,290,0,1,
20,327,0,1,
20,364,0,1,
20,401,0,1,
20,438,0,1,
20,472,0,1,
20,506,0,1,
20,543,0,1,
20,580,0,1,
20,619,0,1,
20,660,0,1,
20,699,0,1,
20,736,0,1,
20,773,0,1,
20,807,0,1,
20,846,0,1,
20,882,0,1,
20,920,0,1,
