trial,times,_left_canvas,_right_canvas,Unnamed: 4
6,0,1,0,
6,39,1,0,
6,76,1,0,
6,112,1,0,
6,150,1,0,
6,193,0,0,
6,230,0,1,
6,268,1,0,
6,304,1,0,
6,345,1,0,
6,382,1,0,
6,422,1,0,
6,459,1,0,
6,496,1,0,
6,534,1,0,
6,576,1,0,
6,612,1,0,
6,648,1,0,
6,685,1,0,
6,726,1,0,
6,768,1,0,
6,809,1,0,
6,845,1,0,
6,883,1,0,
6,920,1,0,
6,960,1,0,
6,996,1,0,
6,1035,1,0,
6,1070,1,0,
6,1110,1,0,
6,1147,1,0,
6,1183,1,0,
6,1220,1,0,
6,1257,1,0,
6,1294,0,0,
6,1330,1,0,
6,1366,1,0,
6,1404,1,0,
6,1446,1,0,
6,1485,1,0,
6,1524,1,0,
6,1563,1,0,
6,1599,0,0,
6,1637,1,0,
6,1674,1,0,
6,1713,1,0,
7,0,0,1,
7,38,0,1,
7,77,0,1,
7,112,0,1,
7,147,0,1,
7,184,0,1,
7,222,0,1,
7,259,0,1,
7,296,0,1,
7,334,0,1,
7,373,0,1,
7,411,0,1,
7,450,0,1,
7,490,0,1,
7,526,0,1,
7,563,0,1,
7,601,0,1,
7,640,0,1,
7,677,0,1,
7,716,0,1,
7,758,0,1,
7,796,0,1,
7,833,0,1,
7,869,0,1,
7,907,0,1,
7,943,0,1,
7,978,0,1,
7,1016,0,1,
7,1061,0,1,
7,1098,0,1,
7,1143,0,1,
7,1200,0,1,
7,1240,0,1,
7,1276,0,1,
7,1310,0,1,
7,1349,0,1,
7,1391,0,1,
7,1428,0,1,
7,1466,0,1,
8,0,0,1,
8,36,0,1,
8,73,0,1,
8,112,0,0,
8,146,1,0,
8,183,0,1,
8,221,1,0,
8,258,0,1,
8,297,1,0,
8,335,1,0,
8,371,1,0,
8,409,1,0,
8,449,1,0,
8,488,1,0,
8,526,1,0,
8,566,1,0,
8,603,1,0,
8,639,1,0,
8,677,1,0,
8,713,1,0,
8,747,1,0,
8,785,1,0,
8,820,1,0,
8,858,1,0,
8,893,1,0,
8,945,1,0,
8,996,1,0,
8,1035,1,0,
8,1073,1,0,
8,1111,1,0,
8,1146,1,0,
8,1183,1,0,
8,1220,1,0,
8,1260,1,0,
8,1302,1,0,
8,1340,1,0,
8,1377,1,0,
8,1417,1,0,
8,1453,1,0,
8,1489,1,0,
8,1527,0,1,
7,0,0,1,
7,37,0,0,
7,74,0,0,
7,113,0,1,
7,151,0,1,
7,192,0,1,
7,232,0,1,
7,269,0,1,
7,305,0,0,
7,342,0,1,
7,381,0,1,
7,420,0,1,
7,458,1,0,
7,497,0,1,
7,540,0,1,
7,577,0,1,
7,614,0,1,
7,653,0,0,
7,690,0,1,
7,726,0,0,
8,0,1,0,
8,51,1,0,
8,100,1,0,
8,161,1,0,
8,211,1,0,
8,263,0,1,
8,313,1,0,
8,363,1,0,
8,409,1,0,
8,459,1,0,
8,512,0,1,
8,559,0,1,
8,610,0,1,
8,662,0,1,
8,709,0,1,
8,755,0,1,
8,801,0,1,
8,853,0,1,
8,902,0,1,
8,951,0,1,
8,1001,0,1,
8,1046,0,1,
8,1097,0,1,
8,1143,0,1,
8,1197,0,1,
8,1245,0,1,
8,1296,0,1,
8,1348,0,1,
8,1400,0,1,
8,1448,0,1,
8,1494,0,1,
8,1545,0,1,
8,1600,0,1,
8,1645,0,1,
8,1695,0,1,
10,0,0,1,
10,37,0,1,
10,75,1,0,
10,114,0,1,
10,154,1,0,
10,192,0,1,
10,230,0,1,
10,267,1,0,
10,304,1,0,
10,343,1,0,
10,386,1,0,
10,425,0,0,
10,461,1,0,
10,499,1,0,
10,537,1,0,
10,574,1,0,
10,611,1,0,
10,650,1,0,
10,690,1,0,
10,727,1,0,
10,765,1,0,
10,806,1,0,
11,0,0,1,
11,37,1,0,
11,75,0,1,
11,111,0,1,
11,150,0,1,
11,186,0,1,
11,228,0,1,
11,265,1,0,
11,303,1,0,
11,342,0,0,
11,380,0,1,
11,418,0,1,
11,458,0,1,
11,499,0,1,
11,542,0,1,
11,597,0,0,
11,643,0,1,
11,682,0,1,
11,721,0,1,
11,761,0,1,
11,801,0,1,
11,842,0,1,
11,883,0,1,
12,0,0,1,
12,39,0,0,
12,76,0,1,
12,121,1,0,
12,182,1,0,
12,222,0,1,
12,263,1,0,
12,299,0,1,
12,337,0,1,
12,375,0,1,
12,414,0,1,
12,451,0,1,
12,491,0,1,
12,526,0,1,
12,565,0,1,
12,605,0,1,
12,643,0,1,
12,678,0,1,
12,714,0,1,
12,750,0,1,
12,785,0,1,
12,823,0,1,
12,862,0,1,
12,900,0,1,
12,939,0,1,
12,977,0,1,
12,1014,1,0,
12,1052,1,0,
13,0,0,1,
13,40,1,0,
13,75,0,1,
13,113,0,1,
13,151,0,1,
13,189,1,0,
13,225,0,1,
13,262,0,1,
13,297,0,1,
13,331,1,0,
13,372,1,0,
13,411,1,0,
13,445,1,0,
13,479,1,0,
13,518,1,0,
13,552,1,0,
13,588,1,0,
13,626,1,0,
13,662,1,0,
13,697,1,0,
13,731,1,0,
13,765,1,0,
13,799,1,0,
13,839,1,0,
13,890,1,0,
13,931,1,0,
13,966,1,0,
14,0,0,1,
14,38,0,1,
14,76,0,1,
14,114,0,1,
14,151,0,1,
14,188,0,1,
14,223,0,1,
14,272,0,1,
14,310,0,1,
14,351,0,1,
14,394,0,1,
14,435,0,1,
14,472,0,1,
14,509,0,1,
14,558,0,1,
14,614,0,1,
14,655,0,1,
15,0,0,1,
15,40,1,0,
15,79,0,0,
15,116,0,0,
15,164,0,1,
15,206,0,0,
15,241,0,1,
15,279,0,1,
15,316,0,0,
15,352,0,0,
15,389,0,1,
15,428,0,1,
15,464,0,1,
15,504,0,1,
15,542,0,0,
15,579,0,1,
15,618,0,1,
15,657,0,1,
15,695,0,1,
16,0,0,0,
16,36,1,0,
16,75,0,1,
16,120,1,0,
16,158,0,0,
16,196,1,0,
16,234,0,0,
16,271,0,1,
16,307,0,1,
16,345,0,1,
16,382,0,1,
16,421,0,1,
16,457,0,1,
16,495,0,1,
16,533,0,1,
16,569,0,1,
16,605,0,1,
16,643,0,1,
16,684,0,1,
16,721,0,1,
16,757,0,1,
16,794,0,1,
16,831,0,0,
16,867,0,1,
16,904,0,1,
16,939,0,1,
16,976,0,1,
16,1014,0,1,
16,1052,0,1,
17,0,0,0,
17,41,0,1,
17,79,0,0,
17,117,0,0,
17,156,0,1,
17,193,0,1,
17,228,0,1,
17,268,0,1,
17,307,0,1,
17,346,0,1,
17,385,0,1,
17,423,0,1,
17,461,0,1,
17,501,1,0,
17,541,1,0,
17,580,1,0,
17,621,1,0,
17,683,1,0,
17,723,0,0,
17,762,1,0,
17,802,1,0,
17,842,1,0,
17,890,1,0,
17,927,1,0,
17,963,1,0,
17,1003,1,0,
17,1039,1,0,
17,1076,1,0,
17,1115,1,0,
17,1151,1,0,
17,1190,1,0,
18,0,0,0,
18,38,0,1,
18,74,0,1,
18,114,0,1,
18,153,0,1,
18,191,0,1,
18,229,0,1,
18,266,0,0,
18,304,0,1,
18,346,0,1,
18,384,1,0,
18,422,0,1,
18,459,1,0,
18,496,0,1,
18,533,1,0,
18,571,0,1,
18,609,0,1,
18,645,0,1,
18,682,0,1,
18,720,0,1,
19,0,0,0,
19,39,1,0,
19,77,0,0,
19,110,1,0,
19,147,1,0,
19,193,0,0,
19,246,0,1,
19,287,1,0,
19,326,1,0,
19,363,0,0,
19,399,1,0,
19,439,1,0,
19,480,1,0,
19,520,1,0,
19,565,1,0,
19,605,1,0,
19,644,0,1,
19,683,0,1,
19,723,0,1,
19,759,0,1,
19,799,0,1,
19,835,0,1,
19,872,1,0,
19,908,0,0,
19,946,0,1,
19,985,0,1,
19,1024,0,1,
19,1062,0,1,
19,1099,0,1,
19,1138,0,1,
19,1180,1,0,
19,1217,0,1,
19,1253,1,0,
19,1292,0,1,
19,1331,0,1,
19,1370,0,1,
19,1412,0,1,
19,1447,0,1,
19,1482,0,1,
19,1518,0,1,
19,1561,0,1,
20,0,0,0,
20,39,0,0,
20,78,1,0,
20,118,1,0,
20,154,0,1,
20,194,0,1,
20,229,1,0,
20,268,0,1,
20,310,0,1,
20,347,0,1,
20,384,0,1,
20,425,0,1,
20,462,0,1,
20,497,0,1,
20,536,0,1,
20,576,0,1,
21,0,1,0,
21,37,1,0,
21,77,1,0,
21,116,1,0,
21,154,0,0,
21,189,1,0,
21,228,1,0,
21,265,0,0,
21,320,1,0,
21,385,1,0,
21,422,1,0,
21,460,1,0,
21,499,1,0,
21,538,1,0,
21,574,1,0,
21,613,1,0,
21,650,1,0,
21,685,1,0,
21,725,1,0,
21,767,1,0,
21,804,1,0,
21,853,1,0,
21,889,1,0,
21,929,1,0,
21,968,1,0,
22,0,0,0,
22,39,0,0,
22,77,1,0,
22,117,0,1,
22,153,1,0,
22,190,0,1,
22,229,0,0,
22,266,0,1,
22,302,0,1,
22,337,0,1,
22,374,0,1,
22,413,0,1,
22,449,0,1,
22,484,0,1,
22,521,0,1,
22,559,1,0,
22,603,0,1,
22,642,0,1,
22,682,1,0,
22,718,1,0,
22,754,1,0,
22,792,1,0,
22,831,1,0,
22,870,1,0,
22,908,1,0,
22,947,1,0,
22,984,1,0,
22,1022,1,0,
22,1059,1,0,
22,1097,1,0,
22,1136,0,0,
22,1180,1,0,
22,1235,1,0,
22,1277,1,0,
22,1319,0,1,
22,1356,0,0,
22,1393,1,0,
23,0,1,0,
23,42,1,0,
23,81,1,0,
23,120,1,0,
23,157,1,0,
23,197,1,0,
23,236,1,0,
23,275,1,0,
23,314,1,0,
23,356,1,0,
23,398,1,0,
23,437,1,0,
23,479,1,0,
24,0,0,1,
24,46,0,1,
24,85,0,1,
24,124,0,1,
24,161,0,1,
24,197,0,1,
24,237,0,1,
24,275,0,1,
24,310,0,1,
24,348,0,1,
24,383,0,1,
24,421,0,1,
24,456,0,1,
24,493,0,1,
24,532,0,1,
24,568,0,1,
24,609,0,1,
24,647,0,1,
24,691,0,1,
24,730,0,1,
25,0,0,0,
25,43,0,1,
25,79,1,0,
25,117,0,1,
25,155,1,0,
25,193,0,1,
25,240,0,1,
25,295,0,0,
25,339,1,0,
25,379,1,0,
25,416,1,0,
25,455,1,0,
25,495,1,0,
25,533,1,0,
25,579,1,0,
25,616,1,0,
25,654,1,0,
25,691,1,0,
25,727,1,0,
25,764,1,0,
25,801,1,0,
25,841,1,0,
25,880,0,1,
25,918,0,0,
25,957,0,0,
25,995,0,0,
25,1031,0,0,
25,1068,0,1,
25,1107,1,0,
25,1147,1,0,
25,1184,1,0,
25,1224,1,0,
25,1262,1,0,
25,1298,1,0,
