trial,_right_canvas,_left_canvas,times,Unnamed: 4
6,1,0,0,
6,1,0,28,
6,1,0,52,
6,1,0,73,
6,1,0,94,
6,1,0,120,
6,1,0,145,
6,1,0,170,
6,1,0,195,
6,1,0,215,
6,1,0,239,
6,1,0,267,
6,0,0,292,
6,0,1,317,
6,0,1,343,
6,0,1,367,
6,0,1,390,
6,0,0,414,
6,0,1,447,
6,0,0,470,
6,0,1,500,
6,0,1,522,
6,0,1,547,
6,0,1,577,
6,0,1,606,
6,0,1,626,
6,0,1,646,
6,0,1,671,
6,0,1,696,
6,0,1,721,
6,0,1,750,
6,0,1,775,
6,0,1,800,
6,0,1,829,
6,0,1,851,
6,0,1,877,
6,0,1,902,
6,0,1,939,
6,0,1,966,
6,0,1,993,
6,0,1,1020,
6,0,1,1045,
6,0,1,1072,
6,0,1,1106,
6,0,1,1133,
6,0,1,1154,
6,0,1,1183,
6,0,1,1208,
6,0,1,1234,
6,0,1,1262,
6,0,1,1287,
6,0,1,1313,
6,0,1,1341,
6,0,1,1367,
6,0,1,1396,
6,0,1,1419,
6,0,1,1444,
6,0,0,1474,
6,0,0,1501,
6,0,0,1527,
6,1,0,1551,
6,1,0,1578,
6,1,0,1605,
6,0,0,1632,
6,0,0,1655,
6,1,0,1679,
6,1,0,1704,
6,1,0,1729,
6,1,0,1752,
6,1,0,1773,
6,1,0,1807,
6,1,0,1830,
6,0,0,1857,
7,0,1,0,
7,0,1,23,
7,0,0,50,
7,0,1,75,
7,0,1,99,
7,0,1,124,
7,0,1,147,
7,0,1,172,
7,0,1,200,
7,0,1,224,
7,0,1,251,
7,0,0,278,
7,0,0,305,
7,0,0,330,
7,0,1,354,
7,0,0,378,
7,1,0,403,
7,0,0,427,
7,0,0,452,
7,1,0,482,
7,0,0,508,
7,0,0,539,
7,0,1,567,
7,1,0,593,
7,1,0,621,
7,0,0,647,
7,0,1,679,
7,0,0,708,
7,1,0,734,
7,1,0,758,
7,1,0,783,
7,0,0,815,
7,1,0,843,
7,1,0,873,
7,0,0,901,
7,1,0,925,
7,1,0,948,
7,1,0,973,
7,0,1,998,
7,0,0,1029,
7,0,0,1056,
7,1,0,1081,
7,1,0,1106,
7,1,0,1129,
7,1,0,1153,
7,1,0,1176,
7,1,0,1212,
7,1,0,1238,
7,0,1,1263,
7,0,1,1286,
7,0,1,1309,
7,0,1,1330,
7,0,1,1356,
7,0,1,1379,
7,0,1,1412,
7,0,1,1435,
7,0,1,1459,
7,0,1,1483,
7,0,0,1507,
7,0,0,1530,
7,0,1,1554,
7,0,1,1576,
7,0,1,1601,
7,0,1,1625,
7,0,1,1649,
7,1,0,1674,
7,1,0,1699,
7,1,0,1723,
7,0,0,1750,
7,1,0,1778,
7,0,0,1806,
7,1,0,1830,
7,1,0,1853,
7,1,0,1877,
7,0,0,1900,
7,1,0,1925,
7,0,0,1949,
7,0,0,1974,
8,0,1,0,
8,0,0,25,
8,0,0,49,
8,0,0,74,
8,0,1,101,
8,0,0,128,
8,0,0,152,
8,0,0,176,
8,0,0,201,
8,0,1,227,
8,0,0,263,
8,0,0,286,
8,0,0,315,
8,0,0,338,
8,0,0,361,
8,0,1,386,
8,0,0,410,
8,0,0,435,
8,0,1,460,
8,0,0,488,
8,0,1,514,
8,0,1,539,
8,0,1,562,
8,0,1,591,
8,0,1,615,
8,0,1,642,
8,0,1,666,
8,0,1,692,
8,0,1,716,
8,0,1,742,
8,0,1,767,
8,0,1,791,
8,0,1,819,
8,0,0,845,
8,0,1,869,
8,0,1,900,
8,0,0,930,
8,0,1,955,
8,0,1,980,
8,0,1,1005,
8,0,1,1033,
7,0,1,0,
7,0,0,24,
7,1,0,49,
7,1,0,76,
7,1,0,101,
7,1,0,126,
7,1,0,156,
7,1,0,184,
7,1,0,215,
7,1,0,236,
7,1,0,261,
7,1,0,287,
7,0,0,313,
7,0,0,337,
7,0,0,362,
7,0,1,387,
7,0,0,410,
7,0,0,440,
7,0,0,466,
7,0,0,491,
7,0,0,516,
7,0,0,541,
7,0,1,564,
7,0,0,591,
7,0,1,616,
7,0,0,641,
7,0,1,666,
7,0,1,689,
7,1,0,713,
7,1,0,746,
7,1,0,774,
7,1,0,798,
7,1,0,822,
7,1,0,849,
7,1,0,874,
7,1,0,899,
7,1,0,924,
7,1,0,949,
7,1,0,975,
7,1,0,998,
7,1,0,1025,
7,0,0,1050,
7,1,0,1079,
7,1,0,1104,
7,1,0,1130,
7,0,0,1169,
7,1,0,1196,
7,1,0,1218,
7,1,0,1245,
7,1,0,1269,
7,1,0,1293,
7,1,0,1318,
7,1,0,1342,
7,1,0,1379,
7,1,0,1404,
7,1,0,1427,
7,1,0,1452,
7,1,0,1479,
7,1,0,1503,
7,1,0,1527,
7,1,0,1551,
7,1,0,1596,
7,1,0,1619,
7,0,0,1644,
7,0,0,1668,
7,1,0,1691,
7,0,0,1716,
7,0,0,1741,
7,0,0,1764,
7,0,0,1800,
7,1,0,1822,
7,0,0,1852,
7,1,0,1877,
7,1,0,1903,
7,0,0,1928,
7,0,0,1951,
7,1,0,1975,
7,1,0,1999,
7,1,0,2022,
7,0,0,2055,
7,0,0,2078,
7,0,1,2109,
7,0,1,2132,
7,0,1,2157,
7,0,0,2182,
7,0,0,2207,
7,0,0,2233,
7,0,0,2258,
7,0,1,2285,
7,0,1,2309,
7,0,0,2338,
7,0,1,2362,
7,0,1,2384,
7,0,0,2410,
7,0,0,2435,
7,0,0,2461,
7,0,1,2486,
7,0,0,2510,
7,0,0,2534,
7,0,1,2559,
7,0,1,2582,
7,0,0,2607,
7,0,1,2634,
7,0,0,2657,
7,0,1,2682,
8,0,0,0,
8,0,1,27,
8,0,1,59,
8,0,0,86,
8,0,0,108,
8,0,1,133,
8,0,1,163,
8,0,1,188,
8,0,0,214,
8,0,0,244,
8,0,1,278,
8,0,1,311,
8,0,0,344,
8,0,0,372,
8,0,0,404,
8,0,0,438,
8,0,0,463,
8,0,1,490,
8,0,1,514,
8,0,0,542,
8,0,0,566,
8,0,0,588,
8,1,0,612,
8,0,1,638,
8,0,1,661,
8,0,1,680,
8,1,0,704,
8,0,1,730,
8,1,0,754,
8,0,1,783,
8,1,0,808,
8,1,0,835,
8,1,0,860,
8,1,0,893,
8,1,0,917,
8,1,0,940,
8,1,0,966,
8,1,0,993,
8,1,0,1019,
8,1,0,1042,
8,1,0,1066,
8,1,0,1095,
8,0,0,1124,
8,0,0,1150,
8,1,0,1177,
8,1,0,1202,
8,1,0,1226,
8,1,0,1251,
8,1,0,1276,
8,1,0,1307,
8,1,0,1334,
8,1,0,1355,
8,1,0,1380,
8,1,0,1409,
8,1,0,1435,
8,1,0,1462,
8,1,0,1486,
8,0,0,1513,
8,1,0,1539,
8,1,0,1563,
8,0,0,1588,
8,1,0,1613,
8,1,0,1639,
8,1,0,1669,
8,1,0,1694,
8,0,0,1719,
8,0,0,1743,
8,1,0,1768,
8,1,0,1794,
8,1,0,1820,
8,1,0,1845,
8,1,0,1871,
8,1,0,1902,
8,1,0,1931,
8,1,0,1953,
8,1,0,1977,
8,1,0,2003,
8,1,0,2028,
8,1,0,2055,
8,1,0,2080,
8,1,0,2105,
8,1,0,2136,
8,1,0,2163,
8,0,1,2189,
8,1,0,2216,
8,1,0,2246,
8,0,1,2275,
8,1,0,2304,
8,0,0,2332,
8,1,0,2358,
8,0,0,2382,
8,0,0,2409,
8,1,0,2438,
8,1,0,2466,
8,0,1,2493,
8,0,1,2521,
8,0,1,2547,
8,0,1,2574,
8,0,1,2601,
8,0,0,2628,
8,0,0,2653,
8,0,1,2682,
8,0,0,2713,
10,1,0,0,
10,1,0,27,
10,1,0,53,
10,1,0,76,
10,1,0,103,
10,0,0,129,
10,1,0,152,
10,1,0,175,
10,1,0,201,
10,1,0,223,
10,1,0,247,
10,0,0,274,
10,0,1,300,
10,0,1,324,
10,0,1,343,
10,0,0,367,
10,0,1,391,
10,0,1,415,
10,0,0,439,
10,0,1,464,
10,0,0,490,
10,0,0,516,
10,0,0,540,
10,0,1,565,
10,1,0,592,
10,1,0,618,
10,1,0,644,
10,1,0,671,
10,1,0,696,
10,1,0,719,
10,1,0,745,
10,1,0,771,
10,1,0,795,
10,1,0,822,
10,1,0,841,
10,1,0,867,
10,1,0,892,
10,1,0,919,
10,1,0,942,
10,1,0,967,
10,1,0,992,
10,1,0,1022,
10,1,0,1048,
10,1,0,1081,
10,1,0,1109,
10,1,0,1135,
10,1,0,1160,
10,1,0,1191,
10,1,0,1215,
10,1,0,1241,
10,1,0,1267,
10,1,0,1294,
10,1,0,1319,
11,0,1,0,
11,0,1,25,
11,0,0,50,
11,1,0,76,
11,1,0,100,
11,1,0,123,
11,1,0,149,
11,0,1,173,
11,0,1,198,
11,1,0,223,
11,1,0,246,
11,1,0,270,
11,0,0,306,
11,0,0,332,
11,0,0,357,
11,0,0,382,
11,0,1,405,
11,0,0,434,
11,0,0,457,
11,0,1,481,
11,0,0,520,
11,0,0,544,
11,0,0,568,
11,0,1,594,
11,0,1,623,
11,0,0,651,
11,0,0,676,
11,0,0,700,
11,0,0,733,
11,0,1,759,
11,0,1,783,
11,0,0,813,
11,0,0,837,
11,0,0,860,
11,0,0,885,
11,0,0,913,
11,0,0,937,
11,0,1,967,
11,0,1,993,
11,0,1,1019,
11,0,0,1046,
11,0,0,1069,
11,1,0,1093,
11,1,0,1119,
11,1,0,1149,
11,1,0,1176,
11,1,0,1199,
11,1,0,1225,
12,0,1,0,
12,0,1,25,
12,0,1,48,
12,0,1,75,
12,0,1,98,
12,0,1,124,
12,0,1,148,
12,0,1,174,
12,0,0,199,
12,0,1,223,
12,0,0,250,
12,0,0,273,
12,0,1,299,
12,0,0,326,
12,0,0,351,
12,0,0,377,
12,0,0,400,
12,0,0,425,
12,0,0,451,
12,0,0,475,
12,0,0,499,
12,0,0,524,
12,0,0,548,
12,0,0,574,
12,0,0,611,
12,0,0,638,
12,0,0,663,
12,0,0,687,
12,0,0,707,
12,0,0,733,
12,0,0,758,
12,0,0,779,
12,0,0,797,
12,0,0,822,
12,0,0,847,
13,1,0,0,
13,1,0,29,
13,1,0,53,
