trial,_right_canvas,times,_left_canvas,Unnamed: 4
6,0,0,1,
6,0,44,1,
6,0,92,0,
6,0,139,1,
6,0,185,0,
6,0,241,0,
6,0,291,1,
6,0,347,1,
6,0,412,0,
6,0,471,0,
6,0,540,1,
6,1,601,0,
6,0,654,1,
6,0,700,1,
6,0,753,1,
6,0,797,1,
6,0,858,0,
6,0,928,0,
6,1,976,0,
6,0,1050,0,
6,0,1095,0,
6,0,1152,1,
6,0,1195,1,
6,0,1252,1,
6,0,1306,0,
6,1,1354,0,
6,0,1409,1,
6,1,1454,0,
6,0,1510,1,
6,1,1563,0,
6,1,1618,0,
6,1,1661,0,
6,1,1707,0,
6,1,1753,0,
6,0,1807,0,
6,0,1856,0,
6,1,1929,0,
6,0,1989,0,
6,1,2049,0,
6,1,2096,0,
6,1,2141,0,
6,0,2196,0,
6,0,2234,1,
6,0,2285,1,
7,0,0,1,
7,0,55,1,
7,0,102,1,
7,0,161,0,
7,1,212,0,
7,1,258,0,
7,0,307,1,
7,0,354,1,
7,0,410,1,
7,0,471,1,
7,0,531,1,
7,0,588,1,
7,1,648,0,
7,1,712,0,
7,0,773,0,
7,1,831,0,
7,1,886,0,
7,1,949,0,
7,1,1019,0,
7,0,1079,0,
7,0,1155,0,
7,1,1221,0,
8,0,0,0,
8,0,42,0,
8,1,94,0,
8,0,145,0,
8,0,211,1,
8,1,278,0,
8,1,338,0,
8,0,395,1,
8,0,455,0,
8,0,511,1,
8,0,565,1,
8,0,624,1,
8,0,674,0,
8,1,723,0,
8,1,766,0,
8,0,815,1,
8,0,875,1,
8,1,930,0,
8,1,982,0,
8,0,1026,0,
8,0,1097,1,
7,1,0,0,
7,0,49,1,
7,0,91,1,
7,0,142,1,
7,0,189,1,
7,1,246,0,
7,0,294,0,
7,0,344,1,
7,0,395,0,
7,1,439,0,
7,1,495,0,
7,1,541,0,
7,1,592,0,
7,0,649,0,
7,1,703,0,
7,0,769,0,
7,0,814,0,
7,1,879,0,
7,1,927,0,
7,1,975,0,
7,1,1028,0,
7,0,1083,1,
7,1,1128,0,
7,1,1180,0,
7,1,1225,0,
7,1,1279,0,
7,1,1340,0,
7,1,1397,0,
7,1,1450,0,
7,1,1495,0,
7,0,1549,0,
