trial,times,_right_canvas,_left_canvas,Unnamed: 4
6,0,0,1,
6,33,0,1,
6,67,0,0,
6,103,0,0,
6,136,0,0,
6,169,0,0,
6,202,0,1,
6,235,0,1,
6,277,0,1,
6,307,0,1,
6,336,0,1,
6,368,0,1,
6,405,0,1,
6,441,0,1,
6,475,1,0,
6,503,0,0,
6,534,0,0,
6,567,0,0,
6,601,1,0,
6,629,0,1,
6,655,0,1,
6,684,0,0,
6,717,0,0,
6,751,0,1,
6,784,0,0,
6,817,0,1,
6,851,0,0,
6,884,0,1,
6,917,1,0,
6,951,0,1,
6,985,1,0,
6,1018,1,0,
6,1051,1,0,
6,1085,1,0,
6,1118,1,0,
6,1152,0,1,
6,1186,1,0,
6,1218,0,1,
6,1248,0,1,
6,1286,1,0,
6,1318,0,1,
6,1351,0,1,
6,1385,1,0,
6,1414,1,0,
6,1446,1,0,
6,1474,1,0,
6,1502,1,0,
6,1536,0,0,
6,1568,1,0,
6,1594,0,0,
6,1621,0,1,
6,1652,0,1,
6,1685,0,1,
6,1719,0,1,
6,1751,0,1,
6,1776,0,1,
6,1805,1,0,
6,1835,1,0,
6,1867,1,0,
6,1901,1,0,
6,1934,0,0,
6,1969,1,0,
6,2001,0,0,
6,2027,1,0,
6,2060,1,0,
6,2092,1,0,
6,2122,1,0,
6,2152,1,0,
6,2185,0,0,
6,2218,1,0,
6,2252,1,0,
6,2285,1,0,
6,2319,1,0,
6,2352,1,0,
6,2385,1,0,
6,2419,1,0,
6,2461,1,0,
6,2498,0,0,
6,2530,1,0,
6,2557,0,0,
6,2589,0,1,
6,2620,0,0,
6,2653,0,1,
6,2687,0,1,
6,2720,0,1,
6,2754,0,0,
6,2787,0,0,
6,2820,0,0,
6,2855,0,0,
6,2887,1,0,
6,2913,0,1,
6,2948,0,1,
6,2980,0,1,
6,3012,0,0,
6,3044,1,0,
6,3076,1,0,
6,3108,1,0,
6,3140,0,0,
6,3172,1,0,
6,3197,0,1,
6,3228,1,0,
6,3259,0,1,
6,3288,0,1,
