trial,times,_right_canvas,_left_canvas,Unnamed: 4
6,0,0,1,
6,33,0,1,
6,60,0,1,
6,88,0,1,
6,120,0,1,
6,152,0,1,
6,183,0,1,
6,217,0,1,
6,250,0,1,
6,284,0,1,
6,310,0,1,
6,338,0,1,
6,368,0,1,
6,403,0,1,
6,435,0,1,
6,468,0,1,
6,501,0,1,
6,528,0,1,
6,561,0,1,
6,589,0,1,
6,622,0,1,
6,658,0,1,
6,688,0,1,
6,718,0,0,
6,751,0,1,
6,784,0,0,
6,818,0,1,
6,851,0,1,
6,884,0,1,
6,915,0,1,
6,944,0,1,
6,976,0,1,
6,1007,0,1,
7,0,1,0,
7,29,1,0,
7,61,0,0,
7,92,0,0,
7,124,1,0,
7,155,0,0,
7,184,1,0,
7,216,1,0,
7,249,1,0,
7,283,1,0,
7,317,1,0,
7,350,1,0,
7,384,1,0,
7,417,0,0,
7,451,0,0,
7,484,0,0,
7,518,0,0,
7,551,0,0,
7,585,1,0,
7,618,1,0,
7,651,0,0,
7,684,1,0,
7,717,1,0,
7,752,1,0,
7,784,1,0,
7,811,1,0,
7,842,1,0,
7,868,1,0,
7,905,1,0,
7,944,1,0,
7,971,1,0,
7,1003,0,0,
7,1031,0,0,
7,1063,0,0,
7,1091,1,0,
7,1123,1,0,
7,1155,0,0,
7,1186,0,0,
7,1218,0,0,
7,1252,0,0,
7,1285,0,0,
7,1319,0,0,
7,1352,0,0,
8,0,0,1,
8,34,1,0,
8,66,1,0,
8,100,1,0,
8,133,1,0,
8,166,1,0,
8,200,1,0,
8,233,1,0,
8,266,1,0,
8,301,0,0,
8,333,1,0,
8,366,0,0,
8,399,1,0,
8,434,0,1,
8,466,0,1,
8,499,0,1,
8,527,0,1,
8,560,0,1,
8,592,0,0,
8,624,0,1,
8,656,0,1,
8,687,0,1,
8,718,0,1,
8,750,0,1,
8,784,0,1,
8,817,0,1,
8,850,0,1,
8,884,0,1,
8,917,0,1,
8,950,0,1,
8,976,0,1,
8,1008,0,1,
8,1037,0,1,
