trial,_right_canvas,_left_canvas,times,Unnamed: 4
6,0,0,0,
6,0,1,84,
6,0,0,161,
6,0,1,227,
6,1,0,311,
6,0,1,378,
6,0,1,446,
6,0,1,569,
6,0,1,724,
6,0,1,877,
6,0,1,978,
6,0,1,1073,
6,0,1,1177,
6,0,1,1257,
6,0,1,1326,
6,0,1,1401,
6,0,1,1481,
6,0,1,1558,
6,0,0,1625,
6,0,1,1705,
6,0,1,1773,
6,0,1,1856,
6,0,1,1941,
6,0,0,2009,
6,0,0,2077,
6,0,1,2161,
6,0,1,2226,
6,0,1,2300,
6,0,1,2407,
6,0,1,2489,
6,0,1,2559,
6,0,1,2631,
6,0,1,2680,
7,0,1,0,
7,0,0,59,
7,0,0,118,
7,0,1,186,
7,0,1,249,
7,0,1,324,
7,0,0,394,
7,1,0,445,
7,1,0,495,
7,1,0,550,
7,1,0,619,
7,1,0,680,
7,1,0,743,
7,1,0,796,
7,1,0,859,
7,1,0,915,
7,0,1,985,
7,1,0,1042,
7,1,0,1104,
7,1,0,1168,
7,1,0,1234,
7,1,0,1294,
7,1,0,1348,
7,0,0,1410,
7,0,1,1476,
7,0,1,1546,
7,0,1,1598,
8,0,1,0,
8,0,0,56,
8,1,0,115,
8,0,0,185,
8,0,0,250,
8,0,0,318,
8,0,0,381,
8,0,1,480,
8,0,0,536,
8,0,0,599,
8,0,0,662,
8,0,0,728,
8,0,0,794,
8,0,0,859,
8,0,1,924,
8,0,0,987,
8,0,0,1046,
8,0,1,1114,
8,0,0,1177,
8,0,1,1235,
8,0,0,1290,
8,0,0,1352,
8,0,1,1418,
8,0,0,1488,
8,0,1,1538,
8,0,0,1607,
8,0,1,1669,
8,0,0,1735,
8,0,1,1792,
8,0,1,1848,
7,0,0,0,
7,0,0,111,
7,0,0,210,
7,1,0,308,
7,1,0,401,
7,1,0,492,
7,1,0,590,
7,1,0,739,
7,0,1,913,
7,0,1,1041,
7,0,1,1128,
7,0,1,1210,
7,0,1,1299,
7,0,1,1417,
7,0,1,1581,
7,0,1,1699,
7,0,1,1811,
7,0,1,1918,
7,1,0,2026,
7,1,0,2088,
7,1,0,2166,
7,1,0,2231,
7,1,0,2284,
7,1,0,2359,
7,1,0,2455,
7,1,0,2561,
7,1,0,2664,
7,1,0,2739,
7,1,0,2806,
7,0,0,2884,
7,1,0,2975,
8,0,0,0,
8,1,0,191,
8,0,1,360,
8,1,0,478,
8,1,0,604,
8,1,0,690,
8,1,0,784,
8,1,0,876,
8,1,0,971,
8,1,0,1064,
8,1,0,1149,
8,1,0,1234,
8,1,0,1358,
8,0,1,1556,
8,0,1,1747,
8,0,0,1917,
10,0,1,0,
10,0,0,181,
10,0,1,311,
10,0,0,379,
10,0,1,456,
10,0,0,523,
10,0,1,583,
10,1,0,640,
10,1,0,704,
10,1,0,785,
10,1,0,910,
10,1,0,1020,
10,1,0,1145,
10,1,0,1256,
10,0,0,1340,
10,1,0,1427,
10,1,0,1514,
10,1,0,1602,
10,1,0,1687,
10,0,0,1765,
10,1,0,1842,
10,0,0,1932,
10,0,0,2011,
10,0,0,2085,
10,0,0,2168,
10,0,1,2242,
10,0,1,2338,
10,1,0,2471,
10,1,0,2567,
10,1,0,2647,
10,1,0,2741,
10,1,0,2808,
10,1,0,2869,
10,1,0,2933,
10,1,0,2998,
10,1,0,3058,
10,0,0,3125,
10,1,0,3191,
10,1,0,3255,
10,1,0,3329,
10,1,0,3423,
10,1,0,3507,
10,1,0,3600,
10,0,1,3692,
10,0,0,3766,
10,0,1,3837,
11,1,0,0,
11,0,1,65,
11,1,0,123,
11,1,0,184,
11,1,0,251,
11,1,0,341,
11,0,1,485,
11,1,0,634,
11,1,0,776,
11,1,0,876,
11,1,0,975,
11,1,0,1075,
11,1,0,1165,
11,1,0,1238,
11,1,0,1305,
11,1,0,1373,
11,1,0,1440,
11,1,0,1506,
11,1,0,1572,
11,1,0,1648,
11,1,0,1717,
11,0,1,1815,
11,0,1,1974,
11,1,0,2083,
11,1,0,2179,
11,1,0,2301,
11,1,0,2429,
11,0,0,2535,
11,1,0,2640,
11,1,0,2738,
11,1,0,2834,
11,0,0,2934,
11,0,1,3039,
11,0,1,3134,
11,0,1,3245,
11,0,1,3354,
11,0,0,3472,
11,0,0,3570,
11,0,1,3666,
11,0,0,3765,
11,0,1,3869,
12,0,1,0,
12,0,0,90,
12,0,1,180,
12,0,1,268,
12,0,1,367,
12,0,1,446,
12,1,0,530,
12,0,1,612,
12,0,1,699,
12,0,1,823,
12,0,0,969,
12,0,0,1089,
12,1,0,1214,
12,0,1,1327,
12,0,1,1445,
12,0,1,1557,
12,0,1,1643,
12,0,1,1724,
12,1,0,1802,
12,0,1,1875,
12,0,1,1941,
12,0,1,2011,
13,0,1,0,
13,1,0,120,
13,0,1,199,
13,0,1,299,
13,0,0,411,
13,1,0,496,
13,0,1,588,
13,0,1,660,
13,1,0,757,
13,1,0,891,
13,1,0,1015,
13,1,0,1145,
13,1,0,1280,
13,0,0,1402,
13,1,0,1513,
13,1,0,1651,
14,0,0,0,
14,1,0,76,
14,0,1,198,
14,0,1,352,
14,0,1,466,
14,1,0,573,
14,1,0,652,
14,0,1,728,
14,1,0,798,
14,0,1,886,
14,0,1,994,
14,0,1,1118,
14,0,1,1242,
14,0,1,1362,
14,0,1,1472,
14,0,1,1591,
14,0,1,1707,
15,1,0,0,
15,0,1,72,
15,1,0,149,
15,1,0,232,
15,1,0,299,
15,1,0,367,
15,0,1,443,
15,0,1,516,
15,1,0,595,
15,1,0,665,
15,1,0,733,
15,1,0,812,
15,1,0,913,
15,1,0,1057,
15,1,0,1205,
15,0,0,1329,
15,1,0,1423,
15,1,0,1504,
15,1,0,1589,
15,1,0,1685,
15,1,0,1774,
15,1,0,1859,
15,1,0,2003,
15,0,0,2133,
15,0,0,2221,
15,1,0,2305,
15,1,0,2374,
15,1,0,2473,
15,0,0,2581,
15,0,1,2698,
15,1,0,2762,
15,1,0,2854,
15,1,0,2914,
15,1,0,2983,
15,1,0,3038,
15,1,0,3089,
15,1,0,3165,
15,1,0,3266,
15,1,0,3366,
15,1,0,3464,
15,1,0,3577,
15,1,0,3683,
15,0,0,3781,
15,1,0,3883,
15,0,1,3982,
15,0,1,4083,
15,0,1,4181,
15,0,1,4276,
15,0,1,4346,
15,0,0,4430,
15,0,1,4568,
15,0,0,4778,
15,0,1,4910,
15,0,1,5027,
15,0,1,5140,
15,0,1,5259,
15,0,1,5376,
15,0,0,5492,
15,0,0,5628,
15,1,0,5757,
15,1,0,5891,
15,1,0,6006,
15,1,0,6117,
15,1,0,6202,
15,1,0,6283,
15,0,0,6375,
15,1,0,6452,
15,0,1,6538,
15,0,1,6613,
15,1,0,6726,
15,0,0,6854,
15,0,0,6976,
15,0,0,7098,
15,0,0,7176,
15,0,0,7237,
15,0,0,7294,
15,0,0,7399,
15,0,0,7493,
15,0,0,7592,
15,0,0,7698,
15,0,0,7790,
15,0,0,7861,
15,0,0,7929,
15,0,0,7995,
15,0,0,8061,
15,0,0,8128,
15,0,0,8205,
