trial,times,_left_canvas,_right_canvas,Unnamed: 4
6,0,0,0,
6,64,0,1,
6,136,1,0,
6,248,0,0,
6,366,1,0,
6,435,0,0,
6,529,0,1,
6,594,0,1,
6,649,1,0,
6,713,0,1,
6,773,0,1,
6,835,0,1,
6,893,0,0,
6,960,0,0,
6,1018,0,0,
6,1084,0,0,
6,1148,1,0,
6,1211,0,1,
6,1275,1,0,
6,1334,1,0,
6,1402,0,1,
6,1460,1,0,
6,1515,0,0,
6,1578,0,0,
6,1643,0,0,
6,1707,1,0,
7,0,0,1,
7,67,0,1,
7,133,0,1,
7,191,0,1,
7,258,0,1,
7,327,0,1,
7,423,0,1,
7,513,0,1,
7,573,0,1,
7,635,0,1,
7,703,0,1,
7,775,0,0,
7,840,0,1,
7,915,0,0,
7,981,1,0,
7,1051,0,1,
7,1123,0,1,
7,1216,0,1,
7,1350,0,0,
8,0,1,0,
8,110,1,0,
8,210,1,0,
8,322,1,0,
8,439,1,0,
8,544,1,0,
8,647,1,0,
8,754,1,0,
8,852,1,0,
8,950,1,0,
8,1022,1,0,
8,1102,1,0,
8,1174,1,0,
7,0,0,1,
7,73,0,1,
7,136,0,1,
7,206,0,1,
7,280,0,1,
7,411,0,1,
7,547,1,0,
7,689,0,1,
8,0,1,0,
8,110,1,0,
8,185,1,0,
8,238,1,0,
8,304,1,0,
8,374,1,0,
8,495,1,0,
8,612,1,0,
8,729,1,0,
10,0,1,0,
10,112,1,0,
10,192,0,0,
10,303,0,0,
10,392,0,1,
10,476,0,1,
10,558,0,0,
10,680,0,1,
10,790,0,1,
10,879,0,1,
10,973,0,1,
10,1068,0,1,
10,1161,0,1,
10,1287,0,1,
10,1420,0,1,
11,0,0,1,
11,84,1,0,
11,167,1,0,
11,248,0,0,
11,339,1,0,
11,427,1,0,
11,503,1,0,
11,597,1,0,
11,703,1,0,
11,820,1,0,
11,950,1,0,
11,1073,1,0,
11,1178,1,0,
11,1284,1,0,
11,1371,1,0,
11,1478,1,0,
11,1650,0,1,
11,1837,0,1,
11,1982,1,0,
11,2149,1,0,
11,2263,1,0,
11,2333,1,0,
11,2423,0,0,
12,0,1,0,
12,88,0,0,
12,172,0,1,
12,250,0,1,
12,315,0,1,
12,400,0,1,
12,501,0,1,
12,610,0,1,
12,718,0,1,
12,822,0,1,
12,933,0,1,
12,998,0,1,
12,1066,0,1,
12,1139,0,1,
13,0,0,1,
13,117,1,0,
13,227,0,1,
13,327,1,0,
13,428,1,0,
13,547,1,0,
13,664,1,0,
13,753,1,0,
13,825,1,0,
13,903,1,0,
13,976,1,0,
13,1052,1,0,
14,0,0,1,
14,91,0,0,
14,170,0,1,
14,251,0,1,
14,339,0,1,
14,424,0,1,
14,503,0,1,
14,584,0,1,
14,666,0,1,
14,791,0,1,
14,941,0,1,
15,0,0,1,
15,91,1,0,
15,156,0,0,
15,222,0,0,
15,304,0,1,
15,435,0,0,
15,549,0,0,
15,666,0,0,
15,803,0,1,
15,934,0,1,
15,1075,0,1,
15,1207,0,1,
15,1326,1,0,
15,1414,0,1,
15,1493,0,1,
15,1595,0,1,
15,1720,0,1,
16,0,0,1,
16,62,0,1,
16,136,0,1,
16,212,0,0,
16,337,1,0,
16,462,1,0,
