trial,times,_right_canvas,_left_canvas,Unnamed: 4
6,0,0,1,
6,48,0,1,
6,97,0,1,
6,144,0,1,
6,198,0,1,
6,245,1,0,
6,287,0,1,
6,328,0,1,
6,370,0,0,
6,409,1,0,
6,445,1,0,
6,484,1,0,
6,539,0,0,
6,581,0,1,
6,629,0,0,
6,668,0,0,
6,708,0,0,
6,765,0,0,
6,817,0,0,
6,858,0,0,
6,910,0,0,
6,954,0,0,
6,998,0,1,
6,1046,0,1,
6,1104,0,0,
6,1150,0,1,
6,1196,0,1,
7,0,0,1,
7,45,0,1,
7,82,0,0,
7,138,1,0,
7,184,0,0,
7,222,0,1,
7,262,0,0,
7,311,1,0,
7,372,0,1,
7,428,1,0,
7,481,1,0,
7,529,1,0,
7,574,1,0,
7,620,1,0,
7,670,1,0,
7,713,1,0,
7,762,1,0,
7,801,0,0,
7,844,1,0,
7,889,1,0,
7,937,1,0,
7,976,1,0,
7,1035,1,0,
7,1082,1,0,
7,1133,1,0,
7,1184,1,0,
7,1231,0,0,
7,1284,1,0,
7,1341,1,0,
7,1390,0,1,
7,1438,1,0,
7,1477,1,0,
7,1518,1,0,
7,1571,1,0,
7,1622,1,0,
7,1662,1,0,
7,1712,1,0,
7,1764,1,0,
7,1812,1,0,
7,1855,1,0,
7,1914,1,0,
7,1963,1,0,
7,2002,1,0,
7,2052,1,0,
7,2101,1,0,
7,2148,1,0,
7,2193,1,0,
7,2239,1,0,
7,2282,1,0,
7,2342,1,0,
7,2382,1,0,
7,2428,1,0,
8,0,0,1,
8,44,0,0,
8,91,0,1,
8,142,0,1,
8,182,0,1,
8,232,0,1,
8,270,0,1,
8,310,0,1,
8,349,0,1,
8,387,0,1,
8,430,0,1,
8,481,0,1,
8,542,0,1,
8,582,0,1,
8,629,0,1,
8,679,0,1,
8,720,0,1,
8,770,0,1,
8,821,0,1,
8,871,0,1,
8,919,0,1,
8,959,0,1,
8,1014,0,1,
8,1055,0,1,
8,1107,0,1,
8,1162,0,1,
8,1206,0,1,
7,0,0,1,
7,44,1,0,
7,85,1,0,
7,134,1,0,
7,177,0,1,
7,220,1,0,
7,260,0,1,
7,310,1,0,
7,357,1,0,
7,412,0,0,
7,459,1,0,
7,518,1,0,
7,566,1,0,
7,609,0,0,
7,649,1,0,
7,690,1,0,
7,742,1,0,
7,789,1,0,
7,834,0,0,
7,874,0,0,
7,923,0,1,
7,977,0,0,
7,1021,1,0,
7,1056,1,0,
7,1095,1,0,
7,1142,1,0,
7,1181,1,0,
7,1217,0,0,
7,1262,0,0,
7,1313,1,0,
7,1358,1,0,
7,1409,1,0,
7,1450,1,0,
7,1490,1,0,
7,1529,1,0,
7,1582,1,0,
7,1622,1,0,
7,1662,1,0,
7,1712,1,0,
7,1764,1,0,
7,1808,1,0,
7,1845,1,0,
7,1884,1,0,
7,1924,1,0,
7,1972,1,0,
7,2019,1,0,
7,2067,1,0,
7,2113,1,0,
7,2152,1,0,
7,2209,1,0,
7,2259,1,0,
7,2302,1,0,
7,2358,1,0,
7,2413,1,0,
7,2463,1,0,
7,2505,1,0,
7,2549,1,0,
7,2587,1,0,
7,2634,1,0,
7,2674,1,0,
7,2718,1,0,
7,2761,1,0,
7,2814,1,0,
7,2863,1,0,
7,2907,1,0,
7,2964,1,0,
7,3010,1,0,
7,3059,1,0,
7,3109,1,0,
7,3159,1,0,
7,3213,1,0,
7,3254,1,0,
7,3294,1,0,
7,3349,1,0,
7,3396,1,0,
7,3441,1,0,
7,3483,1,0,
7,3526,1,0,
7,3574,1,0,
7,3621,1,0,
7,3682,1,0,
7,3722,1,0,
7,3779,1,0,
7,3825,1,0,
7,3876,1,0,
7,3923,1,0,
7,3964,1,0,
8,0,1,0,
8,50,1,0,
8,98,0,1,
8,149,0,1,
8,205,0,0,
8,252,0,1,
8,304,0,1,
8,357,0,1,
8,404,0,0,
8,449,0,0,
8,491,0,0,
8,536,0,1,
8,595,0,1,
8,640,0,0,
8,680,0,1,
8,722,0,0,
8,769,0,0,
8,819,0,0,
8,868,0,0,
8,926,1,0,
8,978,0,1,
8,1026,0,1,
8,1075,0,1,
8,1129,0,1,
8,1175,0,1,
8,1222,0,1,
8,1274,0,1,
8,1326,0,1,
8,1370,0,1,
8,1429,0,1,
8,1476,0,1,
10,0,0,1,
10,43,0,1,
10,86,0,1,
10,131,0,1,
10,177,0,1,
10,222,0,1,
10,276,0,1,
10,323,0,1,
10,372,0,1,
10,413,0,1,
10,458,0,1,
10,503,0,0,
10,552,0,1,
10,592,0,1,
11,0,0,1,
11,43,0,0,
11,97,0,1,
11,155,1,0,
11,203,1,0,
11,253,1,0,
11,300,0,1,
11,349,0,1,
11,403,0,1,
11,452,0,1,
11,504,0,1,
11,546,0,1,
11,599,0,1,
11,650,0,1,
11,698,0,1,
11,746,0,1,
11,798,0,1,
11,843,0,1,
11,891,0,1,
11,937,0,1,
11,999,0,1,
11,1039,0,0,
11,1096,0,1,
11,1145,0,1,
11,1192,0,1,
11,1245,0,1,
11,1298,0,1,
11,1338,0,1,
11,1391,0,1,
11,1437,0,1,
11,1485,0,1,
11,1547,0,1,
11,1599,0,1,
11,1645,0,1,
11,1700,0,1,
11,1753,0,1,
11,1814,0,1,
11,1860,0,0,
11,1912,0,1,
11,1952,0,1,
11,1994,0,1,
11,2036,0,1,
11,2086,0,1,
11,2132,0,1,
11,2175,0,0,
11,2225,0,1,
12,0,1,0,
12,52,1,0,
12,105,0,0,
12,154,0,0,
12,203,0,0,
12,254,0,0,
12,305,0,1,
12,353,0,1,
12,399,0,1,
12,446,0,1,
12,496,0,1,
12,548,0,1,
12,595,0,1,
12,648,0,1,
12,695,1,0,
12,748,1,0,
12,787,1,0,
12,831,1,0,
12,890,1,0,
12,936,1,0,
12,976,0,1,
12,1024,0,1,
12,1067,0,1,
12,1108,0,1,
12,1168,0,1,
12,1217,0,1,
12,1268,1,0,
12,1314,1,0,
12,1356,1,0,
12,1399,1,0,
12,1442,1,0,
12,1488,1,0,
12,1535,1,0,
12,1584,1,0,
12,1636,1,0,
12,1691,0,0,
12,1745,1,0,
12,1791,1,0,
12,1845,1,0,
12,1897,1,0,
12,1939,1,0,
12,1978,1,0,
12,2031,1,0,
12,2069,1,0,
12,2119,1,0,
12,2177,1,0,
12,2227,1,0,
12,2275,1,0,
12,2334,1,0,
12,2375,1,0,
12,2420,1,0,
12,2460,1,0,
12,2499,1,0,
12,2544,0,0,
12,2598,1,0,
12,2643,1,0,
12,2680,1,0,
12,2729,1,0,
12,2769,1,0,
13,0,1,0,
13,47,1,0,
13,97,0,0,
13,144,0,0,
13,192,0,0,
13,235,1,0,
13,281,1,0,
13,326,1,0,
13,373,0,0,
13,425,1,0,
13,477,0,0,
13,525,0,0,
13,578,1,0,
13,630,1,0,
13,671,1,0,
13,716,1,0,
13,763,1,0,
13,808,1,0,
13,856,1,0,
13,894,1,0,
13,939,1,0,
13,987,1,0,
13,1031,1,0,
13,1071,0,0,
13,1127,0,0,
13,1176,1,0,
13,1225,1,0,
13,1278,0,0,
13,1325,1,0,
13,1369,1,0,
13,1417,1,0,
13,1465,0,1,
13,1505,1,0,
13,1550,1,0,
13,1610,1,0,
13,1657,1,0,
14,0,1,0,
14,52,1,0,
14,97,1,0,
14,151,1,0,
14,201,1,0,
14,250,1,0,
14,300,1,0,
14,351,1,0,
14,397,1,0,
14,444,1,0,
14,497,1,0,
14,542,1,0,
14,589,0,1,
14,629,0,1,
14,677,0,1,
14,734,0,1,
14,784,0,1,
14,832,1,0,
14,889,1,0,
14,935,1,0,
14,982,1,0,
14,1025,1,0,
14,1085,1,0,
14,1132,1,0,
14,1171,1,0,
14,1230,1,0,
14,1279,1,0,
14,1328,1,0,
14,1375,1,0,
14,1425,0,0,
14,1475,1,0,
14,1523,1,0,
14,1575,1,0,
14,1615,1,0,
14,1668,0,0,
14,1725,1,0,
14,1766,1,0,
14,1825,1,0,
14,1873,1,0,
14,1922,1,0,
14,1966,0,0,
14,2015,1,0,
14,2064,1,0,
14,2113,1,0,
15,0,1,0,
15,62,1,0,
15,117,1,0,
15,164,1,0,
15,204,1,0,
15,253,1,0,
15,301,1,0,
15,352,1,0,
15,398,1,0,
15,443,1,0,
15,493,1,0,
15,545,1,0,
15,587,1,0,
15,635,1,0,
15,674,1,0,
15,716,1,0,
15,755,1,0,
15,797,1,0,
15,843,1,0,
15,898,1,0,
15,950,1,0,
15,996,1,0,
15,1045,1,0,
15,1093,1,0,
16,0,0,1,
16,50,0,1,
16,101,0,0,
16,153,0,1,
16,202,0,1,
16,244,0,1,
16,302,0,1,
16,356,0,1,
16,412,0,1,
16,466,0,1,
16,511,0,1,
16,556,0,1,
16,602,0,1,
16,643,0,1,
16,692,0,1,
16,742,0,1,
16,789,0,1,
16,836,0,1,
16,890,0,1,
16,942,0,1,
16,981,0,1,
16,1022,0,1,
16,1076,0,1,
16,1123,0,1,
16,1172,0,1,
17,0,0,1,
17,49,1,0,
17,105,0,1,
17,154,0,1,
17,202,0,1,
17,260,0,0,
17,307,0,1,
17,352,0,1,
17,396,0,1,
17,442,0,0,
17,483,0,1,
17,526,0,1,
17,568,0,0,
17,607,0,1,
17,662,0,0,
17,710,1,0,
17,749,1,0,
17,801,1,0,
17,844,1,0,
17,912,1,0,
17,956,1,0,
17,1003,1,0,
17,1054,1,0,
17,1114,1,0,
17,1160,1,0,
17,1214,1,0,
17,1260,1,0,
17,1322,1,0,
17,1375,1,0,
17,1420,1,0,
17,1466,1,0,
17,1532,1,0,
17,1583,1,0,
18,0,0,1,
18,51,0,1,
18,89,0,1,
18,140,0,1,
18,185,0,1,
18,230,0,1,
18,274,0,0,
18,315,0,0,
18,356,0,0,
18,396,0,0,
18,442,0,1,
18,489,0,0,
18,541,1,0,
18,584,1,0,
18,637,1,0,
18,685,1,0,
18,731,1,0,
18,777,1,0,
18,820,0,0,
18,860,1,0,
18,907,1,0,
18,950,0,0,
18,990,0,1,
18,1040,0,1,
18,1082,1,0,
18,1127,1,0,
18,1165,1,0,
18,1219,0,0,
18,1260,0,0,
18,1310,0,1,
19,0,0,1,
19,42,1,0,
19,94,1,0,
19,137,0,1,
19,188,0,1,
19,242,0,1,
19,294,0,0,
19,341,0,1,
19,389,0,1,
19,442,0,1,
19,501,0,1,
19,550,0,1,
19,595,0,0,
19,650,0,0,
19,688,0,1,
19,742,0,1,
19,793,0,0,
19,842,1,0,
20,0,0,1,
20,48,0,1,
20,94,0,1,
20,146,0,1,
20,187,1,0,
20,228,1,0,
20,269,0,0,
20,326,0,0,
20,376,0,1,
20,426,0,1,
20,466,0,1,
20,522,1,0,
20,565,1,0,
20,617,0,0,
20,669,1,0,
20,717,1,0,
20,765,1,0,
20,815,0,0,
20,863,0,0,
20,916,1,0,
20,963,0,0,
20,1025,1,0,
20,1066,1,0,
20,1114,1,0,
20,1153,0,0,
20,1203,1,0,
20,1242,1,0,
20,1288,1,0,
20,1334,1,0,
21,0,1,0,
21,47,1,0,
21,89,1,0,
21,143,1,0,
21,190,0,0,
21,244,0,0,
21,299,0,1,
21,348,1,0,
21,400,0,1,
21,447,1,0,
21,497,0,1,
21,549,0,1,
21,597,0,1,
21,647,0,1,
21,697,1,0,
21,738,1,0,
21,793,1,0,
