trial,_right_canvas,times,_left_canvas,Unnamed: 4
6,0,0,1,
6,0,49,1,
6,0,76,1,
6,0,103,1,
6,0,134,1,
6,0,166,1,
6,0,199,1,
6,0,225,1,
6,0,255,1,
6,0,285,0,
6,0,316,0,
6,0,351,1,
6,0,385,1,
6,0,418,1,
6,0,451,1,
6,0,483,1,
6,0,515,1,
6,0,548,1,
6,0,582,1,
6,0,615,1,
6,0,648,1,
6,0,681,1,
6,0,714,1,
6,0,749,1,
6,0,783,1,
6,0,815,1,
6,1,848,0,
6,1,882,0,
6,1,914,0,
6,1,948,0,
6,1,981,0,
6,1,1015,0,
6,1,1048,0,
6,1,1081,0,
6,0,1115,1,
6,0,1148,1,
6,0,1181,1,
6,0,1216,1,
6,0,1250,1,
6,0,1281,1,
6,0,1315,1,
6,0,1348,1,
6,0,1382,1,
6,0,1415,1,
6,0,1448,1,
6,0,1482,1,
6,0,1515,1,
6,0,1549,1,
6,0,1583,1,
6,0,1617,1,
6,0,1651,1,
6,0,1683,1,
6,0,1710,1,
6,0,1740,1,
6,0,1768,1,
6,0,1800,1,
6,0,1833,1,
6,0,1866,1,
6,0,1901,1,
6,0,1933,1,
6,0,1966,1,
6,0,2000,1,
6,0,2035,1,
6,0,2068,1,
6,0,2100,1,
6,0,2133,1,
6,0,2166,1,
6,0,2190,1,
6,0,2223,1,
6,0,2253,1,
6,0,2283,1,
6,0,2316,1,
6,0,2350,1,
6,0,2376,1,
6,0,2411,1,
6,0,2450,1,
6,0,2483,1,
6,0,2509,1,
6,0,2538,1,
6,0,2570,1,
6,0,2603,1,
6,0,2634,1,
6,0,2667,1,
6,0,2701,1,
6,0,2726,1,
6,0,2753,1,
6,0,2785,1,
6,0,2818,1,
6,0,2852,1,
6,0,2884,1,
6,0,2918,1,
6,0,2951,1,
7,1,0,0,
7,0,25,0,
7,1,58,0,
7,1,87,0,
7,1,117,0,
7,1,153,0,
7,0,184,0,
7,1,218,0,
7,1,251,0,
7,1,284,0,
7,1,317,0,
7,1,341,0,
7,0,370,0,
7,0,405,0,
7,0,435,0,
7,0,467,0,
7,0,501,0,
7,0,534,0,
7,0,566,0,
7,1,592,0,
7,1,618,0,
7,0,650,0,
7,0,675,0,
7,0,705,0,
7,1,736,0,
7,0,768,0,
7,1,801,0,
7,0,834,0,
7,0,867,0,
7,0,900,0,
7,1,934,0,
7,1,966,0,
7,0,999,1,
7,0,1033,1,
7,0,1066,0,
7,0,1099,1,
7,0,1141,1,
7,0,1182,1,
7,0,1215,1,
7,0,1249,1,
7,0,1285,1,
7,1,1318,0,
7,1,1351,0,
7,1,1382,0,
7,1,1416,0,
7,1,1449,0,
7,1,1482,0,
7,1,1507,0,
7,1,1539,0,
7,0,1569,0,
7,1,1600,0,
7,0,1625,0,
7,0,1652,0,
7,0,1685,0,
7,0,1720,0,
7,1,1752,0,
7,1,1785,0,
7,1,1818,0,
7,1,1851,0,
7,0,1884,0,
7,0,1917,0,
7,0,1950,0,
7,0,1984,0,
7,0,2017,0,
7,0,2051,0,
7,1,2084,0,
7,1,2118,0,
7,0,2150,0,
7,1,2183,0,
7,0,2217,0,
7,0,2250,0,
7,0,2283,0,
8,0,0,0,
8,0,34,0,
8,0,59,1,
8,0,86,1,
8,0,117,0,
8,0,150,1,
8,1,175,0,
8,0,203,0,
8,0,234,0,
8,1,258,0,
8,0,284,0,
8,0,317,0,
8,0,351,0,
8,0,384,0,
8,0,419,1,
8,0,451,1,
8,0,484,1,
8,0,510,1,
8,0,541,1,
8,0,570,1,
8,0,600,1,
8,0,633,1,
8,0,666,0,
8,0,701,1,
8,0,733,0,
8,0,761,0,
8,0,792,0,
8,0,822,1,
8,0,853,1,
8,0,884,1,
8,0,917,1,
8,1,949,0,
8,0,982,1,
8,0,1016,0,
8,0,1049,1,
8,0,1082,1,
8,0,1116,0,
8,0,1149,1,
8,0,1183,1,
8,0,1220,1,
8,0,1252,1,
8,0,1284,1,
8,0,1316,1,
8,0,1349,1,
8,1,1383,0,
8,1,1417,0,
8,1,1450,0,
8,1,1492,0,
8,0,1523,0,
