trial,times,_left_canvas,_right_canvas,Unnamed: 4
6,0,1,0,
6,29,0,1,
6,61,0,1,
6,94,0,1,
6,128,0,0,
6,161,0,0,
6,195,1,0,
6,228,0,0,
6,261,1,0,
6,294,1,0,
6,328,1,0,
6,361,1,0,
6,395,0,0,
6,428,1,0,
6,461,1,0,
6,494,1,0,
6,528,1,0,
6,555,1,0,
6,583,1,0,
6,611,1,0,
6,645,1,0,
6,677,1,0,
6,711,1,0,
6,744,1,0,
6,777,1,0,
6,810,1,0,
6,833,1,0,
6,861,1,0,
6,895,1,0,
6,927,1,0,
6,961,1,0,
6,994,1,0,
6,1022,1,0,
6,1050,1,0,
6,1081,1,0,
6,1111,1,0,
6,1145,1,0,
6,1169,1,0,
6,1201,1,0,
6,1229,1,0,
6,1262,1,0,
6,1295,1,0,
6,1329,1,0,
6,1362,1,0,
6,1396,1,0,
6,1430,1,0,
6,1463,1,0,
6,1496,1,0,
6,1530,1,0,
6,1564,0,0,
6,1599,1,0,
6,1636,1,0,
6,1667,1,0,
6,1698,1,0,
6,1731,1,0,
6,1765,1,0,
6,1791,1,0,
6,1821,1,0,
6,1848,1,0,
6,1883,1,0,
6,1917,1,0,
6,1950,1,0,
6,1982,1,0,
6,2015,1,0,
6,2048,1,0,
6,2081,1,0,
6,2115,1,0,
6,2149,1,0,
6,2181,1,0,
6,2215,1,0,
6,2249,1,0,
6,2281,1,0,
6,2314,1,0,
6,2348,1,0,
6,2373,1,0,
6,2403,1,0,
6,2434,1,0,
6,2466,1,0,
6,2499,1,0,
6,2533,1,0,
6,2566,1,0,
6,2600,1,0,
6,2633,1,0,
6,2666,1,0,
6,2700,1,0,
6,2732,1,0,
6,2765,1,0,
6,2798,1,0,
6,2832,1,0,
6,2865,1,0,
6,2898,1,0,
6,2931,1,0,
6,2964,1,0,
6,2989,1,0,
6,3016,1,0,
6,3048,1,0,
6,3082,1,0,
6,3115,1,0,
6,3139,1,0,
6,3165,1,0,
6,3189,1,0,
6,3216,1,0,
6,3249,1,0,
6,3273,1,0,
6,3298,1,0,
6,3323,1,0,
6,3348,1,0,
6,3382,1,0,
6,3415,1,0,
6,3442,1,0,
6,3473,1,0,
6,3499,1,0,
6,3532,1,0,
6,3565,1,0,
6,3598,1,0,
6,3631,1,0,
6,3656,1,0,
6,3684,1,0,
6,3715,1,0,
6,3748,1,0,
6,3782,1,0,
6,3815,1,0,
6,3849,1,0,
6,3882,1,0,
6,3918,1,0,
6,3950,1,0,
6,3983,1,0,
6,4015,1,0,
6,4048,1,0,
6,4082,1,0,
6,4115,1,0,
6,4149,1,0,
6,4182,1,0,
6,4216,1,0,
6,4250,1,0,
6,4283,1,0,
6,4317,1,0,
6,4352,1,0,
6,4384,1,0,
6,4417,1,0,
6,4451,1,0,
6,4484,1,0,
7,0,1,0,
7,32,0,1,
7,65,0,1,
7,98,0,1,
7,131,0,1,
7,165,0,1,
7,198,0,1,
7,233,0,1,
7,266,0,1,
7,299,0,1,
7,325,0,1,
7,354,0,1,
7,383,0,1,
7,417,0,1,
7,450,0,1,
7,476,0,1,
7,504,0,1,
7,535,0,0,
7,567,0,1,
7,599,0,0,
7,632,0,1,
7,666,0,1,
7,701,0,1,
7,733,0,1,
7,781,0,1,
7,816,0,1,
7,849,0,1,
7,883,0,1,
7,916,0,1,
7,949,0,1,
7,982,0,1,
7,1016,0,1,
7,1049,0,1,
7,1082,0,1,
7,1109,0,1,
7,1139,0,1,
7,1170,0,1,
7,1200,0,1,
7,1232,0,1,
7,1258,0,1,
7,1285,0,1,
7,1316,0,1,
7,1350,0,0,
7,1381,0,1,
7,1405,0,1,
7,1432,0,1,
7,1463,0,1,
7,1498,0,1,
7,1531,0,1,
7,1565,0,1,
7,1597,0,1,
7,1622,0,1,
7,1650,0,1,
7,1682,0,1,
7,1714,0,1,
7,1748,0,1,
7,1781,0,1,
7,1815,0,1,
7,1849,0,1,
7,1882,0,1,
7,1916,0,1,
7,1949,0,1,
7,1974,0,1,
7,2001,0,1,
7,2033,0,1,
7,2066,0,1,
7,2100,0,1,
7,2132,0,1,
7,2156,0,1,
7,2183,0,1,
7,2216,0,1,
7,2249,0,1,
7,2282,0,1,
7,2315,0,1,
7,2349,0,1,
7,2382,0,1,
7,2415,0,1,
7,2448,0,1,
7,2481,0,1,
7,2515,0,1,
7,2548,0,1,
7,2582,0,1,
7,2616,0,1,
7,2650,0,1,
7,2682,0,1,
7,2715,0,1,
7,2750,0,1,
7,2783,0,1,
7,2817,0,1,
7,2848,0,1,
7,2881,0,1,
7,2906,0,1,
7,2936,0,1,
7,2966,0,1,
7,2998,0,1,
7,3031,0,1,
7,3055,0,1,
7,3087,0,1,
7,3119,0,1,
7,3155,0,1,
7,3185,0,1,
7,3214,0,1,
7,3247,0,1,
7,3280,0,1,
7,3305,0,1,
7,3332,0,1,
7,3364,0,1,
7,3389,0,1,
7,3415,0,1,
7,3441,0,1,
7,3466,0,1,
7,3498,0,1,
7,3532,0,1,
7,3565,0,1,
7,3598,0,1,
7,3632,0,1,
7,3664,0,0,
7,3698,0,1,
7,3731,0,1,
7,3756,0,1,
7,3786,0,0,
7,3817,0,1,
7,3847,0,0,
7,3880,0,0,
7,3914,0,1,
7,3949,0,0,
7,3981,1,0,
7,4005,1,0,
7,4032,0,0,
7,4065,0,0,
7,4098,0,0,
7,4131,0,1,
7,4165,0,1,
7,4198,0,1,
7,4225,0,1,
7,4252,0,1,
7,4283,0,1,
7,4316,0,1,
7,4349,0,1,
7,4381,0,1,
7,4407,0,1,
7,4439,0,1,
7,4470,0,1,
7,4499,0,1,
7,4531,0,1,
7,4556,0,1,
7,4585,0,1,
7,4615,0,1,
7,4649,0,1,
7,4682,0,1,
7,4715,0,1,
7,4740,0,1,
7,4767,0,1,
7,4798,0,1,
7,4832,0,1,
7,4865,0,1,
7,4899,0,1,
7,4933,0,1,
7,4965,0,1,
7,4999,0,1,
7,5032,0,1,
7,5065,0,1,
7,5098,0,1,
7,5133,0,1,
