trial,times,_right_canvas,_left_canvas,Unnamed: 4
6,0,0,1,
6,33,0,1,
6,66,0,1,
6,100,0,1,
6,132,0,1,
6,157,0,1,
6,184,0,1,
6,216,0,1,
6,241,0,1,
6,279,0,1,
6,305,0,1,
6,332,0,1,
6,365,0,1,
6,399,0,1,
6,433,0,1,
6,465,0,1,
6,499,0,0,
6,532,0,1,
6,558,0,1,
6,586,0,1,
6,616,0,0,
6,649,0,1,
6,683,0,1,
6,715,0,1,
6,750,0,1,
6,783,0,1,
6,815,0,1,
6,850,0,1,
6,882,0,1,
6,915,0,0,
6,940,0,0,
6,965,0,1,
6,998,0,1,
6,1032,0,1,
6,1060,0,1,
6,1092,0,0,
6,1118,0,1,
6,1148,0,1,
6,1215,0,0,
6,1248,0,1,
6,1281,0,1,
6,1317,0,1,
6,1349,0,0,
6,1381,0,1,
6,1415,0,1,
6,1449,0,1,
6,1481,0,1,
6,1514,0,1,
6,1547,0,1,
6,1580,0,0,
6,1614,0,0,
6,1647,0,1,
6,1680,0,1,
6,1714,0,1,
6,1748,0,0,
6,1780,0,1,
6,1813,0,1,
6,1838,0,1,
6,1868,0,0,
6,1900,0,0,
6,1930,0,1,
6,1963,0,1,
6,1995,0,0,
6,2029,0,1,
6,2064,0,1,
6,2098,0,1,
6,2131,0,1,
6,2164,0,1,
6,2197,0,1,
6,2231,0,1,
6,2264,0,1,
6,2297,0,1,
7,0,0,0,
7,29,0,0,
7,59,1,0,
7,84,0,0,
7,110,0,0,
7,145,1,0,
7,176,1,0,
7,210,1,0,
7,236,1,0,
7,262,1,0,
7,293,1,0,
7,318,0,0,
7,344,1,0,
7,377,0,1,
7,401,0,1,
7,427,0,1,
7,452,0,1,
7,480,0,1,
7,512,0,1,
7,537,0,1,
7,564,0,1,
7,596,0,1,
7,629,0,1,
7,663,0,1,
7,697,1,0,
7,730,1,0,
7,764,1,0,
7,797,1,0,
7,830,1,0,
7,854,1,0,
7,880,1,0,
7,915,0,0,
7,940,0,0,
7,972,1,0,
